date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-08,1924.0,1924.0,1924.0,1924.0,4182700,277,1,1924.0,1924.0
2001-04-09,1962.0,1975.0,1962.0,1975.0,21602100,1402,3,1924.0,1975.0
2001-04-10,1975.0,1975.0,1975.0,1975.0,13593500,877,1,1975.0,1975.0
2001-04-23,1975.0,1975.0,1975.0,1975.0,2852000,184,1,1975.0,1975.0
2001-04-28,1975.0,1975.0,1975.0,1975.0,4898000,316,1,1975.0,1975.0
2001-04-29,1975.0,1975.0,1975.0,1975.0,914500,59,1,1975.0,1975.0
2001-05-07,1976.0,1976.0,1976.0,1976.0,4650600,300,1,1975.0,1976.0
2001-05-09,1976.0,1976.0,1052.0,1976.0,113471257,12887,100,1976.0,1976.0
2001-05-12,1988.0,1988.0,1988.0,1988.0,14165708,908,1,1976.0,1988.0
2001-05-15,1988.0,1988.0,1988.0,1988.0,3510017,225,2,1988.0,1988.0
2001-06-13,2087.0,2087.0,2087.0,2087.0,18787860,1147,4,1988.0,2087.0
2001-08-05,1657.0,1657.0,1657.0,1657.0,13000000,1000,1,2087.0,1657.0
2001-09-08,1740.0,1740.0,1740.0,1740.0,13650000,1000,1,1657.0,1740.0
2001-09-16,1826.0,1826.0,1826.0,1826.0,20709740,1445,4,1740.0,1826.0
2001-09-17,1826.0,1826.0,1826.0,1826.0,143320,10,1,1826.0,1826.0
2001-09-22,1826.0,1826.0,1826.0,1826.0,14332000,1000,1,1826.0,1826.0
2001-09-23,1827.0,1827.0,1827.0,1827.0,2637456,184,1,1826.0,1827.0
2001-09-24,1829.0,1835.0,1829.0,1835.0,13843600,962,6,1827.0,1835.0
2001-09-25,1835.0,1835.0,1835.0,1835.0,9448368,656,1,1835.0,1835.0
2001-10-23,1836.0,1836.0,1836.0,1836.0,2218832,154,1,1835.0,1836.0
2001-11-03,1838.0,1838.0,1838.0,1838.0,6649925,461,1,1836.0,1838.0
2001-11-07,1930.0,1930.0,1930.0,1930.0,454380000,30000,3,1838.0,1930.0
2001-12-08,2103.0,2103.0,2103.0,2103.0,16500000,1000,1,1930.0,2103.0
2002-01-01,2208.0,2208.0,2208.0,2208.0,22176000,1280,9,2103.0,2208.0
2002-01-08,2318.0,2318.0,2318.0,2318.0,17881753,983,2,2208.0,2318.0
2002-01-12,2434.0,2434.0,2434.0,2434.0,19864000,1040,2,2318.0,2434.0
2002-01-19,2556.0,2556.0,2556.0,2556.0,20095110,1002,4,2434.0,2556.0
2002-01-20,2683.0,2683.0,2683.0,2683.0,25836939,1227,6,2556.0,2683.0
2002-01-28,2818.0,2818.0,2818.0,2818.0,46649990,2110,7,2683.0,2818.0
2002-02-02,2958.0,2958.0,2958.0,2958.0,43061970,1855,5,2818.0,2958.0
2002-02-03,3105.0,3106.0,3105.0,3106.0,106731306,4379,9,2958.0,3106.0
2002-02-04,3106.0,3108.0,3106.0,3108.0,26814400,1100,4,3106.0,3108.0
2002-02-05,3186.0,3186.0,3186.0,3186.0,54176368,2167,5,3108.0,3186.0
2002-02-06,3346.0,3346.0,3346.0,3346.0,30479733,1161,4,3186.0,3346.0
2002-02-09,3513.0,3513.0,3513.0,3513.0,165803475,6015,21,3346.0,3513.0
2002-02-10,3513.0,3513.0,3513.0,3513.0,22024435,799,5,3513.0,3513.0
2002-02-12,3513.0,3513.0,3513.0,3513.0,17035170,618,4,3513.0,3513.0
2002-02-16,3513.0,3513.0,3513.0,3513.0,66156000,2400,9,3513.0,3513.0
2002-02-17,3513.0,3513.0,3513.0,3513.0,4961340,180,1,3513.0,3513.0
2002-02-18,3512.0,3517.0,3512.0,3517.0,151107532,5481,15,3513.0,3517.0
2002-02-24,3517.0,3517.0,3517.0,3517.0,106508032,3859,7,3517.0,3517.0
2002-02-25,3517.0,3518.0,3517.0,3518.0,46535019,1686,10,3517.0,3518.0
2002-02-27,3518.0,3518.0,3518.0,3518.0,66796840,2420,6,3518.0,3518.0
2002-03-10,3518.0,3518.0,3518.0,3518.0,16975845,615,1,3518.0,3518.0
2002-03-11,3518.0,3529.0,3518.0,3529.0,90182695,3261,10,3518.0,3529.0
2002-03-16,3538.0,3541.0,3538.0,3541.0,63869077,2299,9,3529.0,3541.0
2002-03-17,3669.0,3688.0,3669.0,3669.0,183944770,6383,18,3541.0,3669.0
2002-03-18,3669.0,3669.0,3669.0,3669.0,60465300,2100,11,3669.0,3669.0
2002-03-19,3670.0,3670.0,3669.0,3669.0,11460218,398,4,3669.0,3669.0
2002-03-27,3669.0,3669.0,3669.0,3669.0,6161916,214,5,3669.0,3669.0
2002-03-30,3669.0,3669.0,3669.0,3669.0,28390884,986,2,3669.0,3669.0
2002-03-31,3669.0,3670.0,3669.0,3670.0,33115800,1150,2,3669.0,3670.0
2002-04-07,3670.0,3670.0,3670.0,3670.0,3513600,122,1,3670.0,3670.0
2002-04-08,3670.0,3670.0,3670.0,3670.0,33235046,1154,2,3670.0,3670.0
2002-04-09,3670.0,3670.0,3670.0,3670.0,5299200,184,1,3670.0,3670.0
2002-04-13,3671.0,3671.0,3670.0,3670.0,100815252,3500,7,3670.0,3670.0
2002-04-14,3670.0,3672.0,3670.0,3672.0,448973277,15586,19,3670.0,3672.0
2002-04-15,3672.0,3672.0,3672.0,3672.0,48978700,1700,5,3672.0,3672.0
2002-04-16,3671.0,3671.0,3671.0,3671.0,11523200,400,1,3672.0,3671.0
2002-04-20,3670.0,3671.0,3670.0,3671.0,123844405,4300,10,3671.0,3671.0
2002-04-21,3671.0,3671.0,3671.0,3671.0,256183267,8893,6,3671.0,3671.0
2002-04-28,3677.0,3677.0,3677.0,3677.0,10616942,368,2,3671.0,3677.0
2002-04-29,3677.0,3677.0,3677.0,3677.0,18665950,647,1,3677.0,3677.0
2002-04-30,3677.0,3677.0,3677.0,3677.0,13271644,460,2,3677.0,3677.0
2002-05-04,3854.0,3854.0,3854.0,3854.0,33263650,1100,2,3677.0,3854.0
2002-05-05,3854.0,3854.0,3854.0,3854.0,19656050,650,4,3854.0,3854.0
2002-05-06,3854.0,3854.0,3854.0,3854.0,5201110,172,2,3854.0,3854.0
2002-05-07,3854.0,3854.0,3854.0,3854.0,28667720,948,6,3854.0,3854.0
2002-05-08,3950.0,3950.0,3950.0,3950.0,44324280,1430,6,3854.0,3950.0
2002-05-19,4049.0,4049.0,4049.0,4049.0,31770000,1000,3,3950.0,4049.0
2002-05-25,4251.0,4251.0,4251.0,4251.0,1289987118,38671,19,4049.0,4251.0
2002-05-28,4463.0,4463.0,4463.0,4463.0,93481725,2669,8,4251.0,4463.0
2002-05-29,4687.0,4687.0,4687.0,4687.0,1887233992,51317,83,4463.0,4687.0
2002-06-01,4804.0,4804.0,4804.0,4804.0,954625875,25325,39,4687.0,4804.0
2002-09-07,1529.0,1529.0,1529.0,1529.0,12000000,1000,1,4804.0,1529.0
2002-09-18,1453.0,1453.0,1453.0,1453.0,7432800,652,3,1529.0,1453.0
2002-09-22,1380.0,1380.0,1380.0,1380.0,32490000,3000,5,1453.0,1380.0
2002-10-20,1311.0,1311.0,1311.0,1311.0,10289000,1000,2,1380.0,1311.0
2002-10-21,1246.0,1246.0,1246.0,1246.0,6842500,700,1,1311.0,1246.0
2002-10-23,1184.0,1184.0,1184.0,1184.0,6500900,700,2,1246.0,1184.0
2002-10-26,1124.0,1124.0,1124.0,1124.0,52249806,5922,16,1184.0,1124.0
2002-10-27,1124.0,1124.0,1124.0,1124.0,47808839,5420,16,1124.0,1124.0
2002-10-28,1096.0,1124.0,1096.0,1124.0,1403453671,161415,26,1124.0,1124.0
2002-10-30,1124.0,1124.0,1124.0,1124.0,1587780,180,1,1124.0,1124.0
2002-11-02,1124.0,1124.0,1124.0,1124.0,57305237,6497,10,1124.0,1124.0
2002-11-04,1124.0,1134.0,1124.0,1134.0,74324871,8383,9,1124.0,1134.0
2002-11-06,1134.0,1134.0,1134.0,1134.0,8900000,1000,2,1134.0,1134.0
