date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,3180.0,3188.0,3180.0,3188.0,13320974,8371,9,3180.0,3188.0
2001-03-26,3178.0,3188.0,3178.0,3188.0,5958793,3748,5,3188.0,3188.0
2001-03-27,3186.0,3188.0,3180.0,3188.0,21908182,13774,15,3188.0,3188.0
2001-03-28,3178.0,3178.0,3178.0,3178.0,548205,345,1,3188.0,3178.0
2001-03-31,3102.0,3172.0,3066.0,3172.0,34589000,22370,13,3178.0,3172.0
2001-04-03,3160.0,3160.0,3060.0,3118.0,48122780,31276,23,3172.0,3118.0
2001-04-07,3064.0,3158.0,3040.0,3158.0,10342775,6715,8,3118.0,3158.0
2001-04-08,3044.0,3118.0,3040.0,3118.0,60687887,39894,17,3158.0,3118.0
2001-04-09,3040.0,3094.0,3040.0,3092.0,29297046,19200,11,3118.0,3092.0
2001-04-10,3086.0,3180.0,3040.0,3180.0,52108839,34038,27,3092.0,3180.0
2001-04-14,3160.0,3174.0,3160.0,3174.0,7435159,4699,8,3180.0,3174.0
2001-04-15,3144.0,3144.0,3120.0,3120.0,8928420,5708,4,3174.0,3120.0
2001-04-16,3064.0,3140.0,3064.0,3140.0,81060739,52270,39,3120.0,3140.0
2001-04-17,3138.0,3140.0,3088.0,3140.0,32093838,20500,18,3140.0,3140.0
2001-04-21,3130.0,3130.0,3070.0,3130.0,15386675,9878,14,3140.0,3130.0
2001-04-22,3116.0,3120.0,3114.0,3120.0,45392439,29123,45,3130.0,3120.0
2001-04-23,3080.0,3120.0,3080.0,3120.0,50997102,32770,26,3120.0,3120.0
2001-04-24,3120.0,3180.0,3120.0,3178.0,46747307,29505,29,3120.0,3178.0
2001-04-25,3178.0,3180.0,3120.0,3180.0,16541187,10410,10,3178.0,3180.0
2001-04-28,3200.0,3200.0,3180.0,3200.0,43432020,27190,14,3180.0,3200.0
2001-04-29,3200.0,3360.0,3200.0,3360.0,83076776,50118,23,3200.0,3360.0
2001-04-30,3362.0,3362.0,3300.0,3338.0,49350758,29564,16,3360.0,3338.0
2001-05-01,3300.0,3300.0,3300.0,3300.0,6600000,4000,1,3338.0,3300.0
2001-05-02,3202.0,3202.0,3196.0,3198.0,24065570,15044,14,3300.0,3198.0
2001-05-05,3100.0,3186.0,3098.0,3186.0,39964580,25757,15,3198.0,3186.0
2001-05-06,3182.0,3182.0,3182.0,3182.0,795500,500,1,3186.0,3182.0
2001-05-07,3156.0,3156.0,3104.0,3152.0,22143070,14154,20,3182.0,3152.0
2001-05-08,3138.0,3140.0,3100.0,3140.0,31374126,20089,25,3152.0,3140.0
2001-05-09,3100.0,3140.0,3080.0,3132.0,13461678,8649,17,3140.0,3132.0
2001-05-12,3082.0,3138.0,3062.0,3138.0,30929726,20073,25,3132.0,3138.0
2001-05-13,3120.0,3122.0,3060.0,3094.0,21954075,14227,18,3138.0,3094.0
2001-05-15,3040.0,3088.0,3000.0,3074.0,55677584,36538,26,3094.0,3074.0
2001-05-16,3038.0,3076.0,3002.0,3076.0,49495246,32540,31,3074.0,3076.0
2001-05-19,3082.0,3128.0,3080.0,3128.0,57227916,37046,31,3076.0,3128.0
2001-05-20,3126.0,3130.0,3080.0,3110.0,19659158,12640,11,3128.0,3110.0
2001-05-21,3060.0,3076.0,3040.0,3076.0,72252830,47441,18,3110.0,3076.0
2001-05-23,3072.0,3098.0,3072.0,3098.0,61856000,40250,20,3076.0,3098.0
2001-05-26,3098.0,3098.0,3040.0,3078.0,62796218,41012,35,3098.0,3078.0
2001-05-27,3040.0,3078.0,3008.0,3078.0,41099450,27106,31,3078.0,3078.0
2001-05-28,3078.0,3080.0,3040.0,3080.0,663122282,430627,23,3078.0,3080.0
2001-05-29,3060.0,3080.0,3040.0,3080.0,87238464,56879,37,3080.0,3080.0
2001-05-30,3060.0,3080.0,3058.0,3080.0,100981800,65995,22,3080.0,3080.0
2001-06-02,3056.0,3080.0,3054.0,3080.0,110241110,72086,32,3080.0,3080.0
2001-06-03,3080.0,3082.0,3000.0,3080.0,31896088,21002,22,3080.0,3080.0
2001-06-06,3078.0,3080.0,3078.0,3080.0,75505073,49057,24,3080.0,3080.0
2001-06-09,3080.0,3158.0,3080.0,3092.0,123245087,79281,31,3080.0,3092.0
2001-06-11,3102.0,3110.0,3098.0,3100.0,25066114,16139,11,3092.0,3100.0
2001-06-12,3100.0,3114.0,3098.0,3100.0,18133704,11677,17,3100.0,3100.0
2001-06-13,3096.0,3100.0,3024.0,3080.0,150414141,98063,50,3100.0,3080.0
2001-06-16,3080.0,3080.0,3042.0,3080.0,17120746,11158,20,3080.0,3080.0
2001-06-17,3080.0,3100.0,3080.0,3100.0,56658369,36708,21,3080.0,3100.0
2001-06-18,3158.0,3254.0,3098.0,3204.0,246988284,154320,69,3100.0,3204.0
2001-06-19,3248.0,3254.0,3176.0,3204.0,135589173,84608,49,3204.0,3204.0
2001-06-20,3204.0,3240.0,3200.0,3220.0,67794020,42090,20,3204.0,3220.0
2001-06-23,3250.0,3280.0,3208.0,3238.0,119079985,73697,43,3220.0,3238.0
2001-06-24,3220.0,3260.0,3220.0,3260.0,147302240,90953,43,3238.0,3260.0
2001-06-25,3242.0,3250.0,3238.0,3240.0,148667657,91715,31,3260.0,3240.0
2001-06-26,3244.0,3260.0,3244.0,3260.0,84669845,52049,24,3240.0,3260.0
2001-06-27,3280.0,3320.0,3262.0,3320.0,106033836,64469,31,3260.0,3320.0
2001-06-30,3340.0,3340.0,3320.0,3320.0,69315950,41583,26,3320.0,3320.0
2001-07-01,3318.0,3320.0,3278.0,3310.0,149342065,90294,38,3320.0,3310.0
2001-07-02,3308.0,3308.0,3230.0,3288.0,95712270,58996,40,3310.0,3288.0
2001-07-03,3280.0,3284.0,3230.0,3280.0,25172560,15409,17,3288.0,3280.0
