date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-12-27,528.0,528.0,512.0,512.0,2227479660000,139217460,2204,32.0,512.0
2011-12-28,521.0,535.0,513.0,524.0,234205358389,14319391,2998,512.0,532.0
2011-12-31,528.0,531.0,517.0,523.0,34583004566,2117526,725,524.0,522.0
2012-01-01,516.0,528.0,516.0,522.0,83062256630,5096513,990,523.0,522.0
2012-01-02,518.0,527.0,516.0,524.0,63987421142,3910093,694,522.0,527.0
2012-01-03,524.0,550.0,524.0,543.0,73081980677,4308991,859,524.0,550.0
2012-01-04,548.0,570.0,548.0,566.0,71887802323,4068942,627,543.0,570.0
2012-01-07,577.0,577.0,545.0,565.0,26984921160,1529885,268,566.0,570.0
2012-01-08,556.0,565.0,551.0,563.0,22829376682,1299569,182,565.0,559.0
2012-01-09,564.0,577.0,553.0,568.0,7802080822,440112,206,563.0,565.0
2012-01-10,553.0,577.0,553.0,568.0,15563164293,877927,184,568.0,565.0
2012-01-11,555.0,569.0,546.0,553.0,6864330716,397755,163,568.0,551.0
2012-01-15,554.0,560.0,546.0,556.0,4481120559,258057,90,553.0,557.0
2012-01-16,557.0,569.0,550.0,566.0,18576510642,1051260,126,556.0,554.0
2012-01-17,560.0,560.0,549.0,559.0,19107203678,1095660,137,566.0,556.0
2012-01-18,557.0,560.0,545.0,557.0,2630577513,151382,49,559.0,556.0
2012-01-21,548.0,560.0,545.0,553.0,3011385503,174525,68,557.0,551.0
2012-01-23,530.0,554.0,529.0,548.0,3839820038,224619,55,553.0,544.0
2012-01-25,532.0,544.0,522.0,537.0,3225686581,192237,77,548.0,544.0
2012-01-28,524.0,535.0,524.0,531.0,4371049159,263692,18,537.0,524.0
2012-01-29,545.0,557.0,526.0,551.0,5480970008,318462,53,531.0,532.0
2012-01-30,541.0,551.0,527.0,544.0,6342432769,373541,77,551.0,544.0
2012-01-31,544.0,544.0,526.0,542.0,1754058279,103635,29,544.0,544.0
2012-02-01,529.0,541.0,526.0,537.0,927280403,55330,26,542.0,541.0
2012-02-04,524.0,536.0,524.0,532.0,701543186,42260,24,537.0,535.0
2012-02-05,522.0,534.0,512.0,526.0,2743957145,167225,48,532.0,513.0
2012-02-06,519.0,527.0,510.0,525.0,1420050322,86653,32,526.0,525.0
2012-02-07,513.0,526.0,513.0,519.0,766832049,47309,23,525.0,513.0
2012-02-08,516.0,525.0,513.0,518.0,920080401,56921,35,519.0,525.0
2012-02-12,523.0,532.0,519.0,529.0,3810465717,230800,41,518.0,523.0
2012-02-13,514.0,528.0,514.0,528.0,7989367950,484282,89,529.0,526.0
2012-02-14,528.0,528.0,516.0,526.0,3192973326,194483,55,528.0,520.0
2012-02-15,520.0,528.0,505.0,522.0,2973326333,182602,74,526.0,518.0
2012-02-18,521.0,525.0,513.0,520.0,2544620798,156620,57,522.0,516.0
2012-02-19,524.0,528.0,512.0,520.0,1592406774,98030,38,520.0,516.0
2012-02-20,508.0,525.0,508.0,520.0,1277072171,78601,25,520.0,523.0
2012-02-21,521.0,525.0,519.0,523.0,638393663328,39093347,39,520.0,523.0
2012-02-22,506.0,525.0,506.0,516.0,629082195525,39024825,27,523.0,519.0
2012-02-25,519.0,519.0,519.0,519.0,300422160,18540,8,516.0,519.0
2012-02-26,512.0,520.0,512.0,516.0,741756868,46051,16,519.0,513.0
2012-02-27,520.0,527.0,520.0,524.0,3891509877,237667,63,516.0,522.0
