date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-02-05,144.0,144.0,144.0,144.0,70000000,20000,2,140.0,144.0
2012-02-07,140.0,140.0,140.0,140.0,6188000,1820,3,144.0,140.0
2012-02-08,140.0,140.0,140.0,140.0,5440000,1600,5,140.0,140.0
2012-04-29,140.0,140.0,140.0,140.0,34000000,10000,10,140.0,140.0
2013-11-25,41.0,41.0,41.0,41.0,383657000,383657,12,140.0,41.0
2013-12-25,41.0,41.0,41.0,41.0,73182000,73182,1,41.0,41.0
2013-12-30,41.0,41.0,41.0,41.0,1732840000,1732840,2,41.0,41.0
2014-01-14,45.0,45.0,45.0,45.0,4727950700,4298137,6,41.0,45.0
2014-09-29,45.0,45.0,45.0,45.0,1218637200,1107852,3,45.0,45.0
2015-01-07,45.0,45.0,45.0,45.0,7700000,7000,4,45.0,45.0
2015-01-14,29.0,29.0,29.0,29.0,4024280,5668,1,45.0,29.0
2015-01-18,41.0,41.0,41.0,41.0,5668000,5668,1,29.0,41.0
2015-03-01,41.0,41.0,41.0,41.0,200000000,200000,1,41.0,41.0
2015-05-17,21.0,21.0,21.0,21.0,1506000,3000,1,41.0,21.0
2015-07-21,29.0,29.0,29.0,29.0,2103000,3000,1,21.0,29.0
2016-01-05,29.0,29.0,29.0,29.0,4907000,7000,1,29.0,29.0
2016-01-06,29.0,29.0,29.0,29.0,4152400,5932,2,29.0,29.0
2016-01-09,29.0,29.0,29.0,29.0,700000,1000,1,29.0,29.0
2016-01-16,29.0,29.0,29.0,29.0,7140000,10200,1,29.0,29.0
2016-01-20,29.0,29.0,29.0,29.0,11980500,17115,1,29.0,29.0
2016-04-25,29.0,29.0,29.0,29.0,21000000,30000,3,29.0,29.0
2016-06-11,31.0,31.0,31.0,31.0,45000000,60000,2,29.0,31.0
2016-07-02,33.0,33.0,33.0,33.0,40040000,50000,2,31.0,33.0
2016-08-31,33.0,33.0,33.0,33.0,80000,100,1,33.0,33.0
2017-03-13,33.0,33.0,33.0,33.0,1215000,1500,1,33.0,33.0
2017-03-18,30.0,30.0,30.0,30.0,6196500,8500,2,33.0,30.0
2017-04-12,32.0,32.0,32.0,32.0,5390690,7010,1,30.0,32.0
2017-04-15,33.0,33.0,33.0,33.0,1620000,2000,1,32.0,33.0
2017-05-28,37.0,37.0,37.0,37.0,40051000,45009,2,33.0,37.0
2017-06-06,40.0,40.0,40.0,40.0,10777811,11009,3,37.0,40.0
2017-06-07,44.0,44.0,44.0,44.0,16140000,15000,1,40.0,44.0
