date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-10-10,2546.0,4989.0,1640.0,1784.0,3094296910,1765873,272,1018.0,1690.0
2011-10-11,1695.0,1695.0,1695.0,1695.0,104895000,63000,15,1784.0,1695.0
2011-10-12,1611.0,1611.0,1611.0,1611.0,75564230,47765,12,1695.0,1611.0
2011-10-23,1530.0,1530.0,1530.0,1530.0,30060,20,2,1611.0,1530.0
2011-10-24,1454.0,1454.0,1454.0,1454.0,3784200,2650,3,1530.0,1454.0
2011-10-25,1382.0,1382.0,1382.0,1382.0,13570,10,1,1454.0,1382.0
2011-10-26,1319.0,1381.0,1313.0,1320.0,802048304,618992,110,1382.0,1317.0
2011-10-29,1270.0,1271.0,1257.0,1266.0,232850000,187360,43,1320.0,1257.0
2011-10-30,1205.0,1237.0,1203.0,1216.0,402278898,336917,48,1266.0,1232.0
2011-10-31,1196.0,1196.0,1159.0,1170.0,122415950,106545,33,1216.0,1171.0
2011-11-01,1120.0,1171.0,1112.0,1118.0,217179960,197845,58,1170.0,1169.0
2011-11-02,1140.0,1173.0,1140.0,1163.0,176160588,154213,26,1118.0,1173.0
2011-11-05,1221.0,1221.0,1221.0,1221.0,40766000,34000,4,1163.0,1221.0
2011-11-06,1271.0,1271.0,1161.0,1222.0,403616633,336252,51,1221.0,1192.0
2011-11-09,1161.0,1207.0,1161.0,1163.0,310209075,271555,40,1222.0,1207.0
2011-11-12,1164.0,1191.0,1151.0,1167.0,114717915,100095,25,1163.0,1161.0
2011-11-13,1110.0,1114.0,1110.0,1113.0,45548705,41685,9,1167.0,1113.0
2011-11-14,1111.0,1111.0,1060.0,1081.0,110431491,104000,21,1113.0,1079.0
2011-11-16,1088.0,1088.0,1059.0,1061.0,129252342,124000,30,1081.0,1059.0
2011-11-19,1110.0,1110.0,1069.0,1072.0,196719284,186899,33,1061.0,1098.0
2011-11-20,1099.0,1125.0,1099.0,1120.0,248828995,226270,46,1072.0,1125.0
2011-11-21,1140.0,1140.0,1069.0,1113.0,106666012,97595,40,1120.0,1079.0
2011-11-22,1079.0,1100.0,1058.0,1078.0,192239518,181542,27,1113.0,1058.0
