date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-27,80.0,80.0,79.0,80.0,17662876,11546,14,80.0,80.0
2001-03-28,80.0,80.0,80.0,80.0,1534000,1000,1,80.0,80.0
2001-04-08,80.0,80.0,80.0,80.0,6005610,3915,2,80.0,80.0
2001-04-10,80.0,80.0,80.0,80.0,4141800,2700,1,80.0,80.0
2001-04-11,80.0,81.0,80.0,81.0,13006850,8455,4,80.0,81.0
2001-04-14,84.0,84.0,84.0,84.0,3210560,2000,5,81.0,84.0
2001-04-15,84.0,84.0,84.0,84.0,48300,30,1,84.0,84.0
2001-04-16,84.0,84.0,84.0,84.0,885500,550,1,84.0,84.0
2001-04-17,84.0,84.0,84.0,84.0,643600,400,2,84.0,84.0
2001-04-21,84.0,84.0,84.0,84.0,3947410,2452,5,84.0,84.0
2001-04-22,86.0,88.0,86.0,88.0,4682000,2800,8,84.0,88.0
2001-04-23,88.0,93.0,88.0,93.0,7093620,4098,2,88.0,93.0
2001-04-29,93.0,93.0,93.0,93.0,14955357,8422,10,93.0,93.0
2001-04-30,92.0,93.0,92.0,92.0,7835974,4419,5,93.0,92.0
2001-05-15,91.0,91.0,91.0,91.0,262500,150,2,92.0,91.0
2001-05-16,91.0,91.0,91.0,91.0,3969000,2268,3,91.0,91.0
2001-05-20,91.0,91.0,91.0,91.0,5141006,2943,5,91.0,91.0
2001-05-26,91.0,91.0,91.0,91.0,9542500,5500,7,91.0,91.0
2001-06-02,73.0,73.0,73.0,73.0,7144200,5103,3,91.0,73.0
2001-06-03,73.0,73.0,73.0,73.0,11256220,8098,3,73.0,73.0
2001-06-11,73.0,73.0,73.0,73.0,19820010,14259,8,73.0,73.0
2001-06-16,73.0,73.0,73.0,73.0,8909900,6410,4,73.0,73.0
2001-06-17,73.0,73.0,73.0,73.0,1355940,972,2,73.0,73.0
2001-06-18,73.0,73.0,73.0,73.0,4990100,3590,2,73.0,73.0
2001-06-20,73.0,73.0,73.0,73.0,2481150,1785,1,73.0,73.0
2001-06-24,73.0,73.0,73.0,73.0,4007450,2885,5,73.0,73.0
2001-06-26,73.0,73.0,73.0,73.0,1130070,813,1,73.0,73.0
2001-06-27,73.0,73.0,73.0,73.0,24741865,17791,9,73.0,73.0
2001-06-30,73.0,73.0,73.0,73.0,2282380,1642,4,73.0,73.0
2001-07-01,73.0,73.0,73.0,73.0,18371630,13217,3,73.0,73.0
2001-07-02,73.0,73.0,73.0,73.0,1666610,1199,3,73.0,73.0
2001-07-14,73.0,73.0,73.0,73.0,2584450,1850,1,73.0,73.0
2001-07-16,73.0,73.0,73.0,73.0,2590038,1854,1,73.0,73.0
2001-08-14,63.0,63.0,63.0,63.0,1200000,1000,1,73.0,63.0
2001-08-22,63.0,63.0,63.0,63.0,6939204,5750,10,63.0,63.0
2001-08-25,63.0,63.0,63.0,63.0,1755950,1450,1,63.0,63.0
2001-08-28,64.0,64.0,64.0,64.0,9509696,7787,6,63.0,64.0
2001-08-29,64.0,67.0,64.0,67.0,6603250,5375,6,64.0,67.0
2001-09-03,65.0,67.0,65.0,67.0,1619770,1270,5,67.0,67.0
2001-09-08,67.0,67.0,67.0,67.0,5523607,4277,4,67.0,67.0
2001-09-09,71.0,71.0,71.0,71.0,3387500,2500,1,67.0,71.0
2001-09-10,71.0,73.0,71.0,73.0,8277832,5926,4,71.0,73.0
2001-09-12,74.0,74.0,74.0,74.0,3166348,2224,3,73.0,74.0
2001-09-15,75.0,75.0,75.0,75.0,1432000,1000,1,74.0,75.0
2001-09-19,75.0,75.0,75.0,75.0,1432000,1000,4,75.0,75.0
2001-09-23,75.0,75.0,75.0,75.0,432000,300,1,75.0,75.0
2001-09-24,75.0,75.0,75.0,75.0,13767840,9561,1,75.0,75.0
2001-09-26,75.0,76.0,75.0,75.0,38615277,26785,14,75.0,75.0
2001-09-30,75.0,75.0,75.0,75.0,4938850,3425,1,75.0,75.0
2001-10-02,75.0,75.0,75.0,75.0,14571410,10105,3,75.0,75.0
2001-10-07,75.0,75.0,75.0,75.0,1528540,1060,3,75.0,75.0
2001-10-20,75.0,75.0,75.0,75.0,3280320,2278,5,75.0,75.0
2001-10-22,75.0,75.0,75.0,75.0,626400,435,1,75.0,75.0
2001-10-24,75.0,75.0,73.0,73.0,13017910,9112,17,75.0,73.0
2001-10-30,73.0,73.0,73.0,73.0,3568600,2549,2,73.0,73.0
2001-11-04,73.0,73.0,73.0,73.0,1400000,1000,1,73.0,73.0
2001-11-05,73.0,73.0,73.0,73.0,749864,536,1,73.0,73.0
2001-11-06,73.0,73.0,72.0,72.0,13909000,10000,7,73.0,72.0
2001-11-07,72.0,72.0,72.0,72.0,587216,428,2,72.0,72.0
2001-11-12,72.0,72.0,72.0,72.0,5488000,4000,2,72.0,72.0
2001-11-13,72.0,72.0,72.0,72.0,5787096,4218,3,72.0,72.0
2001-11-17,70.0,70.0,70.0,70.0,10694915,7985,3,72.0,70.0
2001-11-18,70.0,70.0,70.0,70.0,20085,15,1,70.0,70.0
2001-11-20,70.0,70.0,70.0,70.0,1339000,1000,2,70.0,70.0
2001-11-24,70.0,70.0,70.0,70.0,11445619,8547,10,70.0,70.0
2001-11-26,70.0,70.0,70.0,70.0,2308240,1720,3,70.0,70.0
2001-11-27,70.0,70.0,70.0,70.0,3909246,2913,3,70.0,70.0
2001-11-28,70.0,70.0,70.0,70.0,3603269,2683,2,70.0,70.0
2001-12-01,70.0,70.0,70.0,70.0,1212729,903,1,70.0,70.0
2001-12-09,70.0,70.0,70.0,70.0,1347000,1000,5,70.0,70.0
2001-12-10,73.0,73.0,70.0,70.0,10403600,7469,6,70.0,70.0
2001-12-17,70.0,70.0,70.0,70.0,2456928,1824,5,70.0,70.0
2001-12-18,70.0,70.0,70.0,70.0,10548357,7831,3,70.0,70.0
2001-12-19,70.0,70.0,70.0,70.0,2705470000,2010000,2,70.0,70.0
2001-12-24,70.0,70.0,70.0,70.0,6735000,5000,1,70.0,70.0
2001-12-25,70.0,70.0,70.0,70.0,3600750,2675,3,70.0,70.0
2001-12-26,70.0,70.0,70.0,70.0,67300,50,2,70.0,70.0
2001-12-29,68.0,68.0,68.0,68.0,14307000,11000,3,70.0,68.0
2001-12-30,68.0,69.0,68.0,69.0,13100000,10000,2,68.0,69.0
2002-01-06,68.0,68.0,68.0,68.0,5196000,4000,1,69.0,68.0
2002-01-07,68.0,68.0,68.0,68.0,25980,20,1,68.0,68.0
2002-01-08,65.0,65.0,65.0,65.0,3753000,3000,3,68.0,65.0
2002-01-12,65.0,65.0,65.0,65.0,7642359,6109,7,65.0,65.0
2002-01-15,65.0,65.0,65.0,65.0,2840927,2268,2,65.0,65.0
2002-01-20,65.0,65.0,65.0,65.0,1253000,1000,1,65.0,65.0
2002-01-21,66.0,66.0,65.0,65.0,2141540,1708,2,65.0,65.0
2002-01-22,65.0,65.0,65.0,65.0,1252000,1000,1,65.0,65.0
2002-01-23,65.0,65.0,65.0,65.0,3756000,3000,4,65.0,65.0
2002-01-27,65.0,65.0,65.0,65.0,2502000,2000,1,65.0,65.0
2002-01-28,65.0,65.0,65.0,65.0,1625000,1300,2,65.0,65.0
2002-01-30,65.0,65.0,65.0,65.0,2500000,2000,3,65.0,65.0
2002-02-02,65.0,65.0,65.0,65.0,2500000,2000,2,65.0,65.0
