date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-27,55.0,55.0,55.0,55.0,3670992,1332,1,55.0,55.0
2001-06-27,54.0,54.0,54.0,54.0,2755000,1000,1,55.0,54.0
2001-06-30,55.0,55.0,55.0,55.0,225840420,81945,43,54.0,55.0
2001-07-01,57.0,57.0,55.0,57.0,210823189,72973,59,55.0,57.0
2001-07-02,57.0,57.0,57.0,57.0,67441776,23304,19,57.0,57.0
2001-07-07,57.0,57.0,57.0,57.0,30087735,10393,8,57.0,57.0
2001-07-08,57.0,57.0,57.0,57.0,396615,137,1,57.0,57.0
2001-07-31,36.0,36.0,36.0,36.0,1800000,1000,1,57.0,36.0
2001-09-08,37.0,37.0,37.0,37.0,1134000,600,1,36.0,37.0
2001-10-22,37.0,37.0,37.0,37.0,15914656,8416,7,37.0,37.0
2001-10-23,39.0,39.0,39.0,39.0,86927120,43792,32,37.0,39.0
2001-10-27,39.0,39.0,39.0,39.0,1985000,1000,1,39.0,39.0
2001-11-10,40.0,40.0,40.0,40.0,2000000,1000,1,39.0,40.0
2002-01-22,24.0,24.0,24.0,24.0,1200000,1000,1,40.0,24.0
2002-02-26,25.0,25.0,25.0,25.0,1058400,840,1,24.0,25.0
2002-02-27,26.0,26.0,26.0,26.0,661500,500,1,25.0,26.0
2002-03-06,27.0,27.0,27.0,27.0,277800,200,2,26.0,27.0
2002-05-27,29.0,29.0,29.0,29.0,291600,200,1,27.0,29.0
2002-06-22,30.0,30.0,30.0,30.0,765000,500,1,29.0,30.0
2002-06-23,32.0,32.0,31.0,31.0,177972454,110837,49,30.0,31.0
2002-06-24,33.0,33.0,33.0,33.0,1646000,1000,1,31.0,33.0
2002-07-03,34.0,34.0,33.0,33.0,4089798,2434,2,33.0,33.0
2002-07-09,33.0,33.0,33.0,33.0,823000,500,1,33.0,33.0
2002-07-17,24.0,24.0,24.0,24.0,600000,500,1,33.0,24.0
2002-08-17,24.0,24.0,24.0,24.0,600000,500,1,24.0,24.0
2002-09-07,24.0,24.0,24.0,24.0,389120340,316358,110,24.0,24.0
2002-09-08,24.0,24.0,24.0,24.0,62547960,50852,24,24.0,24.0
2002-09-11,24.0,24.0,24.0,24.0,34213680,27816,12,24.0,24.0
2003-03-16,25.0,25.0,25.0,25.0,100323440,80906,36,24.0,25.0
2003-03-17,25.0,25.0,25.0,25.0,111831880,90187,25,25.0,25.0
2003-03-18,25.0,25.0,25.0,25.0,109182000,88050,24,25.0,25.0
2003-03-19,25.0,25.0,25.0,25.0,142510720,114928,32,25.0,25.0
2003-03-26,25.0,25.0,25.0,25.0,151927280,122522,37,25.0,25.0
2003-03-30,25.0,25.0,25.0,25.0,223800160,180484,59,25.0,25.0
2003-04-27,25.0,25.0,25.0,25.0,125200,100,2,25.0,25.0
2003-04-28,25.0,25.0,25.0,25.0,202237472,159998,62,25.0,25.0
2003-05-27,25.0,25.0,25.0,25.0,9656960,7640,3,25.0,25.0
2003-06-14,26.0,26.0,26.0,26.0,663500,500,1,25.0,26.0
2003-12-22,22.0,22.0,22.0,22.0,374000,340,1,26.0,22.0
2004-03-10,21.0,21.0,21.0,21.0,183920000,176000,7,22.0,21.0
2004-04-10,21.0,21.0,21.0,21.0,56200,54,2,21.0,21.0
2004-05-03,22.0,22.0,21.0,21.0,3315010,3025,2,21.0,21.0
2004-05-16,22.0,22.0,22.0,22.0,605617137,546093,172,21.0,22.0
2004-06-02,23.0,23.0,23.0,23.0,175860612,151083,60,22.0,23.0
2004-06-27,23.0,23.0,23.0,23.0,121677576,104534,52,23.0,23.0
2004-06-30,23.0,23.0,23.0,23.0,23170584,19906,8,23.0,23.0
2004-07-11,23.0,23.0,23.0,23.0,13312668,11437,4,23.0,23.0
2004-08-08,24.0,24.0,24.0,24.0,79200,66,2,23.0,24.0
2004-10-10,24.0,24.0,24.0,24.0,519560400,432967,44,24.0,24.0
2004-11-01,24.0,24.0,24.0,24.0,120312450,97815,10,24.0,24.0
2004-11-09,26.0,26.0,24.0,24.0,657820,510,2,24.0,24.0
2004-11-10,23.0,26.0,23.0,25.0,26788602,20792,5,24.0,25.0
2004-11-13,24.0,25.0,24.0,25.0,6132590,5010,2,25.0,25.0
2004-11-20,25.0,25.0,25.0,25.0,2548216,2024,2,25.0,25.0
2004-11-23,24.0,25.0,24.0,25.0,1209530,1010,2,25.0,25.0
2004-11-24,25.0,25.0,25.0,25.0,979846,782,1,25.0,25.0
2004-11-28,25.0,25.0,25.0,25.0,250600000,200000,11,25.0,25.0
2004-11-30,26.0,26.0,25.0,25.0,8218470,6250,2,25.0,25.0
2004-12-18,25.0,25.0,25.0,25.0,23728419,18437,2,25.0,25.0
2005-09-05,20.0,20.0,20.0,20.0,500000,500,1,25.0,20.0
2005-09-10,20.0,20.0,20.0,20.0,46152000,46152,11,20.0,20.0
2005-09-11,20.0,20.0,20.0,20.0,185935000,185935,22,20.0,20.0
2005-09-12,20.0,20.0,20.0,20.0,26361132,26368,6,20.0,20.0
2005-09-18,20.0,20.0,20.0,20.0,16236000,16236,3,20.0,20.0
2005-09-19,20.0,20.0,20.0,20.0,22235000,22235,4,20.0,20.0
2005-10-09,20.0,20.0,20.0,20.0,13276000,13276,3,20.0,20.0
2005-10-11,20.0,20.0,20.0,20.0,12680000,12680,3,20.0,20.0
2005-10-19,20.0,20.0,20.0,20.0,11916000,11916,3,20.0,20.0
2005-11-01,20.0,20.0,20.0,20.0,6960000,6960,4,20.0,20.0
2006-01-23,20.0,20.0,20.0,20.0,7108000,7108,1,20.0,20.0
2006-04-04,19.0,20.0,19.0,20.0,6730710,6868,3,20.0,20.0
2006-04-17,20.0,20.0,20.0,20.0,3203500,3210,2,20.0,20.0
2006-04-19,20.0,20.0,20.0,20.0,3168000,3200,1,20.0,20.0
2006-05-01,20.0,20.0,20.0,20.0,1624294,1626,2,20.0,20.0
2006-05-16,19.0,19.0,19.0,19.0,33454659,34383,7,20.0,19.0
2006-05-17,19.0,19.0,19.0,19.0,18351360,19116,6,19.0,19.0
2006-05-29,19.0,19.0,19.0,19.0,8096790,8568,3,19.0,19.0
2006-05-31,19.0,19.0,19.0,19.0,28959650,30010,4,19.0,19.0
2006-06-10,19.0,19.0,19.0,19.0,10014366,10586,3,19.0,19.0
2006-06-12,18.0,18.0,18.0,18.0,9299300,10010,3,19.0,18.0
2006-06-13,18.0,18.0,18.0,18.0,5729254,6282,4,18.0,18.0
2007-07-31,18.0,18.0,18.0,18.0,890000,1000,1,18.0,18.0
2007-08-01,17.0,18.0,17.0,18.0,97088846,111212,3,18.0,18.0
2007-08-04,17.0,17.0,17.0,17.0,97348754,111002,12,18.0,17.0
2007-08-05,17.0,17.0,17.0,17.0,324303338,369366,2,17.0,17.0
2007-08-06,17.0,17.0,17.0,17.0,660482524,752258,13,17.0,17.0
2007-09-25,10.0,17.0,10.0,16.0,812640,1010,3,17.0,16.0
2007-10-21,16.0,16.0,16.0,16.0,804000,1000,1,16.0,16.0
2007-10-29,16.0,16.0,16.0,16.0,5101380,6345,3,16.0,16.0
2007-10-30,16.0,16.0,16.0,16.0,18639936,23184,7,16.0,16.0
2007-12-04,16.0,16.0,16.0,16.0,40400600,51140,6,16.0,16.0
2008-07-21,10.0,10.0,10.0,10.0,13449210,26371,7,16.0,10.0
2008-07-23,10.0,10.0,10.0,10.0,5262322,10238,3,10.0,10.0
2008-10-07,10.0,10.0,10.0,10.0,196802468,385816,10,10.0,10.0
2008-10-12,10.0,10.0,10.0,10.0,329216,643,1,10.0,10.0
2009-02-14,10.0,10.0,10.0,10.0,5814272,11356,3,10.0,10.0
2009-07-19,10.0,10.0,10.0,10.0,3076956,6057,4,10.0,10.0
2009-08-09,10.0,10.0,10.0,10.0,52300,100,1,10.0,10.0
2009-08-10,11.0,11.0,11.0,11.0,16086200,29900,13,10.0,11.0
2009-08-31,11.0,11.0,11.0,11.0,55400,100,1,11.0,11.0
2009-11-02,11.0,11.0,11.0,11.0,854430,1499,1,11.0,11.0
2009-12-09,12.0,12.0,12.0,12.0,17298341,29369,9,11.0,12.0
2010-01-30,12.0,12.0,12.0,12.0,16722531,27459,3,12.0,12.0
2010-01-31,13.0,13.0,13.0,12.0,2520000,4000,2,12.0,13.0
2010-02-03,13.0,13.0,13.0,12.0,2701728,4248,1,12.0,13.0
2010-03-10,13.0,13.0,13.0,13.0,119734959,186213,11,12.0,13.0
2010-05-05,13.0,13.0,13.0,13.0,66500,100,1,13.0,13.0
2010-07-04,13.0,13.0,13.0,13.0,359384,538,1,13.0,13.0
2010-07-05,13.0,13.0,13.0,13.0,2144814,3206,3,13.0,13.0
2012-01-31,13.0,13.0,13.0,13.0,2884492,4267,1,13.0,13.0
2012-03-04,14.0,14.0,14.0,13.0,1197684,1751,1,13.0,14.0
2012-03-05,14.0,14.0,14.0,14.0,15506964,22572,12,13.0,14.0
2012-05-27,27.0,29.0,27.0,28.0,4906302,3502,2,14.0,29.0
2012-07-01,29.0,29.0,29.0,28.0,5874624,4032,2,28.0,29.0
2012-07-09,29.0,29.0,29.0,29.0,222647700,151050,6,28.0,29.0
2012-07-23,29.0,29.0,29.0,29.0,11740,10,1,29.0,29.0
2012-07-29,28.0,28.0,28.0,29.0,1128000,1000,1,29.0,28.0
2012-07-31,29.0,29.0,29.0,29.0,1174,1,1,29.0,29.0
2012-09-22,29.0,29.0,29.0,29.0,871160,751,1,29.0,29.0
2012-11-06,28.0,29.0,28.0,29.0,8178882,7072,2,29.0,29.0
2012-11-21,29.0,29.0,29.0,29.0,464037,399,1,29.0,29.0
2012-12-05,29.0,29.0,29.0,29.0,8709707,7489,3,29.0,29.0
2012-12-16,28.0,28.0,28.0,28.0,19466616,17412,11,29.0,28.0
2013-01-08,28.0,0.0,0.0,28.0,565708,506,1,28.0,28.0
2013-01-23,28.0,28.0,28.0,28.0,2641834,2363,2,28.0,28.0
2013-02-06,27.0,27.0,27.0,28.0,967500,900,1,28.0,27.0
2013-06-26,29.0,29.0,29.0,28.0,2992538,2582,1,28.0,29.0
2013-08-28,29.0,29.0,29.0,29.0,10179741,8723,1,28.0,29.0
2013-09-03,30.0,30.0,30.0,30.0,10450154,8723,1,29.0,30.0
2013-11-03,31.0,31.0,31.0,31.0,15350210,12490,1,30.0,31.0
2013-11-17,32.0,32.0,32.0,31.0,2091000,1640,1,31.0,32.0
2013-12-14,32.0,32.0,32.0,32.0,10760400,8400,1,31.0,32.0
2014-01-05,33.0,33.0,33.0,32.0,118170,90,1,32.0,33.0
2015-11-01,32.0,32.0,32.0,32.0,14854068,26337,3,32.0,32.0
2015-11-04,32.0,32.0,32.0,32.0,2842560,5040,3,32.0,32.0
2015-11-23,32.0,32.0,32.0,32.0,4651308,8247,4,32.0,32.0
2015-11-25,32.0,32.0,32.0,32.0,5201208,9222,2,32.0,32.0
2016-01-31,32.0,32.0,32.0,32.0,31490376,55834,13,32.0,32.0
2016-02-16,32.0,32.0,32.0,32.0,3154452,5593,1,32.0,32.0
2016-02-21,32.0,32.0,32.0,32.0,3880884,6881,1,32.0,32.0
2016-03-01,32.0,32.0,32.0,32.0,138425,245,1,32.0,32.0
2016-04-26,32.0,32.0,32.0,32.0,139895,245,1,32.0,32.0
2016-08-24,32.0,32.0,32.0,32.0,35784,63,1,32.0,32.0
2016-08-31,32.0,32.0,32.0,32.0,124960,220,1,32.0,32.0
2016-11-14,32.0,32.0,32.0,32.0,443040,780,1,32.0,32.0
2016-11-16,32.0,32.0,32.0,32.0,2193048,3861,3,32.0,32.0
2016-11-19,32.0,32.0,32.0,32.0,1600056,2817,2,32.0,32.0
2017-03-25,35.0,35.0,35.0,35.0,1057056,1694,4,32.0,35.0
2017-03-28,39.0,39.0,39.0,39.0,754600,1100,1,35.0,39.0
2017-04-16,43.0,43.0,43.0,43.0,7540000,10000,4,39.0,43.0
2017-04-23,47.0,47.0,47.0,47.0,9201900,11100,3,43.0,47.0
2017-07-19,52.0,52.0,52.0,52.0,1543234,1694,1,47.0,52.0
2017-10-15,78.0,78.0,78.0,56.0,2390500,1750,1,52.0,78.0
2017-12-04,83.0,83.0,83.0,83.0,81729432,55674,3,56.0,83.0
2018-01-08,92.0,92.0,92.0,92.0,100198734,62081,3,83.0,92.0
2018-01-10,101.0,101.0,101.0,101.0,98414875,55445,3,92.0,101.0
2018-01-13,111.0,111.0,111.0,111.0,101888544,52197,3,101.0,111.0
2018-01-15,122.0,122.0,122.0,122.0,5133629437,2391071,126,111.0,122.0
2018-01-16,134.0,134.0,134.0,134.0,3097117302,1311782,79,122.0,134.0
2018-01-17,147.0,147.0,147.0,147.0,1539161393,592669,18,134.0,147.0
2018-01-23,162.0,162.0,162.0,162.0,446695536,156406,11,147.0,162.0
2018-01-30,178.0,178.0,178.0,178.0,785250000,250000,10,162.0,178.0
2018-03-05,196.0,196.0,196.0,196.0,842422285,243827,14,178.0,196.0
2018-03-27,216.0,216.0,216.0,216.0,266000000,70000,3,196.0,216.0
2018-04-04,237.0,237.0,237.0,237.0,1030541380,246541,8,216.0,237.0
2018-04-08,261.0,261.0,260.0,261.0,10777741255,2344148,380,237.0,261.0
2018-04-10,287.0,287.0,287.0,287.0,1628601793,322049,70,261.0,287.0
2018-04-11,316.0,316.0,316.0,316.0,3862408536,694428,62,287.0,316.0
2018-04-16,363.0,403.0,363.0,365.0,1889248685,293725,29,316.0,403.0
2018-04-18,363.0,363.0,363.0,363.0,14438400,2256,4,365.0,363.0
2018-04-21,363.0,363.0,255.0,256.0,451024000,100160,5,363.0,255.0
2018-04-23,267.0,267.0,261.0,267.0,1083938100,230741,60,256.0,261.0
2018-04-28,226.0,226.0,226.0,226.0,50373750,12625,3,267.0,226.0
2018-05-05,226.0,226.0,226.0,226.0,798000,200,1,226.0,226.0
2018-05-07,226.0,226.0,204.0,205.0,73197000,20300,2,226.0,204.0
2018-05-09,205.0,205.0,205.0,205.0,21636000,6000,2,205.0,205.0
2018-05-12,187.0,187.0,187.0,187.0,41250000,12500,6,205.0,187.0
2018-05-14,187.0,187.0,184.0,185.0,177075100,54362,11,187.0,184.0
2018-05-16,187.0,227.0,187.0,188.0,361108499,108780,33,185.0,227.0
2018-05-19,189.0,189.0,189.0,189.0,19980000,6000,2,188.0,189.0
2018-05-21,199.0,199.0,199.0,199.0,164150000,46900,17,189.0,199.0
2018-05-23,199.0,199.0,199.0,199.0,37100000,10600,4,199.0,199.0
2018-05-26,204.0,204.0,204.0,204.0,251078400,69744,10,199.0,204.0
2018-05-28,216.0,216.0,216.0,216.0,568650799,149599,18,204.0,216.0
2018-05-30,182.0,182.0,182.0,182.0,34205886,10686,5,216.0,182.0
2018-06-02,204.0,204.0,204.0,204.0,100080000,27800,1,182.0,204.0
2018-06-09,204.0,204.0,204.0,204.0,40892400,11359,4,204.0,204.0
2018-06-11,211.0,211.0,211.0,211.0,7049400,1895,3,204.0,211.0
2018-06-13,227.0,230.0,227.0,228.0,102249600,25432,6,211.0,230.0
2018-06-18,238.0,238.0,238.0,238.0,218400000,52000,7,228.0,238.0
2018-06-20,259.0,265.0,259.0,260.0,308958740,67522,6,238.0,265.0
2018-06-25,312.0,312.0,312.0,312.0,1737461000,315902,28,260.0,312.0
2018-06-27,312.0,312.0,312.0,312.0,1457500,265,1,312.0,312.0
2018-06-30,312.0,312.0,284.0,284.0,5006500,1001,2,312.0,284.0
2018-07-04,284.0,284.0,284.0,284.0,7731546,1546,5,284.0,284.0
2018-07-11,284.0,284.0,284.0,284.0,2500500,500,1,284.0,284.0
2018-08-01,284.0,284.0,284.0,284.0,2510502,502,2,284.0,284.0
2018-08-04,284.0,284.0,284.0,284.0,16093218,3218,3,284.0,284.0
2018-08-06,284.0,284.0,284.0,284.0,2300460,460,2,284.0,284.0
2018-08-08,284.0,284.0,284.0,284.0,1000200,200,1,284.0,284.0
2018-08-13,284.0,284.0,284.0,284.0,2505000,501,2,284.0,284.0
2018-08-15,284.0,284.0,284.0,284.0,3279344,656,2,284.0,284.0
2018-08-18,255.0,255.0,255.0,255.0,36760500,8169,3,284.0,255.0
2018-08-20,255.0,255.0,255.0,255.0,4522500,1005,3,255.0,255.0
2018-08-25,256.0,256.0,256.0,256.0,34506010,7651,4,255.0,256.0
2018-08-29,282.0,282.0,282.0,257.0,24805000,5000,1,256.0,282.0
2018-09-01,283.0,283.0,283.0,283.0,9443484,1894,19,257.0,283.0
2018-09-03,311.0,311.0,311.0,311.0,137100000,25000,4,283.0,311.0
2018-09-12,342.0,342.0,342.0,342.0,109547152,18161,6,311.0,342.0
2018-09-18,377.0,377.0,377.0,377.0,160076010,24126,5,342.0,377.0
2018-09-22,414.0,414.0,414.0,414.0,7298,1,1,377.0,414.0
2018-09-29,456.0,456.0,456.0,456.0,137036944,17072,7,414.0,456.0
2018-10-02,501.0,501.0,501.0,501.0,994011665,112585,31,456.0,501.0
2018-10-03,551.0,551.0,551.0,551.0,677779245,69795,22,501.0,551.0
2018-10-06,606.0,606.0,556.0,605.0,778812236,73039,44,551.0,606.0
2018-10-07,666.0,666.0,666.0,666.0,106692246,9098,5,605.0,666.0
2018-10-14,732.0,732.0,732.0,732.0,1704396466,132134,37,666.0,732.0
2018-10-15,805.0,805.0,761.0,795.0,2602533810,185723,73,732.0,761.0
2018-10-16,823.0,823.0,716.0,728.0,177588864,13838,16,795.0,716.0
2018-10-28,656.0,656.0,656.0,656.0,60013800,5196,42,728.0,656.0
2018-10-29,590.0,590.0,590.0,590.0,65114280,6264,51,656.0,590.0
2018-10-31,531.0,531.0,531.0,531.0,109081604,11659,62,590.0,531.0
2018-11-03,478.0,478.0,478.0,478.0,47048127,5587,43,531.0,478.0
2018-11-04,430.0,430.0,430.0,430.0,8844693,1167,5,478.0,430.0
2018-11-05,473.0,520.0,473.0,513.0,725538729,80228,30,430.0,520.0
2018-11-06,565.0,565.0,565.0,565.0,97699434,9822,9,513.0,565.0
2018-11-10,621.0,621.0,595.0,621.0,734963571,67187,69,565.0,621.0
2018-11-11,683.0,683.0,568.0,658.0,628207917,54172,86,621.0,661.0
2018-11-13,661.0,661.0,607.0,624.0,64860726,5898,10,658.0,607.0
2018-11-14,562.0,624.0,562.0,563.0,610251718,61468,92,624.0,562.0
2018-11-17,607.0,607.0,511.0,515.0,186420402,20532,22,563.0,511.0
2018-11-18,477.0,482.0,464.0,465.0,493766017,60226,49,515.0,464.0
2018-11-19,511.0,511.0,442.0,472.0,410799363,49432,58,465.0,477.0
2018-11-20,477.0,518.0,460.0,470.0,73180650,8836,15,472.0,471.0
2018-11-21,488.0,517.0,488.0,515.0,572712782,63122,35,470.0,517.0
2018-11-24,562.0,562.0,522.0,530.0,140551453,15058,22,515.0,522.0
2018-11-26,573.0,573.0,477.0,505.0,440467809,49535,54,530.0,477.0
2018-11-27,461.0,555.0,454.0,528.0,904303100,97237,105,505.0,555.0
2018-11-28,580.0,581.0,568.0,579.0,552073767,54076,75,528.0,581.0
2018-12-01,637.0,637.0,582.0,620.0,709019935,64948,77,579.0,629.0
2018-12-02,681.0,682.0,624.0,659.0,456122035,39279,67,620.0,642.0
2018-12-03,723.0,723.0,626.0,635.0,403485216,36071,56,659.0,628.0
2018-12-04,630.0,630.0,571.0,572.0,434015325,43086,52,635.0,571.0
2018-12-05,624.0,624.0,515.0,543.0,368683784,38504,65,572.0,534.0
2018-12-08,510.0,576.0,510.0,536.0,167961999,17790,31,543.0,549.0
2018-12-09,531.0,567.0,511.0,538.0,249910730,26383,35,536.0,567.0
2018-12-10,517.0,539.0,517.0,526.0,159561860,17224,13,538.0,539.0
2018-12-12,560.0,560.0,511.0,519.0,161328992,17635,19,526.0,534.0
2018-12-15,489.0,567.0,488.0,516.0,752878691,82796,64,519.0,562.0
2018-12-16,568.0,568.0,511.0,531.0,313411072,33487,36,516.0,553.0
2018-12-17,555.0,556.0,551.0,555.0,129621000,13245,22,531.0,555.0
2018-12-18,556.0,611.0,556.0,597.0,462257340,43950,48,555.0,611.0
2018-12-19,657.0,657.0,657.0,657.0,590886675,51075,17,597.0,657.0
2018-12-22,698.0,722.0,698.0,721.0,850341620,66985,20,657.0,722.0
2018-12-23,776.0,776.0,649.0,704.0,1775191895,143199,78,721.0,651.0
2018-12-24,697.0,697.0,633.0,638.0,630985526,56161,58,704.0,634.0
2018-12-25,579.0,701.0,634.0,698.0,905258380,73643,90,638.0,701.0
2018-12-26,755.0,755.0,664.0,683.0,278170079,23131,40,698.0,667.0
2018-12-29,647.0,681.0,631.0,643.0,177278521,15650,31,683.0,653.0
2018-12-30,675.0,707.0,670.0,701.0,790295398,64012,88,643.0,707.0
2018-12-31,707.0,709.0,644.0,667.0,228977820,19476,50,701.0,670.0
2019-01-01,675.0,725.0,670.0,690.0,250928466,20634,42,667.0,679.0
2019-01-02,681.0,713.0,630.0,692.0,171081622,14038,44,690.0,692.0
2019-01-05,661.0,682.0,625.0,661.0,119007825,10212,16,692.0,662.0
2019-01-06,644.0,675.0,644.0,647.0,109701113,9622,17,661.0,675.0
2019-01-07,675.0,709.0,668.0,675.0,66829655,5617,23,647.0,681.0
2019-01-08,681.0,681.0,636.0,644.0,185702252,16354,30,675.0,640.0
2019-01-09,639.0,639.0,639.0,639.0,2643910,235,3,644.0,639.0
2019-01-12,633.0,681.0,633.0,650.0,53145916,4638,11,639.0,681.0
2019-01-13,602.0,670.0,602.0,642.0,44149727,3902,12,650.0,636.0
2019-01-14,653.0,664.0,653.0,660.0,66965803,5760,10,642.0,658.0
