date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-07-13,731.0,731.0,731.0,731.0,9731850000000,311419200,581693,23.0,731.0
2019-07-14,767.0,767.0,767.0,767.0,14252351568,434364,1254,731.0,767.0
2019-07-15,806.0,806.0,806.0,806.0,32882297976,954438,2491,767.0,806.0
2019-07-16,846.0,846.0,765.0,846.0,3050475936375,84339091,174190,806.0,846.0
2019-07-17,849.0,888.0,804.0,867.0,1094771498693,29523727,59994,846.0,878.0
2019-07-20,886.0,889.0,865.0,881.0,1405251744850,37314859,95999,867.0,885.0
2019-07-27,951.0,975.0,925.0,949.0,999484183045,29768929,52863,881.0,952.0
2019-07-28,951.0,951.0,910.0,927.0,669969109740,20427597,46503,949.0,930.0
2019-07-29,912.0,933.0,905.0,916.0,392085589846,12099255,26025,927.0,927.0
2019-07-30,919.0,947.0,919.0,936.0,265438642538,8015598,16193,916.0,942.0
2019-07-31,942.0,983.0,942.0,975.0,433318147055,12556920,20337,936.0,983.0
2019-08-03,989.0,1017.0,983.0,999.0,371914747558,10527198,18452,975.0,995.0
2019-08-04,999.0,999.0,967.0,982.0,419814686098,12079759,19529,999.0,978.0
2019-08-05,975.0,975.0,954.0,960.0,325116546736,9576325,16890,982.0,966.0
2019-08-06,952.0,972.0,942.0,950.0,263777992145,7846883,15499,960.0,958.0
2019-08-07,947.0,957.0,942.0,945.0,196227584216,5871238,14651,950.0,943.0
2019-08-10,941.0,941.0,929.0,931.0,243878528996,7407129,23283,945.0,936.0
2019-08-11,930.0,961.0,927.0,943.0,158974542694,4764456,10903,931.0,950.0
2019-08-13,943.0,944.0,933.0,936.0,181876010319,5495102,11005,943.0,936.0
2019-08-14,934.0,953.0,934.0,942.0,194380328473,5834904,10702,936.0,945.0
2019-08-17,941.0,942.0,929.0,932.0,181708444918,5508897,11780,942.0,932.0
2019-08-18,929.0,930.0,919.0,925.0,187217961084,5722335,11986,932.0,923.0
2019-08-19,919.0,923.0,918.0,919.0,155144173459,4770491,16013,925.0,922.0
2019-08-21,920.0,944.0,920.0,930.0,147435850448,4481194,8982,919.0,934.0
2019-08-24,933.0,961.0,928.0,934.0,248182239473,7511714,12734,930.0,961.0
2019-08-25,947.0,950.0,930.0,937.0,147851298064,4460916,7630,934.0,938.0
2019-08-27,938.0,967.0,933.0,949.0,184259606483,5489901,8362,937.0,933.0
2019-08-28,930.0,947.0,922.0,931.0,159020883726,4825932,7666,949.0,932.0
2019-08-31,933.0,947.0,929.0,933.0,189767341768,5746848,9865,931.0,931.0
2019-09-01,931.0,940.0,930.0,933.0,142709820475,4322324,7918,933.0,934.0
2019-09-02,933.0,934.0,931.0,933.0,214964202448,6515147,9521,933.0,933.0
2019-09-03,931.0,947.0,931.0,939.0,131875863339,3971306,8053,933.0,940.0
2019-09-04,944.0,944.0,938.0,939.0,130432864719,3924747,10124,939.0,943.0
2019-09-08,953.0,966.0,953.0,958.0,199705306197,5893075,8140,939.0,958.0
2019-09-11,956.0,965.0,956.0,959.0,190137863516,5606752,8788,958.0,958.0
2019-09-14,960.0,961.0,951.0,956.0,258691853701,7648553,10819,959.0,952.0
2019-09-15,951.0,953.0,946.0,950.0,221802901812,6598371,8368,956.0,950.0
2019-09-16,958.0,989.0,953.0,963.0,222049893731,6514124,9609,950.0,963.0
2019-09-17,964.0,975.0,953.0,960.0,109142561070,3212985,5468,963.0,954.0
2019-09-18,939.0,954.0,933.0,937.0,126970729687,3831004,5379,960.0,943.0
2019-09-21,936.0,948.0,935.0,940.0,90024252559,2706893,4598,937.0,941.0
2019-09-22,938.0,970.0,933.0,952.0,202659950691,6017678,8117,940.0,967.0
2019-09-23,972.0,999.0,967.0,994.0,289917811646,8242084,7390,952.0,999.0
2019-09-24,1026.0,1044.0,1000.0,1029.0,380616137471,10453877,11341,994.0,1023.0
2019-09-25,1030.0,1030.0,1006.0,1017.0,127424584375,3540613,7936,1029.0,1023.0
2019-09-28,1023.0,1024.0,1004.0,1012.0,145445973351,4063256,6477,1017.0,1014.0
2019-09-29,1003.0,1003.0,977.0,981.0,171924276493,4953369,6713,1012.0,983.0
2019-09-30,982.0,1008.0,977.0,987.0,158501136309,4539944,6839,981.0,995.0
2019-10-01,989.0,995.0,974.0,985.0,166579397163,4781092,5675,987.0,975.0
2019-10-02,975.0,975.0,967.0,969.0,101103697026,2949101,4116,985.0,969.0
2019-10-05,969.0,969.0,958.0,963.0,140408318418,4122971,6005,969.0,960.0
2019-10-06,958.0,961.0,943.0,951.0,73010372766,2169689,4066,963.0,960.0
2019-10-07,958.0,975.0,951.0,960.0,85630245274,2522198,4641,951.0,957.0
2019-10-08,951.0,958.0,926.0,941.0,112841614758,3389651,5394,960.0,936.0
2019-10-09,923.0,961.0,923.0,942.0,67063738123,2013075,6102,941.0,959.0
