date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-10-08,220.0,307.0,220.0,273.0,10190439420,3277354,755,88.0,272.0
2011-10-09,272.0,272.0,260.0,261.0,900765116,303388,74,273.0,260.0
2011-10-10,248.0,248.0,248.0,248.0,5670210,2010,2,261.0,248.0
2011-10-11,236.0,248.0,236.0,239.0,5197906377,1912545,405,248.0,246.0
2011-10-12,244.0,244.0,233.0,237.0,1916406800,711050,164,239.0,233.0
2011-10-15,229.0,229.0,225.0,225.0,1256666470,490470,110,237.0,225.0
2011-10-16,215.0,235.0,214.0,217.0,474146150,191710,47,225.0,215.0
2011-10-17,224.0,224.0,215.0,218.0,290853640,117090,29,217.0,224.0
2011-10-18,228.0,228.0,227.0,228.0,363081524,139770,55,218.0,228.0
2011-10-19,237.0,237.0,220.0,226.0,77971370,30338,10,228.0,220.0
2011-10-22,216.0,223.0,215.0,215.0,734186964,300100,121,226.0,215.0
2011-10-23,211.0,212.0,206.0,211.0,258065316,107532,31,215.0,211.0
2011-10-24,210.0,210.0,201.0,203.0,138980000,60000,12,211.0,201.0
2011-10-25,213.0,213.0,211.0,212.0,660278020,273206,48,203.0,212.0
2011-10-26,215.0,215.0,202.0,202.0,724883460,315180,61,212.0,202.0
2011-10-29,192.0,194.0,192.0,192.0,405857760,185550,32,202.0,192.0
2011-10-30,184.0,191.0,184.0,184.0,71349588,34058,13,192.0,184.0
2011-10-31,187.0,193.0,187.0,192.0,64730544,29656,8,184.0,193.0
2011-11-01,196.0,196.0,192.0,193.0,27497570,12499,20,192.0,193.0
2011-11-02,193.0,193.0,188.0,189.0,363035240,168749,26,193.0,188.0
2011-11-05,181.0,182.0,180.0,180.0,1217983990,594419,60,189.0,180.0
2011-11-06,183.0,183.0,171.0,172.0,425221597,217279,51,180.0,171.0
2011-11-08,167.0,167.0,167.0,167.0,49398000,26000,5,172.0,167.0
2011-11-09,175.0,175.0,172.0,173.0,90841400,46080,10,167.0,173.0
2011-11-12,175.0,180.0,167.0,169.0,98522500,51200,10,173.0,167.0
2011-11-13,167.0,167.0,161.0,163.0,166989230,89763,12,169.0,161.0
2011-11-14,163.0,163.0,156.0,158.0,202990624,113155,16,163.0,156.0
2011-11-16,154.0,165.0,154.0,165.0,314008421,167148,29,158.0,165.0
2011-11-19,173.0,173.0,172.0,173.0,511098280,259740,25,165.0,173.0
2011-11-20,181.0,181.0,181.0,181.0,1028578260,497860,48,173.0,181.0
2011-11-21,191.0,191.0,191.0,191.0,634905342,292718,37,181.0,191.0
2011-11-22,181.0,181.0,181.0,181.0,160244821,77751,15,191.0,181.0
2011-11-23,173.0,180.0,172.0,174.0,1127003619,568852,60,181.0,173.0
2011-11-26,177.0,177.0,177.0,177.0,404000,200,1,174.0,177.0
2011-11-27,169.0,169.0,168.0,168.0,19196919,10001,6,177.0,168.0
2011-11-28,177.0,177.0,160.0,160.0,516107207,282900,26,168.0,160.0
2011-11-29,154.0,168.0,154.0,168.0,139815000,73200,21,160.0,168.0
2011-11-30,163.0,167.0,160.0,163.0,136949355,74015,12,168.0,162.0
2011-12-03,164.0,170.0,164.0,169.0,52144200,27100,8,163.0,170.0
2011-12-04,177.0,177.0,177.0,177.0,205434000,101700,18,169.0,177.0
2011-12-07,186.0,186.0,186.0,186.0,606188526,285806,38,177.0,186.0
2011-12-10,186.0,186.0,177.0,177.0,657147300,326020,31,186.0,177.0
2011-12-11,177.0,177.0,168.0,169.0,131470607,68290,16,177.0,169.0
2011-12-12,163.0,177.0,163.0,171.0,297537826,152706,13,169.0,172.0
2011-12-13,176.0,180.0,176.0,179.0,301995535,147823,20,171.0,180.0
2011-12-14,188.0,188.0,172.0,176.0,309397558,154102,15,179.0,178.0
2011-12-17,176.0,176.0,172.0,176.0,91498980,45756,11,176.0,172.0
2011-12-18,180.0,180.0,173.0,179.0,74263756,36372,9,176.0,180.0
2011-12-19,177.0,180.0,170.0,175.0,451483377,226490,39,179.0,170.0
2011-12-20,176.0,176.0,169.0,172.0,77098750,39250,8,175.0,169.0
2011-12-21,167.0,169.0,167.0,167.0,259267934,136000,15,172.0,167.0
2011-12-24,165.0,165.0,164.0,165.0,46457600,24800,5,167.0,164.0
2011-12-25,163.0,173.0,163.0,172.0,399306142,203281,24,165.0,173.0
2011-12-26,168.0,168.0,167.0,167.0,57159983,30000,6,172.0,167.0
2011-12-27,167.0,167.0,161.0,165.0,67500900,35819,10,167.0,162.0
2011-12-28,163.0,167.0,163.0,163.0,27055200,14600,9,165.0,163.0
2011-12-31,167.0,167.0,163.0,164.0,49945000,26700,9,163.0,163.0
2012-01-01,160.0,160.0,160.0,160.0,38509500,21100,6,164.0,160.0
2012-01-02,166.0,168.0,161.0,167.0,75315780,39520,14,160.0,168.0
2012-01-03,175.0,175.0,175.0,175.0,199900,100,1,167.0,175.0
2012-01-04,167.0,174.0,167.0,168.0,495204480,259100,39,175.0,169.0
2012-01-07,169.0,169.0,160.0,161.0,226057920,123051,6,168.0,160.0
2012-01-08,160.0,160.0,158.0,159.0,102977000,56900,11,161.0,158.0
2012-01-09,161.0,163.0,161.0,162.0,80104990,43373,4,159.0,162.0
2012-01-10,164.0,164.0,162.0,163.0,32738490,17697,4,162.0,162.0
2012-01-11,162.0,162.0,162.0,162.0,60525225,32805,7,163.0,162.0
2012-01-15,164.0,164.0,162.0,162.0,12012500,6500,3,162.0,162.0
2012-01-16,162.0,162.0,162.0,162.0,108720255,59055,6,162.0,162.0
2012-01-17,160.0,161.0,159.0,160.0,55468720,30500,8,162.0,160.0
2012-01-18,159.0,159.0,156.0,159.0,56822000,31400,5,160.0,156.0
2012-01-21,156.0,156.0,155.0,155.0,79380000,45000,7,159.0,155.0
2012-01-23,153.0,153.0,153.0,153.0,17410000,10000,2,155.0,153.0
2012-01-28,159.0,159.0,150.0,151.0,4804640,2795,4,153.0,159.0
2012-01-30,144.0,144.0,144.0,144.0,163500,100,1,151.0,144.0
2012-01-31,150.0,150.0,150.0,150.0,171200,100,1,144.0,150.0
2012-02-01,143.0,143.0,143.0,143.0,59610026,36638,6,150.0,143.0
2012-02-04,136.0,136.0,136.0,136.0,21977936,14216,2,143.0,136.0
2012-02-05,129.0,129.0,129.0,129.0,16386695,11155,2,136.0,129.0
2012-02-06,123.0,123.0,123.0,123.0,7067948,5063,3,129.0,123.0
2012-02-07,117.0,117.0,117.0,117.0,78297296,58782,8,123.0,117.0
2012-02-08,123.0,123.0,123.0,123.0,699000,500,1,117.0,123.0
2012-02-13,117.0,117.0,117.0,117.0,34095495,25655,6,123.0,117.0
