date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-03-12,219.0,366.0,219.0,281.0,2217065422,1155676,604,146.0,278.0
2012-03-14,267.0,267.0,267.0,267.0,1823000,1000,1,281.0,267.0
2012-03-17,253.0,253.0,253.0,253.0,1732000,1000,1,267.0,253.0
2012-03-18,241.0,241.0,241.0,241.0,1646000,1000,1,253.0,241.0
2012-03-24,229.0,252.0,229.0,229.0,391222791,249595,182,241.0,229.0
2012-03-25,218.0,234.0,218.0,218.0,196454564,131933,74,229.0,218.0
2012-03-26,229.0,229.0,229.0,229.0,46111626,29502,17,218.0,229.0
2012-03-27,229.0,229.0,229.0,229.0,46890000,30000,12,229.0,229.0
2012-03-28,229.0,229.0,229.0,229.0,54705000,35000,14,229.0,229.0
2012-04-02,229.0,229.0,228.0,229.0,24988500,16000,9,229.0,228.0
2012-04-03,229.0,240.0,228.0,229.0,105663390,67510,44,229.0,240.0
2012-04-04,229.0,229.0,229.0,229.0,62600000,40000,16,229.0,229.0
2012-04-07,229.0,229.0,229.0,229.0,18446655,11787,3,229.0,229.0
2012-04-08,229.0,229.0,229.0,229.0,162325060,103724,33,229.0,229.0
2012-04-09,229.0,229.0,229.0,229.0,88582130,56602,13,229.0,229.0
2012-04-10,229.0,229.0,229.0,229.0,37153100,23740,3,229.0,229.0
2012-04-11,229.0,229.0,229.0,229.0,93900000,60000,8,229.0,229.0
2012-04-14,229.0,229.0,228.0,229.0,86000830,55000,14,229.0,228.0
2012-04-15,229.0,229.0,229.0,229.0,71990000,46000,5,229.0,229.0
2012-04-16,229.0,229.0,229.0,229.0,11017600,7040,2,229.0,229.0
2012-04-17,229.0,229.0,229.0,229.0,23475000,15000,2,229.0,229.0
2012-04-18,229.0,229.0,229.0,229.0,40427607,25828,5,229.0,229.0
2012-04-21,229.0,229.0,229.0,229.0,42347335,27059,6,229.0,229.0
2012-04-22,229.0,229.0,229.0,229.0,24044660,15364,3,229.0,229.0
2012-04-23,229.0,229.0,228.0,229.0,37134400,23740,3,229.0,228.0
2012-04-24,229.0,229.0,229.0,229.0,47776320,30528,7,229.0,229.0
2012-05-01,229.0,229.0,229.0,229.0,55443255,35427,6,229.0,229.0
2012-05-02,229.0,229.0,229.0,229.0,40283100,25740,4,229.0,229.0
2012-05-05,229.0,229.0,229.0,229.0,12776085,8161,2,229.0,229.0
2012-05-07,229.0,229.0,229.0,229.0,6322600,4040,1,229.0,229.0
2012-05-08,229.0,229.0,229.0,229.0,6322600,4040,1,229.0,229.0
2012-05-12,229.0,229.0,229.0,229.0,10621655,6787,1,229.0,229.0
2012-05-13,229.0,229.0,229.0,229.0,18780000,12000,2,229.0,229.0
2012-05-16,229.0,229.0,229.0,229.0,6324165,4041,1,229.0,229.0
2012-05-21,229.0,229.0,229.0,229.0,37153100,23740,3,229.0,229.0
2012-05-22,229.0,229.0,229.0,229.0,18448220,11788,3,229.0,229.0
2012-05-26,229.0,229.0,229.0,229.0,10621655,6787,1,229.0,229.0
2012-05-27,229.0,229.0,229.0,229.0,73223220,46788,8,229.0,229.0
2012-05-28,229.0,229.0,229.0,229.0,31300000,20000,2,229.0,229.0
2012-05-29,229.0,229.0,229.0,229.0,17069455,10907,3,229.0,229.0
2012-05-30,229.0,229.0,229.0,229.0,26271655,16787,2,229.0,229.0
2012-06-02,229.0,229.0,229.0,229.0,31749155,20287,6,229.0,229.0
2012-06-05,229.0,229.0,229.0,229.0,26605000,17000,2,229.0,229.0
2012-06-09,229.0,229.0,229.0,229.0,27387500,17500,3,229.0,229.0
2012-06-11,229.0,229.0,229.0,229.0,62600000,40000,4,229.0,229.0
2012-06-16,229.0,229.0,229.0,229.0,6324165,4041,1,229.0,229.0
2012-06-17,229.0,229.0,229.0,229.0,86954530,55562,8,229.0,229.0
2012-06-19,229.0,229.0,229.0,229.0,12895600,8240,1,229.0,229.0
2012-07-07,229.0,229.0,229.0,229.0,1580660,1010,2,229.0,229.0
2012-07-10,229.0,232.0,229.0,232.0,488892304,307832,33,229.0,232.0
2012-07-31,201.0,201.0,201.0,201.0,37880400,31567,8,232.0,201.0
2012-08-01,201.0,201.0,201.0,201.0,64716000,53930,13,201.0,201.0
2012-08-04,201.0,201.0,201.0,201.0,22387200,18656,3,201.0,201.0
2012-08-05,201.0,201.0,201.0,201.0,14738400,12282,3,201.0,201.0
2012-08-06,201.0,201.0,201.0,201.0,6496800,5414,1,201.0,201.0
2012-08-12,201.0,201.0,201.0,201.0,27237600,22698,6,201.0,201.0
2012-08-14,201.0,201.0,201.0,201.0,18000000,15000,2,201.0,201.0
2012-08-25,201.0,201.0,201.0,201.0,48075600,40063,8,201.0,201.0
2012-09-23,201.0,204.0,201.0,204.0,219108860,179790,20,201.0,204.0
2012-10-02,201.0,201.0,201.0,201.0,4941600,4118,1,204.0,201.0
2012-10-06,201.0,201.0,201.0,201.0,4974000,4145,1,201.0,201.0
2012-10-07,201.0,201.0,201.0,201.0,4999200,4166,2,201.0,201.0
2012-10-08,201.0,201.0,201.0,201.0,4999200,4166,1,201.0,201.0
2012-10-09,201.0,201.0,201.0,201.0,4999200,4166,1,201.0,201.0
