date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-09-08,21.0,21.0,21.0,21.0,7566000,12610,1,12.0,21.0
2014-09-15,14.0,14.0,14.0,14.0,5246320,12710,3,21.0,14.0
2014-09-17,14.0,14.0,14.0,14.0,205000,500,1,14.0,14.0
2014-09-20,14.0,14.0,14.0,14.0,1025000,2500,1,14.0,14.0
2014-09-21,14.0,14.0,14.0,14.0,1025880,2490,1,14.0,14.0
2014-09-24,14.0,14.0,14.0,14.0,82000,200,1,14.0,14.0
2014-10-04,14.0,14.0,14.0,14.0,20500,50,1,14.0,14.0
2014-10-06,14.0,14.0,14.0,14.0,82000000,200000,1,14.0,14.0
2014-10-07,14.0,14.0,14.0,14.0,39626500,96650,1,14.0,14.0
2014-10-11,14.0,21.0,14.0,15.0,128989401,309999,3,14.0,21.0
2014-10-18,25.0,25.0,25.0,25.0,8890050,12610,1,15.0,25.0
2014-10-21,25.0,25.0,25.0,25.0,25380000,36000,2,25.0,25.0
2014-10-22,21.0,21.0,21.0,21.0,156620000,260000,6,25.0,21.0
2014-10-28,18.0,18.0,18.0,18.0,25500000,50000,1,21.0,18.0
2014-10-29,17.0,17.0,16.0,16.0,7521000,16000,3,18.0,16.0
2014-11-12,16.0,23.0,16.0,16.0,18661300,40390,2,16.0,23.0
2014-11-23,18.0,18.0,18.0,18.0,31805000,63610,5,16.0,18.0
2014-11-24,18.0,18.0,18.0,18.0,25000000,50000,2,18.0,18.0
2014-11-25,26.0,26.0,26.0,26.0,978200,1340,1,18.0,26.0
2014-12-09,18.0,19.0,18.0,18.0,7085500,13610,2,26.0,19.0
2014-12-15,16.0,19.0,16.0,16.0,106483500,234790,4,18.0,19.0
2014-12-16,15.0,15.0,15.0,15.0,64250000,150000,2,16.0,15.0
2014-12-20,16.0,16.0,16.0,16.0,22500000,50000,1,15.0,16.0
2014-12-27,15.0,17.0,15.0,15.0,226090000,521000,3,16.0,17.0
2014-12-28,17.0,17.0,17.0,17.0,13378470,27303,2,15.0,17.0
2014-12-31,15.0,15.0,15.0,15.0,9031000,21000,2,17.0,15.0
2015-01-03,16.0,16.0,16.0,16.0,5400000,12000,1,15.0,16.0
2015-01-10,15.0,15.0,15.0,15.0,110705580,265210,4,16.0,15.0
2015-01-11,16.0,16.0,16.0,16.0,274500,610,1,15.0,16.0
2015-01-13,14.0,14.0,14.0,14.0,20650000,50000,1,16.0,14.0
2015-01-20,15.0,15.0,14.0,14.0,35785740,86597,6,14.0,14.0
2015-01-26,14.0,14.0,14.0,14.0,20500000,50000,1,14.0,14.0
2015-02-09,13.0,13.0,13.0,13.0,4771000,13000,1,14.0,13.0
2015-04-12,13.0,13.0,13.0,13.0,6105000,16500,1,13.0,13.0
2015-10-10,13.0,13.0,13.0,13.0,109000000,300000,2,13.0,13.0
2015-10-28,17.0,17.0,17.0,17.0,22500000,50000,1,13.0,17.0
2015-11-30,15.0,15.0,15.0,15.0,41200000,103000,4,17.0,15.0
2015-12-08,15.0,15.0,15.0,15.0,44719200,106948,2,15.0,15.0
2015-12-20,15.0,15.0,15.0,15.0,9223000,23000,1,15.0,15.0
2016-01-05,17.0,17.0,17.0,17.0,2059200,4576,1,15.0,17.0
2016-01-18,17.0,17.0,17.0,17.0,1001250,2225,1,17.0,17.0
2016-02-08,16.0,17.0,16.0,16.0,15359550,34599,2,17.0,17.0
2016-02-14,17.0,22.0,17.0,18.0,21960740,43906,4,16.0,19.0
2016-03-09,19.0,20.0,15.0,16.0,19129600,44599,3,18.0,15.0
2016-04-09,15.0,15.0,15.0,15.0,5460000,13000,1,16.0,15.0
2016-04-13,15.0,15.0,15.0,15.0,15622000,39000,4,15.0,15.0
2016-04-26,17.0,17.0,17.0,17.0,4500000,10000,1,15.0,17.0
2016-05-08,14.0,14.0,14.0,14.0,15444500,39500,2,17.0,14.0
2016-05-24,14.0,14.0,13.0,13.0,4764934,13094,3,14.0,13.0
2016-06-22,13.0,13.0,13.0,13.0,10996440,30210,3,13.0,13.0
2016-07-02,18.0,18.0,13.0,18.0,993832,2038,3,13.0,13.0
2016-08-07,15.0,15.0,15.0,15.0,3700000,10000,1,18.0,15.0
2016-08-15,15.0,15.0,15.0,15.0,18550000,50000,1,15.0,15.0
2016-08-29,15.0,15.0,15.0,15.0,13690000,37000,1,15.0,15.0
2016-10-23,15.0,15.0,15.0,15.0,1110000,3000,1,15.0,15.0
2016-10-31,15.0,15.0,15.0,15.0,4440000,12000,2,15.0,15.0
2017-01-11,13.0,13.0,12.0,12.0,52632000,175000,2,15.0,12.0
2017-02-04,13.0,13.0,13.0,13.0,2488000,8000,2,12.0,13.0
2017-02-27,9.0,9.0,9.0,9.0,32652900,155490,1,13.0,9.0
2017-03-13,9.0,9.0,9.0,9.0,3485790,15090,2,9.0,9.0
2017-03-15,10.0,10.0,10.0,10.0,19900900,78350,6,9.0,10.0
2017-03-18,11.0,11.0,11.0,11.0,27125496,97224,5,10.0,11.0
2017-03-26,13.0,13.0,13.0,13.0,2215440,7240,1,11.0,13.0
2017-03-27,14.0,14.0,14.0,14.0,1507296,4486,2,13.0,14.0
2017-03-28,15.0,15.0,15.0,15.0,4093686,11094,2,14.0,15.0
2017-03-29,17.0,17.0,17.0,17.0,8505000,21000,4,15.0,17.0
2017-04-03,15.0,16.0,15.0,16.0,19665540,51142,5,17.0,15.0
2017-04-04,16.0,17.0,16.0,17.0,33728200,79900,8,16.0,17.0
2017-04-05,19.0,19.0,19.0,19.0,46411100,100400,12,17.0,19.0
2017-04-08,21.0,21.0,19.0,19.0,8459000,18000,3,19.0,19.0
2017-04-09,17.0,19.0,17.0,17.0,40030476,94026,22,19.0,17.0
2017-04-10,16.0,19.0,16.0,19.0,32651828,71191,9,17.0,19.0
2017-04-12,18.0,21.0,18.0,20.0,98003015,198746,44,19.0,21.0
2017-04-15,22.0,22.0,21.0,22.0,63125698,117146,27,20.0,22.0
2017-04-16,24.0,24.0,24.0,24.0,110743072,187066,14,22.0,24.0
2017-04-17,27.0,27.0,22.0,26.0,130689052,209522,26,24.0,25.0
2017-04-18,24.0,24.0,23.0,23.0,49278621,86456,13,26.0,23.0
2017-04-19,24.0,25.0,21.0,22.0,77378692,142074,19,23.0,22.0
2017-04-22,22.0,24.0,22.0,24.0,129532630,218000,51,22.0,24.0
2017-04-23,27.0,27.0,27.0,27.0,276095738,422946,95,24.0,27.0
2017-04-24,29.0,29.0,29.0,29.0,110144072,153404,24,27.0,29.0
2017-04-26,32.0,32.0,31.0,32.0,123981760,158820,24,29.0,32.0
2017-04-29,35.0,35.0,32.0,33.0,68074604,83679,23,32.0,34.0
2017-04-30,36.0,36.0,30.0,31.0,83587500,111800,12,33.0,33.0
2017-05-01,32.0,32.0,31.0,31.0,77897380,103401,12,31.0,31.0
2017-05-02,33.0,33.0,28.0,30.0,26222800,35299,10,31.0,32.0
2017-05-03,32.0,33.0,32.0,32.0,16624060,21350,8,30.0,32.0
2017-05-06,33.0,34.0,29.0,32.0,35508162,45150,18,32.0,33.0
2017-05-07,33.0,33.0,29.0,29.0,62600086,87044,27,32.0,32.0
2017-05-08,32.0,32.0,29.0,32.0,104681859,134526,26,29.0,32.0
2017-05-09,34.0,35.0,34.0,34.0,41029150,49350,6,32.0,34.0
2017-05-10,31.0,34.0,31.0,33.0,106545330,132745,33,34.0,34.0
2017-05-13,34.0,34.0,30.0,31.0,34009778,44686,15,33.0,34.0
2017-05-14,33.0,33.0,32.0,33.0,15040640,18590,5,31.0,33.0
2017-05-15,35.0,35.0,30.0,32.0,56058038,70704,21,33.0,34.0
2017-05-16,35.0,35.0,34.0,34.0,36292225,43341,13,32.0,34.0
2017-05-17,35.0,35.0,31.0,34.0,75003773,91286,30,34.0,34.0
2017-05-20,34.0,37.0,34.0,35.0,43305436,51100,11,34.0,37.0
2017-05-21,34.0,36.0,32.0,35.0,36858636,42902,18,35.0,36.0
2017-05-22,36.0,38.0,33.0,35.0,107420754,124248,24,35.0,37.0
2017-05-23,39.0,39.0,38.0,38.0,69074081,73382,16,35.0,39.0
2017-05-24,39.0,42.0,35.0,37.0,76269840,84000,22,38.0,41.0
2017-05-27,41.0,41.0,33.0,34.0,101697455,123385,29,37.0,36.0
2017-05-28,37.0,37.0,35.0,36.0,15750020,17800,6,34.0,35.0
2017-05-29,36.0,37.0,33.0,36.0,144602718,164609,28,36.0,36.0
2017-05-30,37.0,39.0,33.0,36.0,246826519,282400,61,36.0,35.0
2017-05-31,39.0,39.0,39.0,39.0,18456100,19290,6,36.0,39.0
2017-06-03,39.0,43.0,39.0,41.0,22279375,22000,6,39.0,43.0
2017-06-06,42.0,42.0,40.0,41.0,6864000,6800,5,41.0,41.0
2017-06-07,37.0,41.0,37.0,37.0,116851236,127475,20,41.0,40.0
2017-06-10,40.0,41.0,35.0,39.0,166984700,174865,18,37.0,40.0
2017-06-11,42.0,42.0,35.0,40.0,73665000,74600,12,39.0,41.0
2017-06-12,41.0,42.0,36.0,37.0,183795386,204475,34,40.0,36.0
2017-06-13,40.0,40.0,37.0,38.0,140281903,149943,33,37.0,39.0
2017-06-14,40.0,42.0,37.0,39.0,112704925,118455,42,38.0,40.0
2017-06-17,41.0,41.0,38.0,40.0,26412000,27000,7,39.0,38.0
2017-06-18,40.0,40.0,36.0,39.0,19473000,20600,6,40.0,39.0
2017-06-19,39.0,42.0,39.0,40.0,35769799,36394,14,39.0,42.0
2017-06-20,44.0,44.0,38.0,42.0,251049511,246462,29,40.0,40.0
2017-06-21,41.0,43.0,38.0,38.0,242924152,261474,65,42.0,38.0
2017-06-24,41.0,41.0,37.0,39.0,119614963,126283,19,38.0,40.0
2017-06-25,40.0,41.0,37.0,38.0,80161852,85300,29,39.0,39.0
2017-07-01,40.0,40.0,37.0,40.0,40811503,42166,18,38.0,39.0
2017-07-02,40.0,40.0,36.0,37.0,838704682,921086,146,40.0,38.0
2017-07-03,35.0,39.0,35.0,37.0,137680031,152785,49,37.0,36.0
2017-07-04,38.0,38.0,35.0,37.0,12571516,14001,8,37.0,37.0
2017-07-05,38.0,38.0,33.0,33.0,438173950,538285,76,37.0,33.0
2017-07-08,35.0,36.0,30.0,31.0,93527262,122290,25,33.0,35.0
2017-07-09,34.0,34.0,30.0,33.0,43959278,54066,22,31.0,33.0
2017-07-10,32.0,34.0,30.0,31.0,115413251,154127,40,33.0,31.0
2017-07-11,32.0,32.0,29.0,31.0,32970662,43600,18,31.0,31.0
2017-07-12,32.0,32.0,29.0,30.0,27426559,36837,15,31.0,31.0
2017-07-15,32.0,33.0,29.0,31.0,11456852,15133,7,30.0,29.0
2017-07-16,33.0,33.0,31.0,32.0,51914164,65690,11,31.0,32.0
2017-07-17,29.0,31.0,29.0,30.0,21652810,29110,6,32.0,31.0
2017-07-25,39.0,39.0,39.0,39.0,409550715,433387,27,30.0,39.0
2017-07-26,42.0,42.0,38.0,42.0,644441822,631562,72,39.0,42.0
2017-07-29,46.0,46.0,46.0,46.0,574182588,511881,46,42.0,46.0
2017-07-30,50.0,50.0,50.0,50.0,32902142,26663,12,46.0,50.0
2017-07-31,55.0,55.0,55.0,55.0,66429221,48953,5,50.0,55.0
2017-08-01,61.0,61.0,61.0,61.0,46710044,31307,3,55.0,61.0
2017-08-06,67.0,67.0,67.0,67.0,85930965,52365,13,61.0,67.0
2017-08-07,74.0,74.0,74.0,74.0,243431325,134865,13,67.0,74.0
2017-08-08,81.0,81.0,66.0,76.0,2399359036,1298731,139,74.0,66.0
2017-08-09,68.0,68.0,68.0,68.0,25783152,15504,12,76.0,68.0
2017-08-12,61.0,74.0,61.0,63.0,2502212558,1619773,190,68.0,61.0
2017-08-13,67.0,67.0,61.0,63.0,301649745,195309,31,63.0,61.0
