date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-03-15,224.0,293.0,224.0,259.0,1087431200,820828,65,195.0,293.0
2014-03-16,294.0,302.0,234.0,236.0,8230915600,6805692,27,259.0,273.0
2014-03-17,273.0,273.0,248.0,256.0,46725889200,35626333,48,236.0,256.0
2014-03-18,256.0,273.0,235.0,247.0,223604364,176644,17,256.0,254.0
2014-03-19,254.0,258.0,240.0,248.0,449100400,353480,10,247.0,240.0
2014-03-26,244.0,244.0,235.0,240.0,110558800,90000,6,248.0,240.0
2014-04-05,240.0,240.0,234.0,234.0,1393066965,1160239,24,240.0,234.0
2014-04-06,234.0,235.0,234.0,235.0,363125020,302190,21,234.0,235.0
2014-04-07,224.0,235.0,217.0,234.0,403244785,336783,19,235.0,235.0
2014-04-08,232.0,232.0,230.0,230.0,64769460,54847,5,234.0,230.0
2014-04-09,230.0,235.0,230.0,234.0,1632212014,1361624,51,230.0,231.0
2014-04-12,234.0,234.0,217.0,230.0,440554656,374428,22,234.0,234.0
2014-04-13,230.0,234.0,217.0,231.0,739593180,625151,34,230.0,230.0
2014-04-14,230.0,231.0,230.0,230.0,448805970,380080,32,231.0,230.0
2014-04-15,220.0,231.0,220.0,230.0,653333509,554297,20,230.0,230.0
2014-04-16,228.0,234.0,222.0,231.0,321052891,270927,15,230.0,234.0
2014-04-19,222.0,222.0,222.0,222.0,168052500,147500,4,231.0,222.0
2014-04-20,222.0,234.0,220.0,224.0,1126296500,982900,17,222.0,234.0
2014-04-21,228.0,228.0,223.0,224.0,1965973430,1715010,9,224.0,223.0
2014-04-22,223.0,234.0,223.0,233.0,1273759420,1065549,24,224.0,234.0
2014-04-23,222.0,236.0,222.0,233.0,4910947000,4106000,8,233.0,234.0
2014-04-26,234.0,234.0,232.0,233.0,2008464000,1680420,10,233.0,234.0
2014-04-27,234.0,234.0,233.0,234.0,497770635,414995,19,233.0,233.0
2014-04-28,233.0,236.0,233.0,234.0,4930800377,4108996,19,234.0,234.0
2014-04-29,234.0,234.0,225.0,233.0,389147230,326361,15,234.0,234.0
2014-04-30,232.0,233.0,232.0,233.0,95215500,79900,4,233.0,232.0
2014-05-03,226.0,234.0,226.0,231.0,9314120,7857,2,233.0,234.0
2014-05-04,226.0,228.0,226.0,226.0,48681028,42000,5,231.0,226.0
2014-05-05,226.0,226.0,224.0,225.0,29936000,26000,3,226.0,224.0
2014-05-06,224.0,230.0,224.0,225.0,27942552,24200,5,225.0,230.0
2014-05-07,224.0,230.0,224.0,229.0,19542000,16680,2,225.0,230.0
2014-05-10,225.0,230.0,225.0,225.0,54184000,47000,3,229.0,225.0
2014-05-12,225.0,230.0,221.0,223.0,210152104,183704,15,225.0,224.0
2014-05-14,223.0,223.0,221.0,221.0,187985914,165767,5,223.0,221.0
2014-05-17,221.0,223.0,220.0,221.0,73567811,64848,6,221.0,223.0
2014-05-18,221.0,222.0,220.0,221.0,155247802,137017,6,221.0,220.0
2014-05-19,220.0,220.0,220.0,220.0,51278500,45500,7,221.0,220.0
2014-05-21,218.0,220.0,215.0,216.0,951804997,858581,23,220.0,218.0
2014-05-24,218.0,222.0,215.0,219.0,146718994,130783,16,216.0,218.0
2014-05-25,218.0,222.0,218.0,219.0,94662920,84440,8,219.0,222.0
2014-05-26,219.0,219.0,219.0,219.0,15680000,14000,2,219.0,219.0
2014-05-28,219.0,219.0,219.0,219.0,38245157,34117,3,219.0,219.0
2014-05-31,222.0,226.0,219.0,222.0,1080772114,949837,15,219.0,219.0
2014-06-01,219.0,220.0,217.0,219.0,460799120,411401,7,222.0,217.0
2014-06-02,215.0,221.0,215.0,218.0,2567049735,2299122,46,219.0,219.0
2014-06-03,215.0,244.0,215.0,227.0,1275164665,1095427,51,218.0,244.0
2014-06-07,224.0,242.0,224.0,230.0,987291308,835890,24,227.0,226.0
2014-06-08,227.0,234.0,224.0,226.0,7193771150,6202000,13,230.0,224.0
2014-06-09,228.0,228.0,221.0,223.0,35941863,31400,4,226.0,221.0
