date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-03-13,7.0,7.0,7.0,7.0,2200000000,1000000,100,3.0,7.0
2013-03-17,7.0,7.0,7.0,7.0,92180000000,41900000,4190,7.0,7.0
2013-03-18,7.0,7.0,7.0,7.0,16225000000,7375000,739,7.0,7.0
2013-04-09,7.0,7.0,7.0,7.0,1100000000,500000,50,7.0,7.0
2013-04-15,7.0,7.0,7.0,7.0,110000,50,1,7.0,7.0
2013-04-20,7.0,7.0,7.0,7.0,10450000000,5000000,500,7.0,7.0
2013-04-28,6.0,6.0,6.0,6.0,2047800000,1000000,1810,7.0,6.0
2013-05-07,6.0,6.0,6.0,6.0,14190235472,6984739,716,6.0,6.0
2013-06-11,6.0,6.0,6.0,6.0,965500,500,1,6.0,6.0
2013-06-15,6.0,6.0,6.0,6.0,1102854110,571427,60,6.0,6.0
2013-06-26,6.0,6.0,6.0,6.0,1526169200,802510,1602,6.0,6.0
2013-06-29,6.0,6.0,6.0,6.0,48166928,26641,8,6.0,6.0
2013-06-30,6.0,6.0,6.0,6.0,2992256600,1617436,298,6.0,6.0
2013-07-06,6.0,6.0,6.0,6.0,273453005,142855,23,6.0,6.0
2013-07-14,6.0,6.0,6.0,6.0,17534552,8728,2,6.0,6.0
2013-07-16,6.0,7.0,6.0,6.0,1394264510,693771,81,6.0,7.0
2013-07-17,7.0,7.0,7.0,7.0,3165000,1500,1,6.0,7.0
2013-08-20,8.0,8.0,8.0,8.0,230000000,100000,10,7.0,8.0
2013-09-08,8.0,8.0,8.0,8.0,1057000,500,1,8.0,8.0
2013-09-15,9.0,9.0,9.0,8.0,2500000,1000,1,8.0,9.0
2013-09-21,11.0,11.0,11.0,9.0,175500000,58500,54,8.0,11.0
2013-11-19,13.0,13.0,13.0,10.0,131289000,107000,11,9.0,13.0
2013-11-20,15.0,15.0,15.0,11.0,136300000,100000,10,10.0,15.0
2013-11-25,16.0,16.0,16.0,11.0,75300000,50000,5,11.0,16.0
2013-11-26,17.0,17.0,17.0,13.0,161265456,101809,18,11.0,17.0
2013-11-27,19.0,19.0,19.0,17.0,543120000,310000,32,13.0,19.0
2013-11-30,17.0,17.0,17.0,17.0,3244000,2000,1,17.0,17.0
2013-12-01,18.0,18.0,18.0,18.0,8515000,5000,1,17.0,18.0
2013-12-03,19.0,19.0,19.0,19.0,58662492,32809,11,18.0,19.0
2013-12-04,20.0,20.0,20.0,20.0,175124100,93300,17,19.0,20.0
2013-12-08,21.0,21.0,21.0,21.0,37430000,19000,7,20.0,21.0
2013-12-09,22.0,22.0,22.0,22.0,80652000,39000,8,21.0,22.0
2013-12-10,23.0,23.0,23.0,23.0,28594241,13171,8,22.0,23.0
2013-12-11,24.0,24.0,24.0,24.0,84323000,37000,7,23.0,24.0
2013-12-14,26.0,26.0,23.0,24.0,656036590,290582,55,24.0,23.0
2013-12-15,25.0,25.0,25.0,25.0,249364290,105217,16,24.0,25.0
2013-12-16,27.0,27.0,27.0,27.0,132767144,53363,12,25.0,27.0
2013-12-17,28.0,28.0,28.0,28.0,248053804,94967,23,27.0,28.0
2013-12-21,29.0,29.0,29.0,29.0,320295484,116841,30,28.0,29.0
2013-12-22,28.0,28.0,28.0,28.0,26040000,10000,1,29.0,28.0
2013-12-24,27.0,29.0,27.0,27.0,55903568,22162,5,28.0,29.0
2013-12-25,26.0,26.0,26.0,26.0,153358000,64000,13,27.0,26.0
2013-12-28,27.0,27.0,27.0,27.0,312976855,124456,52,26.0,27.0
2013-12-29,28.0,28.0,27.0,28.0,650139460,249814,58,27.0,27.0
2013-12-30,29.0,29.0,29.0,29.0,273200000,100000,14,28.0,29.0
2014-01-01,29.0,29.0,29.0,29.0,6750000,2500,1,29.0,29.0
2014-01-04,28.0,28.0,28.0,28.0,1284500,500,1,29.0,28.0
2014-01-05,28.0,28.0,26.0,26.0,37145855,15205,6,28.0,26.0
2014-01-06,28.0,28.0,27.0,28.0,162291224,63278,18,26.0,28.0
2014-01-07,28.0,29.0,28.0,28.0,8872130,3412,4,28.0,29.0
2014-01-11,29.0,29.0,26.0,27.0,18689500,7500,3,28.0,26.0
2014-01-13,25.0,25.0,25.0,25.0,255520096,107897,21,27.0,25.0
2014-01-14,25.0,26.0,24.0,24.0,131259000,57604,15,25.0,26.0
2014-01-15,23.0,23.0,23.0,23.0,54150000,25000,6,24.0,23.0
2014-01-18,22.0,22.0,22.0,22.0,175279860,85170,19,23.0,22.0
2014-01-20,22.0,22.0,21.0,21.0,100342530,51285,7,22.0,21.0
2014-01-21,20.0,20.0,20.0,20.0,275100000,147500,55,21.0,20.0
