date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-10-23,751.0,751.0,751.0,751.0,323998876800,149999480,875878,348.0,751.0
2019-10-26,789.0,789.0,789.0,789.0,884340828,389921,2430,751.0,789.0
2019-10-28,828.0,828.0,828.0,828.0,1040620812,437052,2679,789.0,828.0
2019-10-30,869.0,869.0,869.0,869.0,1963202427,785281,4750,828.0,869.0
2019-11-02,913.0,913.0,913.0,913.0,6290200875,2396267,14240,869.0,913.0
2019-11-03,958.0,958.0,958.0,958.0,3935923524,1428129,8411,913.0,958.0
2019-11-04,1006.0,1006.0,1006.0,1006.0,4261403465,1473005,9053,958.0,1006.0
2019-11-05,1056.0,1056.0,1056.0,1056.0,5753933607,1894611,10944,1006.0,1056.0
2019-11-09,1109.0,1109.0,1109.0,1109.0,106502274744,33407238,83427,1056.0,1109.0
2019-11-10,1164.0,1164.0,1164.0,1164.0,18233870275,5447825,24760,1109.0,1164.0
2019-11-26,1222.0,1283.0,1222.0,1274.0,12397340144,3383371,13834,1164.0,1283.0
2019-11-27,1338.0,1338.0,1338.0,1338.0,6944358192,1805136,10248,1274.0,1338.0
2019-11-30,1405.0,1405.0,1405.0,1405.0,6130781944,1517896,8829,1338.0,1405.0
2019-12-01,1475.0,1475.0,1475.0,1475.0,5973892880,1408937,8088,1405.0,1475.0
2019-12-02,1548.0,1548.0,1548.0,1548.0,10415427288,2339494,11450,1475.0,1548.0
2019-12-03,1625.0,1625.0,1625.0,1625.0,4634280348,991502,5803,1548.0,1625.0
2019-12-04,1706.0,1706.0,1706.0,1706.0,5892247088,1200784,6569,1625.0,1706.0
2019-12-07,1792.0,1792.0,1706.0,1786.0,254202806582,49499393,35362,1706.0,1792.0
2019-12-08,1798.0,1875.0,1791.0,1843.0,154964893421,29243538,73494,1786.0,1875.0
2019-12-09,1935.0,1935.0,1935.0,1935.0,5028223247,903869,3026,1843.0,1935.0
2019-12-11,2031.0,2133.0,2031.0,2126.0,174323857102,28513250,30942,1935.0,2133.0
2019-12-14,2174.0,2174.0,2020.0,2065.0,132062307578,22244337,20069,2126.0,2020.0
2019-12-15,1962.0,1962.0,1962.0,1962.0,15710969099,2785139,1323,2065.0,1962.0
2019-12-16,1864.0,1864.0,1864.0,1864.0,6195716747,1156133,868,1962.0,1864.0
2019-12-17,1899.0,1957.0,1771.0,1939.0,242613865167,43504810,72577,1864.0,1957.0
2019-12-18,1957.0,2036.0,1957.0,2018.0,179355954823,30901870,44065,1939.0,2036.0
2019-12-21,2101.0,2119.0,1918.0,2110.0,88397392428,14570437,19936,2018.0,2119.0
2019-12-22,2182.0,2215.0,2121.0,2196.0,58127836786,9204340,11189,2110.0,2215.0
2019-12-23,2306.0,2306.0,2121.0,2294.0,182371892321,27647511,14341,2196.0,2306.0
2019-12-24,2408.0,2408.0,2408.0,2408.0,10248979225,1479997,3800,2294.0,2408.0
2019-12-25,2529.0,2529.0,2529.0,2529.0,14556323870,2001970,3650,2408.0,2529.0
2019-12-28,2655.0,2655.0,2655.0,2655.0,31774372212,4162218,6885,2529.0,2655.0
2019-12-29,2787.0,2787.0,2787.0,2787.0,20284426120,2530808,6396,2655.0,2787.0
2019-12-30,2926.0,2926.0,2926.0,2926.0,22402101645,2662163,5126,2787.0,2926.0
2019-12-31,3071.0,3073.0,2780.0,2940.0,531982283843,62933438,38438,2926.0,3073.0
2020-01-01,3085.0,3086.0,2921.0,3074.0,86274464638,9761441,10183,2940.0,3086.0
2020-01-04,2920.0,3227.0,2920.0,3082.0,436334019215,49241117,24999,3074.0,3227.0
2020-01-08,3020.0,3080.0,2960.0,3014.0,325037448323,37505884,14677,3082.0,3080.0
2020-01-11,3074.0,3074.0,3074.0,3074.0,8007037964,905876,1516,3014.0,3074.0
2020-01-12,3227.0,3227.0,3227.0,3227.0,4508938560,485877,1300,3074.0,3227.0
2020-01-13,3389.0,3389.0,3389.0,3389.0,4266624768,437872,1637,3227.0,3389.0
2020-01-14,3558.0,3558.0,3512.0,3558.0,311219197974,30420061,6932,3389.0,3558.0
2020-01-15,3478.0,3736.0,3443.0,3693.0,467811397653,44054375,14114,3558.0,3736.0
2020-01-18,3877.0,3877.0,3864.0,3877.0,220292082795,19759333,6870,3693.0,3877.0
2020-01-19,4071.0,4071.0,4071.0,4071.0,31871844258,2722693,2339,3877.0,4071.0
2020-01-20,4274.0,4274.0,4274.0,4274.0,27836533890,2264790,1795,4071.0,4274.0
2020-01-21,4488.0,4488.0,4488.0,4488.0,25582768760,1982392,1865,4274.0,4488.0
2020-01-22,4712.0,4712.0,4712.0,4712.0,5332345050,393531,243,4488.0,4712.0
2020-01-26,4948.0,5195.0,4700.0,4975.0,706395151397,49373821,32482,4712.0,5195.0
2020-01-27,5195.0,5224.0,4727.0,5164.0,221070801246,14887255,15893,4975.0,5224.0
2020-01-28,5422.0,5422.0,5224.0,5410.0,631940972510,40619926,27433,5164.0,5422.0
2020-02-01,5627.0,5644.0,5140.0,5296.0,696130945665,45707979,34042,5410.0,5140.0
2020-02-02,5032.0,5032.0,5032.0,5032.0,56364929985,3895565,2272,5296.0,5032.0
2020-02-03,4780.0,4780.0,4780.0,4780.0,37240841898,2709213,1863,5032.0,4780.0
2020-02-04,4541.0,4541.0,4541.0,4541.0,10482250356,802684,958,4780.0,4541.0
2020-02-05,4315.0,4315.0,4315.0,4315.0,31584090469,2545667,1638,4541.0,4315.0
2020-02-08,4099.0,4099.0,4099.0,4099.0,13367872440,1134120,1070,4315.0,4099.0
2020-02-09,3894.0,4304.0,3894.0,4073.0,1155717340633,98682356,41401,4099.0,4304.0
2020-02-10,4276.0,4276.0,4073.0,4269.0,360121916300,29335998,12919,4073.0,4276.0
2020-02-12,4482.0,4482.0,4104.0,4375.0,689586808402,54815194,28843,4269.0,4264.0
2020-02-15,4297.0,4484.0,4156.0,4196.0,459041940367,38046877,20134,4375.0,4156.0
2020-02-16,4017.0,4155.0,3986.0,4000.0,568422341502,49421050,22745,4196.0,3986.0
