date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-06-23,837.0,985.0,821.0,983.0,2420200000,2020000,4,821.0,985.0
2015-06-24,985.0,1067.0,985.0,1015.0,173250000,140000,8,983.0,1022.0
2015-06-27,1230.0,1230.0,1067.0,1081.0,2285978800,1735200,41,1015.0,1067.0
2015-06-28,1067.0,1116.0,919.0,1056.0,992712450,771375,25,1081.0,985.0
2015-06-29,985.0,1026.0,985.0,1004.0,191878750,156811,13,1056.0,1026.0
2015-06-30,985.0,1042.0,944.0,999.0,1319290240,1084144,32,1004.0,1018.0
2015-07-01,985.0,1026.0,985.0,986.0,1273771547,1060740,13,999.0,985.0
2015-07-04,986.0,1026.0,985.0,1009.0,496333800,403960,22,986.0,986.0
2015-07-05,1034.0,1034.0,993.0,1008.0,516578800,420550,18,1009.0,1009.0
2015-07-07,1034.0,1034.0,985.0,997.0,5515492320,4539185,76,1008.0,985.0
2015-07-11,1026.0,1026.0,985.0,997.0,847944651,697730,22,997.0,997.0
2015-07-12,993.0,997.0,985.0,995.0,472063315,389441,9,997.0,985.0
2015-07-13,985.0,1010.0,985.0,990.0,3315177624,2746884,47,995.0,997.0
2015-07-14,985.0,1026.0,985.0,988.0,3375415413,2802580,62,990.0,986.0
2015-07-15,985.0,985.0,985.0,985.0,1571376000,1309480,35,988.0,985.0
2015-07-20,985.0,1009.0,944.0,986.0,5149111500,4282960,57,985.0,985.0
2015-08-09,977.0,1026.0,821.0,1025.0,1643809000,1316100,8,986.0,1026.0
2015-08-10,977.0,1026.0,882.0,1015.0,8038319430,6500250,191,1025.0,1026.0
2015-08-12,985.0,1026.0,985.0,1025.0,1971056645,1578454,61,1015.0,1026.0
2015-08-15,1026.0,1026.0,1026.0,1026.0,1606946250,1285557,34,1025.0,1026.0
2015-08-16,1025.0,1026.0,945.0,1020.0,1987387210,1598400,64,1026.0,1026.0
2015-08-17,899.0,1026.0,899.0,1004.0,2076347800,1697620,42,1020.0,944.0
2015-08-18,1026.0,1026.0,985.0,993.0,1975174000,1632500,19,1004.0,985.0
2015-08-19,1017.0,1017.0,985.0,986.0,426780000,355000,8,993.0,985.0
2015-08-22,1025.0,1025.0,952.0,1001.0,1525493000,1250700,14,986.0,952.0
2015-08-23,936.0,936.0,919.0,920.0,452970000,404000,11,1001.0,919.0
2015-08-24,985.0,985.0,919.0,983.0,14892019545,12427783,193,920.0,985.0
2015-08-25,985.0,986.0,985.0,985.0,42353570480,35294640,50,983.0,985.0
2015-08-26,985.0,985.0,985.0,985.0,176280000,146900,6,985.0,985.0
2015-08-29,985.0,985.0,985.0,985.0,1288363200,1073636,26,985.0,985.0
2015-08-30,985.0,985.0,985.0,985.0,24981000000,20817500,8,985.0,985.0
2015-08-31,985.0,985.0,985.0,985.0,759718800,633099,17,985.0,985.0
2015-09-01,985.0,985.0,977.0,985.0,1374866520,1145808,19,985.0,985.0
2015-09-02,985.0,985.0,977.0,985.0,3948760000,3290800,18,985.0,985.0
2015-09-05,985.0,985.0,985.0,985.0,2610912000,2175760,12,985.0,985.0
2015-09-06,985.0,985.0,977.0,985.0,1804820000,1504100,12,985.0,985.0
2015-09-07,985.0,985.0,968.0,983.0,1317260000,1099550,20,985.0,968.0
2015-09-08,968.0,985.0,968.0,983.0,556922660,464931,16,983.0,985.0
2015-09-09,985.0,1001.0,968.0,985.0,2497412000,2082010,19,983.0,1001.0
2015-09-12,985.0,985.0,985.0,985.0,2478118800,2065099,15,985.0,985.0
2015-09-13,985.0,985.0,985.0,985.0,2629729200,2191441,29,985.0,985.0
2015-09-14,986.0,986.0,977.0,985.0,2652501000,2210500,9,985.0,985.0
2015-09-15,985.0,985.0,977.0,985.0,15550740000,12961700,53,985.0,985.0
2015-09-16,985.0,985.0,952.0,983.0,1090600000,910000,15,985.0,985.0
2015-09-19,985.0,985.0,944.0,981.0,813427000,680000,11,983.0,985.0
2015-09-20,940.0,985.0,936.0,972.0,1877652000,1584300,26,981.0,936.0
2015-09-21,985.0,993.0,985.0,985.0,409068000,340800,10,972.0,985.0
2015-09-22,985.0,985.0,985.0,985.0,880801200,734001,15,985.0,985.0
2015-09-23,985.0,993.0,985.0,985.0,3655262320,3046010,30,985.0,985.0
2015-09-26,985.0,985.0,985.0,985.0,1036458000,863715,16,985.0,985.0
2015-09-27,985.0,986.0,927.0,982.0,928796950,776250,16,985.0,985.0
2015-09-28,985.0,985.0,985.0,985.0,1078800000,899000,18,982.0,985.0
2015-09-29,985.0,986.0,985.0,985.0,1007305000,839400,12,985.0,985.0
2015-09-30,985.0,985.0,985.0,985.0,740400000,617000,13,985.0,985.0
2015-10-03,1001.0,1001.0,985.0,985.0,362187180,301809,7,985.0,985.0
2015-10-04,985.0,985.0,985.0,985.0,906000000,755000,11,985.0,985.0
2015-10-05,985.0,985.0,985.0,985.0,3322812000,2769010,36,985.0,985.0
2015-10-06,985.0,985.0,985.0,985.0,1464970800,1220809,18,985.0,985.0
2015-10-07,985.0,985.0,985.0,985.0,115200000,96000,2,985.0,985.0
2015-10-10,985.0,985.0,985.0,985.0,1420800000,1184000,14,985.0,985.0
2015-10-11,985.0,985.0,985.0,985.0,1572600000,1310500,21,985.0,985.0
2015-10-12,985.0,985.0,985.0,985.0,1139400000,949500,10,985.0,985.0
2015-10-13,993.0,1026.0,985.0,990.0,2949079580,2444689,42,985.0,985.0
2015-10-14,995.0,1018.0,985.0,987.0,572555420,476111,11,990.0,1018.0
2015-10-17,985.0,1001.0,985.0,985.0,314531000,262000,9,987.0,985.0
2015-10-18,1001.0,1001.0,985.0,985.0,1813230400,1511000,19,985.0,985.0
2015-10-19,985.0,985.0,985.0,985.0,586951200,489126,8,985.0,985.0
2015-10-20,985.0,1001.0,985.0,985.0,1447136280,1205874,21,985.0,986.0
2015-10-21,985.0,985.0,985.0,985.0,1190978400,992482,15,985.0,985.0
2015-10-25,985.0,985.0,985.0,985.0,374268000,311890,10,985.0,985.0
2015-10-26,985.0,993.0,985.0,985.0,1146489800,955400,18,985.0,985.0
2015-10-27,985.0,985.0,985.0,985.0,1262432400,1052027,9,985.0,985.0
2015-10-28,985.0,1001.0,985.0,985.0,780122000,650100,9,985.0,1001.0
2015-10-31,985.0,997.0,984.0,985.0,571410950,476210,11,985.0,997.0
2015-11-01,985.0,985.0,985.0,985.0,821529600,684608,16,985.0,985.0
2015-11-02,985.0,985.0,985.0,985.0,751200000,626000,14,985.0,985.0
2015-11-03,985.0,985.0,985.0,985.0,337724400,281437,9,985.0,985.0
2015-11-04,985.0,985.0,985.0,985.0,348000000,290000,5,985.0,985.0
2015-11-07,985.0,985.0,985.0,985.0,568275600,473563,15,985.0,985.0
2015-11-08,985.0,985.0,952.0,981.0,741120800,619934,19,985.0,952.0
2015-11-09,952.0,985.0,952.0,983.0,1099734001,917965,19,981.0,985.0
2015-11-10,985.0,985.0,985.0,985.0,1005600000,838000,5,983.0,985.0
2015-11-11,952.0,985.0,952.0,981.0,1024680000,856730,12,985.0,985.0
2015-11-14,985.0,985.0,985.0,985.0,2268250800,1890209,24,981.0,985.0
2015-11-15,985.0,985.0,985.0,985.0,516333600,430278,11,985.0,985.0
2015-11-16,985.0,985.0,985.0,985.0,600000000,500000,9,985.0,985.0
2015-11-17,985.0,985.0,985.0,985.0,1208154000,1006795,12,985.0,985.0
2015-11-18,985.0,985.0,985.0,985.0,865440000,721200,12,985.0,985.0
2015-11-21,985.0,985.0,985.0,985.0,205200000,171000,4,985.0,985.0
2015-11-22,985.0,993.0,985.0,985.0,754812200,629010,12,985.0,985.0
2015-11-23,985.0,986.0,985.0,985.0,753034000,627520,14,985.0,985.0
2015-11-24,985.0,985.0,985.0,985.0,1155840000,963200,9,985.0,985.0
2015-11-25,985.0,985.0,985.0,985.0,300000000,250000,6,985.0,985.0
2015-11-28,985.0,985.0,985.0,985.0,809520000,674600,6,985.0,985.0
2015-11-29,985.0,985.0,985.0,985.0,1046400000,872000,9,985.0,985.0
2015-11-30,985.0,985.0,985.0,985.0,3368990400,2807492,11,985.0,985.0
2015-12-01,985.0,985.0,985.0,985.0,898320000,748600,15,985.0,985.0
2015-12-05,985.0,993.0,985.0,986.0,570840480,475488,12,985.0,985.0
2015-12-06,985.0,985.0,985.0,985.0,408720000,340600,10,986.0,985.0
2015-12-07,985.0,985.0,985.0,985.0,229200000,191000,7,985.0,985.0
2015-12-08,985.0,985.0,985.0,985.0,1656000000,1380000,15,985.0,985.0
2015-12-09,985.0,985.0,985.0,985.0,829268400,691057,18,985.0,985.0
2015-12-13,985.0,985.0,985.0,985.0,12405600000,10338000,7,985.0,985.0
2015-12-14,985.0,985.0,985.0,985.0,228000000,190000,6,985.0,985.0
2015-12-15,985.0,985.0,985.0,985.0,1555441200,1296201,19,985.0,985.0
2015-12-16,985.0,992.0,985.0,986.0,247972800,206444,13,985.0,985.0
2015-12-19,985.0,986.0,985.0,985.0,570060000,475000,8,986.0,986.0
2015-12-20,985.0,985.0,985.0,985.0,1299360000,1082800,28,985.0,985.0
