date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-05-26,13.0,13.0,13.0,13.0,97179,29,4,4.0,13.0
2014-05-31,15.0,15.0,15.0,15.0,39000000,10000,1,13.0,15.0
2014-06-01,15.0,15.0,15.0,15.0,258078486,63496,4,15.0,15.0
2014-06-02,16.0,16.0,16.0,16.0,383661804,94164,2,15.0,16.0
2014-06-07,16.0,16.0,16.0,16.0,106528552,25280,3,16.0,16.0
2014-06-08,16.0,16.0,16.0,16.0,12762000,3000,1,16.0,16.0
2014-06-09,17.0,17.0,17.0,17.0,1342889100,304510,3,16.0,17.0
2014-06-10,16.0,17.0,16.0,17.0,3280326000,737300,10,17.0,16.0
2014-06-11,17.0,18.0,17.0,17.0,989683740,215861,9,17.0,18.0
2014-06-14,17.0,17.0,17.0,17.0,98274000,21600,2,17.0,17.0
2014-06-15,18.0,18.0,17.0,17.0,621867174,135593,6,17.0,17.0
2014-06-21,17.0,17.0,17.0,17.0,66055280,14614,1,17.0,17.0
2014-06-28,17.0,17.0,17.0,17.0,24860000,5500,2,17.0,17.0
2014-06-29,17.0,18.0,17.0,17.0,54731100,11925,5,17.0,18.0
2014-07-01,17.0,17.0,17.0,17.0,24405680,5384,2,17.0,17.0
2014-07-06,18.0,18.0,18.0,18.0,70085600,15236,1,17.0,18.0
2014-07-08,17.0,17.0,17.0,17.0,39767415,8769,1,18.0,17.0
2014-07-13,17.0,17.0,17.0,17.0,164392700,36460,5,17.0,17.0
2014-07-20,17.0,17.0,17.0,17.0,50050000,11000,1,17.0,17.0
2014-07-27,17.0,17.0,17.0,17.0,1995110866,438683,5,17.0,17.0
2014-08-03,17.0,17.0,17.0,17.0,90060000,20000,2,17.0,17.0
2014-08-04,17.0,17.0,17.0,17.0,395913600,88844,2,17.0,17.0
2014-08-06,17.0,17.0,17.0,17.0,493951500,109767,6,17.0,17.0
2014-08-09,17.0,17.0,17.0,17.0,422875291,95749,4,17.0,17.0
2014-08-11,18.0,18.0,17.0,17.0,603147400,136119,3,17.0,18.0
2014-08-25,18.0,18.0,18.0,18.0,61847300,13159,1,17.0,18.0
2014-08-27,18.0,18.0,18.0,18.0,33972900,7306,1,18.0,18.0
2014-08-30,19.0,19.0,19.0,19.0,15000000,3000,1,18.0,19.0
