date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-08,16.0,16.0,16.0,16.0,548000,548,1,16.0,16.0
2001-04-28,16.0,16.0,16.0,16.0,84670000,84670,68,16.0,16.0
2001-04-29,16.0,16.0,16.0,16.0,67078000,67078,22,16.0,16.0
2001-04-30,16.0,16.0,16.0,16.0,280000,280,1,16.0,16.0
2001-05-01,16.0,16.0,16.0,16.0,5642000,5642,2,16.0,16.0
2001-05-06,16.0,16.0,16.0,16.0,1500000,1500,1,16.0,16.0
2001-05-09,16.0,16.0,16.0,16.0,5000000,5000,2,16.0,16.0
2001-05-12,16.0,16.0,16.0,16.0,24674000,24674,8,16.0,16.0
2001-05-16,16.0,16.0,16.0,16.0,20000000,20000,12,16.0,16.0
2001-05-19,16.0,16.0,16.0,16.0,2700000,2700,2,16.0,16.0
2001-05-21,16.0,16.0,16.0,16.0,12324000,12324,7,16.0,16.0
2001-05-23,16.0,16.0,16.0,16.0,26925590,26659,9,16.0,16.0
2001-05-26,16.0,16.0,16.0,16.0,163620,162,1,16.0,16.0
2001-05-28,16.0,16.0,16.0,16.0,3151200,3120,5,16.0,16.0
2001-05-29,16.0,16.0,16.0,16.0,295930,293,1,16.0,16.0
2001-05-30,16.0,16.0,16.0,16.0,3181500,3150,5,16.0,16.0
2001-06-02,16.0,16.0,16.0,16.0,12038190,11919,5,16.0,16.0
2001-06-03,16.0,16.0,16.0,16.0,13211810,13081,4,16.0,16.0
2001-06-06,16.0,16.0,16.0,16.0,11105474,10996,10,16.0,16.0
2001-06-09,16.0,16.0,16.0,16.0,26282330,26053,9,16.0,16.0
2001-10-09,16.0,16.0,16.0,16.0,1000000,1000,3,16.0,16.0
2001-10-20,16.0,16.0,16.0,16.0,35709000,35609,18,16.0,16.0
2001-10-21,17.0,17.0,16.0,16.0,12220400,12020,4,16.0,16.0
2001-10-22,16.0,16.0,16.0,16.0,35059360,35039,13,16.0,16.0
2001-10-23,16.0,16.0,16.0,16.0,48679980,48198,17,16.0,16.0
2001-10-24,16.0,16.0,16.0,16.0,9041446294,8943086,34,16.0,16.0
2001-10-27,17.0,17.0,17.0,17.0,2182800,2140,2,16.0,17.0
2001-10-28,17.0,17.0,17.0,17.0,1174200,1140,2,17.0,17.0
2001-10-30,17.0,17.0,17.0,17.0,3459040,3326,7,17.0,17.0
2001-10-31,17.0,17.0,17.0,17.0,1050000,1000,2,17.0,17.0
2001-11-03,17.0,17.0,17.0,17.0,2240840,2114,2,17.0,17.0
2001-11-04,17.0,17.0,17.0,17.0,1070000,1000,3,17.0,17.0
2001-11-05,18.0,18.0,18.0,18.0,1080000,1000,2,17.0,18.0
2001-11-06,18.0,18.0,18.0,18.0,1090000,1000,3,18.0,18.0
2001-11-10,18.0,18.0,18.0,18.0,113378060,103224,29,18.0,18.0
2001-11-11,18.0,18.0,18.0,18.0,25451190,23364,8,18.0,18.0
2001-11-12,18.0,18.0,18.0,18.0,490500,450,1,18.0,18.0
2001-11-13,18.0,18.0,18.0,18.0,12872023,11800,8,18.0,18.0
2001-11-19,18.0,18.0,18.0,18.0,7043735,6475,8,18.0,18.0
2001-12-01,18.0,18.0,18.0,18.0,5683230,5238,2,18.0,18.0
2001-12-02,18.0,18.0,18.0,18.0,2445845,2257,5,18.0,18.0
2001-12-03,18.0,18.0,18.0,18.0,1626000,1500,1,18.0,18.0
2001-12-04,18.0,18.0,18.0,18.0,15449315,14239,3,18.0,18.0
2001-12-05,18.0,18.0,18.0,18.0,128843387,118762,19,18.0,18.0
2001-12-12,18.0,18.0,18.0,18.0,580060,536,2,18.0,18.0
2001-12-15,18.0,18.0,18.0,18.0,61148850,56499,13,18.0,18.0
2001-12-17,18.0,18.0,18.0,18.0,433734,400,3,18.0,18.0
2001-12-18,18.0,18.0,18.0,18.0,119020,110,1,18.0,18.0
2001-12-19,18.0,18.0,18.0,18.0,5400000,5000,1,18.0,18.0
2001-12-22,18.0,18.0,18.0,18.0,10951950,10150,4,18.0,18.0
2001-12-23,17.0,17.0,17.0,17.0,25871614,24000,7,18.0,17.0
2001-12-25,17.0,18.0,17.0,18.0,189181108,175000,58,17.0,18.0
2001-12-26,18.0,18.0,18.0,18.0,321327626,294879,51,18.0,18.0
2001-12-30,18.0,18.0,18.0,18.0,2208000,2000,1,18.0,18.0
2001-12-31,18.0,18.0,18.0,18.0,3813300,3420,3,18.0,18.0
2002-01-01,18.0,18.0,18.0,18.0,34060374,30249,13,18.0,18.0
2002-01-02,18.0,18.0,18.0,18.0,1732788,1524,2,18.0,18.0
2002-01-06,19.0,19.0,19.0,19.0,1606052,1399,4,18.0,19.0
2002-01-07,19.0,19.0,19.0,19.0,1159000,1000,1,19.0,19.0
2002-01-12,19.0,19.0,19.0,19.0,1170000,1000,1,19.0,19.0
2002-01-15,19.0,19.0,19.0,19.0,1181000,1000,1,19.0,19.0
2002-01-16,19.0,19.0,19.0,19.0,1192000,1000,2,19.0,19.0
2002-01-19,20.0,20.0,20.0,20.0,1203000,1000,2,19.0,20.0
2002-01-20,20.0,20.0,20.0,20.0,607500,500,2,20.0,20.0
2002-01-21,20.0,20.0,20.0,20.0,1227000,1000,2,20.0,20.0
2002-01-22,20.0,20.0,20.0,20.0,1239000,1000,2,20.0,20.0
2002-01-23,20.0,20.0,20.0,20.0,55669500,44500,15,20.0,20.0
2002-01-26,20.0,20.0,20.0,20.0,1263000,1000,1,20.0,20.0
2002-01-27,21.0,21.0,21.0,21.0,6375000,5000,8,20.0,21.0
2002-01-28,21.0,21.0,21.0,21.0,52540488,40824,12,21.0,21.0
2002-01-29,21.0,21.0,21.0,21.0,32397060,24940,7,21.0,21.0
2002-01-30,21.0,21.0,21.0,21.0,1473564,1124,2,21.0,21.0
2002-02-02,21.0,21.0,21.0,21.0,1324000,1000,1,21.0,21.0
2002-02-05,22.0,22.0,22.0,22.0,133700,100,1,21.0,22.0
2002-02-06,22.0,22.0,22.0,22.0,135000,100,1,22.0,22.0
2002-02-09,22.0,22.0,22.0,22.0,204450,150,1,22.0,22.0
2002-02-10,22.0,22.0,22.0,22.0,8049600,5850,3,22.0,22.0
2002-12-29,18.0,18.0,18.0,18.0,1100000,1000,1,22.0,18.0
2003-01-19,17.0,17.0,17.0,17.0,3152000,3000,3,18.0,17.0
2003-01-20,16.0,16.0,16.0,16.0,3000000,3000,3,17.0,16.0
2003-01-25,15.0,16.0,15.0,16.0,77821750,81865,25,16.0,16.0
2003-01-29,15.0,16.0,15.0,16.0,39212350,41000,14,16.0,16.0
2003-02-02,16.0,16.0,16.0,16.0,19800,20,1,16.0,16.0
2003-02-03,16.0,16.0,16.0,16.0,7304288,7408,4,16.0,16.0
2003-02-04,15.0,15.0,15.0,15.0,79667700,83966,17,16.0,15.0
2003-02-05,15.0,15.0,15.0,15.0,19897672,22024,10,15.0,15.0
2003-02-08,15.0,15.0,15.0,15.0,34723380,38216,12,15.0,15.0
2003-02-09,15.0,15.0,15.0,15.0,12724550,13889,2,15.0,15.0
2003-02-10,15.0,15.0,15.0,15.0,5160836,5715,2,15.0,15.0
2003-02-18,15.0,15.0,15.0,15.0,1896000,2000,1,15.0,15.0
2003-02-19,15.0,15.0,15.0,15.0,2039310,2241,1,15.0,15.0
2003-02-23,15.0,15.0,15.0,15.0,910000,1000,1,15.0,15.0
2003-02-24,15.0,15.0,15.0,15.0,105560,116,1,15.0,15.0
2003-02-25,15.0,15.0,15.0,15.0,910000,1000,1,15.0,15.0
2003-02-26,15.0,15.0,15.0,15.0,7614492,8068,8,15.0,15.0
2003-03-01,15.0,15.0,15.0,15.0,2834000,3000,2,15.0,15.0
2003-03-02,15.0,15.0,15.0,15.0,1079580,1140,1,15.0,15.0
2003-03-03,15.0,16.0,15.0,16.0,2170000,2200,2,15.0,16.0
2003-03-05,16.0,16.0,16.0,16.0,59400,60,2,16.0,16.0
2003-03-09,16.0,16.0,16.0,16.0,15799344,16000,11,16.0,16.0
2003-03-10,16.0,16.0,16.0,16.0,4967360,5000,2,16.0,16.0
2003-03-12,16.0,16.0,16.0,16.0,662005332,662668,1,16.0,16.0
2003-03-18,16.0,16.0,16.0,16.0,298560,311,1,16.0,16.0
2003-03-30,16.0,16.0,16.0,16.0,14987736,15000,5,16.0,16.0
2003-03-31,16.0,16.0,16.0,16.0,14116200,14695,6,16.0,16.0
2003-04-05,15.0,16.0,15.0,16.0,5060850,5275,3,16.0,16.0
2003-04-06,16.0,16.0,16.0,16.0,1063000,1064,2,16.0,16.0
2003-04-07,15.0,16.0,15.0,16.0,7767050,8000,4,16.0,16.0
2003-04-08,16.0,16.0,16.0,16.0,1000000,1000,1,16.0,16.0
2003-04-09,16.0,16.0,16.0,16.0,5495040,5500,2,16.0,16.0
2003-04-12,16.0,16.0,16.0,16.0,1099000,1100,3,16.0,16.0
2003-04-13,16.0,16.0,16.0,16.0,1000000,1000,1,16.0,16.0
2003-04-14,15.0,16.0,15.0,16.0,3151270,3255,3,16.0,16.0
2003-04-15,16.0,16.0,16.0,16.0,19992024,20000,7,16.0,16.0
2003-04-16,16.0,16.0,16.0,16.0,1000000,1000,1,16.0,16.0
2003-04-20,16.0,16.0,15.0,16.0,18809790,19497,14,16.0,16.0
2003-04-26,16.0,16.0,16.0,16.0,3399884,3400,3,16.0,16.0
2003-04-28,16.0,16.0,16.0,16.0,10000000,10000,3,16.0,16.0
2003-04-29,16.0,16.0,16.0,16.0,36891000,36891,22,16.0,16.0
2003-05-04,16.0,16.0,16.0,16.0,13082069,13069,10,16.0,16.0
2003-05-05,16.0,17.0,16.0,17.0,34620800,34372,7,16.0,17.0
2003-05-06,18.0,18.0,18.0,18.0,5395000,5000,1,17.0,18.0
2003-05-07,18.0,18.0,18.0,18.0,7215368,6374,3,18.0,18.0
2003-05-12,18.0,18.0,18.0,18.0,4653210,4119,4,18.0,18.0
2003-05-13,18.0,18.0,18.0,18.0,4540000,4000,2,18.0,18.0
2003-05-14,18.0,18.0,18.0,18.0,2482605,2185,6,18.0,18.0
2003-05-17,19.0,19.0,19.0,19.0,992670,870,1,18.0,19.0
2003-05-18,18.0,19.0,18.0,19.0,6850000,6000,4,19.0,19.0
2003-05-21,19.0,19.0,19.0,19.0,4752000,4000,1,19.0,19.0
2003-05-24,18.0,20.0,18.0,20.0,15036560,12294,4,19.0,20.0
2003-05-25,20.0,20.0,20.0,20.0,1250000,1000,1,20.0,20.0
2003-05-26,20.0,20.0,20.0,20.0,145000,116,1,20.0,20.0
2003-05-27,20.0,20.0,20.0,20.0,2355000,1884,1,20.0,20.0
2003-05-28,20.0,20.0,20.0,20.0,5145000,4116,1,20.0,20.0
2003-05-31,19.0,20.0,19.0,20.0,2438000,2000,2,20.0,20.0
2003-06-01,20.0,20.0,20.0,20.0,1250000,1000,1,20.0,20.0
2005-08-30,16.0,19.0,16.0,16.0,384289805,382000,40,20.0,16.0
2005-08-31,17.0,17.0,17.0,17.0,42200000,40000,14,16.0,17.0
2005-09-03,18.0,18.0,18.0,18.0,45387000,41000,7,17.0,18.0
2005-09-04,19.0,19.0,17.0,19.0,482498194,439908,49,18.0,19.0
2005-09-05,20.0,20.0,20.0,20.0,40209590,33000,13,19.0,20.0
2005-09-06,21.0,21.0,20.0,21.0,64642199,51110,37,20.0,21.0
2005-09-07,22.0,22.0,22.0,22.0,145046408,109304,27,21.0,22.0
2005-09-10,23.0,23.0,22.0,22.0,79332853,57277,26,22.0,22.0
2005-09-11,22.0,22.0,22.0,22.0,21993699,16204,15,22.0,22.0
2005-09-12,21.0,22.0,21.0,22.0,8477840,6496,4,22.0,22.0
2005-09-18,21.0,22.0,21.0,22.0,26540,20,2,22.0,22.0
2005-09-19,21.0,22.0,21.0,22.0,111878,86,2,22.0,22.0
2005-09-25,21.0,22.0,21.0,22.0,2599600,2010,2,22.0,22.0
2005-09-28,21.0,22.0,21.0,22.0,6473570,5010,6,22.0,22.0
2005-10-01,21.0,22.0,21.0,22.0,6463540,5010,6,22.0,22.0
2005-10-05,21.0,22.0,21.0,22.0,4985201,3873,2,22.0,22.0
2005-10-30,21.0,22.0,21.0,22.0,1002960,780,2,22.0,22.0
2005-11-07,21.0,21.0,21.0,21.0,1284000,1000,1,22.0,21.0
2005-11-08,20.0,20.0,20.0,20.0,1220000,1000,1,21.0,20.0
2005-11-09,19.0,20.0,19.0,20.0,1171190,1010,2,20.0,20.0
2005-12-04,19.0,19.0,19.0,19.0,1159000,1000,1,20.0,19.0
2005-12-05,18.0,18.0,18.0,18.0,1102000,1000,1,19.0,18.0
2005-12-10,17.0,18.0,17.0,18.0,1058010,1010,2,18.0,18.0
2005-12-14,17.0,18.0,17.0,18.0,1057000,1010,2,18.0,18.0
2005-12-21,17.0,18.0,17.0,18.0,1055990,1010,2,18.0,18.0
2005-12-25,17.0,18.0,17.0,18.0,21440,20,2,18.0,18.0
2006-01-07,17.0,17.0,17.0,17.0,267205475,255655,64,18.0,17.0
2006-01-09,17.0,17.0,17.0,17.0,92991125,89034,18,17.0,17.0
2006-01-14,17.0,17.0,17.0,17.0,1043000,1000,1,17.0,17.0
2006-01-16,17.0,17.0,17.0,17.0,30940400,30010,4,17.0,17.0
2006-01-17,17.0,17.0,17.0,17.0,20630380,20010,4,17.0,17.0
2006-01-29,16.0,17.0,16.0,17.0,39081124,39252,14,17.0,17.0
2006-01-30,16.0,17.0,16.0,17.0,29142389,28851,5,17.0,17.0
2006-02-01,17.0,17.0,17.0,17.0,41076395,40017,9,17.0,17.0
