date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-02-06,3968.0,3968.0,3968.0,3968.0,49760000000,160000,1604,13.0,3968.0
2022-02-07,4086.0,4086.0,4086.0,4086.0,44618430600,139302,2594,3968.0,4086.0
2022-02-08,4209.0,4209.0,4209.0,4209.0,15505300000,47000,952,4086.0,4209.0
2022-02-09,4335.0,4335.0,4335.0,4335.0,11515486500,33894,630,4209.0,4335.0
2022-02-12,4551.0,4551.0,4551.0,4551.0,12750241500,35745,677,4335.0,4551.0
2022-02-13,4687.0,4687.0,4414.0,4628.0,256625287300,707409,13832,4551.0,4434.0
2022-02-14,4490.0,4490.0,4490.0,4597.0,2613209400,7426,151,4628.0,4490.0
2022-02-16,4460.0,4460.0,4460.0,4588.0,841366850,2407,52,4597.0,4460.0
2022-02-19,4451.0,4451.0,4451.0,4578.0,876660050,2513,47,4588.0,4451.0
2022-02-20,4349.0,4349.0,4349.0,4555.0,1127015400,3306,78,4578.0,4349.0
2022-02-21,4419.0,4419.0,4419.0,4552.0,290587650,839,22,4555.0,4419.0
2022-02-22,4416.0,4416.0,4416.0,4551.0,84448400,244,14,4552.0,4416.0
2022-02-23,4414.0,4414.0,4414.0,4549.0,158468000,458,22,4551.0,4414.0
2022-02-26,4322.0,4322.0,4322.0,4447.0,5105640000,15072,332,4549.0,4322.0
2022-02-27,4314.0,4314.0,4314.0,4438.0,746862900,2209,46,4447.0,4314.0
2022-02-28,4305.0,4305.0,4305.0,4430.0,655665350,1943,48,4438.0,4305.0
2022-03-02,4298.0,4298.0,4298.0,4428.0,214910300,638,19,4430.0,4298.0
2022-03-05,4206.0,4206.0,4206.0,4402.0,1324734600,4018,108,4428.0,4206.0
2022-03-06,4270.0,4270.0,4270.0,4401.0,77973450,233,11,4402.0,4270.0
2022-03-07,4270.0,4270.0,4270.0,4398.0,252995400,756,19,4401.0,4270.0
2022-03-08,4266.0,4266.0,4266.0,4393.0,361152000,1080,23,4398.0,4266.0
2022-03-09,4174.0,4174.0,4174.0,4382.0,533581650,1631,40,4393.0,4174.0
2022-03-12,4251.0,4251.0,4251.0,4251.0,32275084800,96864,2002,4382.0,4251.0
2022-03-13,4124.0,4124.0,4124.0,4227.0,2078820750,6431,133,4251.0,4124.0
2022-03-14,4101.0,4101.0,4101.0,4226.0,56566400,176,5,4227.0,4101.0
2022-03-15,4015.0,4015.0,4015.0,4132.0,4706967900,14957,320,4226.0,4015.0
2022-03-16,4009.0,4009.0,4009.0,4009.0,450562800,1434,37,4132.0,4009.0
2022-03-19,3889.0,4009.0,3889.0,3893.0,133064924400,436034,8861,4009.0,3889.0
2022-03-26,3789.0,3879.0,3776.0,3782.0,14493457600,48890,1006,3893.0,3776.0
2022-03-27,3593.0,3776.0,3593.0,3645.0,74119196150,259431,5260,3782.0,3593.0
2022-03-29,3536.0,3604.0,3536.0,3539.0,13688058800,49356,934,3645.0,3536.0
2022-03-30,3433.0,3433.0,3433.0,3433.0,13768364700,51174,1109,3539.0,3433.0
2022-04-03,3333.0,3535.0,3333.0,3502.0,24223866350,88258,1704,3433.0,3535.0
2022-04-04,3606.0,3606.0,3606.0,3562.0,6103261450,21593,440,3502.0,3606.0
2022-04-05,3669.0,3669.0,3669.0,3590.0,2734600500,9510,201,3562.0,3669.0
2022-04-06,3769.0,3769.0,3630.0,3767.0,87017002800,294718,5716,3590.0,3769.0
2022-04-09,3816.0,3880.0,3654.0,3776.0,28446420200,96099,2049,3767.0,3880.0
2022-04-10,3853.0,3889.0,3676.0,3857.0,13756523950,45501,942,3776.0,3889.0
2022-04-11,3972.0,3973.0,3879.0,3923.0,5939635700,19076,414,3857.0,3973.0
2022-04-12,4040.0,4040.0,3815.0,3995.0,36662938300,117101,2328,3923.0,4039.0
2022-04-13,3995.0,4114.0,3995.0,4111.0,16534680650,51314,1075,3995.0,4114.0
2022-04-16,4234.0,4234.0,4111.0,4234.0,28046250850,84514,1449,4111.0,4234.0
2022-04-17,4361.0,4361.0,4261.0,4317.0,7712456200,22578,468,4234.0,4361.0
2022-04-18,4447.0,4447.0,4446.0,4447.0,32445122800,93086,1828,4317.0,4447.0
2022-04-19,4580.0,4580.0,4351.0,4520.0,28626573550,80793,1678,4447.0,4414.0
2022-04-20,4385.0,4534.0,4385.0,4388.0,41864662250,121713,2506,4520.0,4440.0
2022-04-24,4301.0,4520.0,4257.0,4332.0,14221779500,41882,879,4388.0,4257.0
2022-04-25,4204.0,4210.0,4203.0,4258.0,6309493200,19154,415,4332.0,4203.0
2022-04-26,4131.0,4250.0,4131.0,4196.0,5346527750,16511,376,4258.0,4131.0
2022-04-27,4070.0,4321.0,4070.0,4233.0,30739294600,92662,1967,4196.0,4321.0
2022-04-30,4360.0,4360.0,4338.0,4360.0,12402941150,36299,696,4233.0,4360.0
2022-05-01,4490.0,4490.0,4236.0,4372.0,11198288550,32678,676,4360.0,4314.0
2022-05-02,4249.0,4436.0,4241.0,4252.0,19984758100,59964,1249,4372.0,4338.0
2022-05-07,4251.0,4337.0,4125.0,4182.0,14164479300,43218,925,4252.0,4191.0
2022-05-08,4305.0,4307.0,4131.0,4194.0,7483984550,22736,476,4182.0,4155.0
2022-05-09,4210.0,4319.0,4123.0,4273.0,9758540950,29051,593,4194.0,4319.0
2022-05-10,4398.0,4401.0,4153.0,4397.0,33212671850,96365,1871,4273.0,4401.0
2022-05-11,4465.0,4529.0,4402.0,4499.0,17641921050,50029,976,4397.0,4444.0
2022-05-14,4402.0,4634.0,4402.0,4626.0,14437058600,39823,814,4499.0,4634.0
2022-05-15,4649.0,4764.0,4625.0,4756.0,26257355100,70441,1438,4626.0,4761.0
2022-05-16,4759.0,4898.0,4759.0,4897.0,25850226150,67349,1395,4756.0,4898.0
2022-05-17,4898.0,5039.0,4750.0,4800.0,18938427200,50338,1092,4897.0,4955.0
2022-05-18,4935.0,4943.0,4671.0,4828.0,13612414850,35971,643,4800.0,4809.0
2022-05-21,4810.0,4848.0,4689.0,4820.0,21018959250,55636,1035,4828.0,4828.0
2022-05-22,4848.0,4950.0,4721.0,4840.0,10567063700,27831,509,4820.0,4848.0
2022-05-23,4728.0,4937.0,4695.0,4838.0,13292801500,35057,662,4840.0,4784.0
2022-05-24,4699.0,4974.0,4699.0,4881.0,19485882050,50935,1003,4838.0,4886.0
2022-05-25,4765.0,4974.0,4763.0,4877.0,7398732750,19361,356,4881.0,4931.0
2022-05-28,4848.0,4848.0,4744.0,4865.0,1696781750,4524,107,4877.0,4835.0
2022-05-29,4735.0,4845.0,4720.0,4833.0,2934481650,7916,192,4865.0,4720.0
2022-05-30,4694.0,4721.0,4689.0,4791.0,3665948050,9970,224,4833.0,4689.0
2022-05-31,4648.0,4652.0,4648.0,4685.0,9106115500,24995,550,4791.0,4648.0
2022-06-01,4545.0,4673.0,4545.0,4551.0,22162154900,62135,1218,4685.0,4546.0
2022-06-06,4416.0,4619.0,4414.0,4474.0,12466194600,35549,701,4551.0,4619.0
2022-06-07,4608.0,4608.0,4529.0,4597.0,11173375500,30939,195,4474.0,4608.0
2022-06-11,4735.0,4735.0,4459.0,4532.0,6475547600,18448,111,4597.0,4459.0
2022-06-12,4396.0,4572.0,4396.0,4481.0,4969869700,14365,204,4532.0,4402.0
2022-06-13,4529.0,4529.0,4347.0,4367.0,10872501900,31811,330,4481.0,4347.0
2022-06-14,4463.0,4464.0,4236.0,4351.0,4046493600,11945,90,4367.0,4249.0
2022-06-15,4223.0,4404.0,4223.0,4337.0,1907418850,5703,78,4351.0,4250.0
2022-06-18,4237.0,4337.0,4209.0,4286.0,5222614000,15757,138,4337.0,4212.0
2022-06-19,4210.0,4337.0,4159.0,4252.0,3379362550,10331,137,4286.0,4181.0
2022-06-20,4158.0,4326.0,4158.0,4249.0,2371222300,7140,105,4252.0,4249.0
2022-06-21,4312.0,4333.0,4161.0,4251.0,1713353300,5126,59,4249.0,4249.0
2022-06-22,4249.0,4378.0,4124.0,4211.0,15812317800,47906,208,4251.0,4254.0
2022-06-25,4337.0,4337.0,4147.0,4222.0,2361674750,7067,74,4211.0,4224.0
2022-06-26,4212.0,4338.0,4123.0,4218.0,1947468850,5915,65,4222.0,4210.0
2022-06-27,4253.0,4254.0,4095.0,4213.0,782007300,2401,43,4218.0,4108.0
2022-07-02,4089.0,4089.0,4087.0,4203.0,847028050,2644,27,4213.0,4087.0
2022-07-03,4078.0,4203.0,4078.0,4146.0,4838585100,15139,92,4203.0,4078.0
2022-07-04,4249.0,4250.0,4022.0,4065.0,7362118850,23309,154,4146.0,4022.0
2022-07-05,3944.0,4044.0,3944.0,3945.0,12872782250,41635,225,4065.0,3944.0
2022-07-06,3827.0,4057.0,3827.0,3901.0,3972499050,13223,152,3945.0,3827.0
2022-07-27,3784.0,3784.0,3784.0,3894.0,624936200,2107,24,3901.0,3784.0
2022-07-30,3777.0,3777.0,3777.0,3886.0,660191500,2230,26,3894.0,3777.0
2022-08-13,3770.0,4002.0,3770.0,3799.0,10119318950,33981,199,3886.0,3770.0
2022-08-14,3725.0,3725.0,3686.0,3755.0,3846891900,13310,112,3799.0,3686.0
2022-08-15,3642.0,3642.0,3642.0,3737.0,1530565500,5361,43,3755.0,3642.0
2022-08-30,3848.0,3848.0,3625.0,3698.0,3628312150,12795,91,3737.0,3625.0
2022-08-31,3588.0,3588.0,3588.0,3690.0,726040000,2593,29,3698.0,3588.0
2022-09-03,3580.0,3580.0,3580.0,3684.0,535609800,1917,19,3690.0,3580.0
2022-09-04,3574.0,3574.0,3574.0,3680.0,395551100,1418,17,3684.0,3574.0
2022-09-05,3570.0,3570.0,3570.0,3670.0,817969600,2936,21,3680.0,3570.0
2022-09-06,3561.0,3561.0,3561.0,3663.0,681410800,2452,15,3670.0,3561.0
2022-09-07,3553.0,3553.0,3553.0,3632.0,2620485000,9450,75,3663.0,3553.0
2022-09-10,3524.0,3524.0,3524.0,3609.0,2122175000,7717,39,3632.0,3524.0
2022-09-11,3501.0,3501.0,3501.0,3606.0,262593250,961,13,3609.0,3501.0
2022-09-12,3498.0,3498.0,3498.0,3602.0,269451000,987,16,3606.0,3498.0
2022-09-13,3495.0,3495.0,3495.0,3581.0,1901885750,6973,36,3602.0,3495.0
2022-09-14,3474.0,3474.0,3474.0,3575.0,572397650,2111,21,3581.0,3474.0
2022-09-18,3468.0,3468.0,3468.0,3574.0,129912000,480,15,3575.0,3468.0
2022-09-19,3467.0,3467.0,3467.0,3495.0,7068389300,26126,34,3574.0,3467.0
2022-09-20,3391.0,3391.0,3391.0,3433.0,5626988300,21262,26,3495.0,3391.0
2022-09-21,3331.0,3331.0,3331.0,3368.0,5961953250,22935,32,3433.0,3331.0
2022-09-28,3267.0,3267.0,3267.0,3303.0,6305895000,24729,35,3368.0,3267.0
2022-10-01,3204.0,3204.0,3204.0,3244.0,5764652700,23054,23,3303.0,3204.0
2022-10-02,3147.0,3147.0,3147.0,3190.0,5252401600,21386,17,3244.0,3147.0
2022-10-03,3095.0,3095.0,3095.0,3134.0,5520866800,22856,22,3190.0,3095.0
2022-10-04,3041.0,3041.0,3041.0,3041.0,13315140300,56111,126,3134.0,3041.0
2022-10-08,2950.0,2950.0,2950.0,2979.0,6550110800,28454,75,3041.0,2950.0
2022-10-09,2890.0,2890.0,2890.0,2930.0,5236594350,23217,50,2979.0,2890.0
2022-10-10,2842.0,2842.0,2842.0,2883.0,5004695200,22564,60,2930.0,2842.0
2022-10-11,2796.0,2969.0,2796.0,2875.0,80015394800,356663,779,2883.0,2969.0
2022-10-12,2960.0,2960.0,2960.0,2960.0,23628092200,102264,230,2875.0,2960.0
2022-10-16,3049.0,3049.0,3005.0,3048.0,26695217150,112220,274,2960.0,3049.0
2022-10-17,3011.0,3048.0,2957.0,2968.0,25118266950,108437,399,3048.0,3048.0
2022-10-18,3048.0,3048.0,2896.0,2998.0,12486345300,53365,207,2968.0,2947.0
2022-10-19,2953.0,2993.0,2921.0,2982.0,3104098150,13510,86,2998.0,2934.0
2022-10-24,2893.0,2972.0,2893.0,2897.0,12672372300,56052,138,2982.0,2893.0
2022-10-25,2811.0,2814.0,2811.0,2841.0,6141737100,27998,92,2897.0,2811.0
2022-10-26,2755.0,2756.0,2755.0,2755.0,9673380350,44982,80,2841.0,2755.0
2022-10-29,2673.0,2673.0,2673.0,2679.0,9031128400,43294,41,2755.0,2673.0
2022-10-30,2598.0,2627.0,2598.0,2598.0,25641064650,126434,89,2679.0,2598.0
2022-10-31,2538.0,2676.0,2538.0,2628.0,12955644450,63174,187,2598.0,2676.0
2022-11-01,2676.0,2676.0,2549.0,2557.0,17243085600,86420,340,2628.0,2549.0
2022-11-02,2629.0,2629.0,2481.0,2515.0,5513204950,28383,172,2557.0,2483.0
2022-11-05,2499.0,2590.0,2499.0,2583.0,19135903050,94913,389,2515.0,2577.0
2022-11-06,2563.0,2583.0,2508.0,2557.0,8742331100,43866,168,2583.0,2563.0
2022-11-07,2614.0,2634.0,2563.0,2625.0,20036099850,97793,215,2557.0,2634.0
2022-11-08,2704.0,2704.0,2618.0,2668.0,9556759250,45823,159,2625.0,2648.0
2022-11-09,2625.0,2742.0,2618.0,2659.0,8825628350,42555,116,2668.0,2688.0
2022-11-13,2711.0,2711.0,2678.0,2666.0,1409157100,6674,45,2659.0,2708.0
2022-11-14,2640.0,2720.0,2604.0,2673.0,5722432100,27365,94,2666.0,2720.0
2022-11-15,2742.0,2754.0,2705.0,2698.0,3191540650,14856,83,2673.0,2754.0
2022-11-16,2698.0,2778.0,2698.0,2778.0,13864422400,63949,214,2698.0,2778.0
2022-11-19,2861.0,2861.0,2818.0,2857.0,28841069950,129342,392,2778.0,2844.0
2022-11-20,2819.0,2916.0,2772.0,2814.0,11292957100,51422,212,2857.0,2866.0
2022-11-21,2833.0,2898.0,2806.0,2893.0,23052265400,102100,196,2814.0,2832.0
2022-11-22,2848.0,2980.0,2814.0,2951.0,8688611900,37553,143,2893.0,2978.0
2022-11-23,3040.0,3040.0,2951.0,3014.0,30496307750,129665,341,2951.0,2953.0
2022-11-26,3013.0,3103.0,2923.0,2992.0,22654942100,96994,351,3014.0,2923.0
2022-11-27,2907.0,2942.0,2903.0,2907.0,9731855500,42888,121,2992.0,2903.0
2022-11-28,2944.0,2965.0,2853.0,2912.0,6219035700,27334,90,2907.0,2871.0
2022-11-29,2883.0,2912.0,2829.0,2900.0,3726564550,16568,70,2912.0,2909.0
2022-11-30,2918.0,2921.0,2814.0,2843.0,8221055400,37167,109,2900.0,2823.0
2022-12-03,2761.0,2894.0,2761.0,2824.0,11181389500,50728,122,2843.0,2851.0
2022-12-04,2799.0,2821.0,2743.0,2806.0,3713282700,17135,86,2824.0,2780.0
2022-12-05,2785.0,2785.0,2730.0,2777.0,4256610550,19912,120,2806.0,2736.0
2022-12-06,2758.0,2819.0,2693.0,2712.0,17284533900,81674,219,2777.0,2819.0
2022-12-07,2780.0,2793.0,2712.0,2771.0,34551690200,159786,342,2712.0,2793.0
2022-12-10,2852.0,2853.0,2755.0,2837.0,16398640100,74074,140,2771.0,2755.0
2022-12-11,2832.0,2919.0,2805.0,2907.0,18712716000,82480,57,2837.0,2898.0
2022-12-12,2992.0,2994.0,2909.0,2982.0,19621994550,84324,126,2907.0,2941.0
2022-12-13,3045.0,3070.0,3014.0,3054.0,31740438500,133164,151,2982.0,3057.0
2022-12-14,3075.0,3146.0,3062.0,3123.0,27283954100,111944,186,3054.0,3088.0
2022-12-17,3184.0,3217.0,3152.0,3199.0,26329383300,105460,273,3123.0,3217.0
2022-12-18,3199.0,3294.0,3199.0,3291.0,22105559200,86070,192,3199.0,3294.0
2022-12-19,3370.0,3390.0,3200.0,3339.0,19146389800,73466,232,3291.0,3200.0
2022-12-20,3239.0,3438.0,3239.0,3372.0,27607670250,104915,222,3339.0,3290.0
2022-12-21,3472.0,3472.0,3393.0,3456.0,19570752700,72567,171,3372.0,3441.0
2022-12-24,3449.0,3559.0,3449.0,3550.0,23946784400,86441,165,3456.0,3556.0
2022-12-25,3655.0,3656.0,3536.0,3619.0,27728956000,98179,235,3550.0,3543.0
2022-12-26,3715.0,3715.0,3626.0,3693.0,20800003400,72156,164,3619.0,3638.0
2022-12-28,3801.0,3802.0,3728.0,3779.0,13013952200,44120,139,3693.0,3802.0
2022-12-31,3712.0,3889.0,3666.0,3781.0,27294425200,92494,171,3779.0,3666.0
2023-01-01,3882.0,3882.0,3668.0,3788.0,39148760350,132432,309,3781.0,3668.0
2023-01-02,3844.0,3882.0,3724.0,3830.0,42164000150,141068,250,3788.0,3763.0
2023-01-03,3944.0,3944.0,3739.0,3927.0,45745719700,149288,192,3830.0,3744.0
2023-01-04,4009.0,4030.0,3809.0,3903.0,23217101550,76204,188,3927.0,3809.0
2023-01-07,3787.0,3787.0,3787.0,3796.0,9153479050,30971,138,3903.0,3787.0
2023-01-08,3682.0,3877.0,3682.0,3686.0,47436217400,164881,398,3796.0,3682.0
2023-01-09,3612.0,3796.0,3612.0,3760.0,172989693300,589472,209,3686.0,3751.0
2023-01-10,3823.0,3868.0,3647.0,3737.0,61835309700,212023,440,3760.0,3679.0
2023-01-11,3836.0,3836.0,3625.0,3697.0,51377904050,178084,380,3737.0,3625.0
2023-01-14,3799.0,3799.0,3586.0,3651.0,64273051750,225563,380,3697.0,3586.0
2023-01-16,3542.0,3714.0,3542.0,3570.0,119575191200,429101,1108,3651.0,3588.0
2023-01-17,3623.0,3677.0,3623.0,3670.0,44082368700,153929,422,3570.0,3677.0
2023-01-18,3779.0,3779.0,3735.0,3779.0,28578440800,96898,179,3670.0,3779.0
2023-01-21,3892.0,3892.0,3840.0,3891.0,83186159300,273919,261,3779.0,3892.0
2023-01-22,4008.0,4008.0,3893.0,4007.0,31493795000,100694,159,3891.0,4008.0
2023-01-23,4127.0,4127.0,4075.0,4125.0,120223389350,373398,459,4007.0,4127.0
2023-01-24,4244.0,4244.0,4001.0,4013.0,52221135050,166733,426,4125.0,4002.0
2023-01-25,4100.0,4100.0,3924.0,4079.0,15927416300,50031,49,4013.0,4036.0
2023-01-28,4036.0,4036.0,3957.0,3957.0,12341433400,39958,72,4079.0,3957.0
2023-01-29,3839.0,3839.0,3839.0,3839.0,7368062800,24593,13,3957.0,3839.0
2023-01-30,3724.0,3729.0,3724.0,3724.0,53747020600,184919,123,3839.0,3724.0
2023-01-31,3620.0,3718.0,3620.0,3659.0,6048936850,21183,103,3724.0,3629.0
2023-02-01,3722.0,3722.0,3604.0,3658.0,6524203900,22851,67,3659.0,3613.0
2023-02-05,3626.0,3698.0,3549.0,3566.0,16675439100,59906,132,3658.0,3698.0
2023-02-06,3562.0,3583.0,3474.0,3499.0,5764465500,21107,55,3566.0,3534.0
2023-02-07,3522.0,3602.0,3522.0,3573.0,5462212700,19589,72,3499.0,3587.0
2023-02-08,3602.0,3602.0,3466.0,3486.0,4057177000,14910,48,3573.0,3467.0
2023-02-12,3549.0,3549.0,3384.0,3455.0,2374359700,8805,35,3486.0,3397.0
2023-02-13,3375.0,3498.0,3375.0,3426.0,5087154300,19027,50,3455.0,3426.0
2023-02-14,3325.0,3370.0,3323.0,3324.0,9274084050,35752,111,3426.0,3323.0
2023-02-15,3225.0,3308.0,3224.0,3234.0,5596881200,22173,78,3324.0,3230.0
2023-02-19,3265.0,3331.0,3195.0,3263.0,4973027250,19528,65,3234.0,3294.0
2023-02-20,3329.0,3360.0,3329.0,3359.0,12311975200,46966,61,3263.0,3360.0
2023-02-21,3460.0,3460.0,3391.0,3459.0,63168752050,233983,150,3359.0,3460.0
2023-02-22,3549.0,3549.0,3356.0,3444.0,13281506200,49413,141,3459.0,3524.0
2023-02-25,3539.0,3547.0,3539.0,3547.0,24562620750,88724,84,3444.0,3547.0
2023-02-26,3654.0,3654.0,3499.0,3638.0,31564101750,111186,140,3547.0,3651.0
2023-02-27,3729.0,3729.0,3574.0,3615.0,8640134300,30622,68,3638.0,3665.0
2023-02-28,3702.0,3714.0,3569.0,3618.0,2435118150,8624,42,3615.0,3636.0
2023-03-01,3722.0,3722.0,3579.0,3649.0,1037802450,3644,24,3618.0,3579.0
2023-03-04,3592.0,3592.0,3540.0,3543.0,17418334800,62990,130,3649.0,3540.0
2023-03-05,3643.0,3643.0,3508.0,3595.0,2649153800,9443,38,3543.0,3566.0
2023-03-06,3690.0,3690.0,3487.0,3493.0,19514575550,71577,104,3595.0,3487.0
2023-03-07,3491.0,3588.0,3389.0,3427.0,5169385300,19325,52,3493.0,3527.0
2023-03-11,3370.0,3530.0,3370.0,3516.0,11398745250,41542,97,3427.0,3529.0
2023-03-12,3473.0,3473.0,3411.0,3420.0,13459387450,50425,87,3516.0,3419.0
2023-03-13,3345.0,3522.0,3345.0,3515.0,13264060450,48345,88,3420.0,3522.0
2023-03-14,3470.0,3588.0,3470.0,3533.0,2425730700,8797,51,3515.0,3501.0
2023-03-15,3567.0,3639.0,3567.0,3626.0,8999650250,31803,75,3533.0,3573.0
2023-03-18,3591.0,3734.0,3591.0,3729.0,11794334150,40523,138,3626.0,3734.0
2023-03-19,3634.0,3716.0,3634.0,3650.0,2350855450,8252,26,3729.0,3703.0
2023-03-28,3759.0,3759.0,3759.0,3759.0,21978594000,74910,156,3650.0,3759.0
2023-03-29,3737.0,3870.0,3679.0,3739.0,15294718250,52414,133,3759.0,3754.0
2023-04-03,3739.0,3851.0,3739.0,3850.0,168047132800,559308,256,3739.0,3851.0
2023-04-04,3965.0,3965.0,3921.0,3963.0,57979269750,187468,176,3850.0,3965.0
2023-04-05,4081.0,4082.0,4005.0,4080.0,140684869400,441760,264,3963.0,4082.0
2023-04-08,4203.0,4203.0,4203.0,4203.0,12336736000,37612,18,4080.0,4203.0
2023-04-09,4328.0,4328.0,4328.0,4328.0,10786291800,31931,24,4203.0,4328.0
2023-04-10,4458.0,4458.0,4231.0,4412.0,216736350000,629404,488,4328.0,4457.0
2023-04-16,4544.0,4544.0,4544.0,4544.0,7450487200,21008,24,4412.0,4544.0
