date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-03-06,170.0,170.0,170.0,170.0,26700000,26700,1,170.0,170.0
2016-04-12,172.0,172.0,172.0,172.0,292900000,290000,1,170.0,172.0
2016-04-27,172.0,172.0,172.0,172.0,394950400,391040,1,172.0,172.0
2016-07-10,172.0,172.0,172.0,172.0,101000,100,1,172.0,172.0
2016-07-23,170.0,172.0,170.0,170.0,3300139120,3300000,4,172.0,172.0
2016-07-24,170.0,170.0,170.0,170.0,11000,11,2,170.0,170.0
2016-08-07,170.0,170.0,170.0,170.0,1110000,1110,2,170.0,170.0
2016-08-15,169.0,169.0,169.0,169.0,990000,1000,1,170.0,169.0
2016-09-10,170.0,170.0,170.0,170.0,10000,10,1,169.0,170.0
2016-12-04,169.0,169.0,169.0,169.0,49750000,50000,1,170.0,169.0
2017-03-07,119.0,119.0,119.0,119.0,19899600,28428,2,169.0,119.0
2017-03-15,131.0,131.0,131.0,131.0,241780,314,1,119.0,131.0
2017-04-04,119.0,120.0,118.0,119.0,62947102,90314,16,131.0,118.0
2017-04-10,129.0,129.0,129.0,129.0,4160000,5500,2,119.0,129.0
2017-04-12,142.0,142.0,142.0,142.0,17035500,20500,3,129.0,142.0
2017-04-15,156.0,156.0,156.0,156.0,38862366,42519,7,142.0,156.0
2017-04-16,171.0,171.0,171.0,171.0,48742500,48500,3,156.0,171.0
2017-04-17,175.0,178.0,154.0,162.0,30128100,31700,13,171.0,178.0
2017-04-18,146.0,158.0,146.0,150.0,99346840,112808,18,162.0,146.0
2017-04-19,163.0,163.0,153.0,160.0,12250000,13000,3,150.0,153.0
2017-04-22,144.0,168.0,144.0,148.0,110787422,127608,13,160.0,168.0
2017-04-23,162.0,162.0,160.0,162.0,28537419,30001,7,148.0,162.0
2017-04-26,162.0,164.0,162.0,162.0,2920670,3060,3,162.0,164.0
2017-04-29,146.0,153.0,146.0,149.0,13090000,15000,3,162.0,153.0
2017-05-20,134.0,134.0,134.0,134.0,19802211,25162,4,149.0,134.0
2017-05-21,134.0,134.0,134.0,134.0,7319100,9300,1,134.0,134.0
2017-05-22,147.0,147.0,147.0,147.0,43250000,50000,5,134.0,147.0
2017-05-24,141.0,141.0,141.0,141.0,107656810,129707,20,147.0,141.0
2017-05-27,150.0,156.0,150.0,153.0,113865381,126701,31,141.0,156.0
2017-05-28,167.0,167.0,153.0,158.0,89013727,95791,21,153.0,153.0
2017-05-30,160.0,174.0,160.0,170.0,89695641,90061,37,158.0,174.0
2017-05-31,174.0,186.0,174.0,178.0,166212567,158754,32,170.0,186.0
2017-06-03,195.0,196.0,195.0,195.0,30412984,26534,11,178.0,196.0
2017-06-07,215.0,215.0,215.0,215.0,128837520,102252,11,195.0,215.0
2017-06-10,193.0,221.0,193.0,201.0,82609260,70028,26,215.0,206.0
2017-06-12,218.0,221.0,218.0,221.0,131169273,101314,35,201.0,221.0
2017-06-13,243.0,243.0,205.0,225.0,140761872,106444,28,221.0,213.0
2017-06-14,213.0,233.0,213.0,218.0,20993256,16406,7,225.0,233.0
2017-06-18,231.0,240.0,231.0,239.0,88217272,62809,19,218.0,240.0
2017-06-19,242.0,263.0,242.0,262.0,163128090,106020,32,239.0,263.0
2017-06-20,288.0,288.0,239.0,244.0,112411618,78427,24,262.0,250.0
2017-06-21,250.0,255.0,239.0,242.0,139496412,98080,31,244.0,239.0
2017-06-24,245.0,245.0,245.0,245.0,35779581,24908,26,242.0,245.0
2017-06-25,222.0,240.0,222.0,222.0,93985140,72090,22,245.0,222.0
2017-07-01,226.0,244.0,226.0,240.0,341557011,242078,41,222.0,234.0
2017-07-02,242.0,250.0,238.0,240.0,188218120,133597,32,240.0,244.0
2017-07-03,240.0,252.0,238.0,239.0,647921294,461454,32,240.0,239.0
2017-07-05,243.0,244.0,227.0,238.0,72627425,51913,23,239.0,238.0
2017-07-08,238.0,238.0,238.0,238.0,1120000,800,1,238.0,238.0
2017-07-09,238.0,241.0,220.0,225.0,54745199,41380,9,238.0,238.0
2017-07-11,213.0,229.0,213.0,226.0,6756400,5100,4,225.0,229.0
2017-07-12,213.0,213.0,209.0,211.0,8676000,7000,3,226.0,210.0
2017-07-15,230.0,230.0,221.0,228.0,62934180,46950,17,211.0,229.0
2017-07-16,213.0,225.0,213.0,215.0,7518525,5955,5,228.0,225.0
2017-07-17,225.0,225.0,199.0,202.0,23758861,20001,10,215.0,199.0
2017-07-18,182.0,217.0,182.0,188.0,17816500,16110,6,202.0,213.0
2017-07-19,207.0,207.0,189.0,196.0,172986608,150688,13,188.0,207.0
2017-07-22,188.0,207.0,184.0,191.0,71421110,63823,17,196.0,199.0
2017-07-23,191.0,204.0,191.0,194.0,205315100,180001,34,191.0,194.0
2017-07-24,195.0,199.0,194.0,195.0,71204351,62138,18,194.0,194.0
2017-07-25,189.0,204.0,189.0,197.0,99672394,86144,21,195.0,192.0
2017-07-26,202.0,202.0,198.0,198.0,78059940,67000,13,197.0,198.0
2017-07-29,187.0,211.0,187.0,195.0,199439960,174010,37,198.0,201.0
2017-07-30,194.0,204.0,191.0,193.0,237706360,209245,40,195.0,193.0
2017-07-31,191.0,200.0,189.0,195.0,114290317,99809,33,193.0,194.0
2017-08-01,194.0,201.0,189.0,196.0,47301816,41164,20,195.0,194.0
2017-08-02,184.0,196.0,183.0,190.0,92431200,83027,21,196.0,188.0
2017-08-06,185.0,191.0,185.0,187.0,104746138,95299,19,190.0,190.0
2017-08-07,192.0,206.0,185.0,201.0,799037390,678568,70,187.0,206.0
2017-08-08,221.0,221.0,221.0,221.0,376193615,290497,19,201.0,221.0
2017-08-09,243.0,243.0,243.0,243.0,660113712,463563,28,221.0,243.0
2017-08-12,255.0,255.0,221.0,240.0,2367013144,1681080,195,243.0,222.0
2017-08-13,236.0,236.0,218.0,221.0,411397728,316843,43,240.0,220.0
2017-08-14,209.0,230.0,209.0,220.0,248810822,192913,43,221.0,213.0
2017-08-15,228.0,228.0,211.0,219.0,184319231,143461,56,220.0,220.0
2017-08-16,212.0,223.0,212.0,220.0,231201073,178971,36,219.0,219.0
2017-08-19,220.0,221.0,211.0,216.0,104331288,82260,26,220.0,220.0
2017-08-20,224.0,224.0,201.0,207.0,307376123,253020,36,216.0,201.0
2017-08-21,204.0,212.0,192.0,202.0,192365238,162022,31,207.0,192.0
2017-08-22,211.0,211.0,188.0,192.0,217184674,192189,24,202.0,196.0
2017-08-23,204.0,212.0,193.0,208.0,848248230,693419,87,192.0,211.0
2017-08-26,213.0,219.0,198.0,207.0,406880813,334861,34,208.0,209.0
2017-08-27,211.0,211.0,196.0,200.0,313634562,267157,34,207.0,200.0
2017-08-28,199.0,203.0,196.0,197.0,114540460,98793,20,200.0,196.0
2017-08-29,196.0,214.0,192.0,197.0,378548889,327281,56,197.0,199.0
2017-08-30,199.0,215.0,199.0,210.0,508837692,412139,48,197.0,211.0
2017-09-02,210.0,225.0,208.0,217.0,215734708,169200,21,210.0,221.0
2017-09-03,221.0,221.0,206.0,211.0,970415320,781981,50,217.0,208.0
2017-09-04,208.0,230.0,216.0,226.0,1201729603,907806,123,211.0,226.0
2017-09-05,231.0,232.0,213.0,224.0,401011795,304525,52,226.0,225.0
2017-09-06,221.0,221.0,212.0,217.0,164282644,128770,14,224.0,221.0
2017-09-10,210.0,220.0,200.0,211.0,235990122,190944,42,217.0,206.0
2017-09-11,190.0,203.0,190.0,190.0,2134929267,1916303,194,211.0,190.0
2017-09-12,192.0,195.0,179.0,188.0,237234995,214696,38,190.0,186.0
2017-09-13,192.0,192.0,181.0,186.0,52347771,47998,20,188.0,186.0
2017-09-16,193.0,193.0,177.0,192.0,24009490,21290,10,186.0,192.0
2017-10-21,180.0,189.0,180.0,188.0,290185560,268210,27,192.0,189.0
2017-10-28,179.0,179.0,179.0,179.0,46335202,44942,6,188.0,179.0
2017-10-30,179.0,179.0,179.0,179.0,16528000,16000,2,179.0,179.0
2017-11-01,189.0,192.0,189.0,190.0,216726200,198205,35,179.0,192.0
2017-11-04,195.0,205.0,195.0,198.0,192965015,169147,28,190.0,205.0
2017-11-06,222.0,222.0,191.0,214.0,1320449373,1067674,117,198.0,191.0
2017-11-08,217.0,217.0,217.0,217.0,31856994,25506,3,214.0,217.0
2017-11-11,204.0,204.0,204.0,204.0,37728000,32000,4,217.0,204.0
2017-11-13,204.0,204.0,204.0,204.0,423370000,360000,14,204.0,204.0
2017-11-15,212.0,212.0,212.0,212.0,1314040240,1075483,87,204.0,212.0
2017-11-20,224.0,224.0,224.0,224.0,66989330,51970,10,212.0,224.0
2017-11-22,202.0,202.0,202.0,202.0,11650000,10000,2,224.0,202.0
2017-11-25,208.0,208.0,208.0,208.0,676352400,563627,43,202.0,208.0
2017-11-29,199.0,199.0,199.0,199.0,1546594750,1344865,52,208.0,199.0
2017-12-02,199.0,199.0,199.0,199.0,20704600,18004,4,199.0,199.0
2017-12-09,206.0,206.0,199.0,200.0,70518000,61000,9,199.0,199.0
2017-12-11,213.0,213.0,179.0,183.0,232746000,221000,15,200.0,179.0
2017-12-13,180.0,180.0,180.0,180.0,14165840,13621,7,183.0,180.0
2017-12-18,183.0,183.0,183.0,183.0,52750000,50000,2,180.0,183.0
2017-12-20,180.0,183.0,180.0,181.0,179156160,171804,58,183.0,183.0
2017-12-23,186.0,186.0,186.0,186.0,74936380,70034,10,181.0,186.0
2017-12-25,190.0,190.0,190.0,190.0,5475000,5000,2,186.0,190.0
2017-12-27,189.0,189.0,186.0,186.0,570910000,531000,25,190.0,186.0
2017-12-30,186.0,186.0,186.0,186.0,148725175,138349,9,186.0,186.0
2018-01-01,179.0,179.0,179.0,179.0,41280000,40000,1,186.0,179.0
2018-01-03,179.0,179.0,179.0,179.0,171074640,165770,12,179.0,179.0
2018-01-06,180.0,180.0,180.0,180.0,392281596,378461,29,179.0,180.0
2018-01-08,180.0,180.0,180.0,180.0,10420131,10029,4,180.0,180.0
2018-01-10,180.0,180.0,180.0,180.0,141023470,135730,19,180.0,180.0
2018-01-13,179.0,179.0,179.0,179.0,138498528,134204,18,180.0,179.0
2018-01-29,179.0,179.0,179.0,179.0,6097600,5920,4,179.0,179.0
2018-02-05,189.0,189.0,189.0,189.0,10890000,10000,2,179.0,189.0
2018-02-07,198.0,198.0,198.0,198.0,23463400,20600,11,189.0,198.0
2018-02-10,198.0,198.0,182.0,187.0,17079845,15855,4,198.0,182.0
2018-02-12,198.0,198.0,184.0,188.0,7578000,7000,2,187.0,184.0
2018-02-14,184.0,184.0,184.0,184.0,2120000,2000,1,188.0,184.0
2018-02-17,184.0,184.0,184.0,184.0,296801060,280001,13,184.0,184.0
2018-02-19,184.0,184.0,184.0,184.0,26500000,25000,2,184.0,184.0
2018-02-21,189.0,189.0,189.0,189.0,39403500,36150,8,184.0,189.0
2018-02-26,189.0,189.0,189.0,189.0,3369190,3091,3,189.0,189.0
