date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-04-26,216.0,216.0,216.0,216.0,201600000,160000,16,172.0,216.0
2017-05-22,446.0,481.0,446.0,458.0,327771800,122943,15,216.0,481.0
2017-05-24,458.0,458.0,458.0,458.0,203182728,76184,19,458.0,458.0
2017-05-31,493.0,493.0,493.0,493.0,157905000,55000,10,458.0,493.0
2017-06-07,550.0,567.0,550.0,558.0,500446174,154096,32,493.0,567.0
2017-06-10,599.0,621.0,599.0,607.0,464677566,131494,51,558.0,621.0
2017-06-12,652.0,652.0,652.0,652.0,1115220200,293479,65,607.0,652.0
2017-06-17,687.0,687.0,687.0,687.0,161648402,40402,10,652.0,687.0
2017-07-01,755.0,755.0,755.0,755.0,402600000,91500,17,687.0,755.0
2017-07-05,798.0,802.0,798.0,798.0,2118191350,455439,110,755.0,802.0
2017-07-08,824.0,824.0,824.0,824.0,129803700,27044,13,798.0,824.0
2017-07-10,790.0,790.0,788.0,790.0,1779599862,386959,95,824.0,788.0
2017-07-12,755.0,755.0,755.0,755.0,320711600,72889,10,790.0,755.0
2017-07-15,755.0,755.0,755.0,755.0,421058000,95695,25,755.0,755.0
2017-07-17,695.0,695.0,695.0,695.0,101250000,25000,4,755.0,695.0
2017-07-19,695.0,697.0,695.0,695.0,280893200,69344,19,695.0,697.0
2017-07-22,697.0,723.0,697.0,714.0,1241784684,298476,39,695.0,723.0
2017-07-24,740.0,811.0,740.0,788.0,809311247,176227,26,714.0,811.0
2017-07-26,820.0,820.0,820.0,820.0,1583031875,331525,77,788.0,820.0
2017-07-29,820.0,820.0,820.0,820.0,477500000,100000,18,820.0,820.0
2017-07-31,790.0,807.0,790.0,802.0,1032702600,221131,26,820.0,807.0
2017-08-02,802.0,807.0,802.0,803.0,1316173740,281322,47,802.0,807.0
2017-08-07,807.0,807.0,807.0,807.0,1090569200,232036,49,803.0,807.0
2017-08-09,807.0,807.0,807.0,807.0,1180273400,251122,46,807.0,807.0
2017-08-12,807.0,807.0,807.0,807.0,749114200,159386,28,807.0,807.0
2017-08-14,807.0,807.0,807.0,807.0,1194274700,254101,56,807.0,807.0
2017-08-16,807.0,807.0,807.0,807.0,845656900,179927,39,807.0,807.0
2017-08-19,860.0,876.0,860.0,861.0,750756768,149756,28,807.0,876.0
2017-08-21,861.0,861.0,861.0,861.0,260079453,51881,7,861.0,861.0
2017-08-23,869.0,878.0,869.0,870.0,564560348,111387,23,861.0,878.0
2017-08-26,913.0,913.0,870.0,887.0,165240000,32000,7,870.0,870.0
2017-08-28,872.0,872.0,872.0,872.0,2228712840,438723,91,887.0,872.0
2017-08-30,874.0,874.0,874.0,874.0,195985360,38504,11,872.0,874.0
2017-09-02,927.0,954.0,927.0,932.0,225704460,41566,12,874.0,954.0
2017-09-04,956.0,1031.0,956.0,985.0,654540106,114004,19,932.0,1031.0
2017-09-06,985.0,1029.0,985.0,986.0,1206901482,210002,47,985.0,1029.0
2017-09-13,986.0,986.0,986.0,986.0,25746560,4480,3,986.0,986.0
2017-09-16,986.0,986.0,986.0,986.0,14942200,2600,5,986.0,986.0
2017-09-18,944.0,944.0,944.0,944.0,1530903000,278346,60,986.0,944.0
2017-09-20,944.0,944.0,944.0,944.0,176628482,32118,7,944.0,944.0
2017-09-23,944.0,944.0,944.0,944.0,86713731,15769,4,944.0,944.0
2017-09-25,944.0,961.0,944.0,948.0,961329223,174102,19,944.0,961.0
2017-09-27,961.0,1030.0,961.0,1016.0,1751318029,295707,28,948.0,1030.0
2017-10-02,1047.0,1062.0,1047.0,1047.0,1309361500,214645,36,1016.0,1062.0
2017-10-04,1082.0,1167.0,1082.0,1160.0,337889600,49996,6,1047.0,1167.0
2017-10-07,1184.0,1184.0,1184.0,1184.0,1181280000,171200,8,1160.0,1184.0
2017-10-09,1184.0,1184.0,1115.0,1183.0,596594200,86514,29,1184.0,1115.0
2017-10-11,1184.0,1201.0,1184.0,1184.0,2826170500,409445,63,1183.0,1201.0
2017-10-14,1201.0,1201.0,1201.0,1201.0,752773000,107539,15,1184.0,1201.0
2017-10-16,1369.0,1369.0,1235.0,1363.0,1349510040,169893,52,1201.0,1235.0
2017-10-18,1235.0,1235.0,1235.0,1235.0,376293600,52263,6,1363.0,1235.0
2017-10-21,1235.0,1287.0,1235.0,1251.0,1016283600,139403,24,1235.0,1287.0
2017-10-23,1251.0,1282.0,1251.0,1256.0,1178369190,161047,14,1251.0,1282.0
2017-10-25,1261.0,1304.0,1261.0,1270.0,1039616559,140409,20,1256.0,1304.0
2017-10-28,1270.0,1270.0,1270.0,1270.0,50162100,6775,10,1270.0,1270.0
2017-10-30,1261.0,1261.0,1201.0,1201.0,223858950,31973,7,1270.0,1201.0
2017-11-01,1167.0,1167.0,1167.0,1167.0,224114400,32958,7,1201.0,1167.0
2017-11-04,1167.0,1167.0,1167.0,1167.0,18666000,2745,4,1167.0,1167.0
2017-11-06,1030.0,1030.0,1030.0,1030.0,2108702391,351391,31,1167.0,1030.0
2017-11-08,1030.0,1030.0,1030.0,1030.0,730422918,121718,34,1030.0,1030.0
2017-11-11,1055.0,1055.0,1054.0,1055.0,322183200,52388,21,1030.0,1054.0
2017-11-13,1055.0,1055.0,1055.0,1055.0,14760000,2400,3,1055.0,1055.0
2017-11-15,1028.0,1028.0,1028.0,1028.0,378472160,63184,9,1055.0,1028.0
2017-11-18,1028.0,1072.0,1028.0,1041.0,1498406870,247113,27,1028.0,1072.0
2017-11-20,1115.0,1115.0,1115.0,1115.0,382453500,58839,27,1041.0,1115.0
2017-11-22,1115.0,1115.0,1115.0,1115.0,97506500,15001,3,1115.0,1115.0
2017-11-25,1184.0,1184.0,1184.0,1184.0,233503554,33846,7,1115.0,1184.0
2017-11-29,1098.0,1098.0,1098.0,1098.0,155270400,24261,5,1184.0,1098.0
2017-12-02,1039.0,1116.0,1039.0,1112.0,213339430,32906,7,1098.0,1116.0
2017-12-04,1112.0,1112.0,1112.0,1112.0,1343452641,207227,34,1112.0,1112.0
2017-12-09,1055.0,1055.0,1055.0,1055.0,61500000,10000,2,1112.0,1055.0
2017-12-11,1055.0,1064.0,1055.0,1056.0,748733600,121664,14,1055.0,1064.0
2017-12-13,1115.0,1115.0,1064.0,1066.0,371030501,59699,10,1056.0,1064.0
2017-12-16,1066.0,1098.0,1066.0,1067.0,546585830,87912,14,1066.0,1098.0
2017-12-18,1067.0,1067.0,1030.0,1032.0,439242540,73040,16,1067.0,1030.0
2017-12-20,1066.0,1066.0,1066.0,1066.0,368586790,59306,10,1032.0,1066.0
2017-12-23,1055.0,1055.0,1055.0,1055.0,230551200,37488,4,1066.0,1055.0
2017-12-25,1028.0,1055.0,1028.0,1028.0,1455247036,242896,27,1055.0,1055.0
2017-12-27,1055.0,1055.0,1055.0,1055.0,1335078900,217086,19,1028.0,1055.0
2018-01-01,1055.0,1055.0,1055.0,1055.0,388575450,63183,13,1055.0,1055.0
2018-01-03,1100.0,1100.0,1100.0,1100.0,1120655622,174802,30,1055.0,1100.0
2018-01-06,1100.0,1100.0,1100.0,1100.0,24028428,3748,4,1100.0,1100.0
2018-01-08,1098.0,1098.0,1072.0,1073.0,189302722,30281,6,1100.0,1072.0
2018-01-10,1073.0,1073.0,1029.0,1036.0,440811200,73000,15,1073.0,1029.0
2018-01-13,1036.0,1036.0,1036.0,1036.0,509594976,84384,31,1036.0,1036.0
2018-01-15,1036.0,1036.0,1036.0,1036.0,62413065,10335,7,1036.0,1036.0
2018-01-24,1036.0,1036.0,1029.0,1036.0,47908575,8175,7,1036.0,1029.0
2018-01-27,1036.0,1036.0,880.0,910.0,794110000,153500,27,1036.0,880.0
2018-01-29,862.0,862.0,619.0,701.0,530387380,133075,20,910.0,619.0
2018-01-31,701.0,758.0,701.0,708.0,94653400,23540,5,701.0,758.0
2018-02-03,760.0,792.0,760.0,784.0,1508377500,338437,31,708.0,792.0
2018-02-05,793.0,793.0,793.0,793.0,96205440,21360,9,784.0,793.0
2018-02-07,827.0,827.0,818.0,825.0,4388988500,935955,66,793.0,818.0
2018-02-12,825.0,825.0,825.0,825.0,286029000,61000,7,825.0,825.0
2018-02-14,825.0,825.0,825.0,825.0,93780000,20000,1,825.0,825.0
2018-02-17,825.0,825.0,825.0,825.0,57815370,12330,3,825.0,825.0
2018-02-19,816.0,816.0,816.0,816.0,9525920,2053,3,825.0,816.0
2018-02-26,669.0,704.0,669.0,672.0,952120000,249401,63,816.0,704.0
2018-02-28,711.0,723.0,711.0,711.0,597872040,147976,34,672.0,723.0
2018-03-03,737.0,737.0,737.0,737.0,37777040,9016,11,711.0,737.0
