date,open,high,low,adjClose,value,volume,count,yesterday,close
2009-06-09,14.0,14.0,14.0,14.0,983488599500,982499500,545,14.0,14.0
2009-06-10,14.0,14.0,14.0,14.0,54893697467,53760812,2406,14.0,14.0
2009-06-13,14.0,14.0,14.0,14.0,123460074455,120700223,5411,14.0,14.0
2009-06-14,14.0,14.0,14.0,14.0,40854431828,39890423,1995,14.0,14.0
2009-06-15,14.0,14.0,14.0,14.0,35538526668,34669556,1561,14.0,14.0
2009-06-16,14.0,14.0,14.0,14.0,25008297555,24396883,1111,14.0,14.0
2009-06-17,14.0,14.0,14.0,14.0,3325634884,3240451,709,14.0,14.0
2009-06-20,14.0,14.0,14.0,14.0,2644752388,2577307,214,14.0,14.0
2009-06-21,14.0,14.0,14.0,14.0,5686445502,5536464,290,14.0,14.0
2009-06-22,14.0,14.0,14.0,14.0,24913506252,24258365,1018,14.0,14.0
2009-06-23,14.0,14.0,14.0,14.0,2240967913,2179546,140,14.0,14.0
2009-06-24,14.0,15.0,14.0,14.0,1182911354,1142372,104,14.0,14.0
2009-06-27,14.0,14.0,14.0,14.0,6086215506,5912810,320,14.0,14.0
2009-06-28,14.0,14.0,14.0,14.0,2706724544,2629857,142,14.0,14.0
2009-06-29,14.0,14.0,14.0,14.0,6097270102,5919228,280,14.0,14.0
2009-06-30,14.0,14.0,14.0,14.0,1594834991,1547168,99,14.0,14.0
2009-07-01,14.0,14.0,14.0,14.0,2063347633,1999331,126,14.0,14.0
2009-07-04,14.0,14.0,14.0,14.0,13758475630,13297346,174,14.0,14.0
2009-07-05,14.0,14.0,14.0,14.0,619108481,597481,58,14.0,14.0
2009-07-07,14.0,14.0,14.0,14.0,2052160322,1974402,100,14.0,14.0
2009-07-11,14.0,15.0,14.0,14.0,3485207937,3311408,147,14.0,15.0
2009-07-12,15.0,15.0,14.0,14.0,42561608437,40694115,206,14.0,15.0
2009-07-13,15.0,15.0,15.0,15.0,2209353271,2089882,140,14.0,15.0
2009-07-14,15.0,15.0,15.0,15.0,5213210028,4849687,272,15.0,15.0
2009-07-15,15.0,15.0,15.0,15.0,5894802203,5372999,292,15.0,15.0
2009-07-18,15.0,15.0,15.0,15.0,121668276822,110684921,713,15.0,15.0
2009-07-26,16.0,16.0,15.0,15.0,31100604858,31095904,1551,15.0,15.0
2009-07-27,15.0,15.0,15.0,15.0,7759768195,7758909,452,15.0,15.0
2009-07-28,15.0,15.0,15.0,15.0,27040136040,27037952,1203,15.0,15.0
2009-07-29,15.0,15.0,15.0,15.0,2375068128,2373819,135,15.0,15.0
2009-08-01,15.0,15.0,15.0,15.0,3757051071,3755495,212,15.0,15.0
