date,open,high,low,adjClose,value,volume,count,yesterday,close
2009-02-18,6.0,6.0,6.0,6.0,347393807250,330851245,800,5.0,6.0
2009-02-21,6.0,6.0,6.0,6.0,352194689892,335334212,6457,6.0,6.0
2009-02-22,6.0,6.0,6.0,6.0,8981292784,8435464,603,6.0,6.0
2009-02-23,6.0,6.0,6.0,6.0,9090532333,8570222,937,6.0,6.0
2009-02-25,6.0,6.0,6.0,6.0,7863032258,7434309,616,6.0,6.0
2009-02-28,6.0,6.0,6.0,6.0,4135976082,3924844,341,6.0,6.0
2009-03-01,6.0,6.0,6.0,6.0,24877673335,23696125,1097,6.0,6.0
2009-03-02,6.0,6.0,6.0,6.0,11053165184,10528791,612,6.0,6.0
2009-03-03,6.0,6.0,6.0,6.0,2797050794,2650575,182,6.0,6.0
2009-03-04,6.0,6.0,6.0,6.0,2436021996,2304953,187,6.0,6.0
2009-03-07,6.0,6.0,6.0,6.0,3885084432,3667884,213,6.0,6.0
2009-03-08,6.0,6.0,6.0,6.0,5541590793,5236516,330,6.0,6.0
2009-03-09,6.0,6.0,6.0,6.0,5081985875,4797840,297,6.0,6.0
2009-03-10,6.0,6.0,6.0,6.0,3643801356,3438096,205,6.0,6.0
2009-03-11,6.0,6.0,6.0,6.0,2240352741,2111176,149,6.0,6.0
2009-03-14,6.0,6.0,6.0,6.0,4244184581,4000145,232,6.0,6.0
2009-03-16,6.0,6.0,6.0,6.0,4179711793,3937907,226,6.0,6.0
2009-03-17,6.0,6.0,6.0,6.0,4242529688,3998308,218,6.0,6.0
2009-03-18,6.0,6.0,6.0,6.0,2325864856,2191144,143,6.0,6.0
2009-03-25,6.0,6.0,6.0,6.0,2053259183,1916886,111,6.0,6.0
2009-03-28,6.0,6.0,6.0,6.0,3001934288,2749128,146,6.0,6.0
2009-03-29,6.0,6.0,6.0,6.0,101123220,91020,5,6.0,6.0
2009-03-30,6.0,6.0,6.0,6.0,1041008808,936159,68,6.0,6.0
2009-03-31,6.0,6.0,6.0,6.0,8117487932,7348064,426,6.0,6.0
2009-04-04,6.0,6.0,6.0,6.0,7632804156,6876866,454,6.0,6.0
2009-04-05,6.0,6.0,6.0,6.0,3942619347,3553767,217,6.0,6.0
2009-04-06,6.0,6.0,6.0,6.0,5305791798,4831781,289,6.0,6.0
2009-04-07,6.0,6.0,6.0,6.0,4893066892,4456751,325,6.0,6.0
2009-04-08,6.0,6.0,6.0,6.0,950562965,877368,102,6.0,6.0
2009-04-11,6.0,6.0,6.0,6.0,2987936180,2748606,208,6.0,6.0
2009-04-12,6.0,6.0,6.0,6.0,2406949045,2243981,176,6.0,6.0
2009-04-13,6.0,6.0,6.0,6.0,4316073392,3952220,254,6.0,6.0
2009-04-14,6.0,6.0,6.0,6.0,5304292247,4852993,257,6.0,6.0
2009-04-15,6.0,6.0,6.0,6.0,2549351346,2314256,174,6.0,6.0
2009-04-18,6.0,6.0,6.0,6.0,2352794700,2126749,140,6.0,6.0
2009-04-19,6.0,6.0,6.0,6.0,9862474346,8852608,577,6.0,6.0
2009-04-20,6.0,6.0,6.0,6.0,12650184833,11066992,606,6.0,6.0
2009-04-21,6.0,6.0,6.0,6.0,1216800255,1033815,46,6.0,6.0
2009-04-22,6.0,6.0,6.0,6.0,2647262911,2300464,220,6.0,6.0
2009-04-25,6.0,6.0,6.0,6.0,5955435253,5274735,357,6.0,6.0
2009-04-26,6.0,6.0,6.0,6.0,1355389359,1213875,144,6.0,6.0
2009-04-27,6.0,6.0,6.0,6.0,2433173409,2173117,173,6.0,6.0
2009-04-28,6.0,6.0,6.0,6.0,2372441425,2105602,263,6.0,6.0
2009-04-29,6.0,6.0,6.0,6.0,953839280,858625,116,6.0,6.0
2009-05-02,6.0,6.0,6.0,6.0,1860613473,1675253,171,6.0,6.0
2009-05-03,6.0,6.0,6.0,6.0,3317704163,2994367,323,6.0,6.0
2009-05-04,6.0,6.0,6.0,6.0,4632577926,4194127,329,6.0,6.0
2009-05-05,6.0,6.0,6.0,6.0,2519958040,2260882,189,6.0,6.0
2009-05-06,6.0,6.0,6.0,6.0,4936149594,4329696,333,6.0,6.0
2009-05-09,6.0,6.0,6.0,6.0,4066124517,3478293,205,6.0,6.0
2009-05-10,6.0,6.0,6.0,6.0,1928585672,1617941,86,6.0,6.0
2009-05-11,6.0,6.0,6.0,6.0,18631262406,15625032,933,6.0,6.0
2009-05-12,6.0,6.0,6.0,6.0,379894351,328293,36,6.0,6.0
2009-05-13,6.0,6.0,6.0,6.0,3615458165,3128384,228,6.0,6.0
2009-05-16,6.0,6.0,6.0,6.0,2812423694,2440878,179,6.0,6.0
2009-05-17,6.0,6.0,6.0,6.0,3118042151,2708887,210,6.0,6.0
2009-05-18,6.0,6.0,6.0,6.0,8359191940,7099935,549,6.0,6.0
2009-05-19,6.0,6.0,6.0,6.0,5184474275,4375902,286,6.0,6.0
2009-05-20,6.0,6.0,6.0,6.0,5285797744,4466305,272,6.0,6.0
2009-05-26,6.0,6.0,6.0,6.0,12490357437,10583943,546,6.0,6.0
2009-05-27,6.0,6.0,6.0,6.0,7699536673,6492368,352,6.0,6.0
2009-05-30,6.0,6.0,6.0,6.0,5401274957,4545235,232,6.0,6.0
2009-05-31,6.0,6.0,6.0,6.0,6873299391,5788385,311,6.0,6.0
2009-06-01,6.0,6.0,6.0,6.0,1018436757,869709,75,6.0,6.0
