date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-01-31,39.0,39.0,39.0,39.0,2721600000,1944000,1868,0.0,39.0
2005-02-02,41.0,41.0,41.0,41.0,1176000000,800000,687,39.0,41.0
2005-02-13,43.0,43.0,39.0,40.0,36814320924,26061418,2008,41.0,40.0
2005-02-14,39.0,40.0,39.0,39.0,4248772129,3026287,573,40.0,39.0
2005-02-15,39.0,39.0,37.0,37.0,5058289374,3776138,460,39.0,37.0
2005-02-16,37.0,39.0,37.0,38.0,5975183770,4314856,759,37.0,38.0
2005-02-21,39.0,39.0,37.0,38.0,4621407409,3372989,598,38.0,38.0
2005-02-22,38.0,39.0,37.0,38.0,7156733576,5227192,651,38.0,38.0
2005-02-23,38.0,38.0,38.0,38.0,5098468929,3700381,465,38.0,38.0
2005-02-26,38.0,39.0,38.0,39.0,15671500637,11140268,475,38.0,39.0
2005-02-27,41.0,41.0,40.0,41.0,32304137060,22036528,466,39.0,41.0
2005-02-28,43.0,43.0,41.0,42.0,5468417104,3644507,680,41.0,42.0
2005-03-01,42.0,42.0,40.0,40.0,8924764086,6217108,930,42.0,40.0
2005-03-07,39.0,39.0,38.0,38.0,1007801347,738591,170,40.0,38.0
2005-03-08,39.0,39.0,38.0,38.0,2701935385,1991616,272,38.0,38.0
2005-03-09,37.0,38.0,37.0,38.0,3063227956,2260929,269,38.0,38.0
2005-03-12,37.0,37.0,36.0,37.0,2450920671,1857883,281,38.0,37.0
2005-03-13,37.0,38.0,36.0,37.0,2592856707,1955918,296,37.0,37.0
2005-03-14,38.0,39.0,38.0,38.0,960726488,693318,225,37.0,38.0
2005-03-15,39.0,39.0,39.0,39.0,1259266832,887435,242,38.0,39.0
2005-03-16,39.0,40.0,39.0,40.0,18491370534,12949792,286,39.0,40.0
2005-03-26,40.0,41.0,39.0,40.0,1186167865,821695,157,40.0,40.0
2005-03-27,40.0,41.0,40.0,40.0,799110056,544891,145,40.0,40.0
2005-03-28,41.0,42.0,41.0,41.0,674753403,452605,158,40.0,41.0
2005-03-29,42.0,42.0,41.0,41.0,893383889,598749,149,41.0,41.0
2005-03-30,41.0,42.0,41.0,41.0,762835847,509407,156,41.0,41.0
2005-04-03,42.0,42.0,41.0,41.0,834309449,558374,153,41.0,41.0
2005-04-04,41.0,41.0,39.0,41.0,763838519,527677,176,41.0,41.0
2005-04-05,40.0,41.0,40.0,41.0,903777147,616907,183,41.0,41.0
2005-04-06,41.0,41.0,40.0,41.0,898979448,611617,185,41.0,41.0
2005-04-10,41.0,41.0,40.0,41.0,858959021,581849,168,41.0,41.0
2005-04-11,41.0,42.0,40.0,41.0,3019384575,2035032,402,41.0,41.0
2005-04-12,42.0,42.0,41.0,42.0,2938678741,1959842,332,41.0,42.0
2005-04-13,42.0,42.0,41.0,42.0,2020819378,1345083,253,42.0,42.0
2005-04-16,42.0,42.0,41.0,42.0,3616545393,2411919,401,42.0,42.0
2005-04-17,41.0,41.0,40.0,41.0,1842931576,1253999,279,42.0,41.0
2005-04-18,41.0,42.0,40.0,41.0,2587780463,1756208,317,41.0,41.0
2005-04-19,41.0,41.0,40.0,41.0,4538118791,3078350,394,41.0,41.0
2005-04-20,40.0,41.0,40.0,41.0,2386242425,1629161,306,41.0,41.0
2005-04-23,41.0,41.0,40.0,40.0,1455170567,1002754,149,41.0,40.0
2005-04-24,40.0,41.0,40.0,40.0,3136757969,2160267,264,40.0,40.0
2005-04-25,40.0,41.0,40.0,40.0,1723780637,1186297,265,40.0,40.0
2005-04-27,40.0,41.0,40.0,40.0,1893617896,1298582,281,40.0,40.0
2005-04-30,41.0,41.0,40.0,40.0,3802004989,2605396,363,40.0,40.0
2005-05-01,40.0,40.0,40.0,40.0,3193101528,2188395,294,40.0,40.0
2005-05-02,40.0,41.0,40.0,40.0,3196477149,2190508,314,40.0,40.0
2005-05-03,40.0,40.0,40.0,40.0,3851910552,2639928,404,40.0,40.0
2005-05-04,40.0,41.0,40.0,40.0,1457696902,998272,173,40.0,40.0
2005-05-07,40.0,41.0,40.0,40.0,1451218183,993947,132,40.0,40.0
2005-05-08,40.0,41.0,38.0,40.0,2396296508,1662177,245,40.0,40.0
2005-05-09,40.0,40.0,39.0,39.0,2214618875,1578570,230,40.0,39.0
2005-05-10,39.0,40.0,39.0,39.0,1689203769,1203961,234,39.0,39.0
2005-05-11,39.0,40.0,39.0,39.0,1716704894,1220377,227,39.0,39.0
2005-05-14,39.0,40.0,39.0,39.0,1456062332,1035079,144,39.0,39.0
2005-05-15,39.0,39.0,39.0,39.0,1496488643,1064133,174,39.0,39.0
2005-05-16,39.0,46.0,39.0,39.0,18569951079,11365274,260,39.0,39.0
2005-05-17,39.0,39.0,39.0,39.0,2656463161,1889340,427,39.0,39.0
2005-05-18,39.0,39.0,39.0,39.0,2213312686,1573925,292,39.0,39.0
2005-05-21,39.0,39.0,39.0,39.0,3508347470,2495003,337,39.0,39.0
2005-05-22,39.0,39.0,39.0,39.0,2633887699,1873074,401,39.0,39.0
2005-05-23,39.0,39.0,39.0,39.0,2171042487,1543976,311,39.0,39.0
2005-05-24,39.0,40.0,39.0,39.0,2209836471,1571418,338,39.0,39.0
2005-05-25,39.0,39.0,39.0,39.0,1717310484,1221065,288,39.0,39.0
2005-05-28,39.0,39.0,39.0,39.0,2774163718,1973042,289,39.0,39.0
2005-05-29,39.0,39.0,39.0,39.0,1581296706,1124458,249,39.0,39.0
2005-05-30,39.0,39.0,39.0,39.0,1619713906,1151937,246,39.0,39.0
2005-05-31,39.0,39.0,39.0,39.0,1019070174,724728,224,39.0,39.0
2005-06-01,39.0,39.0,39.0,39.0,1276362798,907351,171,39.0,39.0
2005-06-06,39.0,40.0,39.0,39.0,936798455,666055,136,39.0,39.0
2005-06-07,39.0,39.0,39.0,39.0,1277191606,908140,188,39.0,39.0
2005-06-08,39.0,39.0,39.0,39.0,1483691854,1055147,187,39.0,39.0
2005-06-11,39.0,39.0,39.0,39.0,2353523121,1673684,272,39.0,39.0
2005-06-12,39.0,39.0,39.0,39.0,1752774268,1246549,224,39.0,39.0
2005-06-13,39.0,39.0,39.0,39.0,2372804017,1687973,228,39.0,39.0
2005-06-14,39.0,39.0,39.0,39.0,2618738298,1862356,270,39.0,39.0
2005-06-15,39.0,40.0,39.0,39.0,1774736432,1261450,246,39.0,39.0
2005-06-18,39.0,39.0,39.0,39.0,1442045777,1025587,197,39.0,39.0
2005-06-19,39.0,39.0,39.0,39.0,1388624114,987453,188,39.0,39.0
2005-06-20,39.0,40.0,39.0,39.0,2009522506,1439549,132,39.0,39.0
2005-06-21,39.0,40.0,39.0,39.0,1331235117,954153,138,39.0,39.0
2005-06-22,39.0,40.0,38.0,39.0,1494566670,1070285,142,39.0,39.0
2005-06-25,37.0,40.0,37.0,39.0,38950267440,26956458,238,39.0,39.0
2005-06-26,39.0,39.0,39.0,39.0,2184016207,1560933,252,39.0,39.0
2005-06-27,39.0,39.0,39.0,39.0,1847669342,1320487,197,39.0,39.0
2005-06-28,39.0,39.0,39.0,39.0,1837341225,1311610,287,39.0,39.0
2005-06-29,39.0,39.0,37.0,39.0,10485953386,7736538,159,39.0,39.0
2005-07-02,39.0,39.0,39.0,39.0,1771245604,1264397,332,39.0,39.0
2005-07-03,39.0,39.0,39.0,39.0,2611691584,1865448,386,39.0,39.0
2005-07-04,39.0,39.0,39.0,39.0,3559268839,2542295,489,39.0,39.0
2005-07-05,39.0,39.0,39.0,39.0,1570461946,1121784,238,39.0,39.0
2005-07-06,39.0,39.0,39.0,39.0,1824964765,1302044,322,39.0,39.0
2005-07-09,39.0,39.0,39.0,39.0,1645112565,1173550,299,39.0,39.0
2005-07-11,39.0,39.0,37.0,38.0,932199384,686940,163,39.0,38.0
2005-07-12,38.0,38.0,36.0,38.0,1113939614,816524,227,38.0,38.0
2005-07-13,38.0,38.0,38.0,38.0,911619515,667742,185,38.0,38.0
2005-07-16,38.0,38.0,38.0,38.0,1531903500,1122281,303,38.0,38.0
2005-07-17,37.0,38.0,37.0,38.0,1449777516,1062062,282,38.0,38.0
2005-07-18,38.0,38.0,38.0,38.0,1349084963,988258,245,38.0,38.0
2005-07-19,38.0,38.0,38.0,38.0,1850842821,1356298,327,38.0,38.0
2005-07-20,38.0,38.0,38.0,38.0,1106988202,811034,213,38.0,38.0
2005-07-23,38.0,38.0,38.0,38.0,1103394221,808173,225,38.0,38.0
2005-07-24,38.0,38.0,38.0,38.0,1343014914,983803,262,38.0,38.0
2005-07-25,38.0,38.0,36.0,37.0,2144663546,1598194,300,38.0,37.0
2005-07-26,37.0,38.0,37.0,38.0,2046219480,1499055,457,37.0,38.0
2005-09-04,32.0,32.0,31.0,32.0,888253115,780563,194,38.0,32.0
2005-09-05,31.0,32.0,31.0,31.0,1474810933,1303992,264,32.0,31.0
2005-09-06,31.0,32.0,31.0,31.0,1243274204,1101362,253,31.0,31.0
2005-09-07,31.0,31.0,30.0,31.0,769863130,685131,127,31.0,31.0
2005-09-10,31.0,31.0,31.0,31.0,1069285852,951538,121,31.0,31.0
2005-09-11,30.0,31.0,30.0,31.0,1093334953,973703,137,31.0,31.0
2005-09-12,31.0,31.0,31.0,31.0,1040883186,927832,138,31.0,31.0
2005-09-13,31.0,31.0,31.0,31.0,994385765,887099,144,31.0,31.0
2005-09-14,31.0,31.0,31.0,31.0,1302820560,1163231,168,31.0,31.0
2005-09-17,31.0,31.0,31.0,31.0,989260796,883328,137,31.0,31.0
2005-09-18,31.0,31.0,31.0,31.0,1054424079,943127,123,31.0,31.0
2005-09-19,31.0,31.0,31.0,31.0,1234216262,1104124,166,31.0,31.0
2005-09-21,31.0,31.0,29.0,31.0,1306377620,1172010,159,31.0,31.0
2005-09-24,31.0,31.0,29.0,30.0,1241706189,1132241,164,31.0,30.0
2005-09-25,30.0,30.0,29.0,30.0,1330014537,1217968,165,30.0,30.0
2005-09-26,30.0,30.0,29.0,30.0,3807057523,3520740,232,30.0,30.0
2005-09-27,30.0,30.0,29.0,30.0,1535781398,1437431,232,30.0,30.0
2005-09-28,30.0,30.0,29.0,30.0,1362703090,1277414,195,30.0,30.0
2005-10-01,30.0,30.0,30.0,30.0,1224028352,1148241,101,30.0,30.0
2005-10-02,30.0,30.0,30.0,30.0,694358815,651365,109,30.0,30.0
2005-10-03,30.0,30.0,30.0,30.0,644766770,604845,93,30.0,30.0
2005-10-04,30.0,30.0,30.0,30.0,823113007,772138,130,30.0,30.0
2005-10-05,30.0,30.0,30.0,30.0,668536302,627143,97,30.0,30.0
2005-10-08,30.0,30.0,30.0,30.0,545870868,512046,83,30.0,30.0
2005-10-09,30.0,30.0,30.0,30.0,698481589,655209,115,30.0,30.0
2005-10-10,30.0,30.0,30.0,30.0,663223130,622157,101,30.0,30.0
2005-10-11,30.0,30.0,30.0,30.0,522550928,490187,86,30.0,30.0
2005-10-12,30.0,30.0,30.0,30.0,752498460,705905,105,30.0,30.0
2005-10-15,30.0,30.0,30.0,30.0,480988597,451206,85,30.0,30.0
2005-10-16,30.0,30.0,30.0,30.0,509302776,477758,92,30.0,30.0
2005-10-17,30.0,30.0,30.0,30.0,807448316,757455,116,30.0,30.0
2005-10-18,30.0,30.0,30.0,30.0,581929637,545892,85,30.0,30.0
2005-10-19,30.0,30.0,30.0,30.0,459658542,427192,73,30.0,30.0
2005-10-22,30.0,30.0,30.0,30.0,472764272,438034,69,30.0,30.0
2005-10-23,30.0,30.0,30.0,30.0,395586557,364928,65,30.0,30.0
2005-10-24,30.0,30.0,30.0,30.0,459287029,421327,55,30.0,30.0
2005-10-26,30.0,30.0,30.0,30.0,269970984,247221,50,30.0,30.0
2005-10-29,30.0,30.0,30.0,30.0,450264390,411197,72,30.0,30.0
2005-10-30,31.0,31.0,30.0,30.0,458006269,416363,72,30.0,30.0
2005-10-31,31.0,31.0,31.0,31.0,762941960,690419,112,30.0,31.0
2005-11-01,31.0,31.0,31.0,31.0,436001530,391735,87,31.0,31.0
2005-11-02,31.0,31.0,31.0,31.0,479686420,429410,75,31.0,31.0
2005-11-05,31.0,31.0,31.0,31.0,399295666,355845,65,31.0,31.0
2005-11-06,31.0,31.0,31.0,31.0,487311415,433936,79,31.0,31.0
2005-11-07,31.0,31.0,31.0,31.0,421048685,374244,59,31.0,31.0
2005-11-08,31.0,31.0,31.0,31.0,315303606,280021,53,31.0,31.0
2005-11-09,31.0,31.0,31.0,31.0,398686102,354072,50,31.0,31.0
2005-11-12,31.0,31.0,31.0,31.0,362844151,320247,48,31.0,31.0
