date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-09-28,68.0,68.0,68.0,68.0,2000000,2000,2,58.0,68.0
2014-09-29,75.0,75.0,75.0,75.0,329900000,300000,5,68.0,75.0
2014-09-30,75.0,75.0,75.0,75.0,236188890,215110,8,75.0,75.0
2014-10-04,75.0,75.0,75.0,75.0,91239000,83100,7,75.0,75.0
2014-10-06,75.0,75.0,75.0,75.0,38150000,35000,1,75.0,75.0
2014-10-07,75.0,75.0,75.0,75.0,7139500,6550,3,75.0,75.0
2014-10-12,75.0,75.0,75.0,75.0,10890000,10000,1,75.0,75.0
2014-10-18,68.0,68.0,68.0,68.0,6000000,6000,1,75.0,68.0
2014-10-20,74.0,74.0,74.0,74.0,869600,800,3,68.0,74.0
2014-10-21,74.0,74.0,74.0,74.0,32610000,30000,1,74.0,74.0
2014-10-22,74.0,74.0,74.0,74.0,11946000,11000,1,74.0,74.0
2014-10-25,68.0,68.0,68.0,68.0,8000000,8000,1,74.0,68.0
2014-10-26,68.0,68.0,68.0,68.0,227100000,227100,7,68.0,68.0
2014-10-27,68.0,68.0,68.0,68.0,2900000,2900,1,68.0,68.0
2014-10-28,69.0,73.0,69.0,70.0,59855640,58240,4,68.0,73.0
2014-10-29,69.0,70.0,69.0,70.0,109824000,108000,9,70.0,70.0
2014-11-01,70.0,70.0,70.0,70.0,143100000,140000,2,70.0,70.0
2014-11-02,71.0,73.0,69.0,71.0,41381000,40000,7,70.0,71.0
2014-11-08,71.0,71.0,71.0,71.0,93600000,90000,3,71.0,71.0
2014-11-09,71.0,73.0,71.0,71.0,10416000,10000,2,71.0,73.0
2014-11-10,71.0,71.0,68.0,70.0,10191320,10000,2,71.0,68.0
2014-11-12,68.0,70.0,68.0,69.0,20300000,20000,2,70.0,70.0
2014-11-15,65.0,68.0,65.0,66.0,57500000,60000,2,69.0,68.0
2014-11-17,68.0,68.0,65.0,68.0,34655000,35000,4,66.0,68.0
2014-11-18,65.0,69.0,65.0,68.0,44212026,44552,2,68.0,69.0
2014-11-24,68.0,68.0,68.0,68.0,4900000,4900,1,68.0,68.0
2014-11-25,69.0,69.0,68.0,69.0,1211000,1200,2,68.0,68.0
2014-11-29,65.0,65.0,65.0,65.0,3800000,4000,1,69.0,65.0
2014-12-01,65.0,65.0,65.0,65.0,47700000,50000,1,65.0,65.0
2014-12-02,65.0,65.0,65.0,65.0,427840,448,1,65.0,65.0
2014-12-03,65.0,65.0,65.0,65.0,62492160,65552,3,65.0,65.0
2014-12-06,65.0,65.0,65.0,65.0,4780000,5000,1,65.0,65.0
2014-12-08,65.0,65.0,65.0,65.0,9550000,10000,1,65.0,65.0
2014-12-09,65.0,65.0,65.0,65.0,1663440,1740,2,65.0,65.0
2014-12-10,65.0,65.0,65.0,65.0,2850000,3000,1,65.0,65.0
2014-12-15,65.0,65.0,65.0,65.0,23800000,25000,3,65.0,65.0
2014-12-16,66.0,66.0,66.0,66.0,28800000,30000,1,65.0,66.0
2014-12-17,62.0,62.0,62.0,62.0,2531200,2800,1,66.0,62.0
2014-12-20,62.0,62.0,62.0,62.0,45206000,50000,2,62.0,62.0
2014-12-24,68.0,68.0,68.0,68.0,9181600,9200,1,62.0,68.0
2015-01-07,62.0,63.0,60.0,62.0,180734300,200000,7,68.0,63.0
2015-01-10,68.0,68.0,68.0,68.0,19760,20,2,62.0,68.0
2015-01-11,55.0,59.0,55.0,57.0,15350000,18500,2,68.0,59.0
2015-01-20,58.0,58.0,58.0,58.0,6800000,8000,1,57.0,58.0
2015-01-21,56.0,58.0,56.0,57.0,60025000,72000,4,58.0,58.0
2015-01-24,56.0,58.0,56.0,57.0,26054000,31500,4,57.0,58.0
2015-02-10,55.0,55.0,55.0,55.0,25200000,31500,2,57.0,55.0
2015-02-15,62.0,62.0,55.0,59.0,52700000,61500,3,55.0,55.0
2015-02-16,58.0,58.0,56.0,57.0,69890000,84000,3,59.0,56.0
2015-02-17,55.0,56.0,55.0,56.0,55638000,68000,3,57.0,56.0
2015-02-21,57.0,57.0,57.0,57.0,8293380,9980,1,56.0,57.0
2015-02-28,55.0,59.0,55.0,57.0,198597220,240220,8,57.0,59.0
2015-03-01,60.0,60.0,60.0,60.0,5307000,6100,1,57.0,60.0
2015-03-04,55.0,55.0,55.0,55.0,17920000,22400,1,60.0,55.0
2015-03-07,55.0,55.0,55.0,55.0,28000000,35000,1,55.0,55.0
2015-03-10,52.0,52.0,52.0,52.0,74844,99,1,55.0,52.0
2015-03-15,55.0,58.0,55.0,56.0,69960000,85000,2,52.0,58.0
2015-03-16,55.0,58.0,55.0,56.0,55890000,68000,3,56.0,58.0
2015-03-18,55.0,55.0,55.0,55.0,139945701,174901,5,56.0,55.0
2015-03-25,55.0,55.0,55.0,55.0,78600000,98000,3,55.0,55.0
2015-03-29,54.0,55.0,54.0,55.0,65462515,81379,5,55.0,55.0
2015-03-30,57.0,61.0,57.0,59.0,34420000,40000,2,55.0,61.0
2015-03-31,64.0,64.0,61.0,61.0,44097000,49650,3,59.0,61.0
2015-04-04,66.0,75.0,66.0,69.0,2218798900,2210100,10,61.0,68.0
2015-04-05,66.0,82.0,61.0,71.0,456150500,437250,14,69.0,62.0
2015-04-06,68.0,68.0,68.0,68.0,820000000,820000,3,71.0,68.0
2015-04-07,68.0,68.0,62.0,67.0,180907500,185000,7,68.0,66.0
2015-04-08,68.0,68.0,68.0,68.0,17000000,17000,1,67.0,68.0
2015-04-18,68.0,68.0,68.0,68.0,404995000,405000,4,68.0,68.0
2015-04-21,70.0,70.0,62.0,68.0,39720000,40000,2,68.0,62.0
2015-04-22,70.0,75.0,70.0,75.0,72529180,66009,3,68.0,75.0
2015-04-27,75.0,75.0,75.0,75.0,55055000,50050,1,75.0,75.0
2015-05-05,68.0,75.0,68.0,74.0,120675300,111170,4,75.0,75.0
2015-05-10,75.0,75.0,75.0,75.0,70033300,63700,2,74.0,75.0
2015-05-12,74.0,75.0,74.0,75.0,24955100,22850,2,75.0,75.0
2015-05-20,78.0,78.0,78.0,78.0,22780000,20000,1,75.0,78.0
2015-05-23,78.0,81.0,78.0,79.0,191540000,165000,4,78.0,81.0
2015-06-02,81.0,81.0,81.0,81.0,634840,538,1,79.0,81.0
2015-06-07,81.0,81.0,81.0,81.0,532350,450,1,81.0,81.0
2015-06-08,82.0,82.0,82.0,82.0,120320000,100000,4,81.0,82.0
2015-06-13,92.0,103.0,92.0,103.0,29326400,19580,4,82.0,103.0
2015-06-14,99.0,99.0,91.0,94.0,27545000,20100,3,103.0,91.0
2015-06-15,96.0,96.0,79.0,79.0,2433820000,2115000,4,94.0,79.0
2015-06-20,106.0,106.0,106.0,106.0,11935000000,7700000,7,79.0,106.0
2015-06-23,96.0,101.0,96.0,99.0,215616500,149380,12,106.0,101.0
2015-06-24,103.0,103.0,101.0,102.0,156775540,104970,7,99.0,102.0
2015-06-27,103.0,103.0,101.0,103.0,110826000,74000,5,102.0,103.0
2015-06-28,103.0,103.0,101.0,101.0,116706000,79000,6,103.0,101.0
2015-07-01,106.0,106.0,106.0,106.0,18600000,12000,1,101.0,106.0
2015-07-04,103.0,106.0,101.0,101.0,279201430,188459,11,106.0,101.0
2015-07-05,102.0,102.0,102.0,102.0,565039840,377540,3,101.0,102.0
2015-07-06,102.0,106.0,102.0,106.0,4378790960,2826010,5,102.0,106.0
2015-07-07,101.0,102.0,101.0,102.0,23873000,16000,3,106.0,102.0
2015-07-11,106.0,106.0,106.0,106.0,4340000000,2800000,2,102.0,106.0
2015-07-13,103.0,103.0,103.0,103.0,209900000,140000,3,106.0,103.0
2015-07-15,106.0,106.0,102.0,106.0,2170994840,1400665,2,103.0,102.0
2015-07-26,112.0,112.0,112.0,112.0,4340000000,2800000,2,106.0,112.0
2015-07-27,108.0,108.0,108.0,108.0,104790000,70000,3,112.0,108.0
2015-08-01,105.0,105.0,105.0,105.0,28328900,19350,4,108.0,105.0
2015-08-03,105.0,105.0,105.0,105.0,1083360,740,1,105.0,105.0
2015-08-04,105.0,105.0,105.0,105.0,25268640,17260,2,105.0,105.0
2015-08-05,98.0,105.0,98.0,105.0,165095150,113530,5,105.0,105.0
2015-08-08,112.0,122.0,105.0,107.0,658265800,442350,20,105.0,105.0
2015-08-09,112.0,130.0,105.0,110.0,91275000,60000,5,107.0,105.0
2015-08-12,130.0,130.0,112.0,112.0,1377203000,887335,3,110.0,112.0
2015-08-15,129.0,130.0,129.0,129.0,68040000,38000,4,112.0,129.0
2015-08-19,107.0,128.0,107.0,112.0,199800000,128000,8,129.0,108.0
2015-08-23,122.0,122.0,108.0,120.0,58205000,35000,2,112.0,108.0
2015-08-24,108.0,108.0,108.0,108.0,43549000,29000,4,120.0,108.0
2015-08-25,122.0,122.0,122.0,122.0,42500000,25000,1,108.0,122.0
2015-08-26,124.0,124.0,108.0,108.0,39197000,26100,3,122.0,108.0
2015-08-30,109.0,109.0,109.0,109.0,135915000,90000,2,108.0,109.0
2015-08-31,110.0,110.0,110.0,110.0,21420000,14000,1,109.0,110.0
2015-09-01,108.0,110.0,108.0,108.0,188080000,125000,3,110.0,108.0
2015-09-02,108.0,108.0,106.0,108.0,409986000,273000,10,108.0,106.0
2015-09-07,106.0,106.0,106.0,106.0,249840000,170000,2,108.0,106.0
2015-09-08,105.0,105.0,105.0,105.0,145500,100,1,106.0,105.0
2015-09-09,101.0,105.0,101.0,103.0,118080000,82800,5,105.0,105.0
2015-09-12,104.0,106.0,104.0,105.0,224615000,154000,4,103.0,106.0
2015-09-13,107.0,107.0,105.0,107.0,281720000,190000,5,105.0,105.0
2015-09-14,107.0,107.0,105.0,106.0,147100000,100000,2,107.0,105.0
2015-09-15,107.0,107.0,107.0,107.0,14800000,10000,1,106.0,107.0
2015-09-16,107.0,108.0,107.0,108.0,149500000,100000,2,107.0,108.0
2015-09-27,106.0,106.0,106.0,106.0,147000,100,1,108.0,106.0
2015-09-28,105.0,105.0,105.0,105.0,58200,40,1,106.0,105.0
2015-10-06,94.0,94.0,94.0,94.0,65500000,50000,1,105.0,94.0
2015-10-11,94.0,94.0,94.0,94.0,26010000,20000,2,94.0,94.0
2015-10-13,90.0,90.0,90.0,90.0,62520000,50000,2,94.0,90.0
2015-10-20,94.0,94.0,91.0,92.0,166700000,130000,4,90.0,91.0
2015-10-27,96.0,99.0,96.0,99.0,310969840,226960,7,92.0,99.0
2015-10-28,96.0,96.0,92.0,95.0,112705000,85000,5,99.0,94.0
2015-10-31,92.0,92.0,92.0,92.0,6405000,5000,1,95.0,92.0
2015-11-01,99.0,99.0,94.0,98.0,61110000,45000,3,92.0,95.0
2015-11-03,94.0,99.0,92.0,94.0,718561000,549900,17,98.0,92.0
2015-11-04,100.0,102.0,93.0,97.0,547037200,405060,13,94.0,93.0
2015-11-07,94.0,108.0,94.0,104.0,1050002260,730348,15,97.0,104.0
2015-11-10,97.0,97.0,97.0,97.0,67650000,50000,1,104.0,97.0
2015-11-11,95.0,95.0,95.0,95.0,6630000,5000,1,97.0,95.0
2015-11-15,101.0,101.0,96.0,99.0,205728000,149520,11,95.0,96.0
2015-11-16,103.0,103.0,101.0,102.0,270370000,190000,3,99.0,101.0
2015-11-17,107.0,107.0,101.0,104.0,805422960,555270,9,102.0,102.0
2015-11-18,104.0,104.0,104.0,104.0,14500,10,1,104.0,104.0
2015-11-22,102.0,108.0,102.0,104.0,681400000,470000,5,104.0,108.0
2015-11-23,102.0,102.0,102.0,102.0,14100000,10000,1,104.0,102.0
2015-11-24,109.0,112.0,104.0,108.0,717830000,480200,8,102.0,108.0
2015-11-25,108.0,108.0,108.0,108.0,750000,500,1,108.0,108.0
2015-12-01,102.0,102.0,102.0,102.0,42565000,30000,3,108.0,102.0
2015-12-05,102.0,102.0,102.0,102.0,63555000,45000,2,102.0,102.0
2015-12-06,99.0,99.0,99.0,99.0,46850000,34000,2,102.0,99.0
2015-12-13,104.0,104.0,101.0,102.0,11325000,8000,3,99.0,101.0
2015-12-14,108.0,108.0,100.0,107.0,177729357,119857,5,102.0,100.0
2015-12-15,100.0,100.0,100.0,100.0,19460000,14000,1,107.0,100.0
2015-12-16,108.0,108.0,100.0,107.0,723848770,485143,3,100.0,100.0
2015-12-22,101.0,101.0,99.0,100.0,41610000,30000,3,107.0,99.0
2015-12-28,99.0,101.0,99.0,100.0,414506230,299857,16,100.0,99.0
2015-12-30,99.0,100.0,99.0,99.0,27797626,20143,8,100.0,100.0
2016-01-03,99.0,99.0,99.0,99.0,271877000,197000,2,99.0,99.0
2016-01-04,100.0,100.0,99.0,99.0,184790374,133857,3,99.0,99.0
2016-01-10,100.0,100.0,99.0,99.0,1381001,1000,2,99.0,99.0
2016-01-11,97.0,97.0,97.0,97.0,20265000,15000,1,99.0,97.0
2016-01-12,97.0,97.0,97.0,97.0,27020000,20000,1,97.0,97.0
2016-01-16,97.0,97.0,97.0,97.0,1351000,1000,1,97.0,97.0
2016-02-01,101.0,101.0,97.0,97.0,9469950,7000,3,97.0,97.0
2016-02-06,97.0,107.0,97.0,100.0,190370850,137282,5,97.0,107.0
2016-02-08,107.0,107.0,107.0,107.0,15379780,10322,2,100.0,107.0
2016-02-13,101.0,101.0,101.0,101.0,21000000,15000,2,107.0,101.0
2016-02-14,100.0,101.0,99.0,100.0,340098700,245000,7,101.0,99.0
2016-02-17,94.0,94.0,94.0,94.0,26390000,20300,1,100.0,94.0
2016-02-21,97.0,100.0,97.0,99.0,979246350,709101,5,94.0,100.0
2016-02-22,97.0,100.0,97.0,99.0,251204100,182278,4,99.0,99.0
2016-02-29,94.0,94.0,94.0,94.0,456800000,351000,6,99.0,94.0
2016-03-01,100.0,100.0,99.0,100.0,6910000,5000,2,94.0,99.0
2016-03-02,97.0,97.0,97.0,97.0,146313000,108380,2,100.0,97.0
2016-03-12,94.0,94.0,94.0,94.0,9100000,7000,1,97.0,94.0
2016-03-16,129.0,144.0,92.0,141.0,29783295000,15233700,37,94.0,93.0
2016-04-10,96.0,96.0,96.0,96.0,106460000,80000,4,141.0,96.0
2016-04-11,100.0,100.0,100.0,100.0,6965000,5000,1,96.0,100.0
2016-04-13,104.0,104.0,104.0,104.0,72000000,50000,1,100.0,104.0
2016-04-18,139.0,140.0,119.0,134.0,755478400,405538,9,104.0,140.0
2016-04-19,116.0,130.0,114.0,129.0,1902980000,1062700,5,134.0,130.0
2016-04-24,130.0,130.0,130.0,130.0,9000,5,1,129.0,130.0
2016-04-25,117.0,126.0,117.0,119.0,99200000,60000,4,130.0,126.0
