date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-04-21,730.0,779.0,730.0,743.0,1146553265,1543753,156,1000.0,747.0
2015-04-22,739.0,771.0,703.0,732.0,501293869,685230,72,743.0,708.0
2015-04-25,690.0,750.0,690.0,739.0,369460443,499666,84,732.0,739.0
2015-04-26,711.0,718.0,696.0,707.0,192577584,272199,47,739.0,718.0
2015-04-27,680.0,680.0,661.0,666.0,195733208,293931,35,707.0,678.0
2015-04-28,662.0,702.0,660.0,697.0,244445159,350933,71,666.0,671.0
2015-04-29,679.0,680.0,667.0,675.0,55433282,82149,16,697.0,668.0
2015-05-03,667.0,689.0,644.0,680.0,84221934,123840,23,675.0,688.0
2015-05-04,631.0,631.0,631.0,631.0,694100,1100,1,680.0,631.0
2015-05-05,631.0,631.0,585.0,605.0,63627025,105100,18,631.0,631.0
2015-05-06,600.0,602.0,600.0,601.0,6803200,11327,9,605.0,602.0
2015-05-09,587.0,587.0,553.0,560.0,256566908,457764,51,601.0,553.0
2015-05-10,529.0,533.0,527.0,530.0,57099911,107699,13,560.0,532.0
2015-05-11,570.0,572.0,570.0,572.0,65662760,114830,32,530.0,572.0
2015-05-12,617.0,617.0,610.0,617.0,823075476,1335018,81,572.0,617.0
2015-05-13,617.0,659.0,600.0,614.0,364747350,593652,47,617.0,600.0
2015-05-17,623.0,623.0,578.0,591.0,129749057,219416,32,614.0,578.0
2015-05-18,599.0,600.0,544.0,561.0,211662475,377142,59,591.0,544.0
2015-05-19,551.0,580.0,517.0,545.0,147045198,269993,47,561.0,572.0
2015-05-20,573.0,573.0,550.0,565.0,16079642,28446,23,545.0,572.0
2015-05-23,570.0,580.0,521.0,541.0,60329466,111499,22,565.0,540.0
2015-05-24,574.0,574.0,527.0,545.0,44549073,81799,18,541.0,560.0
2015-05-25,565.0,569.0,555.0,564.0,51041352,90440,15,545.0,569.0
2015-05-26,579.0,579.0,544.0,552.0,62951700,113975,30,564.0,558.0
2015-05-27,579.0,579.0,562.0,569.0,65251294,114692,18,552.0,574.0
2015-05-30,585.0,585.0,550.0,577.0,33952310,58890,23,569.0,580.0
