date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-03-15,1488.0,1488.0,1488.0,1488.0,159105328000,19888166,9952,186.0,1488.0
2023-03-18,1501.0,1507.0,1443.0,1481.0,33851936470,4252500,403,1488.0,1443.0
2023-03-19,1438.0,1440.0,1438.0,1453.0,12674579370,1639652,191,1481.0,1438.0
2023-03-25,1410.0,1410.0,1410.0,1447.0,2817197960,371662,40,1453.0,1410.0
2023-03-26,1404.0,1404.0,1404.0,1447.0,404906500,53630,4,1447.0,1404.0
2023-03-27,1404.0,1404.0,1404.0,1445.0,788106750,104385,14,1447.0,1404.0
2023-03-28,1402.0,1402.0,1402.0,1440.0,2642196960,350424,51,1445.0,1402.0
2023-03-29,1397.0,1397.0,1397.0,1434.0,2887219500,384450,60,1440.0,1397.0
2023-04-03,1391.0,1391.0,1391.0,1425.0,3955947600,528870,58,1434.0,1391.0
2023-04-04,1384.0,1466.0,1384.0,1428.0,60288644760,7849779,857,1425.0,1466.0
2023-04-05,1471.0,1471.0,1471.0,1432.0,1342896520,169772,24,1428.0,1471.0
2023-04-08,1475.0,1475.0,1475.0,1434.0,1226112810,154617,19,1432.0,1475.0
2023-04-09,1477.0,1477.0,1477.0,1441.0,3575723420,450343,57,1434.0,1477.0
2023-04-10,1484.0,1484.0,1484.0,1449.0,3750089280,469936,61,1441.0,1484.0
2023-04-11,1492.0,1492.0,1492.0,1451.0,786914380,98119,18,1449.0,1492.0
2023-04-15,1494.0,1494.0,1494.0,1458.0,3541470900,441030,51,1451.0,1494.0
2023-04-16,1501.0,1501.0,1501.0,1460.0,727566990,90157,13,1458.0,1501.0
2023-04-17,1503.0,1503.0,1503.0,1462.0,1299167040,160788,21,1460.0,1503.0
2023-04-18,1505.0,1505.0,1505.0,1469.0,3543420000,438000,50,1462.0,1505.0
2023-04-19,1512.0,1512.0,1512.0,1471.0,585294960,71992,11,1469.0,1512.0
2023-04-24,1514.0,1514.0,1514.0,1473.0,1319738200,162130,17,1471.0,1514.0
2023-04-25,1516.0,1516.0,1516.0,1473.0,291598850,35779,6,1473.0,1516.0
