date,open,high,low,adjClose,value,volume,count,yesterday,close
2024-02-28,3421.0,3421.0,3421.0,3421.0,21153216403,6183343,286,1000.0,3421.0
2024-03-02,3319.0,3319.0,3319.0,3319.0,345428244,104076,6,3421.0,3319.0
2024-03-03,3220.0,3220.0,3220.0,3220.0,48300000,15000,1,3319.0,3220.0
2024-03-06,3124.0,3124.0,3124.0,3124.0,559992620,179255,6,3220.0,3124.0
2024-03-10,3031.0,3031.0,3031.0,3031.0,121383487540,40047340,12081,3124.0,3031.0
2024-03-11,2941.0,2941.0,2941.0,2941.0,154397676760,52498360,12191,3031.0,2941.0
2024-03-12,2858.0,2941.0,2853.0,2853.0,118717998823,41611052,12102,2941.0,2853.0
2024-03-13,2769.0,2853.0,2768.0,2772.0,4232358619,1526819,64,2853.0,2768.0
2024-03-16,2689.0,2750.0,2689.0,2689.0,109873064396,40859764,12074,2772.0,2689.0
2024-03-17,2610.0,2610.0,2609.0,2609.0,106099475954,40666706,12070,2689.0,2609.0
2024-03-18,2531.0,2533.0,2531.0,2531.0,99735786030,39405374,12097,2609.0,2531.0
2024-03-24,2460.0,2460.0,2456.0,2456.0,2252462774,917051,54,2531.0,2456.0
2024-03-25,2389.0,2529.0,2389.0,2504.0,8323859452,3324792,135,2456.0,2527.0
2024-03-26,2578.0,2578.0,2430.0,2464.0,1353457997,549395,35,2504.0,2458.0
2024-03-27,2517.0,2517.0,2391.0,2400.0,1156237133,481861,32,2464.0,2391.0
2024-03-30,2328.0,2356.0,2328.0,2330.0,3974712139,1705680,41,2400.0,2355.0
2024-04-02,2261.0,2271.0,2261.0,2261.0,4202220779,1858194,52,2330.0,2262.0
2024-04-03,2195.0,2328.0,2194.0,2254.0,5811119830,2578618,69,2261.0,2328.0
2024-04-06,2321.0,2321.0,2321.0,2321.0,772468257,332817,13,2254.0,2321.0
2024-04-07,2390.0,2390.0,2390.0,2390.0,2434162420,1018478,22,2321.0,2390.0
2024-04-08,2461.0,2461.0,2443.0,2459.0,8157923328,3318108,68,2390.0,2461.0
2024-04-09,2527.0,2532.0,2460.0,2532.0,12339893461,4874343,86,2459.0,2460.0
2024-04-13,2457.0,2457.0,2457.0,2457.0,1026718875,417875,23,2532.0,2457.0
2024-04-15,2433.0,2457.0,2433.0,2438.0,891838873,365777,13,2457.0,2433.0
2024-04-16,2414.0,2414.0,2414.0,2414.0,242394568,100412,2,2438.0,2414.0
2024-04-17,2438.0,2438.0,2390.0,2415.0,14272491200,5910545,78,2414.0,2390.0
2024-04-20,2344.0,2487.0,2343.0,2412.0,14343606649,5945687,129,2415.0,2343.0
2024-04-21,2484.0,2484.0,2413.0,2483.0,12493484699,5032239,89,2412.0,2484.0
2024-04-22,2557.0,2557.0,2550.0,2557.0,13493896293,5277320,102,2483.0,2557.0
2024-04-23,2630.0,2630.0,2481.0,2559.0,11812825366,4616922,83,2557.0,2561.0
2024-04-24,2543.0,2591.0,2483.0,2514.0,11144152726,4432966,96,2559.0,2591.0
2024-07-08,2700.0,2700.0,2700.0,2700.0,597828600,221418,2,2514.0,2700.0
2024-07-14,2540.0,2540.0,2540.0,2540.0,5080000000,2000000,10,2700.0,2540.0
2024-07-17,2540.0,2540.0,2500.0,2500.0,37932969180,15172551,84,2540.0,2500.0
