date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-11-17,58.0,58.0,58.0,58.0,1475610,1461,2,58.0,58.0
2015-11-22,58.0,58.0,58.0,58.0,313100,310,1,58.0,58.0
2015-12-09,58.0,58.0,58.0,58.0,1699000,1699,1,58.0,58.0
2015-12-16,58.0,58.0,58.0,58.0,1400000,1400,1,58.0,58.0
2016-01-16,58.0,58.0,58.0,58.0,1260000,1400,1,58.0,58.0
2016-01-31,58.0,58.0,58.0,58.0,1211400,1346,2,58.0,58.0
2016-02-13,58.0,58.0,58.0,58.0,4728600,5254,1,58.0,58.0
2016-02-14,48.0,48.0,48.0,48.0,150000000,200000,1,58.0,48.0
2016-02-17,48.0,48.0,48.0,48.0,6989250,9319,2,48.0,48.0
2016-03-07,58.0,58.0,58.0,58.0,25688656,28539,3,48.0,58.0
2016-03-15,58.0,58.0,58.0,58.0,24504159,27153,2,58.0,58.0
2016-04-09,52.0,52.0,52.0,52.0,46667550,57910,3,58.0,52.0
2016-04-10,53.0,53.0,53.0,53.0,832724,1018,1,52.0,53.0
2016-04-20,53.0,53.0,53.0,53.0,1049494,1283,1,53.0,53.0
2016-05-02,53.0,53.0,53.0,53.0,619855,755,1,53.0,53.0
2016-05-07,53.0,53.0,53.0,53.0,44334,54,1,53.0,53.0
2016-05-15,65.0,65.0,65.0,65.0,89476419,88917,4,53.0,65.0
2016-05-18,71.0,71.0,71.0,71.0,45100,41,3,65.0,71.0
2016-05-30,71.0,77.0,68.0,73.0,7504402,6609,12,71.0,71.0
2016-06-06,73.0,73.0,71.0,72.0,11422565,10178,5,73.0,71.0
2016-06-12,71.0,71.0,68.0,69.0,54682914,50901,5,72.0,68.0
2016-07-03,68.0,68.0,67.0,67.0,96183189,92223,6,69.0,67.0
2016-07-05,67.0,67.0,67.0,67.0,8320011,7977,1,67.0,67.0
2016-07-18,68.0,68.0,68.0,68.0,105000,100,1,67.0,68.0
2016-07-19,68.0,68.0,68.0,68.0,10500,10,1,68.0,68.0
2016-08-17,64.0,64.0,64.0,64.0,338000,338,1,68.0,64.0
2016-08-21,64.0,64.0,64.0,64.0,5920000,5920,6,64.0,64.0
2016-08-22,64.0,64.0,64.0,64.0,427000,427,1,64.0,64.0
2016-08-29,64.0,64.0,64.0,64.0,25269000,25269,2,64.0,64.0
2016-08-31,68.0,68.0,64.0,67.0,67873750,64975,3,64.0,64.0
2016-09-06,64.0,64.0,64.0,64.0,101528652,101326,3,67.0,64.0
2016-09-10,64.0,64.0,64.0,64.0,10030000,10030,4,64.0,64.0
