date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-01-14,159.0,159.0,159.0,159.0,61975489600,38734681,2,100.0,159.0
2014-02-08,139.0,139.0,139.0,139.0,2016000,1440,2,159.0,139.0
2014-03-03,159.0,159.0,159.0,159.0,19200000000,12000000,1,139.0,159.0
2014-03-04,139.0,139.0,139.0,139.0,700000,500,5,159.0,139.0
2014-06-01,155.0,155.0,155.0,155.0,3105000,3105,1,139.0,155.0
2014-12-02,163.0,163.0,163.0,163.0,1554000,1480,1,155.0,163.0
2015-01-12,209.0,209.0,163.0,192.0,14166750,11405,2,163.0,163.0
2015-01-14,209.0,209.0,209.0,209.0,9933300,7358,1,192.0,209.0
2015-01-17,209.0,209.0,209.0,209.0,53789400,39844,9,209.0,209.0
2015-01-18,209.0,209.0,209.0,209.0,10516500,7790,6,209.0,209.0
2015-01-19,209.0,209.0,209.0,209.0,20206800,14968,8,209.0,209.0
2015-01-20,209.0,209.0,209.0,209.0,6458400,4784,2,209.0,209.0
2015-01-21,209.0,209.0,209.0,209.0,9254250,6855,2,209.0,209.0
2015-01-24,209.0,209.0,209.0,209.0,22503150,16669,4,209.0,209.0
2015-01-25,209.0,209.0,209.0,209.0,2700000,2000,1,209.0,209.0
2015-01-27,209.0,209.0,209.0,209.0,3580200,2652,3,209.0,209.0
2015-01-28,209.0,209.0,209.0,209.0,20864250,15455,7,209.0,209.0
2015-01-31,209.0,209.0,209.0,209.0,11923200,8832,4,209.0,209.0
2015-02-01,209.0,225.0,209.0,209.0,23915800,17708,8,209.0,225.0
2015-02-02,209.0,209.0,209.0,209.0,19244250,14255,9,209.0,209.0
2015-02-03,209.0,209.0,209.0,209.0,23908500,17710,6,209.0,209.0
2015-02-04,209.0,209.0,209.0,209.0,26082000,19320,3,209.0,209.0
2015-02-07,209.0,209.0,209.0,209.0,12417300,9198,4,209.0,209.0
2015-02-08,209.0,209.0,209.0,209.0,12330900,9134,3,209.0,209.0
2015-02-09,209.0,209.0,209.0,209.0,23207850,17191,5,209.0,209.0
2015-02-10,209.0,209.0,209.0,209.0,15160500,11230,4,209.0,209.0
2015-02-14,209.0,209.0,209.0,209.0,1798200,1332,1,209.0,209.0
2015-02-15,209.0,209.0,209.0,209.0,9315000,6900,3,209.0,209.0
2015-02-16,209.0,209.0,209.0,209.0,3618000,2680,1,209.0,209.0
2015-02-17,211.0,211.0,211.0,211.0,7942400,5840,2,209.0,211.0
2015-02-18,209.0,209.0,209.0,209.0,2700000,2000,1,211.0,209.0
2015-02-21,209.0,209.0,209.0,209.0,4468500,3310,1,209.0,209.0
2015-02-22,209.0,209.0,209.0,209.0,4509000,3340,1,209.0,209.0
2015-02-23,209.0,209.0,209.0,209.0,1798200,1332,1,209.0,209.0
2015-02-28,209.0,209.0,209.0,209.0,5400000,4000,2,209.0,209.0
2015-03-02,209.0,209.0,209.0,209.0,11657250,8635,3,209.0,209.0
2015-03-03,209.0,209.0,209.0,209.0,13689000,10140,2,209.0,209.0
2015-03-07,209.0,209.0,209.0,209.0,2700000,2000,1,209.0,209.0
2015-03-08,209.0,209.0,209.0,209.0,4225500,3130,1,209.0,209.0
2015-03-09,209.0,209.0,209.0,209.0,7977150,5909,4,209.0,209.0
2015-03-10,209.0,209.0,209.0,209.0,2485350,1841,1,209.0,209.0
2015-03-11,209.0,209.0,209.0,209.0,2227500,1650,1,209.0,209.0
2015-03-14,209.0,209.0,209.0,209.0,2700000,2000,1,209.0,209.0
2015-03-15,209.0,209.0,209.0,209.0,12972750,9605,4,209.0,209.0
2015-03-16,209.0,209.0,209.0,209.0,6237000,4620,2,209.0,209.0
2015-04-12,209.0,209.0,209.0,209.0,4174500,3300,2,209.0,209.0
2015-04-13,209.0,209.0,209.0,209.0,4225100,3340,1,209.0,209.0
2015-04-15,209.0,209.0,209.0,209.0,3668500,2900,1,209.0,209.0
2015-04-20,209.0,209.0,209.0,209.0,1870935,1479,1,209.0,209.0
2015-04-28,209.0,209.0,209.0,209.0,4225100,3340,1,209.0,209.0
2015-05-24,209.0,209.0,209.0,209.0,2530000,2000,1,209.0,209.0
2015-05-25,208.0,209.0,208.0,209.0,2399000,1900,2,209.0,209.0
2015-05-30,209.0,209.0,209.0,209.0,4364250,3450,1,209.0,209.0
2015-06-02,209.0,209.0,209.0,209.0,3585010,2834,2,209.0,209.0
2015-06-06,209.0,209.0,209.0,209.0,3706450,2930,1,209.0,209.0
2015-06-10,209.0,209.0,209.0,209.0,3086600,2440,1,209.0,209.0
2015-06-29,209.0,209.0,209.0,209.0,2530000,2000,1,209.0,209.0
2015-07-01,209.0,209.0,209.0,209.0,3213100,2540,1,209.0,209.0
2015-07-07,209.0,209.0,209.0,209.0,2530000,2000,1,209.0,209.0
2015-07-11,209.0,209.0,209.0,209.0,2530000,2000,1,209.0,209.0
2015-07-26,209.0,209.0,209.0,209.0,2530000,2000,1,209.0,209.0
2015-08-01,209.0,209.0,209.0,209.0,3313035,2619,1,209.0,209.0
2015-08-05,209.0,209.0,209.0,209.0,4035350,3190,1,209.0,209.0
2015-08-15,209.0,209.0,209.0,209.0,2530000,2000,1,209.0,209.0
2015-08-17,209.0,209.0,209.0,209.0,3213100,2540,1,209.0,209.0
2015-08-19,209.0,209.0,209.0,209.0,3213100,2540,1,209.0,209.0
2015-08-26,209.0,209.0,209.0,209.0,4225100,3340,1,209.0,209.0
2015-08-30,209.0,209.0,209.0,209.0,3693800,2920,1,209.0,209.0
2015-08-31,209.0,209.0,209.0,209.0,4699475,3715,1,209.0,209.0
2015-09-01,209.0,209.0,209.0,209.0,7006835,5539,2,209.0,209.0
2015-11-17,206.0,206.0,206.0,206.0,1992000,1660,1,209.0,206.0
2016-02-28,201.0,209.0,201.0,204.0,13747750,11568,4,206.0,209.0
2016-03-09,203.0,203.0,203.0,203.0,2360000,2000,1,204.0,203.0
2016-03-12,203.0,203.0,203.0,203.0,15034380,12741,1,203.0,203.0
2016-03-16,203.0,203.0,203.0,203.0,2360000,2000,1,203.0,203.0
2016-04-09,203.0,203.0,203.0,203.0,7304200,6190,2,203.0,203.0
2016-04-17,203.0,203.0,203.0,203.0,2631400,2230,1,203.0,203.0
2016-04-24,203.0,203.0,203.0,203.0,2360000,2000,1,203.0,203.0
2016-06-13,203.0,203.0,203.0,203.0,1537540,1303,1,203.0,203.0
2016-06-22,203.0,203.0,203.0,203.0,3858600,3270,1,203.0,203.0
2016-07-17,203.0,203.0,203.0,203.0,2360000,2000,1,203.0,203.0
2016-08-15,203.0,203.0,203.0,203.0,5900000,5000,1,203.0,203.0
