date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-03-16,55.0,55.0,55.0,55.0,1555190000,1200000,3,42.0,55.0
2016-04-09,55.0,55.0,55.0,55.0,3042000,2340,1,55.0,55.0
2016-04-23,55.0,55.0,55.0,55.0,261059900,200723,6,55.0,55.0
2016-04-24,55.0,55.0,55.0,55.0,3042000,2340,5,55.0,55.0
2016-04-26,55.0,55.0,55.0,55.0,104000000,80000,3,55.0,55.0
2016-04-30,55.0,55.0,55.0,55.0,104000,80,1,55.0,55.0
2016-05-02,55.0,55.0,55.0,55.0,132813200,102164,6,55.0,55.0
2016-05-18,57.0,57.0,57.0,57.0,2423250,1795,2,55.0,57.0
2016-06-12,54.0,54.0,54.0,54.0,1035870,803,1,57.0,54.0
2016-07-16,42.0,42.0,42.0,42.0,7020000,7020,3,54.0,42.0
2016-07-27,38.0,38.0,38.0,38.0,9603360,10530,3,42.0,38.0
2016-08-06,39.0,39.0,39.0,39.0,3285577,3537,2,38.0,39.0
2016-08-14,42.0,42.0,42.0,42.0,6740000,6740,3,39.0,42.0
2016-08-16,42.0,42.0,42.0,42.0,2402400,2400,1,42.0,42.0
2016-08-20,42.0,42.0,42.0,42.0,17778761,17761,2,42.0,42.0
2016-08-21,42.0,42.0,42.0,42.0,2342340,2340,1,42.0,42.0
2016-08-29,42.0,42.0,42.0,42.0,56421680,56417,3,42.0,42.0
2016-09-03,42.0,42.0,42.0,42.0,54112000,54112,2,42.0,42.0
2016-09-10,42.0,42.0,42.0,42.0,4749480,4740,2,42.0,42.0
2016-09-24,42.0,42.0,42.0,42.0,4681840,4680,4,42.0,42.0
2016-09-27,42.0,42.0,42.0,42.0,2340000,2340,1,42.0,42.0
2016-10-02,42.0,42.0,42.0,42.0,2000000,2000,1,42.0,42.0
2016-10-04,42.0,42.0,42.0,42.0,1200000,1200,1,42.0,42.0
2016-10-22,42.0,42.0,42.0,42.0,2400000,2400,1,42.0,42.0
2016-10-26,42.0,42.0,42.0,42.0,5000000,5000,1,42.0,42.0
2016-10-30,42.0,42.0,42.0,42.0,2883000,2883,1,42.0,42.0
2016-11-14,40.0,40.0,40.0,40.0,2232360,2340,1,42.0,40.0
2016-11-15,40.0,40.0,40.0,40.0,954000,1000,1,40.0,40.0
2016-11-23,38.0,38.0,38.0,38.0,2108340,2340,1,40.0,38.0
2016-11-27,38.0,38.0,38.0,38.0,4280220,4740,2,38.0,38.0
2016-12-07,39.0,39.0,39.0,39.0,2106000,2340,1,38.0,39.0
2016-12-28,40.0,40.0,40.0,40.0,1656000,1800,1,39.0,40.0
2016-12-31,40.0,40.0,40.0,40.0,8666400,9420,1,40.0,40.0
2017-01-24,35.0,43.0,35.0,42.0,14321560,14851,5,40.0,43.0
2017-01-31,41.0,41.0,41.0,41.0,2304000,2400,1,42.0,41.0
2017-02-11,41.0,41.0,41.0,41.0,2199600,2340,1,41.0,41.0
2017-02-12,41.0,41.0,41.0,41.0,318660,339,1,41.0,41.0
2017-02-13,41.0,41.0,41.0,41.0,6435240,6846,2,41.0,41.0
2017-02-25,43.0,43.0,43.0,43.0,15678000,15678,4,41.0,43.0
2017-02-26,43.0,43.0,43.0,43.0,340000,340,1,43.0,43.0
2017-03-13,47.0,47.0,47.0,47.0,7950800,7228,2,43.0,47.0
2017-03-14,52.0,52.0,52.0,52.0,6050000,5000,1,47.0,52.0
2017-03-15,52.0,57.0,52.0,54.0,24677000,19870,4,52.0,57.0
2017-04-12,59.0,59.0,59.0,59.0,49766504,36434,11,54.0,59.0
2017-04-15,54.0,57.0,54.0,56.0,190481038,145838,8,59.0,56.0
2017-04-18,54.0,62.0,54.0,57.0,4684310,3566,2,56.0,62.0
2017-04-19,57.0,57.0,51.0,56.0,103998100,80200,7,57.0,51.0
2017-04-22,58.0,58.0,57.0,58.0,8992000,6680,5,56.0,57.0
2017-04-23,52.0,52.0,52.0,52.0,44722800,36900,6,58.0,52.0
2017-04-24,52.0,52.0,52.0,52.0,3248160,2680,1,52.0,52.0
2017-04-26,52.0,52.0,48.0,50.0,26113054,22321,5,52.0,48.0
2017-04-30,55.0,55.0,45.0,47.0,32352206,29721,8,50.0,45.0
2017-05-02,46.0,46.0,42.0,43.0,220977544,223000,21,47.0,42.0
2017-05-03,43.0,47.0,40.0,42.0,79731700,82410,19,43.0,42.0
2017-05-06,42.0,45.0,42.0,43.0,27667250,27510,4,42.0,45.0
2017-05-07,45.0,47.0,45.0,46.0,9795160,9200,7,43.0,47.0
2017-05-08,47.0,47.0,42.0,43.0,6092654,6175,2,46.0,42.0
2017-05-09,47.0,47.0,39.0,46.0,22987129,21769,5,43.0,39.0
2017-05-10,47.0,50.0,47.0,48.0,123410434,111516,33,46.0,50.0
2017-05-13,44.0,53.0,44.0,52.0,201825172,167803,21,48.0,53.0
2017-05-14,55.0,57.0,55.0,56.0,125266740,96020,11,52.0,57.0
2017-05-15,62.0,62.0,57.0,61.0,412641817,289827,40,56.0,60.0
2017-05-16,56.0,61.0,56.0,58.0,75321434,56148,7,61.0,56.0
2017-05-17,63.0,63.0,52.0,61.0,105469057,74629,12,58.0,63.0
2017-05-20,55.0,67.0,55.0,65.0,374361343,249197,29,61.0,61.0
2017-05-21,69.0,69.0,58.0,60.0,193175500,139600,22,65.0,58.0
2017-05-22,54.0,59.0,54.0,54.0,77686320,62180,12,60.0,54.0
2017-05-23,59.0,59.0,59.0,59.0,85072352,61984,14,54.0,59.0
2017-05-24,65.0,65.0,62.0,65.0,7804680252,5176986,303,59.0,65.0
2017-05-27,71.0,71.0,65.0,66.0,3464529890,2262628,191,65.0,67.0
2017-05-28,69.0,71.0,63.0,67.0,1935938325,1244576,142,66.0,63.0
2017-05-29,65.0,68.0,60.0,62.0,1011624883,708182,103,67.0,61.0
2017-05-30,60.0,68.0,60.0,66.0,1604345039,1051788,136,62.0,68.0
2017-05-31,68.0,72.0,67.0,72.0,2629183067,1577558,224,66.0,72.0
2017-06-03,78.0,79.0,75.0,78.0,10687470993,5891376,511,72.0,79.0
2017-06-06,84.0,86.0,73.0,81.0,3135402445,1673506,232,78.0,73.0
2017-06-07,75.0,79.0,73.0,75.0,2075150068,1199168,146,81.0,73.0
2017-06-10,77.0,77.0,67.0,70.0,2059208418,1260326,173,75.0,67.0
2017-06-11,65.0,78.0,65.0,75.0,6719373569,3872011,471,70.0,77.0
2017-06-12,75.0,82.0,75.0,81.0,3296102206,1755177,209,75.0,76.0
2017-06-13,78.0,78.0,73.0,74.0,1202261371,699111,177,81.0,73.0
2017-06-14,78.0,78.0,68.0,69.0,2804165022,1753185,181,74.0,70.0
2017-06-17,69.0,72.0,67.0,71.0,802677180,488997,108,69.0,71.0
2017-06-18,72.0,72.0,69.0,70.0,872071565,537858,96,71.0,69.0
2017-06-19,69.0,76.0,69.0,73.0,1669501567,988507,121,70.0,70.0
2017-06-20,72.0,72.0,66.0,68.0,1050517850,667961,112,73.0,66.0
2017-06-21,68.0,69.0,66.0,67.0,478816857,309317,74,68.0,68.0
2017-06-24,71.0,71.0,67.0,67.0,187050609,120341,31,67.0,68.0
2017-06-25,68.0,72.0,67.0,70.0,621047565,383561,80,67.0,69.0
2017-06-28,72.0,73.0,69.0,72.0,436869621,261661,56,70.0,71.0
2017-07-01,71.0,75.0,69.0,72.0,1150047580,685518,114,72.0,71.0
2017-07-02,73.0,74.0,70.0,71.0,1257251775,760047,102,72.0,70.0
2017-07-03,73.0,73.0,64.0,68.0,874618512,553253,95,71.0,69.0
2017-07-04,70.0,71.0,66.0,69.0,726276558,455050,86,68.0,71.0
2017-07-05,72.0,76.0,70.0,75.0,4449071897,2567382,548,69.0,71.0
2017-07-08,73.0,78.0,70.0,74.0,1879534122,1089986,184,75.0,72.0
2017-07-09,77.0,77.0,71.0,73.0,531337088,316039,70,74.0,72.0
2017-07-10,70.0,71.0,66.0,68.0,1138004859,723638,127,73.0,69.0
2017-07-11,67.0,71.0,64.0,68.0,1182154672,754873,106,68.0,66.0
2017-07-12,67.0,70.0,65.0,67.0,1022554015,661474,107,68.0,65.0
2017-07-15,69.0,69.0,66.0,66.0,290666832,189999,54,67.0,67.0
2017-07-16,68.0,68.0,63.0,65.0,551663595,364458,53,66.0,63.0
2017-07-17,62.0,66.0,61.0,64.0,969846122,651907,137,65.0,66.0
2017-07-18,68.0,71.0,63.0,70.0,2132604546,1322728,172,64.0,71.0
2017-07-19,72.0,76.0,71.0,74.0,3899372540,2264044,226,70.0,76.0
2017-07-22,76.0,82.0,68.0,81.0,10989095585,5889691,485,74.0,81.0
2017-07-23,89.0,89.0,84.0,88.0,12549655314,6128480,585,81.0,89.0
2017-07-24,97.0,97.0,91.0,96.0,12122423603,5451003,673,88.0,97.0
2017-07-25,104.0,105.0,91.0,100.0,9198120119,3949684,607,96.0,101.0
2017-07-26,105.0,105.0,90.0,92.0,5191666199,2423111,393,100.0,90.0
2017-07-29,91.0,98.0,85.0,94.0,8397038712,3870290,631,92.0,94.0
2017-07-30,95.0,97.0,88.0,94.0,5371309447,2459883,420,94.0,95.0
2017-07-31,100.0,100.0,94.0,96.0,4288596620,1917600,324,94.0,95.0
2017-08-01,98.0,98.0,89.0,92.0,9332329506,4358561,542,96.0,89.0
2017-08-02,89.0,93.0,88.0,90.0,3913686771,1871821,306,92.0,88.0
2017-08-06,88.0,90.0,84.0,87.0,1536991077,765849,185,90.0,84.0
2017-08-07,85.0,85.0,78.0,79.0,5627771334,3092255,505,87.0,78.0
2017-08-08,79.0,82.0,75.0,79.0,1242485381,678190,154,79.0,78.0
2017-08-09,80.0,87.0,79.0,85.0,4194043435,2140068,367,79.0,87.0
2017-08-12,90.0,90.0,82.0,85.0,2377247476,1205490,172,85.0,82.0
2017-08-13,87.0,87.0,77.0,80.0,2315216028,1250355,209,85.0,78.0
2017-08-14,82.0,82.0,77.0,78.0,1327574713,730198,137,80.0,79.0
2017-08-15,80.0,80.0,76.0,78.0,1554463148,865118,152,78.0,76.0
2017-08-16,80.0,84.0,78.0,81.0,1207628819,644316,161,78.0,80.0
2017-08-19,83.0,83.0,80.0,81.0,1608475753,852329,118,81.0,80.0
2017-08-20,81.0,82.0,77.0,79.0,1119862202,613923,105,81.0,78.0
2017-08-21,81.0,81.0,76.0,78.0,1037144584,574026,96,79.0,78.0
2017-08-22,80.0,80.0,76.0,78.0,961975261,533592,103,78.0,76.0
2017-08-23,79.0,81.0,77.0,79.0,1208840948,657664,121,78.0,79.0
2017-08-26,79.0,83.0,78.0,81.0,1817719218,963637,154,79.0,81.0
2017-08-27,81.0,85.0,79.0,83.0,1182244915,616011,126,81.0,80.0
2017-08-28,80.0,82.0,78.0,79.0,1307019768,716722,108,83.0,78.0
2017-08-29,81.0,81.0,78.0,79.0,305499217,167414,44,79.0,78.0
2017-08-30,80.0,80.0,78.0,78.0,1156179020,638694,114,79.0,78.0
2017-09-02,79.0,81.0,78.0,80.0,744080511,403683,89,78.0,78.0
2017-09-03,81.0,82.0,78.0,79.0,636326744,347453,63,80.0,79.0
2017-09-04,79.0,80.0,78.0,78.0,267780016,148175,40,79.0,79.0
2017-09-05,80.0,80.0,76.0,77.0,450324514,252928,65,78.0,76.0
2017-09-06,77.0,78.0,76.0,77.0,318570362,178644,36,77.0,76.0
2017-09-10,78.0,78.0,74.0,75.0,601982543,344920,81,77.0,74.0
2017-09-11,74.0,74.0,69.0,70.0,1928669084,1183775,115,75.0,69.0
2017-09-12,69.0,76.0,67.0,72.0,742743299,444294,128,70.0,74.0
2017-09-13,70.0,76.0,70.0,74.0,337180097,195505,72,72.0,76.0
2017-09-16,76.0,76.0,72.0,73.0,300769051,178413,59,74.0,73.0
2017-09-17,71.0,74.0,71.0,72.0,473349892,284146,54,73.0,72.0
2017-09-18,70.0,73.0,70.0,71.0,270597411,165002,53,72.0,71.0
2017-09-19,71.0,74.0,69.0,72.0,1323479379,794256,83,71.0,71.0
2017-09-20,71.0,77.0,71.0,75.0,773251563,446604,93,72.0,74.0
2017-09-23,72.0,76.0,70.0,72.0,288941156,172215,56,75.0,71.0
2017-09-24,70.0,74.0,70.0,72.0,518617837,309551,46,72.0,72.0
2017-09-25,70.0,79.0,70.0,78.0,4592845607,2531700,334,72.0,79.0
2017-09-26,85.0,85.0,76.0,80.0,2484197438,1338622,284,78.0,77.0
2017-09-27,75.0,81.0,75.0,79.0,640143203,351701,110,80.0,78.0
2017-10-02,72.0,78.0,72.0,74.0,210200696,122582,34,79.0,74.0
2017-10-03,74.0,78.0,71.0,72.0,575688607,344798,80,74.0,72.0
2017-10-04,73.0,75.0,72.0,74.0,276584563,161713,50,72.0,73.0
2017-10-07,71.0,76.0,69.0,73.0,440523907,259390,66,74.0,70.0
2017-10-08,70.0,71.0,66.0,68.0,975433127,621773,142,73.0,68.0
2017-10-09,68.0,72.0,68.0,71.0,1215110327,735610,127,68.0,72.0
2017-10-10,67.0,75.0,67.0,71.0,784365786,478838,92,71.0,69.0
2017-10-11,70.0,70.0,67.0,68.0,746208499,471119,109,71.0,70.0
2017-10-14,71.0,72.0,69.0,70.0,589943307,361220,75,68.0,71.0
2017-10-15,69.0,71.0,68.0,68.0,497985369,314485,82,70.0,68.0
2017-10-16,69.0,70.0,68.0,69.0,520011246,326667,81,68.0,69.0
2017-10-17,69.0,71.0,68.0,70.0,569147556,352326,86,69.0,70.0
2017-10-18,69.0,77.0,68.0,75.0,5107805249,2942591,328,70.0,77.0
2017-10-21,80.0,81.0,76.0,79.0,3526887597,1928210,276,75.0,77.0
2017-10-22,79.0,81.0,76.0,79.0,2903535951,1594704,200,79.0,79.0
2017-10-23,80.0,84.0,78.0,81.0,2024832781,1081689,209,79.0,80.0
2017-10-24,82.0,86.0,81.0,83.0,6519421257,3373551,620,81.0,82.0
2017-10-25,83.0,84.0,78.0,81.0,1807321377,966342,283,83.0,78.0
2017-10-28,81.0,81.0,75.0,76.0,2771435221,1580882,346,81.0,75.0
2017-10-29,76.0,79.0,74.0,77.0,1448548940,811357,192,76.0,76.0
2017-10-30,76.0,78.0,74.0,75.0,1443824663,828306,188,77.0,74.0
2017-10-31,74.0,77.0,73.0,74.0,911788402,528983,121,75.0,74.0
2017-11-01,73.0,75.0,71.0,73.0,1289903271,764305,168,74.0,74.0
2017-11-12,79.0,79.0,79.0,79.0,139908000,78600,11,73.0,79.0
2017-11-13,79.0,79.0,75.0,77.0,657485689,381990,89,79.0,76.0
2017-11-14,76.0,79.0,76.0,77.0,422356346,244190,71,77.0,76.0
2017-11-15,77.0,82.0,76.0,80.0,1584840907,879287,137,77.0,78.0
2017-11-18,78.0,80.0,76.0,77.0,548123628,315500,61,80.0,78.0
2017-11-20,79.0,82.0,77.0,80.0,653328601,361093,65,77.0,79.0
2017-11-21,81.0,81.0,77.0,78.0,349134423,198867,42,80.0,78.0
2017-11-22,78.0,80.0,76.0,77.0,650953295,377033,55,78.0,76.0
2017-11-25,76.0,79.0,74.0,76.0,1020277202,597339,79,77.0,74.0
2017-11-26,77.0,77.0,75.0,77.0,139479221,80551,30,76.0,76.0
2017-11-28,76.0,81.0,76.0,79.0,1018501786,571803,151,77.0,78.0
2017-11-29,76.0,77.0,76.0,76.0,1026629304,600339,76,79.0,76.0
2017-12-02,76.0,78.0,76.0,76.0,209142836,121953,31,76.0,77.0
2017-12-03,76.0,80.0,76.0,78.0,703945652,402596,109,76.0,76.0
2017-12-04,77.0,78.0,76.0,77.0,191169746,110827,24,78.0,76.0
2017-12-05,76.0,76.0,76.0,76.0,25341308,14834,4,77.0,76.0
2017-12-09,76.0,77.0,75.0,75.0,248290440,146370,37,76.0,75.0
2017-12-10,74.0,74.0,74.0,74.0,248984400,149208,23,75.0,74.0
2017-12-11,74.0,75.0,71.0,73.0,1174626348,720295,146,74.0,75.0
2017-12-12,71.0,73.0,71.0,72.0,426211621,262538,43,73.0,73.0
2017-12-13,75.0,75.0,72.0,73.0,127312058,77549,19,72.0,73.0
2017-12-16,73.0,76.0,72.0,73.0,683633182,415020,47,73.0,73.0
2017-12-17,73.0,73.0,72.0,72.0,114125410,70245,28,73.0,72.0
2017-12-18,72.0,75.0,72.0,73.0,605662045,370391,41,72.0,72.0
2017-12-19,72.0,73.0,72.0,72.0,332951260,205428,40,73.0,72.0
2017-12-20,72.0,72.0,71.0,71.0,261721620,163115,51,72.0,72.0
2017-12-23,71.0,73.0,71.0,72.0,169534913,104946,21,71.0,72.0
2017-12-24,71.0,71.0,70.0,71.0,550151948,343775,70,72.0,70.0
2017-12-25,70.0,71.0,70.0,70.0,151617720,95830,45,71.0,70.0
2017-12-26,71.0,71.0,69.0,70.0,167453631,106673,36,70.0,69.0
2017-12-27,73.0,73.0,68.0,69.0,195799773,126879,52,70.0,68.0
2017-12-30,70.0,71.0,63.0,66.0,450833084,305046,53,69.0,66.0
2017-12-31,64.0,64.0,59.0,59.0,713086837,532796,85,66.0,59.0
2018-01-01,62.0,65.0,60.0,63.0,210810255,148223,40,59.0,63.0
2018-01-02,64.0,64.0,62.0,63.0,39580490,28060,18,63.0,62.0
2018-01-03,63.0,63.0,58.0,59.0,313975367,236051,52,63.0,59.0
2018-01-06,61.0,64.0,60.0,62.0,220224819,156880,40,59.0,64.0
2018-01-07,65.0,67.0,63.0,65.0,16935199,11627,17,62.0,67.0
2018-01-08,63.0,66.0,63.0,63.0,170014414,119983,26,65.0,64.0
2018-01-09,63.0,65.0,63.0,64.0,133076985,93145,22,63.0,64.0
2018-01-10,62.0,63.0,61.0,62.0,513455233,370391,72,64.0,62.0
2018-01-13,61.0,63.0,61.0,61.0,146879240,106970,28,62.0,61.0
