date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-02-07,382.0,382.0,382.0,382.0,2712540000,5118000,110,721.0,382.0
2018-02-10,397.0,435.0,397.0,429.0,738889550,1241001,56,382.0,435.0
2018-02-12,447.0,462.0,447.0,447.0,2416064700,3895148,209,429.0,462.0
2018-02-14,433.0,433.0,404.0,416.0,326974280,566853,96,447.0,404.0
2018-02-17,369.0,370.0,369.0,369.0,752854089,1472599,173,416.0,370.0
2018-02-19,361.0,365.0,361.0,362.0,1532795299,3055244,389,369.0,365.0
2018-02-21,361.0,364.0,361.0,361.0,664470000,1326000,186,362.0,364.0
2018-02-24,361.0,361.0,346.0,360.0,1016418411,2036911,298,361.0,346.0
2018-02-26,346.0,346.0,326.0,345.0,2001458960,4184622,564,360.0,326.0
2018-02-28,317.0,325.0,317.0,318.0,1852220650,4203428,588,345.0,325.0
2018-03-03,311.0,318.0,311.0,312.0,987844000,2284000,308,318.0,318.0
2018-03-05,310.0,310.0,310.0,310.0,2000297220,4651854,653,312.0,310.0
2018-03-07,289.0,291.0,289.0,289.0,1348035209,3359803,465,310.0,291.0
2018-03-10,290.0,290.0,290.0,290.0,875462334,2177767,260,289.0,290.0
2018-03-12,256.0,281.0,256.0,265.0,971920000,2640000,328,290.0,281.0
2018-03-14,281.0,289.0,281.0,282.0,988468210,2524983,285,265.0,289.0
2018-03-17,289.0,289.0,275.0,283.0,403930917,1031015,131,282.0,275.0
2018-03-19,271.0,284.0,271.0,278.0,521752256,1352292,129,283.0,284.0
2018-03-26,282.0,282.0,281.0,282.0,593854714,1519654,126,278.0,281.0
2018-03-28,286.0,286.0,284.0,286.0,364002767,920271,66,282.0,284.0
2018-04-04,288.0,294.0,288.0,288.0,750477745,1880255,164,286.0,294.0
2018-04-07,289.0,290.0,289.0,289.0,279880000,699500,103,288.0,290.0
2018-04-09,288.0,288.0,288.0,288.0,653983743,1639057,209,289.0,288.0
2018-04-11,282.0,282.0,267.0,277.0,540763219,1406500,185,288.0,267.0
2018-04-16,267.0,267.0,260.0,267.0,831013950,2247735,226,277.0,260.0
2018-04-18,274.0,275.0,274.0,274.0,903606000,2377700,220,267.0,275.0
2018-04-21,289.0,289.0,288.0,289.0,603618800,1509832,144,274.0,288.0
2018-04-23,265.0,271.0,265.0,266.0,503548000,1364000,197,289.0,271.0
2018-04-25,271.0,271.0,271.0,271.0,789750000,2106000,236,266.0,271.0
2018-04-28,256.0,267.0,256.0,261.0,407705760,1125312,119,271.0,267.0
2018-04-30,264.0,264.0,258.0,263.0,427919952,1175672,173,261.0,258.0
2018-05-05,255.0,255.0,255.0,255.0,546091000,1547000,226,263.0,255.0
2018-05-07,249.0,249.0,249.0,249.0,493342410,1429978,197,255.0,249.0
2018-05-09,245.0,245.0,245.0,245.0,383886069,1130000,99,249.0,245.0
2018-05-12,245.0,245.0,227.0,236.0,242368140,741671,107,245.0,227.0
2018-05-14,239.0,245.0,239.0,239.0,496137000,1497000,183,236.0,245.0
2018-05-16,227.0,245.0,227.0,234.0,397360000,1224000,140,239.0,245.0
2018-05-19,240.0,245.0,240.0,242.0,233952640,697376,77,234.0,245.0
2018-05-21,245.0,253.0,245.0,247.0,410377069,1197409,131,242.0,253.0
2018-05-23,246.0,253.0,246.0,247.0,432896447,1262497,169,247.0,253.0
2018-05-26,260.0,270.0,260.0,261.0,481884699,1329459,124,247.0,270.0
2018-05-28,259.0,260.0,259.0,259.0,443350530,1234670,176,261.0,260.0
2018-05-30,242.0,253.0,242.0,245.0,440986000,1302000,172,259.0,253.0
2018-06-02,247.0,257.0,247.0,249.0,241640000,700000,84,245.0,257.0
2018-06-09,249.0,253.0,249.0,249.0,453083525,1311932,142,249.0,253.0
2018-06-11,253.0,260.0,253.0,254.0,476732529,1353749,181,249.0,260.0
2018-06-13,261.0,274.0,261.0,266.0,555794000,1507000,151,254.0,274.0
2018-06-18,296.0,296.0,278.0,288.0,850021460,2131631,129,266.0,278.0
2018-06-20,293.0,293.0,293.0,293.0,721134358,1776193,126,288.0,293.0
2018-06-23,290.0,291.0,290.0,290.0,809939942,2014271,206,293.0,291.0
2018-06-25,292.0,292.0,291.0,291.0,762587925,1888785,149,290.0,291.0
2018-06-27,274.0,274.0,264.0,273.0,884757440,2335088,218,291.0,264.0
2018-06-30,273.0,273.0,271.0,273.0,302915235,801465,81,273.0,271.0
2018-07-02,247.0,253.0,247.0,248.0,387806000,1127400,146,273.0,253.0
2018-07-04,253.0,274.0,253.0,258.0,459168600,1286196,152,248.0,274.0
2018-07-07,253.0,263.0,253.0,254.0,260741487,741537,73,258.0,263.0
2018-07-11,245.0,245.0,245.0,245.0,522762240,1537536,174,254.0,245.0
2018-07-14,253.0,263.0,253.0,255.0,208702100,592006,85,245.0,263.0
2018-07-16,267.0,267.0,249.0,266.0,901540850,2444705,173,255.0,249.0
2018-07-18,255.0,260.0,255.0,255.0,528635808,1494736,106,266.0,260.0
2018-08-13,263.0,263.0,263.0,256.0,69223000,203000,10,255.0,263.0
2018-08-15,275.0,290.0,275.0,279.0,343024469,947547,62,256.0,290.0
2018-08-18,290.0,290.0,270.0,285.0,242354168,654793,49,279.0,270.0
2018-08-20,271.0,285.0,271.0,275.0,358109622,1002352,115,285.0,285.0
2018-08-25,297.0,339.0,297.0,312.0,659234290,1627771,117,275.0,339.0
2018-08-27,387.0,387.0,387.0,387.0,3530442006,7032753,434,312.0,387.0
2018-08-29,389.0,389.0,389.0,388.0,286524000,568500,34,387.0,389.0
2018-09-01,389.0,427.0,386.0,410.0,2298576267,4317213,323,388.0,414.0
2018-09-02,396.0,421.0,386.0,397.0,1079238530,2096536,190,410.0,392.0
2018-09-03,386.0,394.0,363.0,375.0,1385457710,2851496,306,397.0,378.0
2018-09-04,376.0,394.0,374.0,385.0,1200491391,2406291,298,375.0,386.0
2018-09-05,366.0,400.0,366.0,377.0,3026740842,6205663,553,385.0,373.0
2018-09-08,383.0,414.0,376.0,404.0,4163470006,7966206,615,377.0,414.0
2018-09-09,444.0,444.0,444.0,444.0,992150425,1725479,112,404.0,444.0
2018-09-10,488.0,488.0,471.0,487.0,4902433127,7763483,409,444.0,488.0
2018-09-11,530.0,535.0,502.0,533.0,4672341886,6766128,399,487.0,535.0
2018-09-15,586.0,645.0,586.0,635.0,868604000,1055000,61,533.0,645.0
2018-09-18,620.0,681.0,559.0,664.0,3875722109,4499494,379,635.0,681.0
2018-09-22,731.0,731.0,671.0,709.0,9315122539,10139136,769,664.0,693.0
2018-09-23,694.0,725.0,666.0,683.0,8749153880,9890078,897,709.0,666.0
2018-09-24,655.0,687.0,617.0,642.0,8471815559,10177377,973,683.0,633.0
2018-09-25,620.0,706.0,620.0,693.0,11944096786,13301217,1017,642.0,706.0
2018-09-26,707.0,762.0,707.0,758.0,12276826666,12496145,897,693.0,762.0
2018-09-29,831.0,833.0,826.0,832.0,4280507529,3970685,368,758.0,833.0
2018-09-30,914.0,914.0,914.0,914.0,3669502995,3096627,278,832.0,914.0
2018-10-02,823.0,823.0,741.0,745.0,812118684,840444,48,914.0,741.0
2018-10-03,671.0,819.0,671.0,774.0,12795342759,12757381,1166,745.0,819.0
2018-10-06,851.0,851.0,710.0,789.0,18149472428,17766380,1241,774.0,772.0
2018-10-07,718.0,810.0,710.0,730.0,13414833954,14176672,1179,789.0,710.0
2018-10-08,675.0,748.0,657.0,668.0,9863820461,11384072,842,730.0,657.0
2018-10-09,648.0,735.0,633.0,716.0,14328471662,15438844,1243,668.0,700.0
2018-10-10,681.0,733.0,656.0,668.0,6785674005,7835579,646,716.0,656.0
2018-10-13,617.0,632.0,602.0,608.0,2115221460,2685278,292,668.0,602.0
2018-10-14,548.0,578.0,548.0,552.0,6984054519,9754312,944,608.0,556.0
2018-10-15,571.0,607.0,571.0,605.0,5100796240,6502450,603,552.0,607.0
2018-10-16,665.0,665.0,627.0,660.0,7464507384,8722892,772,605.0,665.0
2018-10-17,649.0,694.0,598.0,651.0,4707256000,5577215,633,660.0,648.0
2018-10-20,657.0,716.0,657.0,704.0,6416807868,7039325,685,651.0,716.0
2018-10-21,773.0,773.0,696.0,741.0,16139803879,16806991,1297,704.0,723.0
2018-10-22,699.0,741.0,667.0,678.0,10593505834,12045239,1107,741.0,667.0
2018-10-23,643.0,667.0,611.0,623.0,4246046421,5254473,639,678.0,630.0
2018-10-24,617.0,664.0,602.0,633.0,5226753362,6366406,667,623.0,623.0
2018-10-27,617.0,663.0,617.0,641.0,3936188535,4738966,503,633.0,652.0
2018-10-28,657.0,705.0,648.0,690.0,8680067935,9712060,895,641.0,705.0
2018-10-29,758.0,758.0,734.0,757.0,22081660983,22502090,1611,690.0,758.0
2018-10-31,795.0,795.0,732.0,758.0,16821082518,17119040,1654,757.0,733.0
2018-11-03,692.0,748.0,692.0,711.0,5767080780,6263582,724,758.0,695.0
2018-11-04,679.0,725.0,667.0,696.0,4578104050,5076755,623,711.0,694.0
2018-11-05,671.0,743.0,671.0,722.0,8038234783,8584046,968,696.0,732.0
2018-11-06,706.0,747.0,706.0,725.0,6247686482,6654684,799,722.0,716.0
2018-11-10,711.0,728.0,687.0,700.0,5919214604,6525905,783,725.0,687.0
2018-11-11,673.0,686.0,643.0,659.0,5270837551,6172141,710,700.0,657.0
2018-11-12,658.0,698.0,640.0,668.0,6762861684,7807499,880,659.0,687.0
2018-11-13,678.0,701.0,654.0,670.0,4253353797,4900361,557,668.0,656.0
2018-11-18,610.0,610.0,610.0,610.0,103621000,131000,16,670.0,610.0
2018-11-19,613.0,671.0,613.0,656.0,6197137090,7290923,809,610.0,671.0
2018-11-20,685.0,721.0,671.0,707.0,19629309017,21429265,1791,656.0,721.0
2018-11-21,703.0,756.0,703.0,729.0,15207294921,16100808,1519,707.0,733.0
2018-11-24,741.0,741.0,657.0,679.0,12481884228,14176101,1316,729.0,664.0
2018-11-26,656.0,664.0,616.0,636.0,5604545052,6800276,807,679.0,642.0
2018-11-27,648.0,675.0,648.0,658.0,4104467605,4809516,671,636.0,658.0
2018-11-28,642.0,655.0,618.0,629.0,6070125689,7444279,857,658.0,632.0
2018-12-01,626.0,630.0,584.0,606.0,3676490773,4686318,690,629.0,598.0
2018-12-02,595.0,644.0,595.0,631.0,3936232614,4809927,642,606.0,640.0
2018-12-03,637.0,663.0,627.0,640.0,4493088749,5411512,699,631.0,633.0
2018-12-04,643.0,647.0,610.0,622.0,3526336223,4374749,534,640.0,621.0
2018-12-05,621.0,633.0,610.0,620.0,7471762043,9303445,917,622.0,614.0
2018-12-08,617.0,625.0,602.0,610.0,5215686353,6596042,811,620.0,617.0
2018-12-09,610.0,616.0,584.0,598.0,5861286454,7562949,804,610.0,594.0
2018-12-10,579.0,613.0,579.0,602.0,4630412997,5940020,669,598.0,605.0
2018-12-12,589.0,602.0,571.0,585.0,4636488122,6119866,776,602.0,582.0
2018-12-15,579.0,586.0,562.0,573.0,6449520305,8686426,908,585.0,570.0
2018-12-16,571.0,572.0,549.0,560.0,3814263143,5256716,684,573.0,552.0
2018-12-17,548.0,578.0,548.0,563.0,4273127673,5856927,714,560.0,571.0
2018-12-18,571.0,598.0,556.0,579.0,4817479003,6422478,684,563.0,586.0
2018-12-19,579.0,594.0,563.0,576.0,3872943904,5192732,530,579.0,570.0
2018-12-22,556.0,583.0,556.0,569.0,2363362737,3206297,442,576.0,561.0
2018-12-23,569.0,578.0,553.0,562.0,4654988579,6396417,743,569.0,559.0
2018-12-24,556.0,556.0,511.0,529.0,15814227280,23053515,1960,562.0,536.0
2018-12-25,490.0,525.0,478.0,490.0,15739327576,24788895,1971,529.0,482.0
2018-12-26,463.0,483.0,448.0,456.0,10111619844,17102022,1653,490.0,454.0
2018-12-29,424.0,444.0,417.0,432.0,12093067005,21586799,1726,456.0,440.0
2018-12-30,441.0,463.0,428.0,454.0,11204107575,19047786,1612,432.0,457.0
2019-05-29,448.0,448.0,448.0,448.0,13142075000,22658750,485,454.0,448.0
2019-06-01,492.0,492.0,492.0,492.0,18488639004,28979058,730,448.0,492.0
2019-11-10,799.0,799.0,799.0,799.0,2325071306,1368494,50,492.0,799.0
2019-11-11,822.0,822.0,822.0,822.0,6930050457,3962293,531,799.0,822.0
2019-11-12,847.0,847.0,847.0,847.0,4702203885,2610885,309,822.0,847.0
2019-11-13,872.0,872.0,872.0,872.0,3429457220,1848764,368,847.0,872.0
2019-11-16,915.0,915.0,893.0,915.0,48154951751,24750153,1836,872.0,915.0
2019-11-17,912.0,938.0,888.0,907.0,22572555733,11694452,1673,915.0,901.0
2019-11-18,895.0,928.0,881.0,897.0,12689072683,6654273,1104,907.0,884.0
2019-11-19,893.0,893.0,870.0,875.0,14193341782,7621163,1238,897.0,878.0
2019-11-20,851.0,865.0,850.0,851.0,17987879447,9931315,1383,875.0,851.0
2019-11-23,845.0,877.0,826.0,863.0,20300754618,11062906,1173,851.0,877.0
2019-11-24,889.0,889.0,889.0,889.0,3755297700,1986930,366,863.0,889.0
2019-11-25,915.0,915.0,915.0,915.0,6051616312,3109772,483,889.0,915.0
2019-11-26,939.0,939.0,885.0,913.0,29108311330,14988809,1920,915.0,888.0
2019-11-27,888.0,926.0,886.0,898.0,14583939263,7632080,1340,913.0,914.0
2019-11-30,898.0,925.0,898.0,922.0,9227860842,4705671,753,898.0,925.0
2019-12-01,949.0,949.0,949.0,949.0,4769114223,2362117,471,922.0,949.0
2019-12-02,977.0,977.0,936.0,969.0,26939880969,13072958,1682,949.0,964.0
2019-12-03,945.0,998.0,945.0,983.0,27620765626,13208570,1653,969.0,997.0
2019-12-04,996.0,1012.0,972.0,1009.0,15810392537,7369223,902,983.0,1012.0
2019-12-07,1039.0,1039.0,1039.0,1039.0,9662824282,4374298,608,1009.0,1039.0
2019-12-08,1070.0,1070.0,1070.0,1070.0,6685212625,2938555,551,1039.0,1070.0
2019-12-09,1123.0,1123.0,1123.0,1123.0,5677176276,2377377,473,1070.0,1123.0
2019-12-10,1156.0,1156.0,1091.0,1152.0,40302918667,16442746,1376,1123.0,1156.0
2019-12-11,1158.0,1187.0,1152.0,1174.0,15316145399,6134314,791,1152.0,1187.0
2019-12-14,1209.0,1209.0,1209.0,1209.0,4796460171,1865601,470,1174.0,1209.0
2019-12-15,1269.0,1269.0,1269.0,1269.0,5152620415,1909085,442,1209.0,1269.0
2019-12-16,1307.0,1307.0,1307.0,1307.0,5231548091,1882529,460,1269.0,1307.0
2019-12-17,1346.0,1346.0,1346.0,1346.0,5835016980,2038790,458,1307.0,1346.0
2019-12-18,1386.0,1386.0,1386.0,1386.0,28572108040,9695320,658,1346.0,1386.0
2019-12-21,1455.0,1455.0,1429.0,1453.0,55539051138,17965429,1683,1386.0,1455.0
2019-12-22,1497.0,1497.0,1497.0,1497.0,6611956776,2077272,475,1453.0,1497.0
2019-12-23,1541.0,1541.0,1541.0,1541.0,23436021664,7149488,739,1497.0,1541.0
2019-12-24,1587.0,1587.0,1587.0,1587.0,7052639552,2089052,429,1541.0,1587.0
2019-12-25,1666.0,1666.0,1666.0,1666.0,6833696736,1928244,447,1587.0,1666.0
2019-12-28,1716.0,1716.0,1716.0,1716.0,7973352000,2184480,478,1666.0,1716.0
2019-12-29,1767.0,1767.0,1767.0,1767.0,8045083221,2140219,514,1716.0,1767.0
2019-12-30,1820.0,1820.0,1820.0,1820.0,9172659664,2369584,536,1767.0,1820.0
