date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-12-26,6.0,6.0,6.0,6.0,187716730400,15291685,407,5.0,6.0
2012-12-29,6.0,6.0,5.0,5.0,5405707285,4631355,666,6.0,5.0
2012-12-30,5.0,5.0,5.0,5.0,87231132467,77251627,747,5.0,5.0
2012-12-31,5.0,5.0,5.0,5.0,64564340453,56887930,699,5.0,5.0
2013-01-01,5.0,5.0,5.0,5.0,96848705030,85371111,421,5.0,5.0
2013-01-02,5.0,5.0,5.0,5.0,1228693329,1110000,86,5.0,5.0
2013-01-06,5.0,5.0,5.0,5.0,26241445483,24502690,49,5.0,5.0
2013-01-07,5.0,5.0,5.0,5.0,13322015700,12298320,117,5.0,5.0
2013-01-08,5.0,5.0,5.0,5.0,28608897736,25327010,174,5.0,5.0
2013-01-09,5.0,6.0,5.0,5.0,44407659106,37997005,137,5.0,5.0
2013-01-13,5.0,5.0,5.0,5.0,1020702494,913050,37,5.0,5.0
2013-01-14,5.0,5.0,5.0,5.0,1831002772,1649288,60,5.0,5.0
2013-01-15,5.0,5.0,5.0,5.0,1146705270,1048432,47,5.0,5.0
2013-01-16,5.0,5.0,5.0,5.0,2647759000,2411000,54,5.0,5.0
2013-01-19,5.0,5.0,5.0,5.0,478492500,442500,33,5.0,5.0
2013-01-20,5.0,5.0,5.0,5.0,399221130,375384,27,5.0,5.0
2013-01-21,5.0,5.0,5.0,5.0,462442344,452112,13,5.0,5.0
2013-01-22,5.0,5.0,5.0,5.0,1622633985,1532835,28,5.0,5.0
2013-01-23,5.0,5.0,5.0,5.0,6273013081,5824000,70,5.0,5.0
2013-01-26,5.0,5.0,5.0,5.0,501690693,485900,29,5.0,5.0
2013-01-27,5.0,5.0,5.0,5.0,481907689,469541,26,5.0,5.0
2013-01-28,5.0,5.0,5.0,5.0,14659452000,14239000,40,5.0,5.0
2013-01-30,5.0,5.0,5.0,5.0,37894715000,37486000,42,5.0,5.0
2013-02-02,5.0,5.0,5.0,5.0,27488144600,27001800,44,5.0,5.0
2013-02-03,5.0,5.0,5.0,5.0,1580489180,1550459,32,5.0,5.0
2013-02-04,5.0,5.0,5.0,5.0,2950690450,2900030,73,5.0,5.0
2013-02-05,5.0,5.0,5.0,5.0,28237226435,27592268,219,5.0,5.0
2013-02-06,5.0,5.0,5.0,5.0,10453565830,10205050,146,5.0,5.0
2013-02-09,5.0,5.0,5.0,5.0,10567239210,10281950,118,5.0,5.0
2013-02-11,5.0,5.0,5.0,5.0,22487510700,22248080,28,5.0,5.0
2013-02-12,5.0,5.0,5.0,5.0,25143888200,24727960,111,5.0,5.0
2013-02-13,5.0,5.0,5.0,5.0,131540000,130000,5,5.0,5.0
2013-02-16,5.0,5.0,5.0,5.0,24550455156,23920767,62,5.0,5.0
2013-02-17,5.0,5.0,5.0,5.0,3228379572,3112344,88,5.0,5.0
2013-02-18,5.0,5.0,5.0,5.0,892666797,879189,34,5.0,5.0
2013-02-19,5.0,5.0,5.0,5.0,2036818570,1998480,28,5.0,5.0
2013-02-20,5.0,5.0,5.0,5.0,1181618432,1151030,30,5.0,5.0
2013-02-23,5.0,5.0,5.0,5.0,7267180210,7100030,107,5.0,5.0
2013-02-24,5.0,5.0,5.0,5.0,2633750000,2600000,155,5.0,5.0
2013-02-25,5.0,5.0,5.0,5.0,2819824910,2820030,511,5.0,5.0
2013-02-26,5.0,5.0,4.0,5.0,688141980,684000,30,5.0,5.0
2013-02-27,5.0,5.0,5.0,5.0,1482960000,1479000,58,5.0,5.0
2013-03-02,5.0,5.0,5.0,5.0,1852438872,1852419,75,5.0,5.0
2013-03-03,5.0,5.0,5.0,5.0,12171133755,11747020,336,5.0,5.0
2013-03-04,5.0,5.0,5.0,5.0,2214060450,2150000,166,5.0,5.0
2013-03-05,5.0,5.0,5.0,5.0,20406154300,19627010,541,5.0,5.0
2013-03-06,5.0,5.0,5.0,5.0,1323161180,1285700,22,5.0,5.0
2013-03-09,5.0,5.0,5.0,5.0,49348335790,47638760,694,5.0,5.0
2013-03-10,5.0,5.0,5.0,5.0,29050834900,27927700,326,5.0,5.0
2013-03-11,5.0,5.0,5.0,5.0,1035784000,1000000,16,5.0,5.0
2013-03-12,5.0,5.0,5.0,5.0,15752997000,15294500,163,5.0,5.0
2013-03-13,5.0,5.0,5.0,5.0,36200000,35000,3,5.0,5.0
2013-03-16,5.0,5.0,5.0,5.0,283440000,273000,11,5.0,5.0
2013-03-17,5.0,5.0,5.0,5.0,13119588600,12615100,131,5.0,5.0
2013-03-18,5.0,5.0,5.0,5.0,2265970000,2180000,66,5.0,5.0
2013-03-27,5.0,5.0,5.0,5.0,10280000,10000,1,5.0,5.0
2013-03-30,5.0,5.0,5.0,5.0,10410000,10000,1,5.0,5.0
2013-03-31,5.0,5.0,5.0,5.0,326590000,314000,22,5.0,5.0
2013-04-03,5.0,5.0,5.0,5.0,181162800,165900,6,5.0,5.0
2013-04-06,5.0,5.0,5.0,5.0,406882632,369012,15,5.0,5.0
2013-04-07,5.0,5.0,5.0,5.0,229425000,210750,12,5.0,5.0
2013-04-08,5.0,5.0,5.0,5.0,533780000,487000,14,5.0,5.0
2013-04-09,5.0,5.0,5.0,5.0,1202300000,1093000,29,5.0,5.0
2013-04-10,5.0,5.0,5.0,5.0,763000000,700000,10,5.0,5.0
2013-04-13,5.0,5.0,5.0,5.0,123636846,118813,8,5.0,5.0
2013-04-15,5.0,5.0,5.0,5.0,438880000,422000,18,5.0,5.0
2013-04-16,5.0,5.0,5.0,5.0,229820000,223000,13,5.0,5.0
2013-04-17,5.0,5.0,5.0,5.0,220380000,215000,14,5.0,5.0
2013-04-20,5.0,5.0,5.0,5.0,550582225,534235,17,5.0,5.0
2013-04-21,5.0,5.0,5.0,5.0,1236599295,1199465,53,5.0,5.0
2013-04-22,5.0,5.0,5.0,5.0,5100000,5000,1,5.0,5.0
2013-04-23,5.0,5.0,5.0,5.0,1883150000,1830000,34,5.0,5.0
2013-04-24,5.0,5.0,5.0,5.0,165660000,160000,3,5.0,5.0
2013-04-27,5.0,5.0,5.0,5.0,1159675000,1115000,49,5.0,5.0
2013-04-28,5.0,5.0,5.0,5.0,2978545600,2864440,219,5.0,5.0
2013-04-29,5.0,5.0,5.0,5.0,402876000,390000,19,5.0,5.0
2013-04-30,5.0,5.0,5.0,5.0,1450120000,1402000,29,5.0,5.0
2013-05-01,5.0,5.0,5.0,5.0,528620000,509000,26,5.0,5.0
2013-05-04,5.0,5.0,5.0,5.0,790400000,760000,35,5.0,5.0
2013-05-05,5.0,5.0,5.0,5.0,773140000,750000,20,5.0,5.0
2013-05-06,5.0,5.0,5.0,5.0,281343860,271200,17,5.0,5.0
2013-05-07,5.0,5.0,5.0,5.0,160200000,154000,18,5.0,5.0
2013-05-08,5.0,5.0,5.0,5.0,1004772000,966000,68,5.0,5.0
2013-05-11,5.0,5.0,5.0,5.0,5999179600,5768000,177,5.0,5.0
2013-05-12,5.0,5.0,5.0,5.0,3304957390,3180100,144,5.0,5.0
2013-05-13,5.0,5.0,5.0,5.0,4036564498,3852758,322,5.0,5.0
2013-05-14,5.0,5.0,5.0,5.0,4037200000,3880000,523,5.0,5.0
2013-05-15,5.0,5.0,5.0,5.0,263559072,253255,13,5.0,5.0
2013-05-18,5.0,5.0,5.0,5.0,372773440,358436,14,5.0,5.0
2013-05-19,5.0,5.0,5.0,5.0,31530000,30000,1,5.0,5.0
2013-05-20,5.0,5.0,5.0,5.0,1597430000,1520000,20,5.0,5.0
2013-05-21,5.0,5.0,5.0,5.0,44856760,41564,3,5.0,5.0
2013-05-22,5.0,5.0,5.0,5.0,1218950000,1119000,27,5.0,5.0
2013-05-25,5.0,5.0,5.0,5.0,11300000,10000,2,5.0,5.0
2013-05-26,5.0,5.0,5.0,5.0,19425000,17200,3,5.0,5.0
2013-05-27,5.0,5.0,5.0,5.0,559829728,500000,20,5.0,5.0
2013-05-28,5.0,5.0,5.0,5.0,53500000,50000,6,5.0,5.0
2013-05-29,5.0,5.0,5.0,5.0,30057554000,28060200,291,5.0,5.0
2013-06-01,5.0,5.0,5.0,5.0,1103130000,1030000,11,5.0,5.0
2013-06-02,5.0,5.0,5.0,5.0,333000000,300000,7,5.0,5.0
2013-06-03,5.0,5.0,5.0,5.0,291663260,267124,8,5.0,5.0
2013-06-08,5.0,5.0,5.0,5.0,240240000,220000,3,5.0,5.0
2013-06-09,5.0,5.0,5.0,5.0,316670000,290000,15,5.0,5.0
2013-06-10,5.0,5.0,5.0,5.0,1484885000,1355000,32,5.0,5.0
2013-06-11,5.0,5.0,5.0,5.0,839089067,758389,36,5.0,5.0
2013-06-12,5.0,5.0,5.0,5.0,11224187165,10150200,115,5.0,5.0
2013-06-15,5.0,5.0,5.0,5.0,1505370000,1298800,42,5.0,5.0
2013-06-16,6.0,6.0,5.0,5.0,4400417408,3750300,76,5.0,5.0
2013-06-17,6.0,6.0,5.0,5.0,4794498008,4089940,70,5.0,5.0
2013-06-18,5.0,6.0,5.0,6.0,1592327580,1320823,55,5.0,6.0
2013-06-25,6.0,6.0,6.0,5.0,36488000,29990,3,6.0,6.0
2013-06-26,6.0,6.0,6.0,5.0,23920000,20000,1,5.0,6.0
2013-06-29,5.0,5.0,5.0,5.0,310908400,274800,10,5.0,5.0
2013-06-30,6.0,6.0,5.0,5.0,10729553343,9205000,123,5.0,5.0
2013-07-01,5.0,6.0,5.0,5.0,5728125,4867,3,5.0,5.0
2013-07-02,5.0,6.0,5.0,6.0,1592647650,1327390,36,5.0,6.0
2013-07-03,6.0,6.0,6.0,6.0,31324452400,25752500,280,6.0,6.0
2013-07-06,6.0,6.0,6.0,6.0,1168808250,936333,27,6.0,6.0
2013-07-07,6.0,6.0,6.0,6.0,190885000,155000,8,6.0,6.0
2013-07-08,6.0,6.0,6.0,6.0,522064858,404706,15,6.0,6.0
2013-07-09,6.0,6.0,6.0,6.0,197020000,160000,3,6.0,6.0
2013-07-10,6.0,6.0,6.0,6.0,330732490,272793,13,6.0,6.0
2013-07-13,6.0,6.0,6.0,6.0,11860000,10000,1,6.0,6.0
2013-07-14,5.0,6.0,5.0,6.0,8133112200,6796656,132,6.0,6.0
2013-07-15,6.0,6.0,6.0,6.0,16429748822,13691268,830,6.0,6.0
2013-07-16,5.0,5.0,5.0,5.0,1746400000,1480000,16,6.0,5.0
2013-07-17,5.0,6.0,5.0,6.0,1037441080,866974,24,5.0,6.0
2013-07-20,6.0,6.0,6.0,6.0,36000000,30000,1,6.0,6.0
2013-07-21,5.0,6.0,5.0,6.0,31028481175,25844151,299,6.0,6.0
2013-07-22,6.0,6.0,6.0,6.0,787245000,656000,21,6.0,6.0
2013-07-23,6.0,6.0,6.0,6.0,1808400000,1507000,18,6.0,6.0
2013-07-24,6.0,6.0,6.0,6.0,878370480,730047,37,6.0,6.0
2013-07-31,6.0,6.0,6.0,6.0,4870800000,4049000,43,6.0,6.0
2013-08-03,6.0,6.0,6.0,6.0,607462369,504775,14,6.0,6.0
2013-08-04,6.0,6.0,6.0,6.0,90525000,75000,7,6.0,6.0
2013-08-05,6.0,6.0,6.0,6.0,829915000,685000,15,6.0,6.0
2013-08-06,6.0,6.0,6.0,6.0,1233517000,1011000,24,6.0,6.0
2013-08-07,6.0,6.0,6.0,6.0,3499094864,2855574,44,6.0,6.0
2013-08-11,6.0,6.0,6.0,6.0,78684000,64000,3,6.0,6.0
2013-08-12,6.0,6.0,6.0,6.0,161250000,125000,5,6.0,6.0
2013-08-13,6.0,6.0,6.0,6.0,165366728,122132,4,6.0,6.0
2013-08-14,6.0,7.0,6.0,7.0,284237800,201800,12,6.0,7.0
2013-08-17,7.0,7.0,7.0,7.0,374420765,253559,14,7.0,7.0
2013-08-18,7.0,7.0,7.0,7.0,224674937,160000,10,7.0,7.0
