date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-09,7.0,7.0,7.0,7.0,2813000,1000,1,7.0,7.0
2001-04-14,7.0,7.0,7.0,7.0,124124,44,1,7.0,7.0
2001-04-24,7.0,7.0,7.0,7.0,3617110,1275,3,7.0,7.0
2001-04-29,7.0,7.0,7.0,7.0,10124928,3384,4,7.0,7.0
2001-04-30,7.0,7.0,7.0,7.0,7606664,2542,4,7.0,7.0
2001-05-01,7.0,7.0,7.0,7.0,11025820,3685,5,7.0,7.0
2001-05-05,7.0,7.0,7.0,7.0,1989330,664,2,7.0,7.0
2001-05-06,7.0,7.0,7.0,7.0,8216738,2738,2,7.0,7.0
2001-06-06,8.0,8.0,8.0,8.0,3151000,1000,1,7.0,8.0
2001-06-20,8.0,8.0,8.0,8.0,6364592,1924,2,8.0,8.0
2001-06-23,8.0,8.0,8.0,8.0,15848724,4789,8,8.0,8.0
2001-06-24,9.0,9.0,9.0,9.0,19112500,5500,2,8.0,9.0
2001-06-27,9.0,9.0,9.0,9.0,434375,125,1,9.0,9.0
2001-06-30,9.0,9.0,9.0,9.0,156375,45,1,9.0,9.0
2001-07-04,10.0,10.0,10.0,10.0,4000000,1000,1,9.0,10.0
2001-07-07,10.0,10.0,10.0,10.0,160000,40,2,10.0,10.0
2001-07-08,10.0,10.0,10.0,10.0,13908000,3477,2,10.0,10.0
2001-07-09,10.0,10.0,10.0,10.0,9998000,2500,2,10.0,10.0
2001-07-10,10.0,10.0,10.0,10.0,5952000,1488,2,10.0,10.0
2001-07-14,10.0,10.0,10.0,10.0,7399001,1850,2,10.0,10.0
2001-09-04,7.0,7.0,7.0,7.0,3000000,1000,1,10.0,7.0
2001-09-05,7.0,7.0,7.0,7.0,3309000,1103,2,7.0,7.0
2001-09-10,8.0,8.0,8.0,8.0,1735650,551,2,7.0,8.0
2001-09-11,8.0,8.0,8.0,8.0,5952600,1800,1,8.0,8.0
2001-09-12,8.0,8.0,8.0,8.0,3307000,1000,1,8.0,8.0
2001-09-15,8.0,8.0,8.0,8.0,17182600,5202,5,8.0,8.0
2001-09-16,8.0,8.0,8.0,8.0,18481000,5600,4,8.0,8.0
2001-09-17,8.0,8.0,8.0,8.0,1591082,482,1,8.0,8.0
2001-09-18,8.0,8.0,8.0,8.0,3911018,1185,4,8.0,8.0
2001-09-19,8.0,8.0,8.0,8.0,9900000,3000,3,8.0,8.0
2001-09-22,8.0,8.0,8.0,8.0,1320000,400,1,8.0,8.0
2001-09-24,8.0,8.0,8.0,8.0,12893000,3950,5,8.0,8.0
2001-09-26,8.0,8.0,8.0,8.0,2750705,857,2,8.0,8.0
2001-09-30,8.0,8.0,8.0,8.0,5467807,1696,6,8.0,8.0
2001-10-03,8.0,8.0,8.0,8.0,1162440,360,1,8.0,8.0
2001-10-07,8.0,8.0,8.0,8.0,1236926,380,2,8.0,8.0
2001-10-10,8.0,8.0,8.0,8.0,19300392,5903,8,8.0,8.0
2001-10-13,8.0,8.0,8.0,8.0,1962000,600,1,8.0,8.0
2001-10-14,8.0,8.0,8.0,8.0,1722650,526,2,8.0,8.0
2001-10-16,8.0,8.0,8.0,8.0,1059300,321,1,8.0,8.0
2001-10-22,8.0,8.0,8.0,8.0,5405400,1560,3,8.0,8.0
2001-10-23,8.0,8.0,8.0,8.0,2391519,689,4,8.0,8.0
2001-10-24,9.0,9.0,9.0,9.0,6559200,1800,1,8.0,9.0
2001-10-28,9.0,9.0,9.0,9.0,11741089,3211,7,9.0,9.0
2001-10-29,9.0,9.0,9.0,9.0,877920,240,1,9.0,9.0
2001-10-31,9.0,9.0,9.0,9.0,59520000,15500,4,9.0,9.0
2001-11-03,9.0,9.0,9.0,9.0,1647360,429,1,9.0,9.0
2001-11-05,9.0,10.0,9.0,10.0,9133592,2288,4,9.0,10.0
2001-11-07,10.0,10.0,10.0,10.0,7093800,1689,2,10.0,10.0
2001-11-10,11.0,11.0,11.0,11.0,41228000,9370,6,10.0,11.0
2001-11-11,11.0,11.0,11.0,11.0,24294860,5520,3,11.0,11.0
2001-11-12,11.0,11.0,11.0,11.0,37752517,8175,12,11.0,11.0
2001-11-14,11.0,11.0,11.0,11.0,149543272,32244,15,11.0,11.0
2001-11-17,11.0,11.0,11.0,11.0,4428000,1000,1,11.0,11.0
2001-11-19,11.0,11.0,11.0,11.0,46699205,10045,3,11.0,11.0
2001-12-02,13.0,14.0,13.0,14.0,149459000,27118,23,11.0,14.0
2001-12-03,14.0,14.0,14.0,14.0,28550000,5000,5,14.0,14.0
2001-12-04,15.0,15.0,14.0,15.0,72170000,12000,4,14.0,15.0
2001-12-05,15.0,16.0,15.0,16.0,63063818,10011,10,15.0,16.0
2001-12-08,16.0,16.0,16.0,16.0,43570716,6756,15,16.0,16.0
2001-12-09,16.0,16.0,16.0,16.0,6851000,1054,3,16.0,16.0
2001-12-11,16.0,16.0,16.0,16.0,5981063,913,2,16.0,16.0
2001-12-12,17.0,17.0,17.0,17.0,9655446,1405,5,16.0,17.0
2001-12-15,17.0,18.0,17.0,18.0,14522820,2083,3,17.0,18.0
2001-12-19,18.0,19.0,18.0,19.0,15986620,2138,3,18.0,19.0
2002-01-20,19.0,19.0,19.0,19.0,45744360,5760,9,19.0,19.0
2002-02-18,14.0,14.0,14.0,14.0,2281825,413,1,19.0,14.0
2002-02-26,14.0,14.0,14.0,14.0,27450332,4732,9,14.0,14.0
2002-03-02,15.0,15.0,15.0,15.0,12182000,2000,2,14.0,15.0
2002-03-04,16.0,16.0,16.0,16.0,15348000,2400,2,15.0,16.0
2002-03-06,16.0,16.0,16.0,16.0,19235610,2865,8,16.0,16.0
2002-03-09,17.0,17.0,17.0,17.0,12771136,1856,3,16.0,17.0
2002-03-10,17.0,17.0,17.0,17.0,21307113,3021,3,17.0,17.0
2002-03-11,18.0,18.0,18.0,18.0,25178607,3483,4,17.0,18.0
2002-03-13,18.0,18.0,18.0,18.0,15558900,2100,4,18.0,18.0
2002-03-16,19.0,19.0,19.0,19.0,28439530,3745,4,18.0,19.0
2002-03-17,19.0,19.0,19.0,19.0,7783000,1000,2,19.0,19.0
2002-03-19,20.0,20.0,20.0,20.0,23045553,2889,3,19.0,20.0
2002-04-06,20.0,20.0,20.0,20.0,18322416,2241,2,20.0,20.0
