date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-02-24,78.0,78.0,78.0,78.0,21400000,20000,2,73.0,78.0
2014-03-02,78.0,78.0,76.0,78.0,155928900,145900,26,78.0,78.0
2014-03-09,78.0,87.0,78.0,78.0,263733000,244500,36,78.0,87.0
2014-03-10,87.0,87.0,87.0,87.0,2400000,2000,1,78.0,87.0
2014-03-11,87.0,95.0,87.0,89.0,15900000,13000,3,87.0,95.0
2014-03-19,109.0,109.0,109.0,109.0,4500000,3000,1,89.0,109.0
2014-04-05,146.0,146.0,146.0,146.0,4000000,2000,1,109.0,146.0
2014-04-08,146.0,146.0,146.0,146.0,6000000,3000,1,146.0,146.0
2014-04-12,146.0,146.0,146.0,146.0,16000000,8000,1,146.0,146.0
2014-04-14,138.0,138.0,138.0,138.0,190000000,100000,1,146.0,138.0
2014-04-15,138.0,138.0,138.0,138.0,55100000,29000,4,138.0,138.0
2014-05-10,138.0,138.0,138.0,138.0,38000000,20000,2,138.0,138.0
2014-05-12,138.0,138.0,138.0,138.0,190000,100,1,138.0,138.0
2014-06-08,138.0,138.0,138.0,138.0,19000,10,1,138.0,138.0
2014-06-24,138.0,138.0,126.0,129.0,16182600,9900,3,138.0,126.0
2014-07-21,150.0,150.0,150.0,150.0,38000000,20000,2,129.0,150.0
2014-07-27,150.0,150.0,149.0,150.0,22761000,11990,2,150.0,149.0
2014-07-28,158.0,158.0,158.0,158.0,20000,10,1,150.0,158.0
2014-08-02,158.0,158.0,158.0,158.0,79800000,39900,2,158.0,158.0
2014-08-03,158.0,158.0,158.0,158.0,300000,150,1,158.0,158.0
2014-08-05,142.0,142.0,142.0,142.0,36000000,20000,2,158.0,142.0
2014-08-09,150.0,150.0,150.0,150.0,323000,170,1,142.0,150.0
2014-08-10,138.0,138.0,138.0,138.0,8750000,5000,1,150.0,138.0
2014-08-16,138.0,138.0,138.0,138.0,175000,100,1,138.0,138.0
2014-08-23,126.0,126.0,126.0,126.0,24000000,15000,1,138.0,126.0
2014-09-16,119.0,122.0,119.0,119.0,150885000,100000,4,126.0,122.0
2014-09-24,138.0,138.0,138.0,138.0,8277500,4730,1,119.0,138.0
2014-09-27,158.0,158.0,158.0,158.0,2400000,1200,1,138.0,158.0
2014-10-28,120.0,120.0,120.0,120.0,1808800,1190,1,158.0,120.0
2014-11-09,119.0,119.0,119.0,119.0,12080000,8000,1,120.0,119.0
2014-11-18,121.0,121.0,121.0,121.0,1820700,1190,1,119.0,121.0
2014-12-01,158.0,158.0,158.0,158.0,27480000,13740,2,121.0,158.0
2014-12-02,158.0,158.0,158.0,158.0,22120000,11060,2,158.0,158.0
2015-01-07,122.0,122.0,122.0,122.0,15500000,10000,1,158.0,122.0
2015-01-11,121.0,121.0,121.0,121.0,15310000,10000,1,122.0,121.0
2015-01-13,138.0,138.0,138.0,138.0,10675000,6100,3,121.0,138.0
2015-01-24,138.0,138.0,138.0,138.0,875000,500,1,138.0,138.0
2015-01-26,116.0,116.0,116.0,116.0,617910090,420347,67,138.0,116.0
2015-01-27,116.0,121.0,116.0,116.0,627907550,427065,50,116.0,121.0
2015-01-28,134.0,134.0,134.0,134.0,25500000,15000,1,116.0,134.0
2015-02-02,116.0,119.0,116.0,116.0,475211850,322855,37,134.0,116.0
2015-02-03,119.0,119.0,119.0,119.0,6195100,4100,1,116.0,119.0
2015-02-04,116.0,116.0,116.0,116.0,14700000,10000,1,119.0,116.0
2015-02-07,116.0,130.0,116.0,118.0,75870000,51000,7,116.0,130.0
2015-02-10,118.0,118.0,118.0,118.0,22500000,15000,1,118.0,118.0
2015-02-28,138.0,138.0,138.0,138.0,5470500,3126,2,118.0,138.0
2015-03-01,158.0,158.0,138.0,144.0,13109500,7214,2,138.0,138.0
2015-03-02,160.0,167.0,160.0,162.0,25597500,12500,2,144.0,167.0
2015-03-18,199.0,199.0,199.0,199.0,14875000,8500,1,162.0,199.0
2015-03-25,194.0,199.0,194.0,195.0,19625000,11500,2,199.0,199.0
2015-04-15,220.0,220.0,220.0,220.0,19300000,10000,1,195.0,220.0
2015-04-25,194.0,194.0,182.0,183.0,7371000,4600,3,220.0,182.0
2015-05-10,194.0,194.0,194.0,194.0,5100000,3000,1,183.0,194.0
2015-05-12,182.0,182.0,182.0,182.0,3200000,2000,1,194.0,182.0
2015-05-23,182.0,182.0,182.0,182.0,47216000,29510,7,182.0,182.0
2015-06-13,182.0,182.0,182.0,182.0,4200573,2627,1,182.0,182.0
2015-06-22,148.0,148.0,148.0,148.0,19500000,15000,1,182.0,148.0
2015-08-08,154.0,154.0,154.0,154.0,16515000,15000,1,148.0,154.0
2015-09-01,161.0,161.0,161.0,161.0,11500000,10000,1,154.0,161.0
2015-09-19,196.0,196.0,196.0,196.0,35000000,25000,2,161.0,196.0
2015-11-07,217.0,217.0,217.0,217.0,3100000,2000,1,196.0,217.0
2015-12-22,217.0,217.0,217.0,217.0,29835250,19255,2,217.0,217.0
2016-01-03,197.0,197.0,196.0,196.0,21041000,15000,3,217.0,196.0
2016-01-05,196.0,217.0,196.0,207.0,55954750,37745,4,196.0,196.0
2016-01-09,217.0,217.0,217.0,217.0,1547451,999,1,207.0,217.0
2016-01-11,224.0,224.0,224.0,224.0,8000000,5000,1,217.0,224.0
2016-01-13,222.0,222.0,222.0,222.0,27030000,17000,1,224.0,222.0
2016-01-16,224.0,224.0,224.0,224.0,72000000,45000,1,222.0,224.0
2016-01-17,238.0,238.0,224.0,229.0,55850727,34138,4,224.0,238.0
2016-01-18,245.0,245.0,245.0,245.0,10053750,5745,1,229.0,245.0
2016-01-19,249.0,260.0,245.0,254.0,32690000,18000,3,245.0,260.0
2016-01-23,268.0,268.0,268.0,268.0,19190000,10000,1,254.0,268.0
2016-01-24,268.0,268.0,247.0,265.0,73165685,38589,4,268.0,268.0
2016-01-26,268.0,274.0,268.0,274.0,19579600,10000,2,265.0,274.0
2016-01-30,280.0,280.0,280.0,280.0,10000000,5000,1,274.0,280.0
2016-02-06,280.0,280.0,280.0,280.0,300000000,150000,1,280.0,280.0
2016-02-07,279.0,280.0,279.0,280.0,299980000,150000,4,280.0,280.0
2016-03-05,265.0,265.0,210.0,210.0,15009485,10005,2,280.0,210.0
2016-03-14,266.0,266.0,266.0,266.0,22800000,12000,1,210.0,266.0
2016-03-26,266.0,266.0,266.0,266.0,20900000,11000,1,266.0,266.0
2016-04-16,266.0,266.0,266.0,266.0,3127400,1646,1,266.0,266.0
2016-04-17,266.0,266.0,266.0,266.0,39890500,20995,3,266.0,266.0
2016-04-20,272.0,272.0,272.0,272.0,194900,100,1,266.0,272.0
2016-05-21,272.0,272.0,272.0,272.0,194900,100,1,272.0,272.0
2016-05-24,272.0,272.0,272.0,272.0,19100200,9800,1,272.0,272.0
2016-05-28,280.0,280.0,280.0,280.0,400000,200,1,272.0,280.0
2016-07-10,284.0,284.0,284.0,284.0,20300,10,1,280.0,284.0
2016-08-27,223.0,223.0,223.0,223.0,56400000,37600,2,284.0,223.0
2016-08-28,223.0,223.0,223.0,223.0,33750000,22500,1,223.0,223.0
2016-08-29,267.0,275.0,265.0,270.0,263187000,145090,11,223.0,275.0
2016-08-30,223.0,267.0,223.0,249.0,105720000,63000,8,270.0,267.0
2016-08-31,267.0,279.0,267.0,269.0,139273270,76960,7,249.0,279.0
2016-09-03,276.0,279.0,223.0,266.0,175207000,98000,7,269.0,276.0
2016-09-10,208.0,208.0,180.0,183.0,21557000,17500,2,266.0,180.0
2016-09-11,245.0,253.0,245.0,251.0,105400000,62500,3,183.0,253.0
2016-09-13,251.0,257.0,251.0,256.0,20680000,12000,2,251.0,257.0
2016-09-14,261.0,262.0,261.0,261.0,72889100,41450,2,256.0,262.0
2016-09-17,261.0,261.0,261.0,261.0,35180000,20000,2,261.0,261.0
2016-09-19,261.0,261.0,261.0,261.0,65932500,37500,3,261.0,261.0
2016-09-21,260.0,267.0,260.0,264.0,359870500,202866,8,261.0,267.0
2016-09-24,267.0,267.0,267.0,267.0,1798000,1000,1,264.0,267.0
2016-11-07,225.0,225.0,223.0,224.0,87320000,58000,3,267.0,223.0
2016-11-09,263.0,263.0,215.0,256.0,80725000,46900,2,224.0,215.0
2016-11-14,217.0,217.0,217.0,217.0,62833000,43000,3,256.0,217.0
2016-11-19,236.0,263.0,236.0,249.0,164172000,98000,5,217.0,263.0
2016-12-11,201.0,201.0,200.0,201.0,50610000,37500,3,249.0,201.0
2016-12-14,260.0,260.0,260.0,260.0,218625000,125000,3,201.0,260.0
2016-12-18,260.0,260.0,260.0,260.0,34940000,20000,1,260.0,260.0
2016-12-19,259.0,263.0,259.0,262.0,1043385400,591900,5,260.0,263.0
2016-12-20,272.0,297.0,272.0,286.0,194550000,101000,4,262.0,297.0
2016-12-21,267.0,267.0,253.0,259.0,65250000,37500,2,286.0,253.0
2016-12-27,253.0,253.0,253.0,253.0,21250000,12500,1,259.0,253.0
2017-01-07,211.0,296.0,211.0,255.0,118768166,69346,5,253.0,296.0
2017-02-13,214.0,214.0,214.0,214.0,67058547,46573,3,255.0,214.0
2017-02-14,267.0,267.0,267.0,267.0,185057108,102846,4,214.0,267.0
2017-02-15,267.0,275.0,267.0,272.0,54990102,30000,2,267.0,275.0
2017-03-05,275.0,275.0,275.0,275.0,110890000,60000,2,272.0,275.0
2017-03-13,284.0,284.0,284.0,284.0,171900,90,1,275.0,284.0
2017-03-15,304.0,305.0,304.0,305.0,40998550,20000,3,284.0,305.0
2017-03-18,305.0,305.0,284.0,298.0,2983290,1489,3,305.0,305.0
2017-03-25,305.0,305.0,305.0,305.0,3280000,1600,2,298.0,305.0
2017-04-12,296.0,297.0,296.0,297.0,15990950,8000,5,305.0,297.0
2017-04-15,296.0,297.0,296.0,297.0,4993770,2500,3,297.0,297.0
2017-04-18,267.0,267.0,267.0,267.0,10794000,6000,3,297.0,267.0
2017-04-24,241.0,241.0,241.0,241.0,32400000,20000,3,267.0,241.0
2017-04-30,235.0,238.0,235.0,235.0,70443000,44500,3,241.0,238.0
2017-05-01,259.0,259.0,239.0,255.0,79367501,46200,12,235.0,239.0
2017-05-02,281.0,281.0,281.0,281.0,12835755,6795,4,255.0,281.0
2017-05-03,281.0,281.0,281.0,281.0,1135892,601,2,281.0,281.0
2017-05-07,253.0,281.0,253.0,277.0,257625960,138100,9,281.0,280.0
2017-05-13,250.0,250.0,250.0,250.0,11088000,6600,3,277.0,250.0
2017-05-14,250.0,250.0,225.0,226.0,31770480,20901,6,250.0,225.0
2017-05-15,248.0,248.0,204.0,207.0,24213750,17394,6,226.0,204.0
2017-05-23,227.0,227.0,227.0,227.0,24496000,16000,6,207.0,227.0
2017-05-27,208.0,208.0,205.0,206.0,4060670,2930,4,227.0,205.0
2017-05-31,221.0,226.0,221.0,223.0,95430420,63455,11,206.0,226.0
2017-06-06,205.0,205.0,205.0,205.0,13820000,10000,1,223.0,205.0
2017-06-13,208.0,208.0,208.0,208.0,21000000,15000,2,205.0,208.0
2017-06-21,208.0,208.0,201.0,207.0,21685000,15600,2,208.0,201.0
2017-07-05,227.0,227.0,222.0,223.0,32523600,21700,11,207.0,227.0
2017-07-09,237.0,245.0,237.0,243.0,40929600,25000,9,223.0,245.0
2017-07-10,245.0,245.0,245.0,245.0,7741600,4700,2,243.0,245.0
2017-07-11,264.0,265.0,264.0,265.0,53060000,29800,4,245.0,265.0
2017-07-15,253.0,253.0,238.0,240.0,24200528,14976,6,265.0,238.0
2017-07-16,264.0,264.0,222.0,254.0,70942200,41500,6,240.0,222.0
2017-07-17,229.0,229.0,229.0,229.0,115457319,75021,11,254.0,229.0
