date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-03-17,612.0,612.0,612.0,612.0,51600000,25800,1,306.0,612.0
2014-03-26,1531.0,1531.0,1531.0,1531.0,129000000,25800,1,612.0,1531.0
2014-04-08,1837.0,1837.0,1837.0,1837.0,124805830,20800,3,1531.0,1837.0
2014-04-13,2449.0,2449.0,2449.0,2449.0,8000000,1000,1,1837.0,2449.0
2014-04-14,3061.0,3061.0,3061.0,3061.0,40000000,4000,2,2449.0,3061.0
2014-04-15,3673.0,4285.0,3061.0,3758.0,79800000,6500,5,3061.0,3673.0
2014-04-16,3520.0,3673.0,3061.0,3475.0,192990000,16999,3,3758.0,3673.0
2014-04-19,3979.0,3979.0,3673.0,3826.0,12499500,1000,3,3475.0,3673.0
2014-04-20,3728.0,3728.0,3728.0,3728.0,121800000,10000,1,3826.0,3728.0
2014-04-28,1839.0,1839.0,1838.0,1838.0,90095000,15000,4,3728.0,1839.0
2014-04-30,1837.0,1837.0,1531.0,1631.0,79900000,15000,3,1838.0,1531.0
2014-05-04,1531.0,1806.0,1531.0,1699.0,42735000,7701,4,1631.0,1531.0
2014-05-06,1531.0,1531.0,1531.0,1531.0,83000000,16600,2,1699.0,1531.0
2014-05-07,1531.0,1531.0,1393.0,1431.0,62660000,13399,6,1531.0,1408.0
2014-05-10,1394.0,1394.0,1394.0,1394.0,4555000,1000,1,1431.0,1394.0
2014-05-12,1408.0,1408.0,1408.0,1408.0,69000000,15000,1,1394.0,1408.0
2014-05-21,1806.0,1806.0,1408.0,1415.0,28190000,6100,2,1408.0,1408.0
2014-05-24,1415.0,1415.0,1396.0,1410.0,123932250,26900,4,1415.0,1396.0
2014-06-08,1316.0,1316.0,1071.0,1108.0,18105000,5000,3,1410.0,1071.0
2014-06-09,1071.0,1071.0,1010.0,1036.0,23535000,6950,5,1108.0,1010.0
2014-06-11,1347.0,1347.0,1347.0,1347.0,440000,100,1,1036.0,1347.0
2014-06-15,980.0,980.0,980.0,980.0,16000000,5000,1,1347.0,980.0
2014-06-28,1010.0,1010.0,980.0,1003.0,75355000,23000,3,980.0,980.0
