date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-06-27,440.0,563.0,426.0,470.0,2809969570,2038133,372,341.0,426.0
2011-06-28,447.0,494.0,447.0,465.0,808900165,593515,95,470.0,494.0
2011-06-29,488.0,488.0,488.0,488.0,1431000,1000,1,465.0,488.0
2011-07-02,512.0,512.0,512.0,512.0,31542000,21000,5,488.0,512.0
2011-07-03,538.0,538.0,538.0,538.0,2996300,1900,1,512.0,538.0
2011-07-04,565.0,565.0,565.0,565.0,296619030,179226,38,538.0,565.0
2011-07-05,593.0,593.0,593.0,593.0,263155500,151500,30,565.0,593.0
2011-07-06,622.0,622.0,622.0,622.0,52867000,29000,9,593.0,622.0
2011-07-09,653.0,653.0,600.0,650.0,1020163218,535383,104,622.0,653.0
2011-07-10,648.0,677.0,641.0,651.0,67734180,35484,19,650.0,641.0
2011-07-11,658.0,682.0,626.0,633.0,48430550,26107,9,651.0,648.0
2011-07-12,658.0,658.0,615.0,629.0,136417500,74000,12,633.0,658.0
2011-07-13,648.0,655.0,648.0,651.0,76300000,40000,4,629.0,655.0
2011-07-16,683.0,683.0,631.0,632.0,18888100,10200,4,651.0,631.0
2011-07-18,663.0,663.0,617.0,623.0,391236090,214109,23,632.0,617.0
2011-07-19,648.0,648.0,614.0,614.0,54210000,30100,7,623.0,614.0
2011-07-20,645.0,645.0,597.0,611.0,32239100,18000,5,614.0,611.0
2011-07-23,641.0,641.0,587.0,609.0,44600000,25000,3,611.0,587.0
2011-07-24,638.0,639.0,638.0,638.0,71108000,38000,11,609.0,639.0
2011-07-25,667.0,667.0,667.0,667.0,1954000,1000,1,638.0,667.0
2011-07-26,633.0,633.0,633.0,633.0,63071148,33964,6,667.0,633.0
2011-07-27,647.0,647.0,647.0,647.0,18980000,10000,1,633.0,647.0
2011-07-30,631.0,631.0,624.0,629.0,27650000,15000,3,647.0,624.0
2011-07-31,600.0,600.0,599.0,600.0,10390295,5909,2,629.0,599.0
2011-08-01,578.0,578.0,571.0,576.0,69235000,41000,7,600.0,571.0
2011-08-02,605.0,605.0,605.0,605.0,35460000,20000,3,576.0,605.0
2011-08-03,635.0,635.0,635.0,635.0,65135000,35000,9,605.0,635.0
2011-08-06,667.0,667.0,603.0,636.0,251819000,135000,18,635.0,645.0
2011-08-08,604.0,604.0,604.0,604.0,107206000,60500,8,636.0,604.0
2011-08-09,575.0,575.0,574.0,574.0,50530000,30000,3,604.0,574.0
2011-08-10,580.0,597.0,554.0,583.0,156470000,91600,16,574.0,597.0
2011-08-13,554.0,554.0,554.0,554.0,16240000,10000,1,583.0,554.0
2011-08-14,582.0,582.0,530.0,535.0,17255000,11000,2,554.0,530.0
2011-08-15,530.0,530.0,530.0,530.0,1295315,833,1,535.0,530.0
2011-08-16,555.0,557.0,530.0,554.0,86414685,53167,7,530.0,530.0
2011-08-17,527.0,580.0,527.0,561.0,106990000,65000,13,554.0,546.0
2011-08-21,534.0,589.0,534.0,585.0,62931008,36672,18,561.0,589.0
2011-08-23,614.0,614.0,614.0,614.0,55831000,31000,11,585.0,614.0
2011-08-24,631.0,631.0,631.0,631.0,924500,500,1,614.0,631.0
2011-08-27,648.0,648.0,599.0,606.0,58633900,33000,8,631.0,599.0
2011-08-28,576.0,614.0,576.0,577.0,17074900,10100,5,606.0,614.0
2011-08-29,605.0,605.0,548.0,568.0,76595000,46000,8,577.0,548.0
2011-08-30,596.0,596.0,546.0,547.0,113628000,70900,18,568.0,546.0
2011-09-03,574.0,574.0,574.0,574.0,16830000,10000,3,547.0,574.0
2011-09-04,574.0,603.0,574.0,600.0,122722988,69800,16,574.0,603.0
2011-09-05,629.0,629.0,629.0,629.0,48556710,26318,7,600.0,629.0
2011-09-06,661.0,661.0,661.0,661.0,19370000,10000,3,629.0,661.0
2011-09-07,688.0,693.0,688.0,691.0,173664255,85735,16,661.0,693.0
2011-09-10,720.0,726.0,720.0,722.0,187755344,88672,13,691.0,726.0
2011-09-11,758.0,758.0,743.0,753.0,149004600,67530,25,722.0,757.0
2011-09-12,757.0,757.0,757.0,757.0,2220000,1000,3,753.0,757.0
2011-09-13,757.0,757.0,719.0,721.0,243099000,115000,30,757.0,719.0
2011-09-14,689.0,749.0,685.0,692.0,91357076,45000,11,721.0,685.0
2011-09-17,727.0,727.0,720.0,726.0,114940000,54000,27,692.0,720.0
2011-09-18,690.0,762.0,690.0,715.0,845797054,403326,86,726.0,762.0
2011-09-19,751.0,751.0,751.0,751.0,154070000,70000,7,715.0,751.0
2011-09-20,788.0,788.0,788.0,788.0,789372484,341572,83,751.0,788.0
2011-09-21,828.0,828.0,828.0,828.0,960533458,395933,56,788.0,828.0
2011-09-25,853.0,869.0,828.0,850.0,299109000,120000,30,828.0,869.0
2011-09-26,893.0,893.0,893.0,893.0,395167000,151000,28,850.0,893.0
2011-09-27,937.0,937.0,937.0,937.0,41205000,15000,2,893.0,937.0
2011-09-28,982.0,984.0,896.0,977.0,4983574956,1740269,389,937.0,899.0
2011-10-01,945.0,975.0,928.0,935.0,2099206654,765712,241,977.0,975.0
2011-10-02,979.0,979.0,889.0,945.0,2605341698,940761,229,935.0,962.0
2011-10-03,938.0,941.0,924.0,936.0,1281396750,466809,325,945.0,938.0
2011-10-04,925.0,941.0,890.0,893.0,2412541732,921998,285,936.0,890.0
2011-10-24,970.0,970.0,833.0,910.0,288152500,219100,49,893.0,904.0
2011-10-25,955.0,955.0,955.0,955.0,2193810840,1589718,316,910.0,955.0
2011-10-26,1003.0,1003.0,1003.0,1003.0,671865075,463675,94,955.0,1003.0
2011-10-29,1053.0,1053.0,1053.0,1053.0,8973900,5900,2,1003.0,1053.0
2011-10-30,1105.0,1105.0,1100.0,1105.0,1591440886,996638,201,1053.0,1105.0
