date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-12-17,28.0,28.0,28.0,28.0,69460000,46000,3,19.0,28.0
2014-01-14,39.0,45.0,39.0,40.0,641713800,301540,8,28.0,39.0
2014-01-15,39.0,39.0,39.0,39.0,16800000,8000,1,40.0,39.0
2014-01-20,39.0,39.0,39.0,39.0,140131932,66666,1,39.0,39.0
2014-01-21,39.0,39.0,39.0,39.0,35385072,16818,1,39.0,39.0
2014-01-25,45.0,45.0,45.0,45.0,1080000,450,1,39.0,45.0
2014-01-27,39.0,39.0,39.0,39.0,70079300,33333,2,45.0,39.0
2014-01-29,39.0,39.0,39.0,39.0,56238594,26666,1,39.0,39.0
2014-02-03,39.0,39.0,39.0,39.0,96718270,45857,2,39.0,39.0
2014-02-04,41.0,43.0,39.0,42.0,197293092,86915,6,39.0,43.0
2014-02-08,45.0,45.0,40.0,44.0,491509900,209401,10,42.0,40.0
2014-02-10,42.0,45.0,42.0,43.0,583657000,251330,7,44.0,43.0
2014-02-16,47.0,47.0,45.0,45.0,3395000,1398,2,43.0,45.0
2014-02-17,45.0,45.0,45.0,45.0,287992800,119997,1,45.0,45.0
2014-02-19,43.0,43.0,43.0,43.0,42550000,18500,3,45.0,43.0
2014-02-22,45.0,45.0,43.0,45.0,299293996,124718,6,43.0,43.0
2014-02-25,45.0,45.0,45.0,45.0,332788800,138662,3,45.0,45.0
2014-02-26,43.0,45.0,43.0,44.0,378477700,161253,10,45.0,45.0
2014-03-02,43.0,45.0,43.0,44.0,134864400,56867,4,44.0,45.0
2014-03-04,45.0,45.0,43.0,44.0,308296000,129290,2,44.0,43.0
2014-03-05,45.0,47.0,45.0,45.0,511342400,212976,8,44.0,45.0
2014-03-09,45.0,45.0,45.0,45.0,1527816000,636590,10,45.0,45.0
2014-03-10,47.0,47.0,47.0,47.0,1250000,500,1,45.0,47.0
2014-03-11,47.0,47.0,45.0,45.0,455696800,189832,4,47.0,45.0
2014-03-12,45.0,45.0,45.0,45.0,189446400,78936,2,45.0,45.0
2014-03-15,45.0,45.0,45.0,45.0,440118402,183416,6,45.0,45.0
2014-03-17,47.0,47.0,45.0,45.0,369223245,153867,11,45.0,45.0
2014-03-18,45.0,45.0,45.0,45.0,64118400,26716,2,45.0,45.0
2014-03-19,45.0,45.0,45.0,45.0,419244000,174685,6,45.0,45.0
2014-04-05,45.0,45.0,45.0,45.0,248236800,103432,2,45.0,45.0
2014-04-06,45.0,45.0,45.0,45.0,96115200,40048,1,45.0,45.0
2014-04-07,46.0,46.0,45.0,45.0,240096500,100040,4,45.0,45.0
2014-04-09,45.0,45.0,45.0,45.0,974282000,405955,15,45.0,45.0
2014-04-12,45.0,45.0,45.0,45.0,212971200,88738,1,45.0,45.0
2014-04-14,45.0,45.0,45.0,45.0,849513600,353964,11,45.0,45.0
2014-04-15,45.0,45.0,45.0,45.0,735300000,306375,8,45.0,45.0
2014-04-16,45.0,45.0,45.0,45.0,399998400,166666,1,45.0,45.0
2014-04-21,45.0,45.0,44.0,45.0,800554000,333585,20,45.0,45.0
2014-04-22,45.0,45.0,45.0,45.0,2400000,1000,1,45.0,45.0
