date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-12-08,892.0,892.0,892.0,892.0,625000000000,1250000000,35850,1784.0,892.0
2023-04-29,1347.0,1347.0,1347.0,1347.0,219305337730,145235323,5974,892.0,1347.0
2023-04-30,1387.0,1387.0,1387.0,1387.0,126339549945,81247299,4095,1347.0,1387.0
2023-05-01,1428.0,1428.0,1428.0,1428.0,32539663787,20324587,1266,1387.0,1428.0
2023-05-02,1471.0,1471.0,1471.0,1471.0,31733548933,19244117,1213,1428.0,1471.0
2023-05-03,1514.0,1514.0,1427.0,1460.0,213886137079,130648380,6041,1471.0,1427.0
2023-05-06,1416.0,1416.0,1416.0,1418.0,18699384428,11775431,466,1460.0,1416.0
2023-05-07,1376.0,1376.0,1376.0,1406.0,5244118493,3398651,113,1418.0,1376.0
2023-05-08,1365.0,1365.0,1365.0,1404.0,1064517390,695763,33,1406.0,1365.0
2023-05-09,1362.0,1362.0,1362.0,1395.0,3817997802,2500326,109,1404.0,1362.0
2023-05-10,1354.0,1354.0,1354.0,1388.0,3162147318,2083101,94,1395.0,1354.0
2023-05-13,1347.0,1347.0,1347.0,1387.0,506319610,335311,19,1388.0,1347.0
2023-05-14,1346.0,1346.0,1346.0,1372.0,6961650780,4613420,206,1387.0,1346.0
2023-05-15,1331.0,1331.0,1331.0,1367.0,2187204860,1465955,70,1372.0,1331.0
2023-05-17,1327.0,1327.0,1327.0,1357.0,4853565840,3261805,138,1367.0,1327.0
2023-05-20,1317.0,1317.0,1317.0,1355.0,1165109295,788835,33,1357.0,1317.0
2023-05-21,1315.0,1315.0,1315.0,1352.0,1302172872,883428,34,1355.0,1315.0
2023-05-22,1312.0,1312.0,1312.0,1348.0,2137233552,1452912,65,1352.0,1312.0
2023-05-23,1307.0,1307.0,1307.0,1345.0,1302857656,888716,37,1348.0,1307.0
2023-05-24,1305.0,1305.0,1305.0,1343.0,773828979,528933,27,1345.0,1305.0
2023-05-27,1303.0,1303.0,1303.0,1323.0,9746854038,6671358,290,1343.0,1303.0
2023-05-28,1283.0,1283.0,1283.0,1303.0,9370483078,6511802,283,1323.0,1283.0
2023-05-29,1265.0,1265.0,1265.0,1284.0,9010391728,6354296,274,1303.0,1265.0
2023-05-30,1246.0,1323.0,1246.0,1271.0,378590567183,265631573,13537,1284.0,1323.0
2023-05-31,1308.0,1308.0,1308.0,1308.0,50844163266,34658598,2113,1271.0,1308.0
2023-06-03,1269.0,1301.0,1269.0,1273.0,297237684491,208314628,10182,1308.0,1271.0
2023-06-06,1275.0,1284.0,1235.0,1241.0,137422317268,98723822,5314,1273.0,1246.0
