date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-01-14,30.0,30.0,30.0,30.0,4050000,2700,1,20.0,30.0
2014-06-22,33.0,33.0,33.0,33.0,72000000,48000,5,30.0,33.0
2014-08-18,33.0,33.0,33.0,33.0,65013000,43342,1,33.0,33.0
2014-09-15,33.0,33.0,33.0,33.0,65013000,43342,1,33.0,33.0
2014-10-18,33.0,33.0,33.0,33.0,9000000,6000,1,33.0,33.0
2014-11-12,37.0,37.0,37.0,37.0,36842400,21672,1,33.0,37.0
2014-11-19,37.0,44.0,37.0,37.0,19368000,11280,2,37.0,44.0
2014-11-25,45.0,45.0,45.0,45.0,1312000,640,1,37.0,45.0
2014-12-01,48.0,49.0,48.0,48.0,2225000,1000,2,45.0,49.0
2014-12-03,53.0,53.0,53.0,53.0,1225000,500,1,48.0,53.0
2014-12-06,54.0,54.0,45.0,50.0,46745000,20500,3,53.0,45.0
2014-12-08,33.0,44.0,33.0,34.0,1900000,1200,2,50.0,44.0
2014-12-10,44.0,44.0,33.0,36.0,4911280,2944,3,34.0,37.0
2015-01-07,37.0,37.0,37.0,37.0,19502400,11472,1,36.0,37.0
2015-01-11,37.0,37.0,37.0,37.0,17000,10,1,37.0,37.0
2015-01-25,35.0,35.0,35.0,35.0,1984000,1240,1,37.0,35.0
2015-02-08,33.0,33.0,33.0,33.0,13002000,8668,1,35.0,33.0
2015-03-14,28.0,30.0,28.0,30.0,27434800,20222,3,33.0,30.0
2015-10-14,33.0,33.0,33.0,33.0,42513000,28342,1,30.0,33.0
2015-12-08,33.0,33.0,33.0,33.0,2250000,1500,1,33.0,33.0
2016-01-05,33.0,33.0,33.0,33.0,1500000,1000,1,33.0,33.0
2016-01-06,33.0,33.0,33.0,33.0,1500000,1000,1,33.0,33.0
2016-01-31,33.0,33.0,33.0,33.0,124026000,82684,2,33.0,33.0
2016-02-14,33.0,33.0,33.0,33.0,180000,120,3,33.0,33.0
2016-04-10,32.0,32.0,32.0,32.0,3972652,2668,1,33.0,32.0
2016-06-18,32.0,32.0,32.0,32.0,148000,100,1,32.0,32.0
2016-10-18,33.0,33.0,33.0,33.0,1500000,1000,1,32.0,33.0
2016-11-15,33.0,33.0,33.0,33.0,32505000,21670,4,33.0,33.0
2017-01-14,33.0,33.0,33.0,33.0,77998500,51999,4,33.0,33.0
2017-02-19,32.0,33.0,32.0,33.0,11300640,7568,2,33.0,33.0
2017-02-20,32.0,32.0,32.0,32.0,63968560,43222,1,33.0,32.0
2017-02-22,32.0,32.0,32.0,32.0,64146160,43342,1,32.0,32.0
2017-02-25,32.0,32.0,32.0,32.0,64146160,43342,1,32.0,32.0
2017-02-26,33.0,33.0,33.0,33.0,20013000,13342,1,32.0,33.0
2017-02-27,33.0,33.0,33.0,33.0,45000000,30000,3,33.0,33.0
2017-03-05,33.0,33.0,33.0,33.0,15000000,10000,1,33.0,33.0
2017-03-06,33.0,33.0,33.0,33.0,154516500,103011,5,33.0,33.0
2017-03-07,33.0,33.0,33.0,33.0,15039000,10026,3,33.0,33.0
2017-04-15,30.0,30.0,30.0,30.0,14628600,10836,2,33.0,30.0
2017-04-17,33.0,33.0,33.0,33.0,34616835,23311,7,30.0,33.0
2017-04-18,32.0,36.0,32.0,36.0,4881800,3000,2,33.0,36.0
2017-05-09,32.0,33.0,32.0,33.0,34798151,23249,6,36.0,33.0
2017-05-14,33.0,33.0,33.0,33.0,14005500,9337,1,33.0,33.0
2017-05-30,33.0,33.0,33.0,33.0,150000,100,1,33.0,33.0
2017-08-08,49.0,49.0,49.0,33.0,225000,100,1,33.0,49.0
2017-08-15,50.0,50.0,50.0,39.0,7003985,3095,3,33.0,50.0
2017-10-15,58.0,58.0,58.0,45.0,7184700,2700,1,39.0,58.0
2017-10-23,67.0,67.0,67.0,67.0,78566400,25600,4,45.0,67.0
2017-11-01,74.0,74.0,74.0,74.0,38795625,11495,4,67.0,74.0
2017-11-13,81.0,81.0,81.0,81.0,39926272,10756,5,74.0,81.0
2017-11-28,90.0,90.0,90.0,90.0,80978139,19833,5,81.0,90.0
2017-12-03,98.0,98.0,98.0,98.0,159277806,35466,7,90.0,98.0
2017-12-04,108.0,108.0,108.0,108.0,147671420,29893,6,98.0,108.0
2017-12-11,119.0,119.0,119.0,119.0,153472462,28243,17,108.0,119.0
2017-12-20,131.0,131.0,131.0,131.0,150859480,25240,10,119.0,131.0
2017-12-26,144.0,144.0,144.0,144.0,202636976,30824,13,131.0,144.0
2017-12-27,159.0,159.0,130.0,154.0,73638800,10459,17,144.0,130.0
2018-01-28,139.0,139.0,139.0,139.0,22654775,3575,2,154.0,139.0
2018-01-30,125.0,153.0,125.0,126.0,283613510,49434,36,139.0,129.0
2018-01-31,138.0,138.0,129.0,133.0,165650060,27333,21,126.0,138.0
2018-02-03,146.0,146.0,146.0,146.0,95034324,14259,4,133.0,146.0
2018-02-04,132.0,143.0,132.0,132.0,118688546,19658,21,146.0,132.0
2018-02-05,146.0,146.0,119.0,120.0,130088975,23809,23,132.0,119.0
2018-02-06,109.0,132.0,109.0,128.0,221133436,37806,29,120.0,132.0
2018-02-07,141.0,141.0,141.0,141.0,172838924,26870,32,128.0,141.0
2018-02-10,153.0,155.0,143.0,150.0,242689578,35516,41,141.0,155.0
2018-02-19,165.0,165.0,165.0,165.0,356250884,47399,22,150.0,165.0
2018-02-21,165.0,170.0,165.0,166.0,81025160,10683,18,165.0,165.0
2018-02-24,150.0,158.0,150.0,150.0,225616331,33011,23,166.0,150.0
2018-02-25,150.0,150.0,150.0,150.0,1774760,260,2,150.0,150.0
2018-03-04,150.0,157.0,135.0,149.0,51712600,7600,6,150.0,135.0
2018-03-06,134.0,134.0,134.0,134.0,42917950,7008,4,149.0,134.0
2018-03-07,121.0,140.0,121.0,132.0,8474232,1411,4,134.0,132.0
2018-03-11,132.0,132.0,132.0,132.0,443926,74,1,132.0,132.0
2018-03-14,144.0,144.0,118.0,128.0,12450210,2132,11,132.0,134.0
2018-03-18,141.0,141.0,127.0,140.0,39410536,6174,17,128.0,141.0
2018-03-26,151.0,154.0,149.0,153.0,201451907,28858,23,140.0,154.0
2018-03-27,154.0,154.0,154.0,154.0,1011024,144,1,153.0,154.0
2018-03-28,154.0,169.0,154.0,158.0,96480888,13373,10,154.0,169.0
2018-04-04,174.0,174.0,156.0,173.0,83122170,10547,13,158.0,174.0
2018-04-08,190.0,190.0,190.0,190.0,195302697,22529,23,173.0,190.0
2018-04-09,209.0,209.0,171.0,187.0,299081216,35094,34,190.0,179.0
2018-04-10,205.0,206.0,186.0,200.0,1271993482,139226,68,187.0,206.0
2018-04-18,200.0,208.0,200.0,204.0,18542782,1992,8,200.0,207.0
2018-04-21,207.0,207.0,184.0,188.0,31228801,3638,13,204.0,191.0
2018-04-22,197.0,197.0,169.0,172.0,128251847,16339,24,188.0,170.0
2018-04-23,155.0,164.0,155.0,156.0,246143618,34631,45,172.0,156.0
2018-04-24,164.0,167.0,162.0,165.0,74555280,9928,16,156.0,162.0
2018-04-25,164.0,164.0,148.0,153.0,209415141,30056,29,165.0,160.0
2018-04-28,153.0,159.0,137.0,144.0,307020109,46690,50,153.0,149.0
2018-04-29,153.0,153.0,132.0,136.0,128848970,20761,15,144.0,134.0
2018-05-05,145.0,145.0,123.0,126.0,124219582,21698,32,136.0,131.0
2018-05-06,138.0,138.0,138.0,138.0,378117756,60048,44,126.0,138.0
2018-05-07,152.0,152.0,125.0,139.0,54176020,8530,8,138.0,138.0
2018-05-08,145.0,147.0,132.0,140.0,35894919,5631,13,139.0,143.0
2018-05-09,140.0,140.0,126.0,126.0,81664590,14205,9,140.0,126.0
2018-05-12,126.0,137.0,125.0,130.0,187474945,31533,22,126.0,132.0
2018-05-13,132.0,142.0,132.0,139.0,60608027,9539,20,130.0,140.0
2018-05-14,143.0,146.0,133.0,135.0,115810690,18757,26,139.0,136.0
2018-05-15,140.0,140.0,122.0,130.0,83657473,14137,20,135.0,134.0
2018-05-16,135.0,135.0,132.0,132.0,68017590,11327,2,130.0,132.0
2018-05-19,123.0,138.0,123.0,132.0,118476533,19738,28,132.0,128.0
2018-05-21,132.0,132.0,125.0,127.0,39291590,6793,19,132.0,125.0
2018-05-22,127.0,137.0,125.0,135.0,160871720,26077,19,127.0,136.0
2018-05-23,136.0,136.0,123.0,126.0,108909691,18887,20,135.0,136.0
2018-05-26,127.0,135.0,126.0,129.0,48007538,8181,11,126.0,135.0
2018-05-28,125.0,136.0,125.0,131.0,144993064,24201,31,129.0,129.0
2018-05-29,126.0,136.0,126.0,132.0,20636341,3432,18,131.0,134.0
2018-05-30,135.0,135.0,126.0,128.0,98711490,16855,14,132.0,129.0
2018-06-02,129.0,141.0,127.0,134.0,238144472,38995,57,128.0,138.0
2018-06-03,145.0,145.0,133.0,138.0,47946450,7614,26,134.0,134.0
2018-06-09,139.0,142.0,124.0,137.0,25527055,4090,5,138.0,136.0
2018-06-10,139.0,139.0,134.0,137.0,20055000,3200,3,137.0,134.0
2018-06-11,132.0,136.0,132.0,133.0,6056189,1001,6,137.0,136.0
2018-06-12,124.0,133.0,124.0,125.0,17256336,3031,8,133.0,125.0
2018-06-13,134.0,134.0,124.0,129.0,179702909,30641,22,125.0,132.0
2018-06-17,137.0,140.0,116.0,134.0,57428421,9424,10,129.0,139.0
2018-06-18,139.0,139.0,123.0,137.0,41630453,6673,7,134.0,137.0
2018-06-19,125.0,136.0,123.0,126.0,33676839,5855,6,137.0,136.0
2018-06-20,118.0,134.0,118.0,124.0,32853250,5803,6,126.0,131.0
2018-06-23,115.0,136.0,115.0,135.0,35811330,5836,5,124.0,135.0
2018-06-24,127.0,129.0,123.0,127.0,32216939,5578,13,135.0,129.0
2018-06-25,118.0,128.0,118.0,121.0,86325531,15581,22,127.0,123.0
2018-06-26,112.0,123.0,112.0,114.0,31859180,6114,13,121.0,116.0
2018-06-27,125.0,125.0,103.0,112.0,57865105,11297,15,114.0,103.0
2018-06-30,122.0,122.0,101.0,109.0,180293625,36229,48,112.0,110.0
2018-07-01,113.0,113.0,99.0,102.0,25140700,5391,9,109.0,99.0
2018-07-02,93.0,112.0,106.0,109.0,30121708,6044,10,102.0,110.0
2018-07-03,112.0,112.0,101.0,110.0,28000161,5587,21,109.0,110.0
2018-07-04,110.0,118.0,100.0,107.0,134535325,27692,26,110.0,101.0
2018-07-07,105.0,105.0,98.0,100.0,39621520,8683,11,107.0,100.0
2018-07-08,107.0,107.0,99.0,101.0,56393905,12303,18,100.0,101.0
2018-07-11,101.0,109.0,91.0,99.0,20018300,4450,13,101.0,95.0
2018-07-14,107.0,107.0,101.0,102.0,15131800,3240,8,99.0,101.0
2018-07-16,103.0,103.0,94.0,100.0,3659900,806,4,102.0,96.0
2018-07-17,102.0,102.0,92.0,95.0,51065521,11788,21,100.0,101.0
2018-07-28,104.0,104.0,104.0,104.0,40696365,8541,8,95.0,104.0
2018-07-29,115.0,115.0,115.0,115.0,67126728,12808,9,104.0,115.0
2018-07-31,126.0,126.0,126.0,126.0,391806695,67963,27,115.0,126.0
2018-08-01,139.0,139.0,126.0,134.0,170562055,27895,18,126.0,129.0
2018-08-04,121.0,147.0,121.0,135.0,597818230,97073,34,134.0,146.0
2018-08-07,148.0,148.0,135.0,143.0,12190580,1864,5,135.0,135.0
2018-08-08,157.0,158.0,143.0,147.0,61566170,9155,13,143.0,143.0
2018-08-13,133.0,133.0,133.0,133.0,80486741,13297,6,147.0,133.0
2018-08-14,119.0,129.0,119.0,120.0,119665390,21933,19,133.0,129.0
2018-08-15,129.0,129.0,121.0,122.0,25588268,4584,12,120.0,121.0
2018-08-18,122.0,129.0,118.0,120.0,56648520,10311,13,122.0,118.0
2018-08-19,119.0,132.0,118.0,127.0,296387590,51144,67,120.0,132.0
2018-08-20,140.0,140.0,132.0,137.0,309335881,49475,43,127.0,135.0
2018-08-21,140.0,151.0,133.0,143.0,121728021,18645,30,137.0,146.0
2018-08-25,157.0,157.0,145.0,147.0,28615140,4259,10,143.0,146.0
2018-08-26,148.0,149.0,133.0,141.0,32710536,5102,13,147.0,133.0
2018-08-27,141.0,148.0,132.0,139.0,268555151,42325,44,141.0,140.0
2018-08-28,145.0,153.0,138.0,150.0,887424363,129591,71,139.0,153.0
2018-08-29,165.0,165.0,165.0,165.0,256494728,34054,10,150.0,165.0
2018-09-01,182.0,182.0,175.0,182.0,1337617003,161495,90,165.0,182.0
2018-09-02,200.0,200.0,200.0,200.0,561756927,61657,27,182.0,200.0
2018-09-03,220.0,242.0,220.0,233.0,631131838,59309,162,200.0,242.0
2018-09-04,257.0,257.0,210.0,238.0,5022214837,463371,313,233.0,256.0
2018-09-05,261.0,261.0,238.0,246.0,1470382548,130796,79,238.0,241.0
2018-09-08,241.0,263.0,225.0,230.0,2294993046,218726,135,246.0,228.0
2018-09-09,218.0,246.0,218.0,239.0,2421289184,222569,139,230.0,241.0
2018-09-10,241.0,241.0,215.0,215.0,3992435282,406396,247,239.0,215.0
2018-09-11,215.0,215.0,194.0,194.0,6434226342,725520,432,215.0,194.0
2018-09-12,194.0,210.0,177.0,202.0,1862027001,202023,161,194.0,204.0
2018-09-15,202.0,217.0,194.0,205.0,2892795804,309807,135,202.0,197.0
2018-09-16,197.0,197.0,184.0,191.0,966500131,111016,76,205.0,197.0
2018-09-17,191.0,206.0,191.0,196.0,1564927861,175483,97,191.0,194.0
2018-09-18,195.0,206.0,187.0,199.0,964067175,106472,143,196.0,200.0
2018-09-22,205.0,205.0,198.0,200.0,1015394091,111119,98,199.0,200.0
2018-09-23,182.0,204.0,182.0,198.0,2151438462,238282,229,200.0,198.0
2018-09-24,200.0,206.0,192.0,197.0,1109162937,123373,130,198.0,198.0
2018-09-25,195.0,217.0,195.0,210.0,4305418750,448527,295,197.0,217.0
2018-09-26,231.0,231.0,219.0,231.0,2231392247,212243,123,210.0,231.0
2018-09-29,249.0,254.0,224.0,239.0,13765865098,1264457,388,231.0,248.0
2018-09-30,254.0,263.0,246.0,257.0,3377308704,288558,221,239.0,263.0
2018-10-01,282.0,282.0,282.0,282.0,329571000,25600,13,257.0,282.0
2018-10-03,254.0,254.0,254.0,254.0,38225513,3299,4,282.0,254.0
2018-10-06,229.0,254.0,229.0,231.0,1937579540,183617,73,254.0,229.0
2018-10-07,208.0,208.0,208.0,208.0,520066117,54761,32,231.0,208.0
2018-10-08,187.0,187.0,187.0,187.0,15506072,1814,2,208.0,187.0
2018-10-09,169.0,169.0,169.0,169.0,44756322,5811,4,187.0,169.0
2018-10-10,186.0,204.0,167.0,173.0,1011877404,128228,48,169.0,167.0
2018-10-13,156.0,156.0,156.0,156.0,52560900,7400,6,173.0,156.0
2018-10-14,140.0,156.0,140.0,141.0,923776419,143464,79,156.0,140.0
2018-10-15,155.0,155.0,154.0,155.0,2606142105,368048,95,141.0,155.0
2018-10-16,170.0,171.0,161.0,166.0,581923632,76877,34,155.0,164.0
2018-10-17,171.0,171.0,149.0,150.0,1298718196,189304,78,166.0,155.0
2018-10-20,153.0,165.0,153.0,165.0,4164794273,552409,99,150.0,165.0
2018-10-21,182.0,182.0,154.0,176.0,5546103799,691845,215,165.0,167.0
2018-10-22,169.0,169.0,158.0,159.0,1044403689,143914,74,176.0,158.0
2018-10-23,162.0,162.0,143.0,144.0,600590711,91560,44,159.0,144.0
2018-10-24,145.0,145.0,132.0,136.0,880471000,141705,84,144.0,136.0
2018-10-27,141.0,150.0,138.0,149.0,2849347757,419329,159,136.0,148.0
2018-10-28,162.0,162.0,144.0,154.0,1139828203,162649,62,149.0,148.0
2018-10-29,154.0,161.0,150.0,155.0,776472395,109606,97,154.0,157.0
2018-10-31,156.0,164.0,140.0,152.0,471973931,67938,41,155.0,152.0
2018-11-03,159.0,158.0,142.0,151.0,37294030,5422,6,152.0,153.0
2018-11-04,164.0,164.0,139.0,141.0,559762353,87239,36,151.0,141.0
2018-11-05,151.0,153.0,143.0,150.0,921125917,134659,65,141.0,153.0
2018-11-06,162.0,162.0,149.0,153.0,300649671,43086,41,150.0,153.0
2018-11-10,153.0,156.0,153.0,154.0,438483424,62590,30,153.0,153.0
2018-11-11,153.0,153.0,141.0,146.0,575050139,86408,46,154.0,141.0
2018-11-12,141.0,153.0,141.0,143.0,342235401,52446,50,146.0,143.0
2018-11-13,151.0,153.0,143.0,143.0,590683215,90584,40,143.0,143.0
2018-11-14,142.0,142.0,129.0,139.0,636768277,100460,49,143.0,140.0
2018-11-17,140.0,140.0,129.0,134.0,488957474,80284,51,139.0,132.0
2018-11-18,138.0,138.0,120.0,125.0,742279398,129955,92,134.0,132.0
2018-11-19,136.0,136.0,132.0,135.0,516359088,83924,49,125.0,132.0
2018-11-20,125.0,139.0,125.0,134.0,336860848,55085,54,135.0,135.0
2018-11-21,136.0,137.0,132.0,133.0,528595814,86931,104,134.0,136.0
2018-11-24,129.0,133.0,128.0,130.0,184386300,31203,39,133.0,130.0
2018-11-26,129.0,136.0,127.0,129.0,188570909,32066,33,130.0,127.0
2018-11-27,129.0,142.0,129.0,140.0,1829994442,287422,114,129.0,137.0
2018-11-28,146.0,146.0,126.0,131.0,612238298,102571,43,140.0,132.0
2018-12-01,132.0,132.0,124.0,126.0,864685695,150779,82,131.0,129.0
2018-12-02,129.0,136.0,128.0,132.0,405104910,67170,73,126.0,134.0
2018-12-03,138.0,138.0,132.0,134.0,632676336,103302,85,132.0,136.0
2018-12-04,138.0,138.0,130.0,132.0,449470098,74780,35,134.0,134.0
2018-12-05,138.0,138.0,130.0,131.0,372008070,62082,50,132.0,134.0
2018-12-08,124.0,136.0,124.0,131.0,1113485987,185791,125,131.0,131.0
2018-12-09,132.0,134.0,132.0,132.0,763356214,126928,65,131.0,133.0
2018-12-10,134.0,134.0,130.0,132.0,537462000,89595,54,132.0,133.0
2018-12-12,128.0,139.0,128.0,136.0,814092014,131645,71,132.0,138.0
2018-12-15,139.0,149.0,139.0,148.0,4721549647,700427,182,136.0,149.0
2018-12-16,158.0,160.0,148.0,155.0,4668045244,661627,211,148.0,149.0
2018-12-17,159.0,159.0,140.0,146.0,967201187,145565,83,155.0,143.0
2018-12-18,140.0,146.0,132.0,143.0,549976388,84070,64,146.0,146.0
2018-12-19,153.0,153.0,137.0,142.0,755859003,116859,65,143.0,145.0
2018-12-22,132.0,153.0,132.0,139.0,236885141,37287,46,142.0,141.0
2018-12-23,138.0,147.0,138.0,142.0,1016417217,156505,73,139.0,145.0
2018-12-24,151.0,151.0,142.0,149.0,556695645,81978,30,142.0,147.0
2018-12-25,145.0,147.0,140.0,142.0,301997466,46534,37,149.0,143.0
2018-12-26,141.0,142.0,139.0,141.0,793585042,123678,42,142.0,141.0
2018-12-29,139.0,141.0,137.0,138.0,340968889,54275,39,141.0,137.0
2018-12-30,138.0,144.0,137.0,139.0,637169252,100641,55,138.0,139.0
2018-12-31,136.0,147.0,132.0,140.0,2590793674,405130,179,139.0,143.0
2019-01-01,145.0,146.0,142.0,144.0,253421455,38665,22,140.0,143.0
2019-01-02,141.0,149.0,139.0,141.0,845800249,131249,32,144.0,139.0
2019-01-05,144.0,147.0,136.0,140.0,4877634095,761363,170,141.0,141.0
2019-01-06,145.0,145.0,139.0,142.0,822179185,127370,87,140.0,141.0
2019-01-07,141.0,142.0,138.0,140.0,496122958,77795,68,142.0,138.0
2019-01-08,143.0,143.0,138.0,140.0,1069466565,167740,85,140.0,139.0
2019-01-09,139.0,142.0,138.0,139.0,1971262352,311331,113,140.0,138.0
2019-01-12,141.0,143.0,139.0,141.0,499549908,77554,50,139.0,141.0
2019-01-13,140.0,143.0,138.0,141.0,2104978057,327778,120,141.0,140.0
2019-01-14,143.0,155.0,141.0,151.0,8953663197,1299101,463,141.0,155.0
2019-01-15,166.0,166.0,154.0,162.0,7604537005,1028306,328,151.0,157.0
2019-01-16,162.0,162.0,154.0,157.0,5660135019,787947,277,162.0,158.0
2019-01-19,158.0,169.0,158.0,163.0,7234855703,971547,287,157.0,161.0
2019-01-20,161.0,163.0,158.0,160.0,2954697492,403829,198,163.0,160.0
2019-01-21,158.0,158.0,145.0,153.0,2335674974,334218,124,160.0,153.0
2019-01-22,154.0,159.0,153.0,157.0,1014871229,141394,84,153.0,156.0
2019-01-23,156.0,162.0,155.0,159.0,1493239605,205608,146,157.0,162.0
2019-01-26,164.0,164.0,158.0,160.0,1295688304,177382,85,159.0,158.0
2019-01-27,159.0,163.0,158.0,161.0,1308399610,178240,74,160.0,160.0
2019-01-28,145.0,162.0,145.0,159.0,1086098925,150157,95,161.0,160.0
2019-01-29,160.0,169.0,160.0,166.0,3414471684,451514,238,159.0,166.0
2019-01-30,169.0,169.0,161.0,165.0,2502107001,331723,209,166.0,162.0
2019-02-02,163.0,182.0,160.0,179.0,9792280522,1196461,309,165.0,182.0
2019-02-03,182.0,195.0,175.0,183.0,6992849111,836175,509,179.0,178.0
2019-02-04,184.0,184.0,166.0,178.0,4762751933,585400,362,183.0,178.0
2019-02-05,175.0,180.0,171.0,176.0,1701098584,211501,164,178.0,177.0
2019-02-06,175.0,193.0,173.0,185.0,5465193793,649257,376,176.0,186.0
2019-02-10,186.0,200.0,186.0,193.0,10781203218,1226502,498,185.0,191.0
2019-02-12,193.0,193.0,173.0,181.0,5254984573,635020,300,193.0,182.0
2019-02-13,186.0,186.0,175.0,182.0,1874461001,225837,135,181.0,182.0
2019-02-16,200.0,200.0,175.0,184.0,1863767120,222335,98,182.0,175.0
2019-02-17,176.0,184.0,172.0,176.0,1664303907,207162,159,184.0,175.0
2019-02-18,175.0,180.0,172.0,175.0,3008416137,377551,173,176.0,173.0
2019-02-19,168.0,175.0,168.0,172.0,1469158590,187371,127,175.0,173.0
2019-02-20,174.0,182.0,174.0,177.0,1323483519,163692,165,172.0,175.0
2019-02-23,170.0,182.0,170.0,173.0,1566990209,199069,112,177.0,173.0
2019-02-24,171.0,174.0,168.0,171.0,1378460607,176978,136,173.0,169.0
2019-02-25,170.0,175.0,162.0,172.0,1541984675,196992,153,171.0,173.0
2019-02-26,170.0,175.0,170.0,171.0,1196929953,153488,94,172.0,172.0
2019-02-27,175.0,187.0,167.0,179.0,8748159027,1072430,479,171.0,187.0
2019-03-02,189.0,197.0,189.0,195.0,15338322958,1724555,773,179.0,197.0
2019-03-03,200.0,215.0,200.0,212.0,7917000028,818225,368,195.0,215.0
2019-03-04,232.0,233.0,200.0,223.0,18333470153,1806531,902,212.0,217.0
2019-03-05,204.0,233.0,202.0,215.0,21807843265,2228201,1082,223.0,226.0
2019-03-06,226.0,236.0,219.0,235.0,13940156152,1300769,642,215.0,236.0
2019-03-09,243.0,258.0,243.0,253.0,13154293623,1137767,639,235.0,258.0
2019-03-10,261.0,261.0,228.0,234.0,33542354319,3143287,1622,253.0,228.0
2019-03-11,228.0,228.0,211.0,214.0,14867284979,1521577,1038,234.0,211.0
2019-03-12,211.0,232.0,204.0,226.0,14894224874,1444818,744,214.0,231.0
2019-03-13,233.0,233.0,203.0,214.0,11224528937,1151772,661,226.0,210.0
2019-03-16,225.0,235.0,208.0,231.0,22684857108,2153311,865,214.0,235.0
2019-03-17,249.0,249.0,224.0,241.0,15457802727,1408436,1189,231.0,225.0
2019-03-18,235.0,242.0,225.0,233.0,4790958510,451577,538,241.0,232.0
2019-03-19,237.0,241.0,228.0,232.0,6345826795,599993,411,233.0,232.0
2019-03-25,234.0,240.0,224.0,231.0,1807012041,171708,183,232.0,230.0
2019-03-26,229.0,235.0,223.0,230.0,5166847685,492688,392,231.0,228.0
2019-03-27,227.0,230.0,224.0,226.0,2593670848,252145,271,230.0,226.0
2019-03-30,226.0,233.0,226.0,229.0,3482556088,333261,285,226.0,228.0
2019-03-31,229.0,230.0,224.0,225.0,2918277250,283787,276,229.0,224.0
2019-04-06,230.0,230.0,224.0,227.0,2529434718,244616,190,225.0,228.0
2019-04-07,230.0,234.0,228.0,231.0,4041014331,384105,245,227.0,228.0
2019-04-08,234.0,234.0,226.0,229.0,2101088091,201591,177,231.0,226.0
2019-04-09,231.0,231.0,220.0,224.0,2847938305,278539,227,229.0,225.0
2019-04-10,223.0,230.0,223.0,225.0,3509189303,342175,189,224.0,224.0
2019-04-13,230.0,230.0,223.0,225.0,1481820658,144363,196,225.0,227.0
