date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-03-15,445.0,445.0,445.0,445.0,24750000000,4500000,32,81.0,445.0
2021-05-03,449.0,449.0,449.0,445.0,44440000,8000,1,445.0,449.0
2021-05-31,449.0,449.0,449.0,446.0,611952000,304000,4,445.0,449.0
2021-06-07,450.0,450.0,450.0,447.0,201800000,100000,1,446.0,450.0
2021-06-14,451.0,451.0,451.0,447.0,2021000,1000,1,447.0,451.0
2021-06-30,469.0,469.0,469.0,447.0,8404000,4000,1,447.0,469.0
2021-08-25,460.0,460.0,460.0,447.0,10305000,5000,1,447.0,460.0
2021-09-06,460.0,460.0,460.0,447.0,92817135,45035,4,447.0,460.0
2021-09-07,469.0,469.0,469.0,447.0,63060000,30000,3,447.0,469.0
2021-09-12,768.0,791.0,745.0,767.0,141861530435,41271487,4260,447.0,791.0
2021-09-13,790.0,790.0,790.0,790.0,49600515300,14011445,2858,767.0,790.0
2021-09-14,814.0,814.0,766.0,792.0,146897625320,41363765,8335,790.0,808.0
2021-09-15,803.0,816.0,797.0,815.0,52609769884,14396844,3002,792.0,816.0
2021-09-18,840.0,840.0,840.0,840.0,54196621367,14402509,2454,815.0,840.0
2021-09-19,865.0,865.0,865.0,865.0,38954390750,10052746,1578,840.0,865.0
2021-10-03,866.0,891.0,857.0,880.0,76720368785,19452034,3957,865.0,891.0
2021-10-04,907.0,907.0,875.0,905.0,34212327543,8440684,1632,880.0,907.0
2021-10-06,932.0,932.0,932.0,918.0,5246438342,1256933,286,905.0,932.0
2021-10-23,945.0,945.0,945.0,945.0,11614957585,2742611,425,918.0,945.0
2021-10-25,973.0,973.0,973.0,956.0,4197853578,962369,218,945.0,973.0
2021-10-26,985.0,985.0,985.0,963.0,2628228345,595565,142,956.0,985.0
2021-10-27,992.0,992.0,992.0,969.0,2170675745,488341,124,963.0,992.0
2021-10-30,1017.0,1017.0,921.0,984.0,179034249692,40627135,8805,969.0,960.0
2021-10-31,966.0,1011.0,954.0,974.0,28194934067,6460702,1432,984.0,954.0
2021-11-01,945.0,960.0,945.0,946.0,32631553995,7697103,1720,974.0,945.0
2021-11-02,918.0,918.0,918.0,933.0,4318702016,1050268,228,946.0,918.0
2021-11-03,886.0,898.0,886.0,886.0,54309983035,13672480,2980,933.0,886.0
2021-11-06,860.0,874.0,860.0,861.0,188674500576,48899728,10915,886.0,860.0
2021-11-07,860.0,870.0,835.0,838.0,37484010422,9987700,2226,861.0,835.0
2021-11-08,813.0,838.0,813.0,813.0,21602948481,5931154,1262,838.0,813.0
2021-11-09,783.0,853.0,774.0,842.0,75074904108,19905792,4400,813.0,853.0
2021-11-10,866.0,867.0,817.0,835.0,64634590474,17282062,4019,842.0,817.0
2021-11-13,810.0,820.0,810.0,810.0,24561671091,6768871,1485,835.0,817.0
2021-11-14,792.0,817.0,786.0,794.0,35365413489,9940443,2245,810.0,792.0
2021-11-15,793.0,810.0,770.0,773.0,42100241091,12162360,2725,794.0,770.0
2021-11-16,751.0,779.0,750.0,758.0,21325034653,6280802,1427,773.0,750.0
2021-11-17,750.0,750.0,735.0,736.0,36828219443,11173296,2433,758.0,735.0
2021-11-20,743.0,743.0,714.0,715.0,13275543671,4140419,925,736.0,714.0
2021-11-21,731.0,737.0,697.0,732.0,10060137578,3066063,633,715.0,737.0
2021-11-22,754.0,754.0,748.0,749.0,8063851772,2386811,509,732.0,754.0
2021-11-23,763.0,772.0,750.0,768.0,9021547716,2611484,604,749.0,772.0
2021-11-24,790.0,800.0,736.0,767.0,11449708488,3331909,681,768.0,767.0
2021-11-27,747.0,776.0,744.0,758.0,3694916771,1107369,264,767.0,763.0
2021-11-28,736.0,767.0,736.0,749.0,5040644817,1521148,349,758.0,736.0
