date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-12,0.0,0.0,0.0,0.0,2500000,1000,1,0.0,0.0
2013-11-30,0.0,0.0,0.0,0.0,250000,100,1,0.0,0.0
2013-12-25,0.0,0.0,0.0,0.0,71600000,44750,2,0.0,0.0
2014-06-09,0.0,0.0,0.0,0.0,140000,100,1,0.0,0.0
2014-06-11,0.0,0.0,0.0,0.0,70000,50,1,0.0,0.0
2014-06-14,0.0,0.0,0.0,0.0,168000,120,2,0.0,0.0
2014-06-17,0.0,0.0,0.0,0.0,70000,50,1,0.0,0.0
2014-06-21,0.0,0.0,0.0,0.0,14000,10,1,0.0,0.0
2014-06-22,0.0,0.0,0.0,0.0,26065000,20050,1,0.0,0.0
2014-08-06,0.0,0.0,0.0,0.0,43400000,31000,2,0.0,0.0
2014-08-17,0.0,0.0,0.0,0.0,13538000,9670,1,0.0,0.0
2014-09-06,0.0,0.0,0.0,0.0,6100000,5000,1,0.0,0.0
2014-09-27,0.0,0.0,0.0,0.0,1342000,1100,2,0.0,0.0
2014-12-08,0.0,0.0,0.0,0.0,12300000,10000,1,0.0,0.0
2014-12-24,0.0,0.0,0.0,0.0,4920000,4000,1,0.0,0.0
2015-01-04,0.0,0.0,0.0,0.0,4920000,4000,1,0.0,0.0
2016-01-09,0.0,0.0,0.0,0.0,5000000,4000,1,0.0,0.0
2016-04-30,0.0,0.0,0.0,0.0,120000000,160000,1,0.0,0.0
2016-07-09,0.0,0.0,0.0,0.0,100200000,100000,1,0.0,0.0
2016-07-25,0.0,0.0,0.0,0.0,10000000,10000,1,0.0,0.0
2017-03-13,0.0,0.0,0.0,0.0,10000000,10000,1,0.0,0.0
2019-04-08,59.0,68.0,59.0,13.0,56020000,20000,2,0.0,68.0
2019-05-01,68.0,68.0,68.0,18.0,30000000,10000,1,13.0,68.0
2019-05-06,92.0,124.0,92.0,90.0,390505625,89375,7,18.0,124.0
2019-06-08,135.0,135.0,135.0,135.0,4988130000,831355,52,90.0,135.0
2019-06-12,147.0,201.0,147.0,156.0,13130958400,1893346,121,135.0,201.0
2019-06-17,225.0,271.0,225.0,229.0,16990946418,1668710,153,156.0,271.0
2019-06-19,270.0,293.0,270.0,277.0,14647756000,1193712,180,229.0,293.0
2019-06-22,257.0,282.0,257.0,269.0,22975486200,1921534,213,277.0,282.0
2019-06-24,293.0,322.0,293.0,302.0,13120212434,977648,150,269.0,322.0
2019-06-26,338.0,338.0,332.0,337.0,25027574499,1671957,403,302.0,332.0
2019-07-01,270.0,270.0,270.0,270.0,11693184000,974432,181,337.0,270.0
2019-07-03,270.0,293.0,270.0,278.0,8202705000,664759,146,270.0,293.0
2019-07-06,297.0,305.0,297.0,301.0,5191031725,389110,121,278.0,305.0
2019-07-08,306.0,306.0,282.0,302.0,8778975360,654384,235,301.0,282.0
2019-07-10,270.0,282.0,270.0,273.0,11126254105,918730,210,302.0,282.0
2019-07-13,270.0,275.0,270.0,271.0,6044001286,502518,141,273.0,275.0
2019-07-15,270.0,270.0,270.0,270.0,9844049830,820313,239,271.0,270.0
2019-07-17,259.0,264.0,259.0,259.0,9253823590,804067,329,270.0,264.0
2019-07-20,233.0,259.0,233.0,246.0,7607360400,696648,98,259.0,259.0
2019-07-22,282.0,282.0,270.0,280.0,4228406634,340584,158,246.0,270.0
2019-07-24,260.0,261.0,260.0,260.0,3232996115,279803,168,280.0,261.0
2019-07-27,259.0,261.0,259.0,259.0,2414136685,209857,140,260.0,261.0
2019-07-29,260.0,260.0,260.0,260.0,5079147150,439753,131,259.0,260.0
2019-07-31,255.0,268.0,255.0,256.0,6292490360,553519,110,260.0,268.0
2019-08-03,270.0,270.0,270.0,270.0,6829620000,569135,159,256.0,270.0
2019-08-05,270.0,275.0,270.0,271.0,5018571400,416794,155,270.0,275.0
2019-08-17,271.0,273.0,271.0,272.0,2380928109,197557,66,271.0,273.0
2019-09-04,280.0,280.0,271.0,279.0,5145440194,419296,84,272.0,271.0
2019-09-16,262.0,262.0,262.0,262.0,1415594096,122711,8,279.0,262.0
2019-09-17,254.0,254.0,254.0,254.0,969311370,86623,52,262.0,254.0
2019-09-18,254.0,254.0,254.0,254.0,43741710,3909,15,254.0,254.0
2019-09-21,254.0,254.0,254.0,254.0,140870910,12589,57,254.0,254.0
2019-09-22,254.0,270.0,254.0,256.0,15432971924,1367554,521,254.0,266.0
2019-09-23,270.0,286.0,270.0,272.0,7075630064,591561,135,256.0,286.0
2019-09-24,295.0,295.0,282.0,293.0,6680757686,518423,215,272.0,295.0
2019-09-25,302.0,302.0,302.0,302.0,4858593639,366054,194,293.0,302.0
2019-09-28,311.0,311.0,293.0,303.0,5776752058,433912,307,302.0,296.0
2019-09-29,300.0,307.0,293.0,296.0,5916601591,454887,325,303.0,301.0
2019-09-30,304.0,304.0,287.0,292.0,4388884138,341434,270,296.0,295.0
2019-10-01,300.0,300.0,283.0,285.0,5104827327,406896,251,292.0,283.0
2019-10-02,282.0,294.0,279.0,288.0,2385716219,188081,172,285.0,294.0
2019-10-05,297.0,297.0,294.0,297.0,3742924389,286545,158,288.0,297.0
2019-10-06,306.0,306.0,293.0,306.0,4350370467,323438,115,297.0,306.0
2019-10-07,315.0,315.0,308.0,314.0,2188648004,158145,103,306.0,315.0
2019-10-08,324.0,324.0,305.0,307.0,1529172338,113149,88,314.0,305.0
2019-10-09,298.0,311.0,298.0,299.0,3336858686,253503,161,307.0,311.0
2019-10-12,308.0,308.0,299.0,305.0,1070339671,79766,92,299.0,308.0
2019-10-13,314.0,314.0,296.0,298.0,1679869702,128176,119,305.0,296.0
2019-10-14,300.0,304.0,289.0,289.0,752792512,59178,67,298.0,289.0
2019-10-15,289.0,289.0,280.0,281.0,2492160196,201876,72,289.0,280.0
2019-10-16,272.0,272.0,272.0,272.0,784051150,65474,26,281.0,272.0
2019-10-20,259.0,259.0,259.0,259.0,131290580,11540,20,272.0,259.0
2019-10-21,251.0,251.0,251.0,251.0,836528800,75800,45,259.0,251.0
2019-10-22,250.0,258.0,243.0,250.0,3632876952,329994,234,251.0,250.0
2019-10-23,257.0,258.0,250.0,256.0,1148150777,101756,71,250.0,258.0
2019-10-26,264.0,264.0,250.0,255.0,1063265030,94916,75,256.0,250.0
2019-10-28,259.0,259.0,250.0,255.0,341156460,30403,50,255.0,259.0
2019-10-30,263.0,263.0,252.0,261.0,463248165,40320,33,255.0,263.0
2019-11-02,269.0,269.0,254.0,268.0,1943548993,164833,105,261.0,269.0
2019-11-03,276.0,276.0,273.0,273.0,1799954673,149578,67,268.0,276.0
2019-11-04,282.0,282.0,266.0,270.0,595664242,50177,59,273.0,273.0
