date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-03-16,468.0,468.0,468.0,468.0,202500000000,75000000,328396,173.0,468.0
2019-03-17,491.0,491.0,491.0,491.0,565673220,199532,954,468.0,491.0
2019-03-18,516.0,516.0,516.0,516.0,1852640352,622527,2910,491.0,516.0
2019-03-19,541.0,541.0,532.0,541.0,62791661914,20104192,68578,516.0,541.0
2019-03-25,541.0,560.0,530.0,541.0,60607848565,19400723,68639,541.0,536.0
2019-03-26,535.0,537.0,527.0,530.0,45839827296,14987944,42265,541.0,529.0
2019-03-27,529.0,540.0,527.0,534.0,32528169913,10557230,24737,530.0,537.0
2019-03-30,530.0,552.0,530.0,543.0,32493254029,10360577,12867,534.0,544.0
2019-03-31,548.0,556.0,537.0,545.0,24746469212,7860859,8836,543.0,543.0
2019-04-06,536.0,553.0,536.0,545.0,38922774586,12367143,15704,545.0,550.0
2019-04-07,551.0,572.0,547.0,569.0,48208847580,14681524,7550,545.0,572.0
2019-04-08,573.0,585.0,554.0,574.0,29087633976,8779902,8092,569.0,572.0
2019-04-09,572.0,580.0,554.0,562.0,24744396556,7620627,6498,574.0,559.0
2019-04-10,556.0,582.0,556.0,575.0,21954305417,6618501,5825,562.0,570.0
2019-04-13,572.0,582.0,558.0,567.0,18293766400,5590119,5572,575.0,559.0
2019-04-14,558.0,563.0,547.0,552.0,18413343585,5780331,6650,567.0,551.0
2019-04-15,548.0,579.0,548.0,570.0,22731931763,6910683,4488,552.0,564.0
2019-04-16,564.0,568.0,552.0,559.0,15156686562,4699871,3307,570.0,553.0
2019-04-17,551.0,558.0,544.0,549.0,10905522494,3441307,2841,559.0,550.0
2019-04-20,550.0,572.0,550.0,563.0,18381528564,5651239,3506,549.0,569.0
2019-04-22,570.0,572.0,547.0,556.0,15994418354,4979370,3097,563.0,552.0
2019-04-23,548.0,560.0,548.0,550.0,5910964868,1861525,2489,556.0,552.0
2019-04-24,549.0,577.0,549.0,569.0,20821525032,6342138,3599,550.0,577.0
2019-04-27,581.0,597.0,577.0,595.0,14033629924,4089424,3584,569.0,597.0
2019-04-28,623.0,624.0,593.0,620.0,50872538592,14212926,7091,595.0,624.0
2019-04-29,627.0,641.0,603.0,619.0,27471931015,7689132,7917,620.0,632.0
2019-04-30,633.0,650.0,606.0,636.0,34180695581,9307479,3433,619.0,626.0
2019-05-01,618.0,641.0,613.0,624.0,14538113347,4032531,2406,636.0,623.0
2019-05-04,624.0,648.0,623.0,631.0,16731766803,4594594,2170,624.0,629.0
2019-05-05,626.0,634.0,599.0,614.0,31419117060,8868462,2574,631.0,604.0
2019-05-06,604.0,605.0,583.0,586.0,9260618818,2737456,712,614.0,583.0
2019-05-07,558.0,571.0,557.0,558.0,10267119479,3185867,555,586.0,557.0
2019-05-08,554.0,573.0,541.0,556.0,15043405643,4684960,2275,558.0,563.0
2019-05-11,560.0,577.0,544.0,561.0,10620747613,3279527,1749,556.0,547.0
2019-05-12,547.0,554.0,533.0,536.0,12564494266,4063452,1586,561.0,537.0
2019-05-13,532.0,562.0,532.0,555.0,9468745397,2954439,1598,536.0,562.0
2019-05-14,562.0,573.0,554.0,567.0,7109954611,2173476,1253,555.0,563.0
2019-05-15,572.0,580.0,558.0,570.0,8336824959,2531977,1127,567.0,562.0
2019-05-18,570.0,599.0,560.0,592.0,44903303008,13135799,2684,570.0,599.0
2019-05-19,606.0,606.0,573.0,588.0,15811501022,4655547,1604,592.0,580.0
2019-05-20,580.0,587.0,559.0,564.0,10474743018,3218315,1341,588.0,568.0
2019-05-21,579.0,580.0,564.0,572.0,6742685253,2042181,2033,564.0,575.0
2019-05-22,577.0,579.0,556.0,567.0,5959721350,1821929,974,572.0,567.0
