date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-07-08,354.0,354.0,354.0,354.0,566500,1133,1,354.0,354.0
2003-07-16,356.0,356.0,356.0,356.0,57228,114,1,354.0,356.0
2003-10-14,638.0,638.0,638.0,638.0,917100,1019,1,356.0,638.0
2004-02-18,284.0,284.0,284.0,284.0,400000,1000,1,638.0,284.0
2004-02-22,284.0,284.0,284.0,284.0,400000,1000,1,284.0,284.0
2004-02-24,284.0,284.0,284.0,284.0,6400000,16000,3,284.0,284.0
2004-02-25,284.0,284.0,284.0,284.0,400000,1000,1,284.0,284.0
2004-02-29,284.0,284.0,284.0,284.0,400000,1000,1,284.0,284.0
2004-03-03,284.0,284.0,284.0,284.0,405000,1010,2,284.0,284.0
2004-03-06,284.0,284.0,284.0,284.0,405000,1010,2,284.0,284.0
2004-03-07,285.0,285.0,284.0,284.0,406000,1010,2,284.0,284.0
2004-03-09,288.0,288.0,284.0,284.0,410000,1010,2,284.0,284.0
2004-03-10,289.0,289.0,284.0,284.0,411000,1010,2,284.0,284.0
2004-03-13,290.0,290.0,284.0,284.0,2049000,5010,2,284.0,284.0
2004-03-15,298.0,298.0,284.0,284.0,424000,1010,3,284.0,284.0
2004-03-16,298.0,298.0,284.0,284.0,424000,1010,2,284.0,284.0
2004-03-17,298.0,298.0,284.0,284.0,424000,1010,2,284.0,284.0
2004-03-27,298.0,298.0,284.0,284.0,424000,1010,2,284.0,284.0
2004-03-28,298.0,298.0,284.0,284.0,424000,1010,2,284.0,284.0
2004-03-30,298.0,298.0,284.0,284.0,11980,29,2,284.0,284.0
2004-04-04,298.0,298.0,284.0,284.0,424000,1010,3,284.0,284.0
2004-04-07,298.0,298.0,284.0,284.0,424000,1010,3,284.0,284.0
2004-04-10,298.0,298.0,284.0,284.0,424000,1010,2,284.0,284.0
2004-04-12,298.0,298.0,284.0,284.0,424000,1010,2,284.0,284.0
2004-04-13,298.0,298.0,284.0,284.0,844000,2010,2,284.0,284.0
2004-04-17,298.0,298.0,284.0,284.0,424000,1010,2,284.0,284.0
2004-04-18,298.0,298.0,284.0,284.0,424000,1010,2,284.0,284.0
2004-04-21,298.0,298.0,284.0,284.0,424000,1010,2,284.0,284.0
2004-04-25,298.0,298.0,284.0,284.0,686920,1636,3,284.0,284.0
2004-04-26,298.0,298.0,284.0,284.0,424000,1010,3,284.0,284.0
2004-05-01,298.0,298.0,284.0,284.0,1264000,3010,2,284.0,284.0
2004-05-02,298.0,298.0,284.0,284.0,1264000,3010,2,284.0,284.0
2004-05-03,298.0,298.0,284.0,284.0,1264000,3010,2,284.0,284.0
2004-05-04,298.0,298.0,284.0,284.0,1684000,4010,3,284.0,284.0
2004-05-08,298.0,298.0,284.0,284.0,1264000,3010,2,284.0,284.0
