date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-02-09,676578.0,676578.0,676578.0,676578.0,1400000000,14000,10,676578.0,676578.0
2020-02-10,676578.0,676578.0,676578.0,676578.0,8600000000,86000,15,676578.0,676578.0
2020-02-12,676578.0,676578.0,676578.0,676578.0,5000000000,50000,18,676578.0,676578.0
2020-08-16,676578.0,676578.0,676578.0,676578.0,4600000000,46000,14,676578.0,676578.0
2020-08-17,676646.0,744236.0,676646.0,743607.0,11979810000,109000,38,676578.0,744236.0
2020-08-18,817963.0,817963.0,817963.0,817963.0,3868704000,32000,19,743607.0,817963.0
2020-08-19,899754.0,899754.0,899754.0,899754.0,638332800,4800,3,817963.0,899754.0
2020-08-23,989726.0,989726.0,989726.0,989726.0,146284000,1000,1,899754.0,989726.0
2020-08-31,1088695.0,1088695.0,1088695.0,1088695.0,12058745280,74940,21,989726.0,1088695.0
2020-09-06,1197564.0,1197564.0,1197564.0,1197564.0,1911632400,10800,8,1088695.0,1197564.0
2020-09-08,1317318.0,1317318.0,1312562.0,1317101.0,23681694050,121650,51,1197564.0,1317318.0
2020-09-15,1448811.0,1448811.0,1448811.0,1448811.0,4582553200,21400,11,1317101.0,1448811.0
2020-11-11,1448804.0,1448804.0,1448804.0,1448804.0,214137000,1000,1,1448811.0,1448804.0
2020-12-09,811894.0,1082525.0,811894.0,947209.0,2247000000,16050,7,1448804.0,1082525.0
2020-12-16,981045.0,1014867.0,981038.0,1006146.0,1154001000,7760,4,947209.0,1014867.0
2020-12-19,967507.0,967507.0,953975.0,955917.0,1055414200,7470,8,1006146.0,953975.0
2020-12-20,879552.0,879552.0,845723.0,848862.0,3875589000,30890,8,955917.0,846399.0
2020-12-21,852624.0,852624.0,852488.0,852563.0,340230000,2700,3,848862.0,852488.0
2020-12-29,870891.0,871433.0,870891.0,871270.0,643881000,5000,3,852563.0,871433.0
2020-12-30,879558.0,879558.0,879558.0,879558.0,260002000,2000,1,871270.0,879558.0
2021-01-02,880235.0,880235.0,880235.0,880235.0,260202000,2000,1,879558.0,880235.0
2021-01-04,880235.0,880235.0,879552.0,880174.0,1431010000,11000,11,880235.0,879552.0
2021-01-09,913381.0,913381.0,879552.0,895661.0,556000000,4200,3,880174.0,913381.0
2021-01-11,879552.0,879552.0,879552.0,879552.0,390000000,3000,3,895661.0,879552.0
2021-01-13,886317.0,886317.0,886317.0,886317.0,131000000,1000,1,879552.0,886317.0
2021-01-16,879552.0,879552.0,879552.0,879552.0,780000000,6000,2,886317.0,879552.0
2021-01-19,896466.0,900187.0,896466.0,897961.0,796327000,6000,5,879552.0,896466.0
2021-01-23,879552.0,879552.0,879552.0,879552.0,130000000,1000,1,897961.0,879552.0
2021-01-24,879552.0,879552.0,845729.0,857008.0,380003000,3000,3,879552.0,845729.0
2021-01-31,857008.0,857008.0,845797.0,851873.0,302180500,2400,3,857008.0,845797.0
2021-02-01,845797.0,845797.0,845797.0,845797.0,237520900,1900,1,851873.0,845797.0
2021-03-10,811968.0,845797.0,811968.0,828883.0,245022000,2000,2,845797.0,845797.0
2021-04-12,838957.0,838957.0,838957.0,838957.0,124000000,1000,1,828883.0,838957.0
2021-04-14,922853.0,922853.0,838957.0,864559.0,557140000,4360,4,838957.0,852488.0
2021-11-28,848827.0,848827.0,828617.0,835353.0,1240000000,3000,2,864559.0,828617.0
2021-11-30,828617.0,828617.0,828617.0,828617.0,410000000,1000,1,835353.0,828617.0
2021-12-20,858932.0,911479.0,858932.0,906697.0,13082160000,29160,10,828617.0,911479.0
2022-01-01,889247.0,889247.0,889247.0,889247.0,880000000,2000,2,906697.0,889247.0
2022-01-02,909458.0,909458.0,909458.0,909458.0,450000000,1000,1,889247.0,909458.0
2022-01-05,869037.0,869037.0,869037.0,869037.0,430000000,1000,1,909458.0,869037.0
2022-01-16,858932.0,858932.0,858932.0,858932.0,1275000000,3000,4,869037.0,858932.0
2022-01-19,852869.0,852869.0,852869.0,852869.0,844000000,2000,1,858932.0,852869.0
2022-01-23,879142.0,879142.0,879142.0,879142.0,435000000,1000,1,852869.0,879142.0
2022-01-24,879142.0,879142.0,879142.0,879142.0,8700000000,20000,1,879142.0,879142.0
2022-01-30,875100.0,875100.0,854890.0,872018.0,1018280000,2360,3,879142.0,854890.0
2022-01-31,869037.0,869037.0,854890.0,863516.0,700720000,1640,2,872018.0,854890.0
