date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-09-17,1664.0,1664.0,1664.0,1664.0,84000000000,40000000,932,792.0,1664.0
2019-09-29,2223.0,2290.0,2156.0,2207.0,34033219921,14281280,744,1664.0,2290.0
2019-09-30,2273.0,2273.0,2273.0,2273.0,2486736360,1013340,43,2207.0,2273.0
2019-10-01,2341.0,2341.0,2341.0,2341.0,2835342013,1122019,58,2273.0,2341.0
2019-10-02,2410.0,2410.0,2410.0,2410.0,8675068000,3334000,141,2341.0,2410.0
2019-10-05,2482.0,2482.0,2482.0,2482.0,8149210000,3040750,126,2410.0,2482.0
2019-10-06,2557.0,2557.0,2557.0,2557.0,151405320,54857,11,2482.0,2557.0
2019-10-07,2633.0,2633.0,2633.0,2633.0,62273904,21912,10,2557.0,2633.0
2019-10-08,2711.0,2711.0,2711.0,2711.0,47370568,16184,5,2633.0,2711.0
2019-10-09,2792.0,2792.0,2792.0,2792.0,3085585514,1023751,51,2711.0,2792.0
2019-10-12,2875.0,2875.0,2875.0,2875.0,111899200,36050,5,2792.0,2875.0
2019-10-13,2961.0,2961.0,2789.0,2870.0,61801024510,19946542,1329,2875.0,2789.0
2019-10-14,2784.0,2784.0,2784.0,2784.0,1312215192,436532,112,2870.0,2784.0
2019-10-15,2701.0,2701.0,2701.0,2701.0,54164700,18575,16,2784.0,2701.0
2019-10-16,2620.0,2620.0,2620.0,2620.0,150324573,53137,12,2701.0,2620.0
2019-10-21,2543.0,2543.0,2543.0,2543.0,562285800,204840,74,2620.0,2543.0
2019-10-22,2501.0,2619.0,2467.0,2506.0,37977843831,14041443,1054,2543.0,2519.0
2019-10-23,2580.0,2581.0,2438.0,2521.0,9167281949,3368400,381,2506.0,2523.0
2019-10-26,2547.0,2596.0,2524.0,2595.0,26370787995,9410465,514,2521.0,2596.0
2019-10-28,2671.0,2673.0,2518.0,2567.0,14714571327,5309721,535,2595.0,2523.0
2019-10-30,2562.0,2638.0,2507.0,2583.0,7293363330,2614637,465,2567.0,2578.0
2019-11-02,2640.0,2640.0,2507.0,2518.0,8755702848,3221237,375,2583.0,2507.0
2019-11-03,2529.0,2583.0,2445.0,2512.0,10644771607,3924488,410,2518.0,2529.0
2019-11-04,2546.0,2546.0,2473.0,2515.0,3269220429,1204014,144,2512.0,2518.0
2019-11-05,2502.0,2546.0,2442.0,2505.0,5901604558,2182347,230,2515.0,2473.0
2019-11-09,2537.0,2537.0,2447.0,2497.0,5455738351,2023492,185,2505.0,2479.0
2019-11-10,2510.0,2557.0,2428.0,2507.0,8065087564,2980787,329,2497.0,2499.0
2019-11-11,2547.0,2566.0,2464.0,2490.0,4813365587,1790525,222,2507.0,2482.0
2019-11-12,2528.0,2546.0,2416.0,2497.0,3290446239,1220442,197,2490.0,2483.0
2019-11-13,2455.0,2571.0,2445.0,2519.0,13595160455,4999279,557,2497.0,2571.0
2019-11-16,2594.0,2594.0,2548.0,2594.0,5461325414,1950759,147,2519.0,2594.0
2019-11-17,2517.0,2621.0,2516.0,2532.0,9687926667,3543437,326,2594.0,2517.0
2019-11-18,2518.0,2606.0,2518.0,2575.0,2571457220,924826,168,2532.0,2566.0
2019-11-19,2547.0,2642.0,2521.0,2582.0,2613466436,937343,174,2575.0,2575.0
2019-11-20,2537.0,2659.0,2537.0,2636.0,3602308425,1265754,186,2582.0,2659.0
2019-11-23,2715.0,2715.0,2715.0,2715.0,8953686213,3054823,148,2636.0,2715.0
2019-11-24,2796.0,2796.0,2796.0,2796.0,897341940,297330,36,2715.0,2796.0
2019-11-25,2934.0,2934.0,2934.0,2934.0,202869216,64037,19,2796.0,2934.0
2019-11-26,3022.0,3022.0,3022.0,3022.0,150939854,46258,13,2934.0,3022.0
2019-11-27,3112.0,3112.0,2954.0,3110.0,49889528736,14857261,1268,3022.0,3112.0
2019-11-30,3203.0,3203.0,3018.0,3114.0,42331673596,12592334,1483,3110.0,3123.0
2019-12-01,3175.0,3207.0,3030.0,3155.0,18103538952,5314908,625,3114.0,3207.0
2019-12-02,3249.0,3249.0,3163.0,3241.0,11188643527,3198090,433,3155.0,3249.0
2019-12-03,3324.0,3337.0,3161.0,3327.0,10892297558,3032282,419,3241.0,3336.0
2019-12-04,3408.0,3408.0,3228.0,3240.0,31900056242,9119867,1018,3327.0,3243.0
2019-12-07,3242.0,3324.0,3169.0,3256.0,13432125249,3821188,464,3240.0,3270.0
2019-12-08,3261.0,3353.0,3261.0,3334.0,10201806226,2834693,385,3256.0,3353.0
2019-12-09,3413.0,3433.0,3335.0,3420.0,15906274496,4307847,488,3334.0,3433.0
2019-12-10,3522.0,3522.0,3521.0,3522.0,6779844679,1783249,154,3420.0,3522.0
2019-12-11,3529.0,3627.0,3419.0,3602.0,12099253176,3110863,323,3522.0,3627.0
2019-12-14,3760.0,3782.0,3613.0,3757.0,5411615953,1334179,175,3602.0,3782.0
2019-12-15,3869.0,3869.0,3757.0,3868.0,8351554877,2000000,248,3757.0,3869.0
2019-12-16,3984.0,3984.0,3752.0,3928.0,16680476540,3933378,687,3868.0,3889.0
2019-12-17,3821.0,3928.0,3811.0,3825.0,36772175148,8906632,1000,3928.0,3819.0
2019-12-18,3830.0,3939.0,3752.0,3901.0,11444791012,2718092,422,3825.0,3939.0
2019-12-21,4017.0,4017.0,3812.0,3999.0,7682603205,1779723,338,3901.0,3965.0
2019-12-22,4034.0,4034.0,3879.0,3895.0,11335167606,2695910,398,3999.0,3881.0
2019-12-23,3978.0,4012.0,3854.0,3918.0,29426427478,6957158,604,3895.0,4012.0
2019-12-24,4035.0,4035.0,4035.0,4035.0,5515292772,1266137,102,3918.0,4035.0
2019-12-25,4155.0,4155.0,4155.0,4155.0,809144306,180371,40,4035.0,4155.0
2019-12-28,4363.0,4363.0,4363.0,4363.0,352190250,74775,22,4155.0,4363.0
2019-12-29,4493.0,4493.0,4493.0,4493.0,721193319,148669,23,4363.0,4493.0
2019-12-30,4628.0,4628.0,4493.0,4625.0,31517815007,6312291,715,4493.0,4628.0
2019-12-31,4763.0,4763.0,4540.0,4744.0,25848140608,5047565,750,4625.0,4763.0
2020-01-01,4864.0,4885.0,4602.0,4818.0,35083963083,6745277,966,4744.0,4768.0
2020-01-04,4673.0,4673.0,4673.0,4673.0,1261250000,250000,27,4818.0,4673.0
2020-01-05,4533.0,4813.0,4533.0,4657.0,66549377174,13234604,1399,4673.0,4533.0
2020-01-07,4724.0,4786.0,4518.0,4684.0,20086115367,3971998,490,4657.0,4518.0
2020-01-08,4591.0,4591.0,4591.0,4591.0,673649256,135926,13,4684.0,4591.0
2020-01-11,4682.0,4682.0,4680.0,4682.0,25666758743,5077557,400,4591.0,4682.0
2020-01-12,4822.0,4822.0,4635.0,4752.0,35698489883,6958689,843,4682.0,4717.0
2020-01-13,4706.0,4851.0,4678.0,4746.0,34900176497,6811096,747,4752.0,4738.0
2020-01-14,4839.0,4888.0,4746.0,4841.0,85365787570,16334071,1309,4746.0,4888.0
2020-01-15,4985.0,4985.0,4985.0,4985.0,11624447250,2159875,116,4841.0,4985.0
2020-01-20,6021.0,6021.0,6021.0,6021.0,16424466500,2526841,182,4985.0,6021.0
2020-01-21,6201.0,6201.0,5840.0,6150.0,113809167559,17142832,2097,6021.0,6115.0
2020-01-22,6271.0,6298.0,5965.0,6002.0,47580485025,7342187,1135,6150.0,6021.0
2020-01-25,6103.0,6103.0,5823.0,5863.0,12673417352,2002136,410,6002.0,5823.0
2020-01-26,5711.0,5823.0,5688.0,5702.0,68222691098,11082209,1514,5863.0,5688.0
2020-01-27,5798.0,5873.0,5702.0,5835.0,47703582976,7573599,1098,5702.0,5743.0
2020-01-28,5670.0,5826.0,5661.0,5669.0,49385425728,8069373,1145,5835.0,5661.0
2020-02-01,5837.0,5837.0,5499.0,5562.0,84836420545,14128260,2155,5669.0,5499.0
2020-02-02,5419.0,5550.0,5396.0,5417.0,36449065310,6232939,1293,5562.0,5396.0
2020-02-03,5465.0,5548.0,5150.0,5277.0,56380381384,9896917,2156,5417.0,5252.0
2020-02-04,5280.0,5365.0,5120.0,5144.0,27661984929,4981895,1280,5277.0,5120.0
2020-02-05,5099.0,5297.0,5002.0,5148.0,38211004478,6874542,1543,5144.0,5159.0
