date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-03-14,2626.0,2626.0,2626.0,2626.0,20072500000000,1295000000,1533498,165.0,2626.0
2023-03-15,2757.0,2757.0,2757.0,2757.0,105028088940,6455322,3857,2626.0,2757.0
2023-03-18,2894.0,2894.0,2894.0,2894.0,322320249720,18871209,4755,2757.0,2894.0
2023-03-19,3038.0,3038.0,3038.0,3038.0,367021613420,20469694,22005,2894.0,3038.0
2023-03-25,3189.0,3189.0,3189.0,3189.0,581808198740,30914357,21321,3038.0,3189.0
2023-03-26,3348.0,3348.0,3348.0,3348.0,1033700414240,52312774,41288,3189.0,3348.0
2023-03-28,3514.0,3514.0,3514.0,3514.0,1333524093020,61255126,39103,3348.0,3514.0
2023-03-29,3689.0,3689.0,3689.0,3689.0,5527640255300,241909858,152705,3514.0,3689.0
2023-04-03,3724.0,3776.0,3505.0,3666.0,9478518690180,417317116,403257,3689.0,3711.0
2023-04-04,3705.0,3848.0,3703.0,3813.0,1365194774710,57788412,33295,3666.0,3848.0
2023-04-09,4003.0,4003.0,4003.0,4003.0,1199625054400,48371978,14710,3813.0,4003.0
2023-04-10,4204.0,4204.0,4076.0,4187.0,6924702227160,266912420,105155,4003.0,4204.0
2023-04-11,4239.0,4396.0,4078.0,4331.0,4686248720750,174638081,89601,4187.0,4396.0
2023-04-15,4499.0,4499.0,4266.0,4378.0,4301778924840,158620475,80431,4331.0,4342.0
2023-04-16,4341.0,4360.0,4218.0,4289.0,3358809313140,126401076,71674,4378.0,4281.0
2023-04-17,4278.0,4396.0,4165.0,4307.0,1894854187160,71021720,37516,4289.0,4296.0
2023-04-18,4360.0,4522.0,4358.0,4486.0,1661924107590,59801934,15929,4307.0,4522.0
2023-04-19,4609.0,4709.0,4523.0,4688.0,2625873494100,90415082,28206,4486.0,4709.0
2023-04-24,4809.0,4809.0,4576.0,4678.0,1749470452490,60358114,26428,4688.0,4681.0
2023-04-25,4699.0,4852.0,4652.0,4741.0,1450814317800,49405265,20647,4678.0,4688.0
2023-04-26,4699.0,4775.0,4586.0,4673.0,1417147949390,48948647,21771,4741.0,4647.0
2023-04-29,4623.0,4906.0,4623.0,4833.0,2024797044110,67618589,20412,4673.0,4906.0
2023-04-30,4907.0,5074.0,4907.0,5061.0,1568641401210,50035691,15080,4833.0,5074.0
2023-05-01,5198.0,5198.0,4904.0,5017.0,1164912413420,37486027,21166,5061.0,5007.0
2023-05-02,5004.0,5267.0,4972.0,5175.0,1319233352570,41154596,15346,5017.0,5204.0
2023-05-03,5267.0,5279.0,5004.0,5078.0,1262094113170,40112935,22183,5175.0,5028.0
2023-05-06,5078.0,5083.0,4852.0,4906.0,2135382432760,70268121,34667,5078.0,4882.0
2023-05-07,4859.0,4878.0,4662.0,4680.0,898936403870,31006804,9123,4906.0,4662.0
2023-05-08,4447.0,4447.0,4447.0,4447.0,455039713400,16516868,3405,4680.0,4447.0
2023-05-09,4237.0,4486.0,4237.0,4352.0,1748923230550,64862707,28367,4447.0,4478.0
2023-05-10,4404.0,4533.0,4136.0,4202.0,1626718621750,62494291,18079,4352.0,4244.0
2023-05-13,4197.0,4197.0,3992.0,4045.0,1244487887670,49658844,18555,4202.0,4163.0
2023-05-14,4183.0,4247.0,4183.0,4245.0,345357919370,13133786,3520,4045.0,4247.0
2023-05-15,4457.0,4457.0,4358.0,4449.0,1259235370810,45697383,8501,4245.0,4457.0
2023-05-17,4568.0,4660.0,4451.0,4573.0,842114802440,29722602,10187,4449.0,4654.0
2023-05-20,4647.0,4710.0,4425.0,4494.0,501591569610,18018569,13789,4573.0,4470.0
2023-05-21,4470.0,4584.0,4375.0,4484.0,439630105950,15824658,8720,4494.0,4538.0
2023-05-22,4522.0,4633.0,4496.0,4549.0,497920141040,17671706,8619,4484.0,4599.0
2023-05-23,4775.0,4775.0,4775.0,4775.0,622906850820,21058379,3274,4549.0,4775.0
2023-05-24,4843.0,4914.0,4652.0,4775.0,692856346160,23424425,9104,4775.0,4660.0
2023-05-27,4644.0,4660.0,4538.0,4568.0,788822493110,27876535,14782,4775.0,4538.0
2023-05-28,4407.0,4536.0,4341.0,4347.0,1303017912110,48382441,8919,4568.0,4373.0
