date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-07-27,282.0,353.0,282.0,290.0,20500887140,16639134,2157,235.0,297.0
2011-07-30,296.0,303.0,282.0,291.0,5909975023,4785226,1123,290.0,290.0
2011-07-31,286.0,289.0,281.0,284.0,4152573222,3446045,467,291.0,284.0
2011-08-01,285.0,295.0,280.0,290.0,6855454001,5565188,601,284.0,295.0
2011-08-02,297.0,304.0,296.0,303.0,6373561553,4943921,456,290.0,304.0
2011-08-03,318.0,318.0,315.0,318.0,9241041026,6831321,459,303.0,318.0
2011-08-06,329.0,332.0,318.0,327.0,8580475038,6177251,696,318.0,326.0
2011-08-07,328.0,328.0,311.0,313.0,2173619155,1637040,275,327.0,311.0
2011-08-08,305.0,324.0,299.0,310.0,4354370818,3304106,401,313.0,306.0
2011-08-09,306.0,313.0,299.0,305.0,2256182358,1742620,159,310.0,306.0
2011-08-10,313.0,320.0,311.0,320.0,6819888167,5022757,351,305.0,320.0
2011-08-13,329.0,335.0,322.0,332.0,7191857185,5104341,576,320.0,335.0
2011-08-14,341.0,341.0,320.0,333.0,5127065762,3622921,411,332.0,322.0
2011-08-15,322.0,329.0,317.0,319.0,1517947468,1118974,129,333.0,317.0
2011-08-16,329.0,332.0,318.0,329.0,3671197846,2628345,219,319.0,327.0
2011-08-17,327.0,334.0,315.0,327.0,2859106184,2055515,175,329.0,329.0
2011-08-20,327.0,327.0,315.0,318.0,373341256,276569,55,327.0,315.0
2011-08-21,317.0,326.0,302.0,312.0,4442983719,3354594,282,318.0,320.0
2011-08-23,322.0,326.0,315.0,322.0,959297136,701377,124,312.0,315.0
2011-08-24,320.0,325.0,314.0,323.0,3628665188,2647314,214,322.0,325.0
2011-08-27,327.0,327.0,317.0,321.0,448389320,328563,33,323.0,321.0
2011-08-28,311.0,325.0,311.0,320.0,1757792343,1293104,120,321.0,317.0
2011-08-29,317.0,322.0,314.0,318.0,1221217237,903263,86,320.0,314.0
2011-08-30,322.0,322.0,312.0,317.0,1590948578,1182984,93,318.0,320.0
2011-09-03,313.0,321.0,313.0,318.0,545904241,404308,54,317.0,320.0
2011-09-04,322.0,322.0,313.0,317.0,1196730251,888596,62,318.0,317.0
2011-09-05,320.0,324.0,313.0,321.0,5088653564,3724850,159,317.0,313.0
2011-09-06,322.0,337.0,316.0,335.0,9350061427,6574363,570,321.0,337.0
2011-09-07,338.0,338.0,321.0,328.0,1973940860,1414615,192,335.0,331.0
2011-09-10,333.0,334.0,318.0,328.0,3338283862,2394873,287,328.0,331.0
2011-09-11,317.0,332.0,317.0,327.0,3983592890,2869113,342,328.0,329.0
2011-09-12,320.0,334.0,320.0,328.0,3810454060,2732625,184,327.0,321.0
2011-09-13,328.0,337.0,328.0,331.0,2528494445,1796768,191,328.0,332.0
2011-09-14,330.0,335.0,329.0,334.0,635878447,448060,101,331.0,335.0
2011-09-17,335.0,347.0,335.0,343.0,1020454944,699745,99,334.0,347.0
2011-09-18,350.0,351.0,326.0,345.0,46676555002,31850762,829,343.0,326.0
2011-09-19,328.0,335.0,328.0,329.0,4874761590,3491869,280,345.0,328.0
2011-09-20,328.0,328.0,314.0,316.0,759773062,566701,77,329.0,314.0
