date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-02-05,888.0,888.0,888.0,888.0,103490400000,39804000,620,342.0,888.0
2011-02-06,932.0,932.0,932.0,932.0,552008730,202201,10,888.0,932.0
2011-02-07,979.0,979.0,979.0,979.0,15768732,5502,6,932.0,979.0
2011-02-08,1028.0,1028.0,1028.0,1028.0,4029354909,1339101,99,979.0,1028.0
2011-02-09,1079.0,1079.0,1079.0,1079.0,49759351785,15751615,4699,1028.0,1079.0
2011-02-12,1127.0,1127.0,1079.0,1106.0,56633864755,17491209,5581,1079.0,1090.0
2011-02-13,1087.0,1127.0,1087.0,1116.0,16670466223,5104326,1517,1106.0,1117.0
2011-02-14,1114.0,1130.0,1101.0,1118.0,14528098602,4440355,998,1116.0,1124.0
2011-02-15,1116.0,1126.0,1100.0,1114.0,10133822732,3107945,744,1118.0,1118.0
2011-02-16,1100.0,1120.0,1100.0,1113.0,5943047912,1823611,535,1114.0,1113.0
2011-02-19,1117.0,1133.0,1103.0,1121.0,10065217654,3067149,652,1113.0,1123.0
2011-02-20,1120.0,1161.0,1120.0,1137.0,9765561679,2932910,639,1121.0,1127.0
2011-02-22,1131.0,1158.0,1110.0,1135.0,5017536754,1510396,317,1137.0,1127.0
2011-02-23,1128.0,1190.0,1128.0,1172.0,11277520880,3285700,557,1135.0,1186.0
2011-02-26,1195.0,1209.0,1168.0,1189.0,4398824149,1264051,206,1172.0,1177.0
2011-02-27,1175.0,1195.0,1175.0,1190.0,7436130089,2133464,351,1189.0,1190.0
2011-02-28,1189.0,1201.0,1165.0,1192.0,4508642164,1291635,243,1190.0,1195.0
2011-03-01,1179.0,1195.0,1179.0,1189.0,3010281935,864939,190,1192.0,1189.0
2011-03-02,1165.0,1248.0,1165.0,1236.0,10269796832,2838432,374,1189.0,1248.0
2011-03-05,1284.0,1284.0,1230.0,1256.0,21755001278,5918136,247,1236.0,1239.0
2011-03-06,1253.0,1253.0,1194.0,1208.0,8574059341,2423939,333,1256.0,1202.0
2011-03-07,1204.0,1218.0,1204.0,1213.0,3327279880,937181,160,1208.0,1218.0
2011-03-08,1213.0,1225.0,1202.0,1213.0,1759364717,495363,136,1213.0,1218.0
2011-03-09,1197.0,1247.0,1172.0,1213.0,3370796699,949187,202,1213.0,1195.0
2011-03-12,1187.0,1216.0,1167.0,1190.0,3123427598,896400,165,1213.0,1212.0
2011-03-13,1190.0,1214.0,1162.0,1184.0,3500473448,1009385,147,1190.0,1165.0
2011-06-25,1230.0,1725.0,1230.0,1662.0,81925789747,16834668,1598,1184.0,1708.0
2011-06-26,1708.0,1725.0,1708.0,1708.0,78731111408,15743316,1619,1662.0,1708.0
2011-07-02,1856.0,1996.0,1765.0,1841.0,5522012093,1236998,340,1708.0,1773.0
2011-07-03,1757.0,1757.0,1749.0,1750.0,7030860334,1657606,264,1841.0,1749.0
2011-07-04,1662.0,1666.0,1662.0,1662.0,6728668950,1669478,314,1750.0,1662.0
2011-07-05,1609.0,1629.0,1584.0,1613.0,2152647803,550498,130,1662.0,1591.0
2011-07-06,1539.0,1547.0,1532.0,1537.0,1535089162,411898,120,1613.0,1534.0
2011-07-09,1527.0,1527.0,1461.0,1492.0,740742100,204876,73,1537.0,1501.0
2011-07-10,1418.0,1419.0,1418.0,1419.0,762430600,221670,86,1492.0,1419.0
2011-07-11,1362.0,1456.0,1361.0,1418.0,632761657,184068,54,1419.0,1443.0
2011-07-12,1386.0,1447.0,1386.0,1416.0,444387020,129485,33,1418.0,1447.0
2011-07-13,1376.0,1416.0,1376.0,1409.0,133578100,39100,14,1416.0,1409.0
2011-07-16,1341.0,1423.0,1340.0,1361.0,178943330,54226,34,1409.0,1423.0
2011-07-18,1362.0,1382.0,1362.0,1364.0,150815083,45607,24,1361.0,1382.0
2011-07-19,1381.0,1381.0,1346.0,1363.0,539566680,163271,40,1364.0,1358.0
2011-07-20,1365.0,1365.0,1313.0,1329.0,216528285,67220,27,1363.0,1358.0
2011-07-23,1320.0,1356.0,1320.0,1330.0,89249820,27682,15,1329.0,1341.0
2011-07-24,1321.0,1382.0,1321.0,1361.0,198237120,60075,27,1330.0,1378.0
2011-07-25,1394.0,1426.0,1322.0,1359.0,189276005,57435,20,1361.0,1322.0
2011-07-26,1316.0,1330.0,1316.0,1323.0,456208371,142206,33,1359.0,1330.0
2011-07-27,1321.0,1373.0,1321.0,1330.0,133203804,41308,19,1323.0,1345.0
2011-07-30,1361.0,1361.0,1331.0,1354.0,101460019,30910,25,1330.0,1334.0
2011-07-31,1334.0,1345.0,1308.0,1328.0,150968386,46887,24,1354.0,1345.0
2011-08-01,1336.0,1336.0,1300.0,1319.0,177793512,55596,28,1328.0,1328.0
2011-08-02,1312.0,1336.0,1304.0,1315.0,235421580,73840,12,1319.0,1304.0
2011-08-03,1300.0,1300.0,1261.0,1281.0,182755230,58862,28,1315.0,1278.0
2011-08-06,1279.0,1345.0,1279.0,1325.0,646085957,201140,70,1281.0,1345.0
2011-08-07,1391.0,1391.0,1391.0,1391.0,641984964,190387,22,1325.0,1391.0
2011-08-08,1438.0,1438.0,1330.0,1374.0,443329552,133115,78,1391.0,1361.0
2011-08-09,1308.0,1360.0,1306.0,1325.0,259910111,80909,37,1374.0,1320.0
2011-08-10,1320.0,1327.0,1303.0,1314.0,119075882,37374,28,1325.0,1308.0
2011-08-13,1282.0,1324.0,1282.0,1290.0,166997840,53380,28,1314.0,1312.0
