date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-08-09,2172.0,2172.0,2172.0,2172.0,59987087700,3880650,1956,140.0,2172.0
2021-08-10,2237.0,2237.0,2237.0,2226.0,8586879903,539343,365,2172.0,2237.0
2021-08-11,2293.0,2293.0,2293.0,2293.0,11222200963,687677,644,2226.0,2293.0
2021-08-14,2361.0,2361.0,2361.0,2298.0,819356384,48748,50,2293.0,2361.0
2021-08-15,2413.0,2413.0,2413.0,2413.0,10497909600,611232,541,2298.0,2413.0
2021-08-22,2485.0,2485.0,2485.0,2472.0,8400438024,474923,477,2413.0,2485.0
2021-08-23,2546.0,2546.0,2546.0,2546.0,10821264000,597200,607,2472.0,2546.0
2021-08-24,2622.0,2622.0,2622.0,2622.0,25006647015,1339905,979,2546.0,2622.0
2021-09-07,2700.0,2700.0,2700.0,2623.0,113501520,22440,7,2622.0,2700.0
2021-09-08,2702.0,2702.0,2702.0,2627.0,535494740,105829,36,2623.0,2702.0
2021-09-11,2706.0,2706.0,2706.0,2656.0,3680761700,726275,152,2627.0,2706.0
2021-09-12,2788.0,2788.0,2788.0,2783.0,10203861108,1954014,308,2656.0,2788.0
2021-09-13,2866.0,2866.0,2866.0,2786.0,479899200,89400,20,2783.0,2866.0
2021-09-14,2870.0,2870.0,2870.0,2790.0,424474500,78972,17,2786.0,2870.0
2021-09-15,2873.0,2873.0,2873.0,2802.0,1673372618,310978,70,2790.0,2873.0
2021-09-18,2942.0,2942.0,2942.0,2865.0,4675256850,848350,179,2802.0,2942.0
2021-09-19,2950.0,2950.0,2950.0,2865.0,5575734,1009,1,2865.0,2950.0
2021-10-04,2950.0,2950.0,2950.0,2931.0,7984495296,1444896,213,2865.0,2950.0
2021-10-06,3019.0,3019.0,2844.0,3018.0,98858077373,17491013,3469,2931.0,3019.0
2021-10-09,2990.0,3108.0,2927.0,3055.0,126041431988,22028227,4710,3018.0,3108.0
2021-10-10,3146.0,3146.0,3081.0,3146.0,39591978722,6720013,1455,3055.0,3146.0
2021-10-11,3273.0,3303.0,3209.0,3295.0,24977103258,4047148,854,3146.0,3303.0
2021-10-12,3394.0,3394.0,3206.0,3378.0,67903171629,10733058,2210,3295.0,3394.0
2021-10-13,3476.0,3479.0,3422.0,3477.0,21157940305,3249042,781,3378.0,3479.0
2021-10-16,3581.0,3581.0,3581.0,3581.0,10305157946,1536478,301,3477.0,3581.0
2021-10-17,3760.0,3760.0,3760.0,3760.0,15862759906,2252593,356,3581.0,3760.0
2021-10-18,3872.0,3872.0,3872.0,3872.0,14083875400,1941800,265,3760.0,3872.0
2021-10-19,3988.0,3988.0,3871.0,3985.0,69320475084,9288675,1636,3872.0,3988.0
2021-10-20,4104.0,4104.0,4104.0,4104.0,14020724340,1824190,280,3985.0,4104.0
2021-10-23,4218.0,4309.0,4144.0,4271.0,107039824352,13381821,2556,4104.0,4309.0
2021-10-25,4398.0,4398.0,4143.0,4229.0,203211819364,25655150,6006,4271.0,4143.0
2021-10-26,4103.0,4138.0,4103.0,4103.0,32590967398,4241243,831,4229.0,4103.0
2021-10-27,3980.0,3980.0,3980.0,3980.0,20512334624,2751856,572,4103.0,3980.0
2021-10-30,3791.0,3980.0,3781.0,3801.0,203682195859,28609308,5749,3980.0,3844.0
2021-10-31,3914.0,3915.0,3737.0,3856.0,52555325487,7276390,1540,3801.0,3915.0
2021-11-01,3972.0,3972.0,3951.0,3972.0,21306275606,2864154,554,3856.0,3972.0
2021-11-02,4091.0,4091.0,4091.0,4091.0,10873703526,1419173,325,3972.0,4091.0
2021-11-03,4295.0,4295.0,4092.0,4264.0,77530472891,9707907,2211,4091.0,4132.0
2021-11-06,4137.0,4250.0,4136.0,4139.0,33079993556,4266897,1030,4264.0,4136.0
2021-11-07,4016.0,4016.0,4016.0,4016.0,13965940446,1856926,405,4139.0,4016.0
2021-11-08,3895.0,4095.0,3895.0,3913.0,73238740409,9993312,2244,4016.0,3967.0
2021-11-09,3956.0,4030.0,3956.0,4017.0,30094561817,3999872,1034,3913.0,3984.0
2021-11-10,3999.0,4020.0,3897.0,3903.0,147465871548,20171920,4373,4017.0,3930.0
2021-11-13,3904.0,4020.0,3898.0,3994.0,29794032099,3982937,972,3903.0,4004.0
2021-11-14,4090.0,4090.0,3914.0,4014.0,16630989852,2212119,306,3994.0,4031.0
2021-11-15,3924.0,4046.0,3894.0,3905.0,11708847353,1600987,226,4014.0,3894.0
2021-11-16,3792.0,3951.0,3788.0,3794.0,17929644760,2523130,318,3905.0,3816.0
2021-11-17,3743.0,3897.0,3743.0,3808.0,2791208859,387592,123,3794.0,3897.0
2021-11-20,3914.0,3914.0,3700.0,3766.0,52979381385,7510409,298,3808.0,3743.0
2021-11-21,3766.0,3879.0,3766.0,3870.0,21254288050,2932527,132,3766.0,3879.0
2021-11-22,3986.0,3986.0,3986.0,3986.0,31710207715,4247851,132,3870.0,3986.0
2021-11-23,4004.0,4105.0,3871.0,4066.0,48187260833,6326929,449,3986.0,4105.0
2021-11-27,4188.0,4188.0,4188.0,4188.0,11201106496,1427984,98,4066.0,4188.0
2021-11-28,4313.0,4313.0,4313.0,4313.0,22802201916,2822404,140,4188.0,4313.0
2021-11-29,4443.0,4443.0,4314.0,4412.0,91630341496,11089802,418,4313.0,4443.0
2021-11-30,4538.0,4543.0,4298.0,4504.0,88424829642,10481675,610,4412.0,4412.0
2021-12-01,4370.0,4485.0,4369.0,4370.0,51010611785,6231964,365,4504.0,4369.0
2021-12-04,4254.0,4466.0,4240.0,4257.0,14714722226,1845286,186,4370.0,4269.0
2021-12-05,4325.0,4350.0,4245.0,4278.0,3871158513,479657,123,4257.0,4322.0
2021-12-06,4384.0,4404.0,4239.0,4256.0,23437160732,2939781,179,4278.0,4290.0
2021-12-07,4246.0,4333.0,4234.0,4246.0,14647721919,1841706,147,4256.0,4271.0
2021-12-08,4250.0,4366.0,4240.0,4245.0,26316383829,3309925,167,4246.0,4313.0
2021-12-11,4246.0,4351.0,4239.0,4248.0,27209800433,3419942,203,4245.0,4265.0
2021-12-12,4246.0,4325.0,4246.0,4254.0,3760966901,470958,116,4248.0,4263.0
2021-12-13,4318.0,4381.0,4250.0,4356.0,16518569553,2024598,217,4254.0,4345.0
2021-12-14,4251.0,4458.0,4226.0,4232.0,32259315521,4069957,219,4356.0,4307.0
2021-12-15,4324.0,4324.0,4171.0,4237.0,3833875881,482275,87,4232.0,4268.0
2021-12-18,4237.0,4340.0,4112.0,4191.0,9744040010,1241479,186,4237.0,4112.0
2021-12-19,4079.0,4202.0,4066.0,4072.0,34538954232,4528518,298,4191.0,4190.0
