date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-01-31,557.0,557.0,557.0,557.0,3824157100,626911,253,557.0,557.0
2005-02-01,557.0,557.0,557.0,557.0,18300000,3000,1,557.0,557.0
2005-02-02,566.0,566.0,557.0,557.0,21761020,3510,3,557.0,557.0
2005-02-06,559.0,565.0,552.0,557.0,245278765,40200,56,557.0,557.0
2005-02-07,547.0,558.0,547.0,557.0,96857942,15878,22,557.0,557.0
2005-02-08,547.0,557.0,547.0,556.0,1123490,185,3,557.0,556.0
2005-02-09,556.0,556.0,556.0,556.0,1279380,210,2,556.0,556.0
2005-02-12,556.0,566.0,556.0,556.0,51077684,8367,17,556.0,556.0
2005-02-21,529.0,556.0,529.0,556.0,5014830,865,2,556.0,556.0
2005-02-22,528.0,560.0,528.0,553.0,209005920,35303,21,556.0,553.0
2005-02-23,525.0,566.0,525.0,549.0,2540605525,417623,10,553.0,549.0
2005-02-26,560.0,575.0,554.0,554.0,315695680,51150,35,549.0,554.0
2005-02-27,560.0,560.0,557.0,557.0,481375620,78400,15,554.0,557.0
2005-03-02,547.0,560.0,547.0,557.0,404256768,66261,17,557.0,557.0
2005-03-05,560.0,560.0,557.0,557.0,67601030,11010,3,557.0,557.0
2005-08-14,502.0,502.0,456.0,456.0,384403410,76854,24,557.0,456.0
2005-08-15,457.0,457.0,457.0,457.0,303415560,60562,16,456.0,457.0
2005-08-16,465.0,465.0,457.0,457.0,108475440,21585,15,457.0,457.0
2005-08-17,458.0,458.0,457.0,457.0,82880070,16510,5,457.0,457.0
2005-08-21,457.0,458.0,457.0,457.0,52752270,10510,5,457.0,457.0
2005-08-22,458.0,458.0,457.0,457.0,100470330080,20014010,7,457.0,457.0
2005-08-23,458.0,458.0,457.0,457.0,10064980,2005,4,457.0,457.0
2005-08-24,458.0,458.0,457.0,457.0,70646350,14073,4,457.0,457.0
2005-08-27,479.0,479.0,457.0,457.0,18421040,3510,4,457.0,457.0
2005-08-28,458.0,458.0,457.0,457.0,36230333950,7217198,6,457.0,457.0
2005-08-29,457.0,458.0,457.0,457.0,23250690,4635,5,457.0,457.0
2005-08-30,458.0,458.0,457.0,457.0,60290140,12010,3,457.0,457.0
2005-09-03,458.0,458.0,457.0,457.0,251042650,50010,14,457.0,457.0
2005-09-05,458.0,458.0,456.0,457.0,124285150,24760,9,457.0,457.0
2005-09-06,458.0,458.0,457.0,457.0,29919150,5960,2,457.0,457.0
2005-09-11,458.0,458.0,458.0,458.0,212692380,42371,12,457.0,458.0
2005-09-12,458.0,458.0,458.0,458.0,48618660,9685,6,458.0,458.0
2005-09-14,458.0,458.0,458.0,458.0,37700160,7510,2,458.0,458.0
2005-09-17,458.0,458.0,458.0,458.0,33935160,6760,2,458.0,458.0
2005-09-18,458.0,458.0,458.0,458.0,50250160,10010,2,458.0,458.0
2005-09-26,456.0,461.0,456.0,457.0,25111900,5010,4,458.0,457.0
2005-10-02,457.0,458.0,457.0,457.0,73369375,14625,8,457.0,457.0
2005-10-18,456.0,458.0,456.0,457.0,25126723,5010,6,457.0,457.0
2005-10-31,457.0,457.0,457.0,457.0,250700,50,1,457.0,457.0
2005-11-02,457.0,457.0,457.0,457.0,100250,20,2,457.0,457.0
2005-11-23,452.0,457.0,452.0,455.0,179742510,36010,11,457.0,455.0
2005-11-26,456.0,456.0,455.0,455.0,12049910,2410,2,455.0,455.0
2005-11-29,457.0,457.0,455.0,455.0,65170420,13010,5,455.0,455.0
2005-12-03,452.0,455.0,452.0,455.0,69075540,13870,6,455.0,455.0
2005-12-04,458.0,478.0,456.0,456.0,939762950,180660,9,455.0,456.0
2005-12-05,461.0,478.0,461.0,477.0,842202280,161010,20,456.0,477.0
2005-12-06,479.0,501.0,479.0,498.0,1030914111,188759,26,477.0,498.0
2005-12-10,523.0,523.0,523.0,523.0,937216566,163449,33,498.0,523.0
2005-12-11,519.0,522.0,518.0,522.0,56630921422,9935288,16,523.0,522.0
2005-12-12,520.0,522.0,520.0,522.0,58039680810,10182358,8,522.0,522.0
2005-12-13,520.0,522.0,520.0,522.0,688697560,120797,7,522.0,522.0
2005-12-31,496.0,520.0,496.0,520.0,65264980,12010,7,522.0,520.0
2006-01-01,516.0,520.0,516.0,520.0,56631950,10010,3,520.0,520.0
2006-01-02,514.0,519.0,514.0,519.0,28206920,5010,2,520.0,519.0
2006-01-03,513.0,519.0,513.0,519.0,33821890,6010,3,519.0,519.0
2006-01-07,509.0,519.0,509.0,519.0,42469097,7609,4,519.0,519.0
2006-01-16,506.0,518.0,506.0,518.0,62753830,11310,3,519.0,518.0
2006-01-24,492.0,517.0,492.0,517.0,27006640,5010,3,518.0,517.0
2006-01-25,492.0,516.0,492.0,516.0,27276050,5060,3,517.0,516.0
2006-01-29,490.0,515.0,490.0,515.0,32294440,6010,2,516.0,515.0
2006-02-25,489.0,513.0,489.0,513.0,53676260,10010,5,515.0,513.0
2006-05-17,474.0,474.0,474.0,474.0,26000000,5000,1,513.0,474.0
2006-05-21,465.0,474.0,465.0,474.0,15339980,3010,2,474.0,474.0
2006-05-27,465.0,474.0,465.0,474.0,25526940,5010,2,474.0,474.0
2006-05-28,464.0,474.0,464.0,474.0,20415910,4010,3,474.0,474.0
2006-05-29,464.0,473.0,464.0,473.0,22072744,4338,2,474.0,473.0
2006-05-31,464.0,473.0,464.0,473.0,15306860,3010,2,473.0,473.0
