date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-09-11,1048.0,1226.0,966.0,1084.0,51123840707,186676688,5585,3957.0,985.0
2012-10-27,81.0,164.0,81.0,126.0,17274947932,148715351,5635,1084.0,164.0
2012-10-28,131.0,131.0,131.0,131.0,4752227326,39274606,2182,126.0,131.0
2012-10-29,138.0,138.0,138.0,138.0,14243041110,112149930,4022,131.0,138.0
2012-10-30,144.0,144.0,131.0,142.0,18865574263,144195831,3640,138.0,131.0
2012-10-31,136.0,140.0,136.0,136.0,73086526755,584587135,5629,142.0,136.0
2012-12-23,276.0,276.0,195.0,218.0,844358000,4198890,178,136.0,217.0
2012-12-24,217.0,217.0,207.0,214.0,188694000,954000,41,218.0,207.0
2012-12-25,207.0,208.0,207.0,207.0,19093590000,99955000,1077,214.0,208.0
2012-12-26,217.0,217.0,217.0,217.0,69041587000,345207935,3849,207.0,217.0
2014-03-05,1515.0,1515.0,1409.0,1491.0,2818733373,2047803,152,217.0,1510.0
2014-03-08,1552.0,1566.0,1418.0,1460.0,5478457578,4067030,641,1491.0,1418.0
2014-03-09,1388.0,1388.0,1388.0,1388.0,792147200,618865,84,1460.0,1388.0
2014-03-10,1318.0,1318.0,1318.0,1318.0,126072448,103678,13,1388.0,1318.0
2014-03-11,1253.0,1253.0,1253.0,1253.0,20819560,18010,5,1318.0,1253.0
2014-03-12,1192.0,1315.0,1192.0,1248.0,16181107447,14055611,890,1253.0,1301.0
2014-03-15,1297.0,1309.0,1268.0,1308.0,3912943302,3242155,364,1248.0,1309.0
2014-03-16,1374.0,1374.0,1309.0,1355.0,6469023334,5178529,484,1308.0,1331.0
2014-03-17,1366.0,1409.0,1292.0,1348.0,2742757450,2206502,353,1355.0,1292.0
2014-03-18,1301.0,1301.0,1280.0,1280.0,4303390395,3643724,374,1348.0,1280.0
2014-03-19,1279.0,1345.0,1236.0,1284.0,1870683128,1578876,261,1280.0,1279.0
2014-03-25,1321.0,1321.0,1221.0,1225.0,739506203,654278,96,1284.0,1221.0
2014-03-26,1182.0,1182.0,1165.0,1165.0,2937038154,2734276,811,1225.0,1165.0
2014-03-29,1107.0,1170.0,1107.0,1109.0,10003895667,9783357,1036,1165.0,1117.0
2014-03-30,1151.0,1165.0,1127.0,1162.0,4102049381,3830930,701,1109.0,1165.0
2014-03-31,1219.0,1219.0,1142.0,1185.0,3487079152,3190114,318,1162.0,1154.0
2014-04-05,1199.0,1199.0,1126.0,1130.0,2755891045,2643314,320,1185.0,1126.0
2014-04-06,1106.0,1107.0,1074.0,1084.0,9474097604,9472503,2543,1130.0,1100.0
2014-04-07,1084.0,1095.0,1036.0,1072.0,3885186070,3930334,555,1084.0,1081.0
2014-04-08,1084.0,1116.0,1052.0,1084.0,7897459890,7894191,650,1072.0,1084.0
2014-04-09,1084.0,1084.0,1057.0,1083.0,12911873230,12929639,302,1084.0,1057.0
2014-04-12,1082.0,1084.0,1030.0,1047.0,5053677472,5232923,425,1083.0,1030.0
2014-04-13,996.0,996.0,996.0,996.0,5372105706,5851967,372,1047.0,996.0
2014-04-14,946.0,946.0,946.0,946.0,1320064173,1512101,201,996.0,946.0
2014-04-15,900.0,900.0,900.0,900.0,3858797820,4649154,214,946.0,900.0
2014-04-16,917.0,944.0,856.0,897.0,8097450732,9788210,1013,900.0,874.0
2014-04-19,859.0,866.0,852.0,852.0,7780048335,9895275,1097,897.0,852.0
2014-04-20,867.0,889.0,829.0,859.0,8209650855,10361036,698,852.0,858.0
2014-04-21,867.0,901.0,847.0,875.0,8347173467,10343176,1334,859.0,901.0
2014-04-22,918.0,918.0,918.0,918.0,652582161,770463,70,875.0,918.0
2014-04-23,963.0,963.0,963.0,963.0,8595518750,9668750,816,918.0,963.0
2014-04-26,1012.0,1012.0,1012.0,1012.0,67066160,75440,6,963.0,1012.0
2014-04-27,1061.0,1061.0,1061.0,1061.0,4665000,5000,1,1012.0,1061.0
2014-04-28,1114.0,1114.0,1114.0,1114.0,262567800,268200,12,1061.0,1114.0
2014-04-29,1168.0,1168.0,1167.0,1167.0,31315822708,30520589,691,1114.0,1167.0
2014-04-30,1110.0,1189.0,1110.0,1121.0,23797283024,24151931,828,1167.0,1115.0
2014-05-03,1138.0,1168.0,1065.0,1085.0,11802747924,12367103,501,1121.0,1065.0
2014-05-04,1033.0,1033.0,1032.0,1032.0,1628126045,1794935,48,1085.0,1032.0
2014-05-05,1039.0,1083.0,1002.0,1065.0,11638803345,12435728,675,1032.0,1083.0
2014-05-06,1058.0,1102.0,1013.0,1023.0,5257460227,5849805,268,1065.0,1013.0
2014-05-07,991.0,1073.0,991.0,1052.0,10833868782,11721838,398,1023.0,1062.0
2014-05-10,1079.0,1103.0,1066.0,1085.0,11570300283,12133684,579,1052.0,1091.0
2014-05-11,1082.0,1138.0,1081.0,1123.0,5392079112,5464716,330,1085.0,1082.0
2014-05-12,1102.0,1115.0,1084.0,1107.0,8411610261,8648779,511,1123.0,1084.0
2014-05-14,1060.0,1091.0,1053.0,1081.0,7587488937,7990872,3388,1107.0,1053.0
2014-05-17,1070.0,1102.0,1028.0,1086.0,9762730667,10218455,3695,1081.0,1046.0
2014-05-18,1046.0,1046.0,1033.0,1033.0,5756565510,6339413,345,1086.0,1033.0
2014-05-19,1000.0,1084.0,982.0,1042.0,19027132029,20772696,1204,1033.0,1070.0
2014-05-20,1043.0,1094.0,1043.0,1089.0,10699231652,11176060,1355,1042.0,1094.0
2014-05-21,1136.0,1142.0,1126.0,1140.0,32155193921,32105260,1494,1089.0,1142.0
2014-05-24,1172.0,1183.0,1083.0,1106.0,48990431201,50395465,1658,1140.0,1085.0
2014-05-25,1054.0,1101.0,1052.0,1056.0,20066188756,21619432,1026,1106.0,1052.0
2014-05-26,1015.0,1103.0,1015.0,1078.0,21148960987,22331047,625,1056.0,1103.0
2014-10-18,1067.0,1067.0,994.0,1002.0,15810000000,17000000,170,1078.0,994.0
2014-10-19,954.0,954.0,953.0,953.0,131898270000,149205000,1496,1002.0,953.0
2014-10-20,1000.0,1000.0,1000.0,1000.0,181693043904,195789918,1982,953.0,1000.0
2020-08-01,20000.0,22000.0,20000.0,21550.0,2118802742810,98309373,31524,1000.0,21970.0
2020-08-02,22170.0,22180.0,20400.0,21540.0,1610478165770,74751955,23421,21550.0,22040.0
2020-08-03,21350.0,21350.0,19410.0,20130.0,1051120251350,52222139,12590,21540.0,19650.0
2020-08-04,18750.0,19980.0,18120.0,18470.0,1842141058930,99762368,24880,20130.0,18180.0
2020-08-05,18050.0,18900.0,16620.0,17250.0,1264291769720,73286278,15485,18470.0,17690.0
2020-08-09,17810.0,18800.0,16720.0,17940.0,664564103280,37043227,7493,17250.0,18650.0
2020-08-10,17340.0,17340.0,16250.0,16830.0,298805030750,17750749,2951,17940.0,16660.0
2020-08-11,16000.0,16500.0,15180.0,15430.0,373691091730,24213662,4750,16830.0,15660.0
2020-08-12,16600.0,16750.0,14600.0,15600.0,576202980010,36933887,5606,15430.0,15090.0
2020-08-15,15000.0,15200.0,14040.0,14190.0,327592853760,23086411,4880,15600.0,14040.0
2020-08-16,13770.0,14050.0,12800.0,13120.0,284776658030,21711283,4459,14190.0,13190.0
2020-08-17,13400.0,14160.0,13020.0,13700.0,418759256050,30558863,5538,13120.0,13700.0
2020-08-18,14710.0,15070.0,14010.0,14720.0,443456133620,30121409,5615,13700.0,14330.0
2020-08-19,13730.0,14700.0,13250.0,13300.0,159781651470,12011428,2162,14720.0,13250.0
2020-08-22,14280.0,14280.0,12000.0,13020.0,350252167900,26899762,3984,13300.0,12840.0
2020-08-23,13000.0,13020.0,11720.0,11910.0,238843064000,20053983,4002,13020.0,11720.0
2020-08-24,11600.0,11880.0,10720.0,10870.0,227506581220,20939254,3343,11910.0,10740.0
2020-09-16,11950.0,11950.0,11950.0,11950.0,88897017950,7439081,3052,10870.0,11950.0
2020-09-19,13150.0,13150.0,13150.0,13150.0,125731765650,9561351,3084,11950.0,13150.0
2020-09-20,14470.0,14470.0,13310.0,14170.0,1540303843710,108682354,17380,13150.0,14190.0
2020-09-21,13220.0,14100.0,12810.0,13500.0,796582160770,59013280,9325,14170.0,14020.0
2020-09-22,14310.0,14850.0,13130.0,14370.0,807501124250,56203110,9251,13500.0,14850.0
2020-09-23,15400.0,15810.0,15010.0,15750.0,589047586060,37397442,6903,14370.0,15810.0
2020-09-26,16950.0,17330.0,16420.0,17150.0,1021839678020,59587997,11359,15750.0,17330.0
2020-09-27,17200.0,18000.0,15440.0,15970.0,1203140923590,75347856,11726,17150.0,16300.0
2020-09-28,14660.0,14890.0,14370.0,14440.0,141433004340,9796485,1315,15970.0,14370.0
2020-09-29,13000.0,15870.0,13000.0,14380.0,910035725610,63300119,9364,14440.0,15380.0
2020-09-30,15190.0,15820.0,14910.0,15660.0,795336140770,50783481,6230,14380.0,15820.0
2020-10-03,16800.0,17230.0,16650.0,17140.0,361510251800,21093751,3749,15660.0,17230.0
2020-10-04,17500.0,17990.0,15440.0,16770.0,1248858827330,74447829,12112,17140.0,15800.0
2020-10-05,15090.0,16700.0,15090.0,15530.0,580409742930,37369899,6727,16770.0,15420.0
2020-10-06,16000.0,16700.0,14770.0,15880.0,717832771380,45202634,8629,15530.0,16260.0
2020-10-07,16500.0,16500.0,15000.0,15560.0,519290605390,33366517,6848,15880.0,15330.0
2020-10-10,14980.0,15500.0,14010.0,14460.0,550919880230,38094865,7335,15560.0,14410.0
2020-10-11,14550.0,15800.0,14460.0,15350.0,636179989980,41447321,8499,14460.0,14930.0
2020-10-12,14930.0,15200.0,14000.0,14340.0,442505252790,30858752,5891,15350.0,14500.0
2020-10-13,14500.0,14790.0,13300.0,14030.0,312976056550,22312152,4551,14340.0,14060.0
2020-10-14,13980.0,14040.0,13100.0,13310.0,331346335290,24896796,4202,14030.0,13210.0
2020-10-18,12500.0,13170.0,11980.0,12070.0,420004836590,34801565,4599,13310.0,11980.0
2020-10-19,11010.0,11200.0,10860.0,10890.0,248462274050,22807963,3457,12070.0,10860.0
2020-10-20,10000.0,11390.0,9800.0,10250.0,469943018770,45850470,6098,10890.0,11040.0
2020-10-21,11150.0,11270.0,10500.0,10980.0,549342569120,50039701,8375,10250.0,10920.0
2020-10-24,10060.0,10970.0,9880.0,9940.0,188027223060,18913609,2980,10980.0,9880.0
2021-03-16,9350.0,9350.0,9350.0,9350.0,33725487400,3607004,167,9940.0,9350.0
2021-03-17,10000.0,10000.0,9550.0,9560.0,149511874820,15643130,418,9350.0,9550.0
2021-03-27,10700.0,10700.0,9500.0,9580.0,19329707960,2018111,108,9560.0,9500.0
2021-03-28,9580.0,9580.0,9200.0,9210.0,25431926700,2762555,124,9580.0,9200.0
2021-03-30,9210.0,9210.0,9210.0,9210.0,36337972110,3945491,148,9210.0,9210.0
2021-03-31,9210.0,9210.0,8850.0,8850.0,42497802370,4799657,386,9210.0,8850.0
2021-04-03,9000.0,9000.0,8500.0,8570.0,40181905780,4690937,259,8850.0,8500.0
