date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-12-13,10247.0,10247.0,10247.0,10247.0,146001680000,14600168,285,10247.0,10247.0
2022-12-14,10247.0,10247.0,10247.0,10247.0,69173960000,6917396,142,10247.0,10247.0
2022-12-17,10247.0,10247.0,10247.0,10247.0,77533940000,7753394,142,10247.0,10247.0
2022-12-18,10247.0,10247.0,10247.0,10247.0,20986650000,2098665,137,10247.0,10247.0
2022-12-19,10247.0,10247.0,10247.0,10247.0,229950350000,22995035,182,10247.0,10247.0
2023-01-31,10247.0,10270.0,10247.0,10247.0,3502252100,350224,24,10247.0,10247.0
2023-02-01,10657.0,10657.0,10077.0,10258.0,3502719179,349939,86,10247.0,10281.0
2023-02-05,10258.0,10258.0,10071.0,10095.0,2702011709,274280,56,10258.0,10196.0
2023-02-06,10083.0,10247.0,10080.0,10199.0,4106017002,412535,49,10095.0,10246.0
2023-02-07,10258.0,10347.0,10246.0,10278.0,6034485780,601653,46,10199.0,10246.0
2023-02-08,10299.0,10299.0,10246.0,10281.0,3093236699,308301,36,10278.0,10246.0
2023-02-12,10247.0,10247.0,10216.0,10238.0,810819944,81156,16,10281.0,10237.0
2023-02-13,10235.0,10246.0,10227.0,10234.0,2271103742,227398,42,10238.0,10228.0
2023-02-14,10237.0,10247.0,10155.0,10206.0,3514938788,352912,36,10234.0,10247.0
2023-02-15,10246.0,10246.0,10106.0,10116.0,946764361,95904,24,10206.0,10112.0
2023-02-19,10124.0,10134.0,10124.0,10124.0,434551779,43982,15,10116.0,10125.0
2023-02-20,10246.0,10350.0,10115.0,10243.0,7277758732,728031,126,10124.0,10247.0
2023-02-21,10401.0,10688.0,10194.0,10472.0,12359976385,1209509,162,10243.0,10247.0
2023-02-22,10616.0,10760.0,10248.0,10511.0,34814566442,3394289,289,10472.0,10760.0
2023-02-25,10862.0,11288.0,10760.0,11178.0,12309935765,1128478,202,10511.0,11288.0
2023-02-26,11349.0,11784.0,11088.0,11350.0,19392969106,1750825,206,11178.0,11112.0
2023-02-27,11112.0,11375.0,11036.0,11258.0,11405598884,1038158,77,11350.0,11170.0
2023-02-28,11149.0,11376.0,11133.0,11292.0,10758830577,976383,85,11258.0,11133.0
2023-03-01,11441.0,11441.0,10452.0,11345.0,18737614139,1692537,117,11292.0,11342.0
2023-03-04,11164.0,11338.0,11129.0,11170.0,834753332,76582,25,11345.0,11236.0
2023-03-05,11221.0,11435.0,11221.0,11305.0,4123261502,373754,35,11170.0,11424.0
2023-03-06,11257.0,11399.0,10872.0,11307.0,9406914370,852551,61,11305.0,11364.0
2023-03-07,11375.0,12437.0,11375.0,11558.0,7072264390,627034,79,11307.0,11621.0
2023-03-11,11651.0,11876.0,11631.0,11678.0,327468972,28736,16,11558.0,11631.0
2023-03-12,11569.0,11569.0,11344.0,11491.0,345387054,30800,17,11678.0,11385.0
2023-03-13,11395.0,11468.0,11334.0,11364.0,2153028651,194135,39,11491.0,11385.0
2023-03-14,11375.0,11487.0,11068.0,11357.0,1544683985,139370,42,11364.0,11376.0
2023-03-15,11528.0,11876.0,11528.0,11733.0,1029579650,89916,27,11357.0,11876.0
2023-03-18,11866.0,12501.0,11866.0,12253.0,5825502713,487205,60,11733.0,12461.0
2023-03-19,12358.0,12676.0,12215.0,12530.0,3880796210,317357,32,12253.0,12472.0
2023-03-25,12584.0,12748.0,12584.0,12596.0,283767910,23086,14,12530.0,12737.0
2023-03-28,12680.0,12730.0,12540.0,12586.0,2698654268,214415,54,12596.0,12660.0
2023-03-29,12590.0,12820.0,12590.0,12702.0,994373410,78284,15,12586.0,12690.0
2023-04-03,12520.0,12905.0,12520.0,12725.0,1221895925,96024,26,12702.0,12730.0
2023-04-04,12950.0,13000.0,12710.0,12851.0,3968919586,308832,41,12725.0,12720.0
2023-04-05,12790.0,13060.0,12780.0,12877.0,1702752710,132236,24,12851.0,12930.0
2023-04-08,13210.0,13560.0,13210.0,13408.0,3536980477,263798,82,12877.0,13500.0
2023-04-09,13320.0,13555.0,13320.0,13535.0,1347012793,99523,41,13408.0,13555.0
2023-04-10,13556.0,13880.0,13150.0,13574.0,2746043340,202308,47,13535.0,13290.0
2023-04-11,13180.0,13520.0,13180.0,13456.0,230085970,17099,18,13574.0,13520.0
2023-04-15,13460.0,13990.0,13460.0,13733.0,7108296060,517619,100,13456.0,13990.0
2023-04-16,14090.0,14190.0,13860.0,14003.0,4456048477,318222,75,13733.0,14000.0
2023-04-17,14090.0,14380.0,14000.0,14185.0,3105888962,218953,42,14003.0,14180.0
2023-04-18,14360.0,14670.0,14360.0,14494.0,2435725575,168048,46,14185.0,14550.0
2023-04-19,14580.0,14580.0,14360.0,14429.0,2617675210,181415,49,14494.0,14550.0
2023-04-24,14430.0,14640.0,14420.0,14519.0,2619979305,180454,40,14429.0,14520.0
2023-04-25,14590.0,14799.0,14590.0,14708.0,1474278205,100239,40,14519.0,14591.0
2023-04-26,14780.0,14780.0,14570.0,14724.0,1471768358,99955,43,14708.0,14581.0
2023-04-29,14789.0,15059.0,14620.0,14881.0,1846831472,124109,45,14724.0,15000.0
2023-04-30,14881.0,14999.0,14831.0,14911.0,7947773440,533008,75,14881.0,14931.0
2023-05-01,14950.0,15300.0,14850.0,15072.0,5925324246,393142,59,14911.0,15071.0
2023-05-02,15470.0,15700.0,15450.0,15610.0,1504965564,96413,95,15072.0,15650.0
2023-05-03,15900.0,15980.0,15721.0,15836.0,5584896843,352664,112,15610.0,15721.0
2023-05-06,16119.0,16299.0,16000.0,16101.0,5580995387,346624,110,15836.0,16071.0
2023-05-07,16310.0,16310.0,15290.0,15698.0,5361481491,341540,85,16101.0,15290.0
2023-05-08,15370.0,15500.0,14600.0,14821.0,10990052520,741495,83,15698.0,14600.0
