date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-22,534.0,534.0,534.0,534.0,10892524,9062,7,534.0,534.0
2001-04-30,534.0,534.0,534.0,534.0,1202000,1000,1,534.0,534.0
2001-05-07,534.0,534.0,534.0,534.0,601000,500,1,534.0,534.0
2001-06-26,444.0,444.0,444.0,444.0,1000000,1000,1,534.0,444.0
2001-10-10,444.0,444.0,444.0,444.0,1035000,1035,2,444.0,444.0
2001-10-14,448.0,448.0,448.0,448.0,1010000,1000,1,444.0,448.0
2001-10-16,448.0,453.0,448.0,453.0,1447230,1423,2,448.0,453.0
2001-10-17,457.0,457.0,457.0,457.0,515000,500,1,453.0,457.0
2001-10-20,457.0,462.0,457.0,462.0,47360937,45594,11,457.0,462.0
2001-10-22,466.0,466.0,466.0,466.0,4725000,4500,3,462.0,466.0
2001-10-24,463.0,463.0,462.0,462.0,427991,411,2,466.0,462.0
2001-11-14,463.0,463.0,459.0,459.0,4354325,4175,4,462.0,459.0
2001-12-02,458.0,458.0,458.0,458.0,1032000,1000,1,459.0,458.0
2001-12-05,454.0,454.0,454.0,454.0,1022000,1000,1,458.0,454.0
2001-12-08,449.0,449.0,449.0,449.0,2024000,2000,1,454.0,449.0
2001-12-12,445.0,445.0,445.0,445.0,1002000,1000,1,449.0,445.0
2001-12-24,445.0,445.0,445.0,445.0,1232460,1230,1,445.0,445.0
2001-12-26,445.0,445.0,445.0,445.0,5260500,5250,2,445.0,445.0
2001-12-30,445.0,445.0,445.0,445.0,877625,875,1,445.0,445.0
2002-01-02,446.0,446.0,446.0,446.0,1004000,1000,1,445.0,446.0
2002-01-06,446.0,446.0,446.0,446.0,1311224,1306,3,446.0,446.0
2002-01-08,446.0,446.0,446.0,446.0,1004000,1000,1,446.0,446.0
2002-01-15,446.0,446.0,446.0,446.0,3379464,3366,2,446.0,446.0
2002-01-16,446.0,446.0,446.0,446.0,1004000,1000,1,446.0,446.0
2002-01-19,446.0,446.0,446.0,446.0,1092352,1088,3,446.0,446.0
2002-01-20,445.0,445.0,445.0,445.0,1881628,1876,1,446.0,445.0
2002-01-28,555.0,584.0,555.0,584.0,2565000,2000,2,445.0,584.0
2002-02-09,613.0,613.0,613.0,613.0,5456520,3954,4,584.0,613.0
2002-02-12,643.0,643.0,643.0,643.0,2480688,1712,1,613.0,643.0
2002-02-13,675.0,675.0,675.0,675.0,43026048,28288,3,643.0,675.0
2002-02-16,675.0,675.0,675.0,675.0,20317518,13358,12,675.0,675.0
2002-02-24,676.0,678.0,676.0,678.0,29964235,19660,10,675.0,678.0
2002-02-26,681.0,681.0,681.0,681.0,1688500,1100,1,678.0,681.0
2002-03-02,684.0,684.0,684.0,684.0,6176940,4011,2,681.0,684.0
2002-03-06,690.0,690.0,690.0,690.0,467754,301,2,684.0,690.0
2002-03-13,697.0,697.0,697.0,697.0,1256000,800,1,690.0,697.0
2002-03-19,696.0,696.0,696.0,696.0,1568000,1000,1,697.0,696.0
2002-03-27,696.0,696.0,696.0,696.0,1102304,703,1,696.0,696.0
2002-04-27,692.0,692.0,692.0,692.0,7957560,5101,1,696.0,692.0
2002-05-01,684.0,684.0,677.0,677.0,43167000,28280,22,692.0,677.0
2002-05-05,666.0,666.0,666.0,666.0,1629000,1086,2,677.0,666.0
2002-05-07,666.0,666.0,666.0,666.0,3069000,2046,1,666.0,666.0
2002-05-08,666.0,666.0,666.0,666.0,4500000,3000,3,666.0,666.0
2002-05-19,653.0,653.0,653.0,653.0,7830690,5327,2,666.0,653.0
2002-05-21,653.0,653.0,653.0,653.0,1470000,1000,1,653.0,653.0
2002-05-25,653.0,653.0,653.0,653.0,28644420,19486,6,653.0,653.0
2002-06-01,653.0,653.0,653.0,653.0,9836360,6688,3,653.0,653.0
2002-06-08,654.0,654.0,654.0,654.0,1473000,1000,1,653.0,654.0
2002-06-18,670.0,670.0,670.0,670.0,1509000,1000,2,654.0,670.0
2002-06-23,686.0,686.0,670.0,670.0,9425712754,6246306,2,670.0,670.0
2002-06-29,686.0,686.0,686.0,686.0,1546000,1000,1,670.0,686.0
2002-07-02,720.0,720.0,720.0,720.0,22397400,13800,9,686.0,720.0
2002-07-29,577.0,577.0,577.0,577.0,1300000,1000,1,720.0,577.0
2002-08-06,581.0,581.0,581.0,581.0,300840,230,1,577.0,581.0
2002-08-17,583.0,583.0,583.0,583.0,459900,350,2,581.0,583.0
2002-08-20,584.0,584.0,584.0,584.0,1298892,987,1,583.0,584.0
2002-08-24,584.0,584.0,584.0,584.0,2878092,2187,1,584.0,584.0
2002-08-27,584.0,584.0,584.0,584.0,460600,350,1,584.0,584.0
2002-08-31,613.0,613.0,613.0,613.0,7871700,5700,1,584.0,613.0
2002-09-03,613.0,613.0,613.0,613.0,241850,175,1,613.0,613.0
2002-09-04,644.0,644.0,644.0,644.0,6887500,4750,1,613.0,644.0
