date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-27,91.0,91.0,91.0,91.0,10366065,1220,2,0.0,91.0
2001-04-09,91.0,91.0,91.0,91.0,977040,115,3,91.0,91.0
2001-04-14,91.0,91.0,91.0,91.0,8497000,1000,1,91.0,91.0
2001-07-11,41.0,41.0,41.0,41.0,7600000,2000,1,91.0,41.0
2001-07-16,41.0,41.0,41.0,41.0,11392400,2998,5,41.0,41.0
2001-07-17,41.0,41.0,41.0,41.0,3800000,1000,2,41.0,41.0
2001-07-22,41.0,41.0,41.0,41.0,3850000,1000,1,41.0,41.0
2001-07-25,41.0,43.0,41.0,43.0,8463320,2120,2,41.0,43.0
2001-07-28,43.0,43.0,43.0,43.0,2956739,739,2,43.0,43.0
2001-07-29,44.0,44.0,43.0,44.0,4075000,1000,3,43.0,44.0
2001-08-07,46.0,46.0,46.0,46.0,8605695,1999,3,44.0,46.0
2001-08-11,46.0,46.0,46.0,46.0,4735600,1100,4,46.0,46.0
2001-08-12,46.0,46.0,46.0,46.0,40382432,9376,1,46.0,46.0
2001-08-27,46.0,46.0,46.0,46.0,2687568,624,1,46.0,46.0
2001-08-28,46.0,46.0,46.0,46.0,1485915,345,1,46.0,46.0
2001-09-01,46.0,46.0,46.0,46.0,4996120,1160,3,46.0,46.0
2001-09-03,46.0,46.0,46.0,46.0,5926432,1376,3,46.0,46.0
2001-09-08,46.0,46.0,46.0,46.0,4307000,1000,1,46.0,46.0
2001-09-11,46.0,46.0,46.0,46.0,2153500,500,1,46.0,46.0
2001-09-17,46.0,46.0,46.0,46.0,2153500,500,1,46.0,46.0
2001-09-19,46.0,46.0,46.0,46.0,4307000,1000,1,46.0,46.0
2001-09-24,46.0,46.0,46.0,46.0,3876300,900,2,46.0,46.0
2001-10-03,46.0,46.0,46.0,46.0,3014900,700,1,46.0,46.0
2001-10-10,46.0,46.0,46.0,46.0,5942280,1380,2,46.0,46.0
2001-10-20,46.0,46.0,46.0,46.0,19793181,4600,5,46.0,46.0
2001-10-22,46.0,46.0,46.0,46.0,430000,100,1,46.0,46.0
2001-11-03,44.0,44.0,44.0,44.0,13480500,3300,7,46.0,44.0
2001-11-12,43.0,43.0,43.0,43.0,4000000,1000,1,44.0,43.0
2001-11-14,43.0,43.0,43.0,43.0,17991000,4500,4,43.0,43.0
2001-11-17,42.0,42.0,42.0,42.0,3900000,1000,1,43.0,42.0
2001-11-19,42.0,42.0,42.0,42.0,1950000,500,1,42.0,42.0
2001-11-24,42.0,42.0,42.0,42.0,5850000,1500,1,42.0,42.0
2001-11-25,42.0,42.0,42.0,42.0,3896100,999,1,42.0,42.0
2001-11-26,42.0,42.0,42.0,42.0,3584100,919,2,42.0,42.0
2001-12-02,43.0,43.0,43.0,43.0,31920000,7980,2,42.0,43.0
2001-12-03,43.0,43.0,43.0,43.0,16080000,4020,1,43.0,43.0
2001-12-12,43.0,43.0,43.0,43.0,14407200,3600,1,43.0,43.0
2001-12-17,43.0,43.0,43.0,43.0,16000000,4000,2,43.0,43.0
2001-12-19,43.0,43.0,43.0,43.0,6880000,1720,2,43.0,43.0
2001-12-24,43.0,43.0,43.0,43.0,8000000,2000,2,43.0,43.0
2001-12-26,43.0,43.0,43.0,43.0,16000000,4000,3,43.0,43.0
2001-12-29,43.0,43.0,43.0,43.0,3200000,800,1,43.0,43.0
2001-12-30,43.0,43.0,43.0,43.0,31488000,7872,1,43.0,43.0
2002-01-01,43.0,43.0,43.0,43.0,16512000,4128,3,43.0,43.0
2002-01-06,43.0,43.0,43.0,43.0,16000000,4000,4,43.0,43.0
2002-01-07,43.0,43.0,43.0,43.0,20000000,5000,3,43.0,43.0
2002-01-08,41.0,43.0,41.0,43.0,11600000,3000,2,43.0,43.0
2002-01-13,43.0,43.0,43.0,43.0,18400000,4600,2,43.0,43.0
2002-01-14,43.0,43.0,43.0,43.0,4399787,1100,2,43.0,43.0
2002-01-16,43.0,43.0,43.0,43.0,13204000,3301,2,43.0,43.0
2002-01-19,43.0,43.0,43.0,43.0,2160000,540,1,43.0,43.0
2002-01-20,43.0,43.0,43.0,43.0,5840000,1460,1,43.0,43.0
2002-01-21,43.0,43.0,43.0,43.0,14600000,3650,21,43.0,43.0
2002-01-26,43.0,43.0,43.0,43.0,43347150,10703,4,43.0,43.0
2002-01-27,43.0,43.0,43.0,43.0,24300000,6000,3,43.0,43.0
2002-01-28,43.0,43.0,43.0,43.0,1215000,300,2,43.0,43.0
2002-01-30,43.0,44.0,43.0,44.0,24386350,5957,4,43.0,44.0
2002-02-03,44.0,44.0,44.0,44.0,5327400,1300,1,44.0,44.0
2002-02-05,44.0,44.0,44.0,44.0,7009290,1710,2,44.0,44.0
2002-02-06,44.0,44.0,44.0,44.0,36873000,9000,5,44.0,44.0
2002-02-25,44.0,44.0,44.0,44.0,71405568,17433,8,44.0,44.0
2002-02-26,44.0,44.0,44.0,44.0,234778624,57319,42,44.0,44.0
2002-02-27,44.0,44.0,44.0,44.0,74051594,18079,22,44.0,44.0
2002-03-02,44.0,44.0,44.0,44.0,4056030,990,1,44.0,44.0
2002-03-04,44.0,44.0,44.0,44.0,34873344,8514,11,44.0,44.0
2002-03-05,44.0,44.0,44.0,44.0,122370000,30000,52,44.0,44.0
2002-03-06,43.0,43.0,43.0,43.0,121110000,30000,57,44.0,43.0
2002-03-09,41.0,41.0,41.0,41.0,83578000,22000,35,43.0,41.0
2002-03-10,41.0,41.0,41.0,41.0,151920000,40000,68,41.0,41.0
2002-03-12,41.0,41.0,41.0,41.0,113910000,30000,50,41.0,41.0
2002-03-17,41.0,41.0,41.0,41.0,113910000,30000,51,41.0,41.0
2002-03-18,41.0,41.0,40.0,40.0,5750920,1540,3,41.0,40.0
2002-03-19,39.0,39.0,39.0,39.0,5719600,1580,2,40.0,39.0
2002-04-13,39.0,39.0,39.0,39.0,72400000,20000,40,39.0,39.0
2002-04-15,38.0,38.0,38.0,38.0,17900000,5000,39,39.0,38.0
2002-04-22,38.0,38.0,38.0,38.0,14391600,4020,3,38.0,38.0
2002-04-24,38.0,38.0,38.0,38.0,7100000,2000,24,38.0,38.0
2002-04-27,38.0,38.0,38.0,38.0,2662500,750,1,38.0,38.0
2002-04-28,38.0,38.0,38.0,38.0,1420000,400,1,38.0,38.0
2002-04-29,38.0,38.0,38.0,38.0,10647000,3000,8,38.0,38.0
2002-04-30,38.0,38.0,38.0,38.0,4968600,1400,1,38.0,38.0
2002-05-06,38.0,38.0,38.0,38.0,7806600,2200,3,38.0,38.0
2002-05-07,38.0,38.0,38.0,38.0,19881550,5601,10,38.0,38.0
2002-05-08,38.0,38.0,38.0,38.0,3550000,1000,1,38.0,38.0
2002-05-19,38.0,38.0,38.0,38.0,5400000,1500,7,38.0,38.0
2002-05-21,39.0,39.0,39.0,39.0,97327250,26665,27,38.0,39.0
2002-05-22,41.0,41.0,41.0,41.0,44638250,11750,10,39.0,41.0
2002-05-29,41.0,41.0,41.0,41.0,341910,90,3,41.0,41.0
2002-06-01,41.0,41.0,41.0,41.0,11397000,3000,4,41.0,41.0
2002-06-09,41.0,41.0,41.0,41.0,23100000,6000,2,41.0,41.0
2002-06-10,41.0,42.0,41.0,42.0,921718500,236415,2,41.0,42.0
2002-06-12,43.0,43.0,43.0,43.0,185180000,46295,11,42.0,43.0
2002-06-16,43.0,43.0,43.0,43.0,71984000,17996,4,43.0,43.0
2002-07-13,41.0,41.0,41.0,41.0,2409200,634,1,43.0,41.0
2002-07-20,41.0,41.0,41.0,41.0,8333400,2193,5,41.0,41.0
2002-07-21,41.0,41.0,41.0,41.0,21983000,5785,7,41.0,41.0
2002-07-23,41.0,41.0,41.0,41.0,5487200,1444,2,41.0,41.0
2002-07-30,42.0,42.0,42.0,42.0,3900000,1000,3,41.0,42.0
2002-09-07,41.0,41.0,41.0,41.0,37270400,9808,2,42.0,41.0
2002-09-11,41.0,41.0,41.0,41.0,11544400,3038,3,41.0,41.0
2002-09-16,41.0,41.0,41.0,41.0,22800000,6000,1,41.0,41.0
2002-09-17,41.0,41.0,41.0,41.0,3879800,1021,2,41.0,41.0
2002-09-23,41.0,41.0,41.0,41.0,22803800,6001,3,41.0,41.0
2002-09-25,41.0,41.0,41.0,41.0,950000,250,1,41.0,41.0
2002-10-02,40.0,40.0,40.0,40.0,5135661,1359,1,41.0,40.0
2002-10-06,40.0,40.0,40.0,40.0,793800,210,1,40.0,40.0
2002-10-21,40.0,40.0,40.0,40.0,188500000,50000,61,40.0,40.0
2002-10-23,40.0,40.0,40.0,40.0,188500000,50000,60,40.0,40.0
2002-10-26,40.0,40.0,40.0,40.0,187000000,50000,56,40.0,40.0
2002-10-27,40.0,40.0,39.0,39.0,148050000,40000,42,40.0,39.0
2002-10-28,39.0,39.0,39.0,39.0,221700000,60000,62,39.0,39.0
2002-10-29,39.0,39.0,39.0,39.0,73900000,20000,29,39.0,39.0
2002-10-30,39.0,39.0,39.0,39.0,73600000,20000,32,39.0,39.0
2002-11-05,39.0,39.0,39.0,39.0,109800000,30000,33,39.0,39.0
2002-11-06,39.0,39.0,39.0,39.0,6295200,1720,3,39.0,39.0
2002-11-16,39.0,39.0,39.0,39.0,168263940,45859,8,39.0,39.0
2002-11-19,39.0,39.0,39.0,39.0,28259000,7700,10,39.0,39.0
2002-12-02,39.0,39.0,39.0,39.0,36500000,10000,2,39.0,39.0
2002-12-08,41.0,41.0,41.0,41.0,22870000,6000,5,39.0,41.0
2002-12-09,41.0,41.0,41.0,41.0,4218384,1104,2,41.0,41.0
2002-12-11,43.0,43.0,43.0,43.0,3582000,900,1,41.0,43.0
2002-12-14,45.0,45.0,45.0,45.0,104508432,25008,4,43.0,45.0
2002-12-16,47.0,47.0,47.0,47.0,11844900,2700,1,45.0,47.0
2002-12-17,49.0,49.0,49.0,49.0,13800000,3000,4,47.0,49.0
2002-12-18,49.0,52.0,49.0,52.0,39399000,8215,2,49.0,52.0
2002-12-21,52.0,52.0,52.0,52.0,9941167,2058,3,52.0,52.0
2002-12-22,52.0,52.0,52.0,52.0,57960000,12000,2,52.0,52.0
2002-12-31,51.0,51.0,51.0,51.0,12412800,2586,1,52.0,51.0
2003-01-07,51.0,51.0,50.0,50.0,64441300,13627,28,51.0,50.0
2003-01-11,50.0,50.0,50.0,50.0,933400,200,1,50.0,50.0
2003-03-29,47.0,47.0,47.0,47.0,4434000,1000,1,50.0,47.0
2003-04-06,45.0,45.0,45.0,45.0,842600,200,1,47.0,45.0
2003-04-07,45.0,45.0,45.0,45.0,336960000,80000,63,45.0,45.0
2003-04-09,45.0,45.0,45.0,45.0,11957658,2843,3,45.0,45.0
2003-04-12,45.0,45.0,45.0,45.0,16796000,4000,2,45.0,45.0
2003-04-30,43.0,43.0,43.0,43.0,798000,200,1,45.0,43.0
2003-05-05,41.0,41.0,41.0,41.0,758200,200,2,43.0,41.0
2003-05-10,40.0,43.0,40.0,40.0,137123421,35981,16,41.0,40.0
2003-05-12,42.0,42.0,42.0,42.0,25029900,6300,3,40.0,42.0
2003-05-13,43.0,44.0,43.0,44.0,25550000,6200,2,42.0,44.0
2003-05-14,44.0,47.0,44.0,47.0,51667493,12005,6,44.0,47.0
2003-05-26,46.0,49.0,46.0,49.0,51553088,11826,6,47.0,49.0
2003-05-27,49.0,51.0,49.0,51.0,179608073,37982,20,49.0,51.0
2003-06-01,51.0,51.0,51.0,51.0,184628400,39050,6,51.0,51.0
2003-06-02,50.0,50.0,50.0,50.0,93540000,20000,61,51.0,50.0
2003-06-03,50.0,50.0,50.0,50.0,93540000,20000,57,50.0,50.0
2003-06-07,50.0,50.0,50.0,50.0,93100000,20000,59,50.0,50.0
2003-06-09,50.0,50.0,50.0,50.0,93000000,20000,58,50.0,50.0
2003-06-10,50.0,50.0,50.0,50.0,46400000,10000,28,50.0,50.0
2003-06-16,47.0,47.0,47.0,47.0,17632000,4000,1,50.0,47.0
2003-12-15,47.0,47.0,47.0,47.0,40138760,9110,4,47.0,47.0
2004-01-06,47.0,47.0,47.0,47.0,237230400,53916,6,47.0,47.0
2004-01-25,47.0,47.0,47.0,47.0,102587748,23326,69,47.0,47.0
2004-01-27,47.0,47.0,47.0,47.0,74592161,17003,47,47.0,47.0
2004-02-14,46.0,47.0,46.0,47.0,8563690,2010,9,47.0,47.0
2004-02-16,44.0,46.0,44.0,46.0,28061910,6760,2,47.0,46.0
2004-08-23,19.0,19.0,19.0,19.0,8362800,4646,2,46.0,19.0
2004-08-24,20.0,20.0,19.0,19.0,5688070,3010,2,19.0,19.0
2004-08-28,20.0,20.0,19.0,19.0,433870,230,3,19.0,19.0
2004-10-12,19.0,19.0,19.0,19.0,88815035,49111,20,19.0,19.0
2004-10-13,19.0,19.0,19.0,19.0,3192928,1766,6,19.0,19.0
2004-10-16,19.0,19.0,19.0,19.0,18387360,10170,22,19.0,19.0
2004-10-17,20.0,20.0,19.0,19.0,6129710,3230,2,19.0,19.0
2004-10-19,20.0,20.0,19.0,19.0,780150,410,2,19.0,19.0
2004-10-20,20.0,20.0,20.0,20.0,38613920,20270,5,19.0,20.0
2004-10-25,21.0,21.0,21.0,21.0,60624370,31010,6,20.0,21.0
2004-10-26,22.0,22.0,21.0,21.0,2418330,1190,2,21.0,21.0
2004-10-30,22.0,22.0,21.0,21.0,1362500,670,2,21.0,21.0
2004-10-31,22.0,22.0,22.0,22.0,351136171,172443,49,21.0,22.0
2004-11-02,21.0,22.0,21.0,22.0,256788006,126844,73,22.0,22.0
2004-11-03,21.0,23.0,21.0,22.0,2723548180,1282672,7,22.0,22.0
2004-11-07,22.0,22.0,22.0,22.0,5537978,2748,3,22.0,22.0
2004-11-23,21.0,22.0,21.0,22.0,520002472,257956,10,22.0,22.0
2004-11-29,22.0,23.0,22.0,22.0,21102188,10134,6,22.0,22.0
2004-12-05,22.0,22.0,22.0,22.0,11972940,5898,1,22.0,22.0
2004-12-11,23.0,23.0,22.0,22.0,44720706,20986,4,22.0,22.0
2004-12-13,23.0,23.0,22.0,22.0,10069690,4750,4,22.0,22.0
2004-12-14,22.0,22.0,22.0,22.0,20904960,10010,3,22.0,22.0
2004-12-15,22.0,22.0,22.0,22.0,136407664,65074,11,22.0,22.0
2004-12-18,22.0,24.0,22.0,23.0,184422190,83858,11,22.0,23.0
2004-12-19,25.0,25.0,24.0,24.0,21920554,9498,5,23.0,24.0
2004-12-25,25.0,25.0,24.0,24.0,28989000,12410,4,24.0,24.0
2004-12-26,25.0,25.0,24.0,24.0,9683193,4081,3,24.0,24.0
2004-12-29,25.0,25.0,25.0,25.0,359473178,151170,23,24.0,25.0
2005-01-01,25.0,25.0,25.0,25.0,28223680,12010,3,25.0,25.0
2005-01-02,25.0,25.0,25.0,25.0,2373670,1010,2,25.0,25.0
2005-01-04,25.0,25.0,25.0,25.0,7441848,3144,3,25.0,25.0
2005-01-10,25.0,26.0,25.0,25.0,12027400,5020,7,25.0,25.0
2005-01-11,24.0,25.0,24.0,25.0,4978030,2210,2,25.0,25.0
2005-06-26,19.0,19.0,19.0,19.0,182407801,101342,148,25.0,19.0
2005-06-27,18.0,19.0,18.0,19.0,17117750,10010,3,19.0,19.0
2005-12-31,15.0,15.0,15.0,15.0,14890400,10636,15,19.0,15.0
2006-01-01,14.0,14.0,14.0,14.0,86476600,65020,93,15.0,14.0
2006-01-02,14.0,14.0,14.0,14.0,69520000,55000,53,14.0,14.0
2006-01-04,13.0,13.0,13.0,13.0,34613050,28820,36,14.0,13.0
2006-01-07,14.0,14.0,13.0,13.0,37880,30,3,13.0,13.0
2006-01-08,14.0,14.0,13.0,13.0,23551998,19312,31,13.0,13.0
