date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-01-21,1374.0,1387.0,1373.0,1373.0,8983228000,1870000,700,0.0,1373.0
2003-01-22,1407.0,1407.0,1407.0,1407.0,3266146920,663851,214,1373.0,1407.0
2003-01-25,1443.0,1443.0,1443.0,1443.0,15129000,3000,1,1407.0,1443.0
2003-01-26,1479.0,1479.0,1479.0,1479.0,25845000,5000,1,1443.0,1479.0
2003-01-27,1442.0,1442.0,1442.0,1442.0,402942960,79949,42,1479.0,1442.0
2003-01-28,1406.0,1442.0,1406.0,1413.0,1476802019,299434,163,1442.0,1413.0
2003-01-29,1413.0,1433.0,1413.0,1417.0,268742539,53978,32,1413.0,1417.0
2003-02-01,1418.0,1429.0,1394.0,1394.0,244240989,49704,25,1417.0,1394.0
2003-02-02,1359.0,1359.0,1359.0,1359.0,267985155,56405,24,1394.0,1359.0
2003-02-03,1344.0,1373.0,1344.0,1373.0,773870330,164152,65,1359.0,1373.0
2003-02-04,1373.0,1373.0,1373.0,1373.0,23042700,4800,5,1373.0,1373.0
2003-02-05,1374.0,1407.0,1373.0,1407.0,395399413,81420,61,1373.0,1407.0
2003-02-08,1407.0,1408.0,1405.0,1407.0,72378424,14714,9,1407.0,1407.0
2003-02-09,1373.0,1404.0,1373.0,1373.0,135947766,27870,8,1407.0,1373.0
2003-02-10,1373.0,1373.0,1373.0,1373.0,48005000,10000,5,1373.0,1373.0
2003-02-15,1373.0,1373.0,1373.0,1373.0,39023570,8130,5,1373.0,1373.0
2003-02-16,1373.0,1373.0,1373.0,1373.0,46574981,9703,11,1373.0,1373.0
2003-02-17,1373.0,1373.0,1373.0,1373.0,32212800,6711,5,1373.0,1373.0
2003-02-18,1373.0,1373.0,1359.0,1359.0,100683500,20986,17,1373.0,1359.0
2003-02-19,1373.0,1387.0,1373.0,1387.0,163200900,33968,30,1359.0,1387.0
2003-02-22,1373.0,1387.0,1373.0,1387.0,75440600,15692,12,1387.0,1387.0
2003-02-24,1373.0,1373.0,1373.0,1373.0,825600,172,2,1387.0,1373.0
2003-03-02,1361.0,1373.0,1360.0,1360.0,106011422,22198,13,1373.0,1360.0
2003-03-03,1359.0,1359.0,1359.0,1359.0,11590000,2440,2,1360.0,1359.0
2003-03-04,1325.0,1373.0,1325.0,1373.0,217132125,46000,18,1359.0,1373.0
2003-03-10,1339.0,1368.0,1339.0,1339.0,82349592,17438,7,1373.0,1339.0
2003-03-11,1339.0,1339.0,1339.0,1339.0,1539720,329,1,1339.0,1339.0
2003-03-12,1330.0,1330.0,1330.0,1330.0,17070150,3671,2,1339.0,1330.0
2003-03-15,1339.0,1339.0,1316.0,1316.0,74701500,16110,6,1330.0,1316.0
2003-03-16,1307.0,1307.0,1302.0,1302.0,68400000,15000,10,1316.0,1302.0
2003-03-17,1302.0,1312.0,1302.0,1312.0,63517008,13897,7,1302.0,1312.0
2003-03-26,1344.0,1344.0,1344.0,1344.0,19759295,4205,6,1312.0,1344.0
2003-04-06,1378.0,1378.0,1378.0,1378.0,17669904,3669,3,1344.0,1378.0
2003-04-07,1412.0,1412.0,1378.0,1378.0,157877816,32131,17,1378.0,1378.0
2003-04-08,1378.0,1378.0,1359.0,1359.0,22148240,4640,3,1378.0,1359.0
2003-04-09,1359.0,1373.0,1353.0,1373.0,175590706,37029,15,1359.0,1373.0
2003-04-12,1401.0,1402.0,1373.0,1373.0,898977720,183531,35,1373.0,1373.0
2003-04-13,1359.0,1359.0,1359.0,1359.0,18444250,3883,3,1373.0,1359.0
2003-04-14,1359.0,1373.0,1359.0,1359.0,12495000,2620,4,1359.0,1359.0
2003-04-15,1359.0,1359.0,1344.0,1344.0,12259550,2601,3,1359.0,1344.0
2003-04-16,1344.0,1344.0,1344.0,1344.0,18800000,4000,1,1344.0,1344.0
2003-04-19,1345.0,1345.0,1339.0,1339.0,7041000,1500,2,1344.0,1339.0
2003-04-20,1316.0,1316.0,1310.0,1310.0,208711762,45529,8,1339.0,1310.0
2003-04-21,1308.0,1308.0,1306.0,1306.0,41130295,9000,8,1310.0,1306.0
2003-04-30,1373.0,1373.0,1344.0,1359.0,162747200,34139,17,1306.0,1359.0
2003-05-03,1344.0,1344.0,1340.0,1340.0,73052510,15560,12,1359.0,1340.0
2003-05-04,1336.0,1336.0,1335.0,1335.0,9337000,2000,2,1340.0,1335.0
2003-05-05,1302.0,1302.0,1302.0,1302.0,10016600,2200,5,1335.0,1302.0
2003-05-06,1270.0,1302.0,1270.0,1302.0,134957780,30240,15,1302.0,1302.0
2003-05-07,1302.0,1302.0,1302.0,1302.0,2276000,500,1,1302.0,1302.0
2003-05-10,1303.0,1334.0,1303.0,1334.0,34046492,7307,5,1302.0,1334.0
2003-05-11,1334.0,1334.0,1318.0,1334.0,138140849,29640,25,1334.0,1334.0
2003-05-12,1334.0,1334.0,1306.0,1306.0,32450000,7000,6,1334.0,1306.0
2003-05-13,1303.0,1303.0,1287.0,1287.0,9683250,2150,4,1306.0,1287.0
2003-05-14,1305.0,1352.0,1285.0,1352.0,210299076,45639,30,1287.0,1352.0
2003-05-17,1351.0,1351.0,1351.0,1351.0,2974860,630,1,1352.0,1351.0
2003-05-21,1317.0,1317.0,1317.0,1317.0,16896680,3670,3,1351.0,1317.0
2003-05-25,1314.0,1314.0,1287.0,1287.0,15281682,3389,3,1317.0,1287.0
2003-05-26,1287.0,1317.0,1287.0,1317.0,36569815,8085,10,1287.0,1317.0
2003-05-27,1319.0,1319.0,1319.0,1319.0,9220000,2000,1,1317.0,1319.0
2003-05-28,1316.0,1316.0,1316.0,1316.0,114996484,25000,14,1319.0,1316.0
2003-05-31,1316.0,1344.0,1316.0,1344.0,191063600,40841,11,1316.0,1344.0
2003-06-02,1345.0,1345.0,1345.0,1345.0,1438506,306,1,1344.0,1345.0
2003-06-03,1288.0,1316.0,1287.0,1296.0,193021000,42400,11,1345.0,1296.0
2003-06-07,1296.0,1296.0,1296.0,1296.0,78011130,17221,4,1296.0,1296.0
2003-06-08,1287.0,1287.0,1287.0,1287.0,73926000,16428,9,1296.0,1287.0
2003-06-09,1302.0,1316.0,1287.0,1316.0,259935912,57200,13,1287.0,1316.0
2003-06-10,1344.0,1373.0,1344.0,1344.0,408168100,86283,18,1316.0,1344.0
2003-06-11,1373.0,1373.0,1319.0,1373.0,247933282,52118,21,1344.0,1373.0
2003-06-15,1319.0,1319.0,1319.0,1319.0,9220000,2000,3,1373.0,1319.0
2003-06-16,1359.0,1363.0,1319.0,1363.0,122709162,25801,12,1319.0,1363.0
2003-07-14,1430.0,1430.0,1430.0,1430.0,50000000,10000,4,1363.0,1430.0
2003-07-15,1502.0,1502.0,1502.0,1502.0,126399000,24076,7,1430.0,1502.0
2003-07-16,1545.0,1545.0,1545.0,1545.0,90464142,16751,9,1502.0,1545.0
