date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-11-28,366667.0,366667.0,366667.0,366667.0,58600000000,293000,30,366667.0,366667.0
2020-11-29,366667.0,366667.0,366667.0,366667.0,21400000000,107000,19,366667.0,366667.0
2021-06-30,365933.0,365933.0,365933.0,365933.0,199600000,1000,1,366667.0,365933.0
2021-12-12,351296.0,351296.0,351296.0,351296.0,191616000,1000,1,365933.0,351296.0
2021-12-19,337245.0,337245.0,337245.0,337245.0,367904000,2000,1,351296.0,337245.0
2021-12-26,348333.0,348333.0,348333.0,348333.0,190000000,1000,1,337245.0,348333.0
2021-12-27,383167.0,383167.0,383167.0,383167.0,209000000,1000,1,348333.0,383167.0
2021-12-29,421483.0,421483.0,421483.0,421483.0,1310430000,5700,5,383167.0,421483.0
2022-01-01,463632.0,463632.0,440000.0,443938.0,1452890000,6000,6,421483.0,440000.0
2022-01-03,440000.0,440000.0,440000.0,440000.0,960000000,4000,3,443938.0,440000.0
2022-12-04,422400.0,422400.0,422400.0,422400.0,422400000,1000,1,440000.0,422400.0
