date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,16801.0,16801.0,16801.0,16801.0,3500000,500,1,16801.0,16801.0
2001-03-27,16801.0,16801.0,16801.0,16801.0,10500000,1500,1,16801.0,16801.0
2001-03-28,16600.0,16801.0,16322.0,16801.0,71166300,10326,9,16801.0,16801.0
2001-03-31,16801.0,16801.0,16801.0,16801.0,21000000,3000,2,16801.0,16801.0
2001-04-08,16801.0,16804.0,16801.0,16804.0,206437500,29491,16,16801.0,16804.0
2001-04-09,16920.0,16920.0,16920.0,16920.0,1551000,220,1,16804.0,16920.0
2001-04-10,17161.0,17221.0,17161.0,17221.0,30421750,4250,6,16920.0,17221.0
2001-04-11,17253.0,17285.0,17253.0,17280.0,14552908,2021,4,17221.0,17280.0
2001-04-14,17521.0,17521.0,17521.0,17521.0,14600000,2000,2,17280.0,17521.0
2001-04-15,17762.0,17779.0,17762.0,17762.0,51821887,7000,6,17521.0,17762.0
2001-04-17,18038.0,18398.0,18000.0,18398.0,148776900,19460,11,17762.0,18398.0
2001-04-18,18482.0,18482.0,18482.0,18482.0,15400000,2000,8,18398.0,18482.0
2001-04-21,18842.0,18842.0,18842.0,18842.0,15660750,1995,2,18482.0,18842.0
2001-04-22,18852.0,19202.0,18852.0,19202.0,106504900,13339,16,18842.0,19202.0
2001-04-23,19368.0,19800.0,19368.0,19800.0,46475000,5700,9,19202.0,19800.0
2001-04-24,19922.0,19924.0,19922.0,19922.0,48970179,5900,8,19800.0,19922.0
2001-04-25,20160.0,20160.0,20160.0,20160.0,41546400,4946,7,19922.0,20160.0
2001-04-28,20401.0,20401.0,20401.0,20401.0,518500000,61000,23,20160.0,20401.0
2001-04-29,20210.0,20257.0,20160.0,20257.0,396183020,47000,21,20401.0,20257.0
2001-04-30,20153.0,20160.0,20153.0,20160.0,146958628,17500,11,20257.0,20160.0
2001-05-01,20160.0,20160.0,20038.0,20041.0,17856570,2135,6,20160.0,20041.0
2001-05-05,19847.0,19847.0,19847.0,19847.0,1240350,150,1,20041.0,19847.0
2001-05-09,18961.0,19743.0,18961.0,19681.0,225542563,28250,25,19847.0,19681.0
2001-05-12,18961.0,19202.0,18961.0,19202.0,91050000,11500,10,19681.0,19202.0
2001-05-13,18966.0,19202.0,18842.0,19202.0,138176890,17380,11,19202.0,19202.0
2001-05-15,18969.0,19202.0,18966.0,19202.0,158800500,19996,19,19202.0,19202.0
2001-05-16,19202.0,19204.0,19202.0,19202.0,138785000,17348,16,19202.0,19202.0
2001-05-19,19199.0,19204.0,19199.0,19202.0,110600475,13825,12,19202.0,19202.0
2001-05-20,19209.0,19440.0,19209.0,19440.0,59388200,7362,7,19202.0,19440.0
2001-05-21,19800.0,20041.0,19440.0,20041.0,167499000,20188,21,19440.0,20041.0
2001-05-23,20160.0,20401.0,20041.0,20401.0,49162500,5800,9,20041.0,20401.0
2001-05-26,20426.0,20433.0,20401.0,20401.0,37722900,4434,7,20401.0,20401.0
2001-05-27,20401.0,20401.0,20160.0,20160.0,25625000,3050,2,20401.0,20160.0
2001-05-28,20163.0,20401.0,20163.0,20401.0,25396790,3000,7,20160.0,20401.0
2001-05-29,20401.0,20401.0,20173.0,20173.0,2905050,343,2,20401.0,20173.0
2001-06-02,19924.0,19924.0,19922.0,19922.0,42987700,5179,7,20173.0,19922.0
2001-06-03,19922.0,19922.0,19800.0,19803.0,40500400,4900,6,19922.0,19803.0
2001-06-06,19681.0,19922.0,19681.0,19718.0,369560610,44913,42,19803.0,19718.0
2001-06-09,19718.0,19718.0,19202.0,19718.0,1269091080,158362,38,19718.0,19718.0
2001-06-11,19718.0,19718.0,19324.0,19718.0,186158769,22892,23,19718.0,19718.0
2001-06-12,19713.0,19713.0,19713.0,19713.0,2053250,250,1,19718.0,19713.0
2001-06-13,19716.0,19718.0,19706.0,19718.0,104330695,12702,13,19713.0,19718.0
2001-06-16,19716.0,20138.0,19679.0,20138.0,102191080,12388,21,19718.0,20138.0
2001-06-17,20110.0,20379.0,20110.0,20379.0,109375830,13000,14,20138.0,20379.0
2001-06-18,20329.0,20379.0,20329.0,20379.0,91962100,10850,13,20379.0,20379.0
2001-06-19,20339.0,20379.0,20041.0,20379.0,268878995,31742,24,20379.0,20379.0
2001-06-20,20379.0,20523.0,20379.0,20523.0,104279470,12203,18,20379.0,20523.0
2001-06-23,20523.0,20642.0,20523.0,20642.0,51550000,6000,7,20523.0,20642.0
2001-06-24,20642.0,20642.0,20639.0,20642.0,617024900,71750,38,20642.0,20642.0
2001-06-25,20642.0,20642.0,20637.0,20637.0,328920476,38250,25,20642.0,20637.0
2001-06-26,20637.0,20637.0,20617.0,20617.0,20320289,2365,6,20637.0,20617.0
2001-06-27,20595.0,20595.0,20590.0,20595.0,197489930,23020,19,20617.0,20595.0
2001-07-29,17765.0,18000.0,17762.0,18000.0,72737109,9809,11,20595.0,18000.0
