date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-12-12,986.0,986.0,986.0,986.0,360000000000,720000000,9920,1973.0,986.0
2023-03-15,1381.0,1381.0,1381.0,1381.0,159352972800,113823552,7859,986.0,1381.0
2023-03-18,1422.0,1422.0,1422.0,1422.0,22794469796,15807538,278,1381.0,1422.0
2023-03-19,1465.0,1465.0,1465.0,1425.0,1303681500,877900,28,1422.0,1465.0
2023-03-25,1468.0,1468.0,1468.0,1430.0,2176762464,1462878,52,1425.0,1468.0
2023-03-26,1473.0,1473.0,1473.0,1433.0,1294431000,867000,28,1430.0,1473.0
2023-03-27,1476.0,1476.0,1476.0,1438.0,2214000712,1479947,53,1433.0,1476.0
2023-03-28,1481.0,1481.0,1481.0,1442.0,2058879672,1371672,38,1438.0,1481.0
2023-03-29,1485.0,1485.0,1485.0,1467.0,12108623485,8045597,182,1442.0,1485.0
2023-04-03,1510.0,1510.0,1510.0,1469.0,876130060,572260,21,1467.0,1510.0
2023-04-04,1512.0,1512.0,1512.0,1473.0,1688039955,1101135,31,1469.0,1512.0
2023-04-05,1516.0,1516.0,1516.0,1477.0,1734404595,1128435,38,1473.0,1516.0
2023-04-08,1520.0,1520.0,1520.0,1482.0,2549932766,1654726,49,1477.0,1520.0
2023-04-09,1526.0,1526.0,1526.0,1486.0,2257846500,1459500,39,1482.0,1526.0
2023-04-10,1531.0,1531.0,1531.0,1487.0,302640000,195000,6,1486.0,1531.0
2023-04-11,1532.0,1532.0,1532.0,1489.0,1061696026,683642,23,1487.0,1532.0
2023-04-15,1534.0,1534.0,1534.0,1493.0,1710500000,1100000,32,1489.0,1534.0
2023-04-16,1538.0,1538.0,1538.0,1498.0,2149672361,1378879,36,1493.0,1538.0
2023-04-17,1543.0,1543.0,1543.0,1502.0,1616655188,1033667,27,1498.0,1543.0
2023-04-18,1547.0,1547.0,1547.0,1506.0,1620606400,1033550,32,1502.0,1547.0
2023-04-19,1551.0,1551.0,1551.0,1509.0,1288664292,819761,23,1506.0,1551.0
2023-04-24,1554.0,1554.0,1554.0,1511.0,951248025,603967,19,1509.0,1554.0
2023-04-25,1556.0,1556.0,1556.0,1556.0,947699727,600951,16,1511.0,1556.0
2023-04-26,1602.0,1602.0,1602.0,1602.0,657994456,405169,11,1556.0,1602.0
2023-05-01,1649.0,1649.0,1649.0,1649.0,1170400000,700000,19,1602.0,1649.0
2023-05-03,1699.0,1699.0,1699.0,1699.0,1970629248,1144384,25,1649.0,1699.0
2023-05-07,1749.0,1749.0,1749.0,1749.0,1874750697,1057389,48,1699.0,1749.0
2023-05-08,1801.0,1801.0,1801.0,1801.0,3638860104,1992804,81,1749.0,1801.0
2023-05-09,1854.0,1854.0,1854.0,1854.0,2131145440,1133588,31,1801.0,1854.0
2023-05-10,1910.0,1910.0,1910.0,1910.0,1937963104,1001014,31,1854.0,1910.0
2023-05-13,1967.0,1967.0,1967.0,1967.0,3381349428,1695762,47,1910.0,1967.0
2023-05-14,2025.0,2025.0,2025.0,2025.0,2386530380,1162460,31,1967.0,2025.0
2023-05-15,2085.0,2085.0,2085.0,2085.0,2671616122,1263773,38,2025.0,2085.0
2023-05-17,2147.0,2147.0,2147.0,2147.0,2650793572,1217636,34,2085.0,2147.0
2023-05-20,2211.0,2211.0,2211.0,2211.0,7647419402,3410981,91,2147.0,2211.0
2023-05-21,2278.0,2278.0,2278.0,2278.0,2117650861,917129,23,2211.0,2278.0
2023-05-22,2346.0,2346.0,2346.0,2346.0,2623026742,1103039,33,2278.0,2346.0
2023-05-23,2416.0,2416.0,2346.0,2416.0,126501467712,51657888,1134,2346.0,2416.0
2023-05-24,2488.0,2488.0,2488.0,2439.0,7727362604,3063982,85,2416.0,2488.0
2023-05-27,2512.0,2512.0,2512.0,2454.0,4245849000,1667000,44,2439.0,2512.0
2023-05-28,3235.0,3332.0,3139.0,3201.0,589586927493,181705918,3078,2454.0,3139.0
2023-05-29,3106.0,3254.0,3105.0,3118.0,405475249523,128264244,2883,3201.0,3105.0
2023-06-11,2978.0,3026.0,2889.0,2973.0,60352895682,20148892,364,3118.0,2978.0
2023-06-12,2885.0,2944.0,2885.0,2885.0,267365266389,91999546,2032,2973.0,2885.0
2023-06-13,2799.0,2971.0,2799.0,2958.0,65099214401,21842295,609,2885.0,2971.0
2023-06-14,3047.0,3047.0,3045.0,3047.0,67012507945,21835405,487,2958.0,3047.0
2023-06-17,3138.0,3138.0,3138.0,3138.0,51256955264,16215424,360,3047.0,3138.0
2023-06-18,3231.0,3231.0,3231.0,3231.0,50531726700,15524340,336,3138.0,3231.0
2023-06-19,3327.0,3327.0,3327.0,3327.0,45668868128,13624364,167,3231.0,3327.0
2023-06-20,3427.0,3427.0,3427.0,3427.0,41104313732,11907391,155,3327.0,3427.0
2023-06-21,3529.0,3529.0,3529.0,3529.0,41641940430,11713626,156,3427.0,3529.0
2023-06-24,3634.0,3634.0,3634.0,3634.0,22284829168,6087088,80,3529.0,3634.0
2023-06-25,3742.0,3742.0,3742.0,3742.0,22381656830,5936779,88,3634.0,3742.0
2023-06-26,3855.0,3855.0,3855.0,3855.0,22897154027,5896769,86,3742.0,3855.0
2023-06-27,3970.0,3970.0,3768.0,3938.0,576022564159,145194127,3622,3855.0,3951.0
2023-07-03,4020.0,4056.0,3873.0,4009.0,115480695669,28593047,778,3938.0,3913.0
2023-07-04,3889.0,3890.0,3889.0,3889.0,61672431232,15740660,353,4009.0,3889.0
2023-07-05,3773.0,3773.0,3773.0,3773.0,36950205180,9721180,203,3889.0,3773.0
2023-07-08,3732.0,3886.0,3732.0,3860.0,152737806581,39286695,867,3773.0,3886.0
2023-07-09,3974.0,3975.0,3793.0,3950.0,102158329566,25672902,768,3860.0,3843.0
2023-07-10,3833.0,3941.0,3832.0,3834.0,76727859846,19868129,577,3950.0,3835.0
2023-07-11,3822.0,3862.0,3720.0,3725.0,72247377495,19255506,382,3834.0,3720.0
2023-07-12,3613.0,3613.0,3613.0,3613.0,46549568520,12788343,171,3725.0,3613.0
2023-07-15,3539.0,3613.0,3505.0,3509.0,63446264293,17945913,381,3613.0,3505.0
2023-07-16,3404.0,3573.0,3404.0,3404.0,31609691121,9217845,164,3509.0,3404.0
2023-07-17,3304.0,3308.0,3303.0,3303.0,110379529222,33176313,549,3404.0,3303.0
2023-07-18,3310.0,3399.0,3278.0,3358.0,22918083979,6775100,150,3303.0,3283.0
2023-07-19,3262.0,3338.0,3258.0,3259.0,46756462212,14240032,347,3358.0,3258.0
2023-07-22,3162.0,3264.0,3162.0,3163.0,79203842317,24863859,329,3259.0,3162.0
2023-07-23,3206.0,3206.0,3077.0,3117.0,4355995036,1387377,77,3163.0,3157.0
2023-07-24,3206.0,3210.0,3097.0,3195.0,46288570480,14381512,329,3117.0,3168.0
2023-07-25,3196.0,3259.0,3101.0,3167.0,27930788020,8755321,209,3195.0,3101.0
