date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-01-19,489.0,489.0,489.0,489.0,198000000000,15000000,15727,37.0,489.0
2016-01-20,514.0,514.0,514.0,514.0,354039840,25544,94,489.0,514.0
2016-01-23,540.0,540.0,540.0,540.0,3708511884,254828,463,514.0,540.0
2016-01-24,567.0,567.0,567.0,567.0,6497285200,425215,1057,540.0,567.0
2016-01-25,595.0,595.0,595.0,595.0,12825300852,799383,1615,567.0,595.0
2016-01-26,625.0,625.0,612.0,625.0,87847030263,5215331,8159,595.0,625.0
2016-01-27,624.0,641.0,614.0,623.0,78750411791,4685425,9015,625.0,625.0
2016-01-30,611.0,619.0,597.0,608.0,21465418506,1308868,2235,623.0,604.0
2016-01-31,597.0,628.0,597.0,614.0,20813994066,1256459,1733,608.0,628.0
2016-02-01,623.0,645.0,623.0,640.0,17464856813,1012591,1046,614.0,645.0
2016-02-02,668.0,671.0,657.0,671.0,48099894576,2659612,1441,640.0,667.0
2016-02-03,660.0,682.0,649.0,668.0,7625168732,423212,492,671.0,673.0
2016-02-06,649.0,686.0,649.0,675.0,10401417162,571054,482,668.0,674.0
2016-02-07,660.0,700.0,660.0,684.0,18620368929,1009995,603,675.0,675.0
2016-02-08,668.0,716.0,668.0,689.0,23491340242,1263225,911,684.0,712.0
2016-02-09,704.0,724.0,704.0,722.0,22500926210,1155371,626,689.0,710.0
2016-02-10,724.0,747.0,716.0,737.0,21706336899,1092111,691,722.0,742.0
2016-02-13,753.0,760.0,723.0,741.0,13892003376,695365,437,737.0,740.0
2016-02-14,744.0,751.0,744.0,748.0,8666264207,429685,255,741.0,745.0
2016-02-15,753.0,785.0,752.0,779.0,17744936522,844224,923,748.0,785.0
2016-02-16,797.0,808.0,785.0,788.0,14059638943,661651,417,779.0,790.0
2016-02-17,792.0,793.0,791.0,792.0,9829690583,460313,399,788.0,792.0
2016-02-20,801.0,808.0,795.0,796.0,17739937260,826392,479,792.0,796.0
2016-02-21,800.0,803.0,756.0,797.0,16356941586,761386,349,796.0,760.0
2016-02-22,800.0,812.0,797.0,802.0,5710647810,264159,290,797.0,804.0
2016-02-23,816.0,816.0,779.0,789.0,14697845782,690526,313,802.0,779.0
2016-02-24,773.0,779.0,773.0,774.0,2240862471,107319,140,789.0,775.0
2016-02-27,774.0,795.0,764.0,772.0,3032077387,145677,86,774.0,766.0
2016-02-28,766.0,766.0,733.0,744.0,13621370779,678983,378,772.0,736.0
2016-02-29,732.0,732.0,714.0,721.0,4614858703,237219,199,744.0,714.0
2016-03-01,709.0,709.0,705.0,707.0,3051380763,160003,153,721.0,709.0
2016-03-02,706.0,742.0,697.0,710.0,1901322585,99270,90,707.0,708.0
2016-03-05,723.0,742.0,708.0,723.0,864889988,44368,73,710.0,716.0
2016-03-06,716.0,734.0,710.0,719.0,1007301794,51968,86,723.0,710.0
