date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-02-05,392.0,402.0,376.0,390.0,13193077279,1814511,334,54.0,379.0
2019-02-06,370.0,375.0,370.0,370.0,7362131258,1065641,248,390.0,370.0
2019-02-10,352.0,352.0,352.0,352.0,15742191768,2398262,227,370.0,352.0
2019-02-12,334.0,344.0,334.0,336.0,34813232147,5550876,1015,352.0,334.0
2019-02-13,336.0,345.0,324.0,340.0,6711458013,1057157,389,336.0,343.0
2019-02-16,346.0,347.0,327.0,334.0,7811992044,1253892,328,340.0,332.0
2019-02-17,327.0,342.0,317.0,328.0,13696686217,2236084,647,334.0,335.0
2019-02-18,338.0,341.0,328.0,332.0,3598575047,580360,186,328.0,329.0
2019-02-19,332.0,349.0,330.0,345.0,11332917574,1758754,259,332.0,349.0
2019-02-20,357.0,363.0,345.0,360.0,11339369396,1688391,439,345.0,363.0
2019-02-23,375.0,378.0,368.0,377.0,8197833029,1166600,146,360.0,378.0
2019-02-24,395.0,395.0,395.0,395.0,9808260580,1329410,205,377.0,395.0
2019-02-25,415.0,415.0,415.0,415.0,8599496502,1110187,137,395.0,415.0
2019-02-26,436.0,436.0,420.0,433.0,23807767825,2946426,598,415.0,436.0
2019-02-27,455.0,455.0,455.0,455.0,9320420592,1098588,107,433.0,455.0
2019-03-02,477.0,477.0,477.0,475.0,3918255064,439858,70,455.0,477.0
2019-03-03,499.0,499.0,461.0,493.0,88134413089,9586389,1475,475.0,496.0
2019-03-04,488.0,493.0,468.0,474.0,29555602116,3342873,856,493.0,468.0
2019-03-05,461.0,474.0,451.0,461.0,14260540373,1658891,676,474.0,451.0
2019-03-06,453.0,459.0,438.0,442.0,16693956887,2025761,430,461.0,438.0
2019-03-09,464.0,464.0,446.0,459.0,25246066795,2945769,597,442.0,464.0
2019-03-10,477.0,482.0,456.0,469.0,20223573978,2311494,773,459.0,460.0
2019-03-11,462.0,466.0,445.0,454.0,16397185645,1934525,617,469.0,452.0
2019-03-12,446.0,457.0,432.0,437.0,10979528718,1346270,490,454.0,434.0
2019-03-13,429.0,457.0,429.0,453.0,15756893595,1865187,496,437.0,453.0
2019-03-16,450.0,458.0,442.0,447.0,6190587965,742306,482,453.0,445.0
2019-03-17,439.0,449.0,435.0,439.0,7846330072,957388,439,447.0,439.0
2019-03-18,440.0,445.0,430.0,436.0,6180015204,760025,289,439.0,438.0
2019-03-19,449.0,450.0,437.0,445.0,3363314195,403538,193,436.0,447.0
2019-03-25,454.0,454.0,445.0,448.0,3981252786,476228,181,445.0,445.0
2019-03-26,448.0,451.0,442.0,444.0,6591983157,795586,293,448.0,442.0
2019-03-27,446.0,450.0,439.0,444.0,2861340613,345333,218,444.0,444.0
2019-03-30,455.0,455.0,443.0,446.0,5207348073,626243,248,444.0,445.0
2019-03-31,454.0,454.0,441.0,443.0,5449916513,658691,275,446.0,444.0
2019-04-06,447.0,451.0,443.0,446.0,5653353119,678783,264,443.0,446.0
2019-04-07,453.0,453.0,441.0,447.0,6771162009,811039,353,446.0,442.0
2019-04-08,449.0,470.0,438.0,457.0,23001967883,2698971,559,447.0,470.0
2019-04-09,472.0,480.0,464.0,478.0,23651281424,2649490,610,457.0,480.0
2019-04-10,457.0,502.0,457.0,499.0,19773784464,2123873,413,478.0,502.0
2019-04-13,514.0,524.0,501.0,520.0,23801612436,2451902,757,499.0,504.0
2019-04-14,504.0,521.0,494.0,503.0,22524515876,2399548,771,520.0,514.0
2019-04-15,519.0,525.0,512.0,520.0,13996114132,1443560,514,503.0,513.0
2019-04-16,517.0,545.0,510.0,532.0,22947570269,2309707,551,520.0,538.0
2019-04-17,546.0,559.0,546.0,557.0,16395191904,1576225,288,532.0,559.0
2019-04-20,585.0,585.0,585.0,585.0,14594795550,1336275,196,557.0,585.0
2019-04-22,615.0,615.0,610.0,614.0,21699464353,1894562,302,585.0,615.0
2019-04-23,644.0,644.0,615.0,642.0,38881809648,3245698,497,614.0,644.0
2019-04-24,670.0,670.0,665.0,669.0,6163606633,493850,88,642.0,669.0
2019-04-27,702.0,737.0,702.0,731.0,25707053178,1883831,222,669.0,737.0
2019-04-28,768.0,768.0,768.0,768.0,8694330696,606807,128,731.0,768.0
2019-04-29,806.0,806.0,729.0,797.0,127948808717,8600425,1461,768.0,806.0
2019-04-30,837.0,837.0,764.0,820.0,75348427065,4925640,1666,797.0,780.0
2019-05-01,779.0,831.0,779.0,790.0,67245844950,4561392,1154,820.0,785.0
2019-05-04,804.0,830.0,773.0,817.0,42999045139,2819148,858,790.0,826.0
2019-05-05,826.0,831.0,777.0,794.0,39994905723,2699909,987,817.0,788.0
2019-05-06,801.0,801.0,754.0,757.0,21308626588,1508379,435,794.0,754.0
2019-05-07,724.0,754.0,719.0,723.0,14999309986,1111695,237,757.0,719.0
2019-05-08,687.0,750.0,687.0,699.0,49605021691,3803081,1014,723.0,723.0
2019-05-11,733.0,734.0,691.0,724.0,33834021021,2504944,646,699.0,713.0
2019-05-12,739.0,744.0,689.0,698.0,23807679768,1826996,498,724.0,697.0
2019-05-13,697.0,733.0,697.0,731.0,24545339336,1799743,338,698.0,733.0
2019-05-14,767.0,767.0,730.0,766.0,15664716602,1096014,227,731.0,767.0
2019-05-15,804.0,804.0,785.0,802.0,45179327863,3020236,805,766.0,804.0
2019-05-18,842.0,842.0,829.0,841.0,36304602843,2313024,532,802.0,842.0
2019-05-19,883.0,883.0,874.0,883.0,66551405043,4038573,692,841.0,883.0
2019-05-20,927.0,927.0,870.0,921.0,83093779576,4835784,1627,883.0,927.0
2019-05-21,965.0,967.0,912.0,949.0,82430418621,4654733,1940,921.0,963.0
2019-05-22,981.0,983.0,902.0,927.0,83932262760,4850886,1430,949.0,902.0
2019-05-25,881.0,881.0,881.0,881.0,20684583792,1258416,329,927.0,881.0
2019-05-28,927.0,974.0,927.0,953.0,59810150039,3364118,1257,881.0,956.0
2019-05-29,969.0,969.0,906.0,925.0,41875394971,2424961,1226,953.0,912.0
2019-06-01,925.0,936.0,879.0,901.0,38725326226,2302715,913,925.0,898.0
2019-06-02,906.0,932.0,856.0,882.0,32774353492,1992050,850,901.0,893.0
2019-06-03,898.0,898.0,858.0,874.0,20676694890,1267720,671,882.0,883.0
2019-06-08,902.0,906.0,887.0,891.0,17528545846,1054068,616,874.0,890.0
2019-06-09,911.0,936.0,890.0,928.0,30387540711,1754817,762,891.0,936.0
2019-06-10,942.0,949.0,920.0,930.0,19651841374,1132674,471,928.0,926.0
2019-06-11,922.0,922.0,884.0,899.0,15334986632,914535,564,930.0,890.0
2019-06-12,911.0,911.0,868.0,884.0,23998614221,1454817,722,899.0,874.0
2019-06-15,847.0,857.0,840.0,844.0,18566846144,1178627,568,884.0,844.0
2019-06-16,857.0,878.0,815.0,851.0,18766365569,1182385,509,844.0,851.0
2019-06-17,820.0,878.0,820.0,862.0,19042229991,1183581,493,851.0,878.0
2019-06-18,879.0,879.0,819.0,855.0,20122414652,1260598,494,862.0,857.0
2019-06-19,819.0,852.0,813.0,820.0,37177963146,2430925,623,855.0,821.0
2019-06-22,804.0,830.0,783.0,808.0,30077049846,1995459,701,820.0,812.0
2019-07-02,848.0,848.0,848.0,848.0,13628823078,1304693,341,808.0,848.0
2019-07-03,891.0,891.0,891.0,891.0,21456906792,1956319,432,848.0,891.0
2019-07-06,935.0,935.0,857.0,891.0,36032054083,3284330,1047,891.0,879.0
2019-07-07,901.0,901.0,855.0,869.0,14743517300,1378045,585,891.0,874.0
2019-07-08,877.0,877.0,830.0,848.0,19043198138,1822255,737,869.0,835.0
2019-07-09,806.0,840.0,806.0,810.0,21270291719,2132197,903,848.0,812.0
2019-07-10,820.0,820.0,771.0,784.0,20530049588,2125367,984,810.0,783.0
2019-07-13,801.0,801.0,755.0,762.0,13965475334,1487692,820,784.0,759.0
2019-07-14,769.0,800.0,769.0,796.0,16859506829,1719072,601,762.0,800.0
2019-07-15,819.0,820.0,784.0,796.0,11094713934,1131822,679,796.0,788.0
2019-07-16,780.0,790.0,756.0,759.0,14917569487,1594708,562,796.0,756.0
2019-07-17,771.0,788.0,759.0,771.0,12047582789,1269516,575,759.0,767.0
2019-07-20,755.0,783.0,732.0,743.0,12717409657,1390445,698,771.0,734.0
2019-07-21,754.0,764.0,714.0,752.0,7268730601,784316,518,743.0,754.0
2019-07-22,771.0,790.0,761.0,783.0,23186101789,2403032,869,752.0,790.0
2019-07-23,812.0,823.0,792.0,812.0,41990573547,4196830,1645,783.0,810.0
2019-07-24,822.0,823.0,801.0,815.0,16541008007,1647775,751,812.0,815.0
2019-07-27,815.0,815.0,790.0,804.0,11134348125,1124158,607,815.0,796.0
2019-07-28,811.0,811.0,775.0,780.0,15089228396,1571069,819,804.0,778.0
2019-07-29,796.0,819.0,780.0,810.0,35259187860,3532172,1067,780.0,819.0
2019-09-01,851.0,894.0,851.0,883.0,8759170281,805842,120,810.0,894.0
