date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-28,23.0,23.0,23.0,23.0,430200,200,1,0.0,23.0
2001-04-11,23.0,23.0,23.0,23.0,24549363,11413,13,23.0,23.0
2001-04-14,23.0,23.0,23.0,23.0,612750,285,1,23.0,23.0
2001-04-17,23.0,23.0,23.0,23.0,2151000,1000,1,23.0,23.0
2001-05-08,24.0,24.0,24.0,24.0,1129000,500,1,23.0,24.0
2001-05-09,24.0,24.0,24.0,24.0,16716600,7400,7,24.0,24.0
2001-05-15,24.0,24.0,24.0,24.0,645525,285,1,24.0,24.0
2001-07-10,26.0,26.0,26.0,26.0,33292000,14000,5,24.0,26.0
2001-08-08,27.0,27.0,27.0,27.0,24383424,9769,11,26.0,27.0
2001-09-04,32.0,36.0,32.0,36.0,6268328,2060,3,27.0,36.0
2001-11-14,38.0,38.0,38.0,38.0,7512312,2136,2,36.0,38.0
2002-03-10,40.0,40.0,40.0,40.0,3700000,1000,1,38.0,40.0
2002-05-25,43.0,47.0,43.0,47.0,127013000,31000,4,40.0,47.0
2002-06-15,49.0,49.0,49.0,49.0,6995187,1527,2,47.0,49.0
2002-06-16,52.0,52.0,52.0,52.0,336623040,69984,57,49.0,52.0
2002-08-28,55.0,55.0,55.0,55.0,184325000,36500,4,52.0,55.0
2002-09-16,57.0,57.0,57.0,57.0,81799256,15428,25,55.0,57.0
2002-09-30,60.0,60.0,57.0,57.0,39177376,7308,9,57.0,57.0
2002-10-01,60.0,60.0,60.0,60.0,4520404,812,1,57.0,60.0
2002-10-07,61.0,61.0,61.0,61.0,13775580,2436,3,60.0,61.0
2002-10-09,65.0,65.0,65.0,65.0,6060000,1000,1,61.0,65.0
2002-10-20,69.0,69.0,69.0,69.0,5166756,812,1,65.0,69.0
2002-10-23,72.0,72.0,72.0,72.0,5424972,812,1,69.0,72.0
2002-10-26,69.0,69.0,69.0,69.0,37393580,5872,8,72.0,69.0
2002-11-06,69.0,69.0,69.0,69.0,16780480,2624,3,69.0,69.0
2002-11-10,69.0,69.0,69.0,69.0,5197612,812,1,69.0,69.0
2002-11-13,70.0,70.0,70.0,70.0,26279568,4060,6,69.0,70.0
2002-11-19,70.0,70.0,70.0,70.0,21112812,3248,4,70.0,70.0
2002-11-26,70.0,70.0,70.0,70.0,21154224,3248,4,70.0,70.0
2002-12-01,71.0,71.0,71.0,71.0,5302360,812,1,70.0,71.0
2002-12-08,71.0,71.0,71.0,71.0,15984280,2436,5,71.0,71.0
2002-12-11,71.0,71.0,71.0,71.0,10690380,1624,3,71.0,71.0
2003-02-05,55.0,55.0,55.0,55.0,5100000,1000,1,71.0,55.0
2003-02-16,55.0,55.0,55.0,55.0,1097790,215,1,55.0,55.0
2003-02-18,55.0,55.0,55.0,55.0,8315692,1624,2,55.0,55.0
2003-02-19,55.0,55.0,55.0,55.0,2032243,397,1,55.0,55.0
2003-02-24,55.0,55.0,55.0,55.0,24978744,4872,6,55.0,55.0
2003-02-25,55.0,55.0,55.0,55.0,16658992,3248,4,55.0,55.0
2003-03-03,55.0,55.0,55.0,55.0,4167996,812,1,55.0,55.0
2003-03-19,56.0,56.0,56.0,56.0,38391570,7403,5,55.0,56.0
2003-04-09,57.0,57.0,57.0,57.0,1496250,285,1,56.0,57.0
2003-04-13,57.0,57.0,57.0,57.0,4265436,812,1,57.0,57.0
2003-04-14,57.0,57.0,57.0,57.0,4280052,812,1,57.0,57.0
2003-04-22,57.0,57.0,57.0,57.0,10237876,1940,3,57.0,57.0
2003-05-03,57.0,57.0,57.0,57.0,4288984,812,1,57.0,57.0
2003-05-10,57.0,57.0,57.0,57.0,4290608,812,1,57.0,57.0
2003-05-11,57.0,57.0,57.0,57.0,4290608,812,1,57.0,57.0
2003-05-14,57.0,57.0,57.0,57.0,127717240,24110,11,57.0,57.0
2003-05-17,60.0,60.0,60.0,60.0,1340063920,241540,78,57.0,60.0
2003-05-18,63.0,63.0,37.0,63.0,2962881290,523558,286,60.0,63.0
2003-05-21,66.0,66.0,66.0,66.0,12232000,2000,2,63.0,66.0
2003-05-24,69.0,69.0,69.0,69.0,16052500,2500,3,66.0,69.0
2003-05-25,73.0,73.0,69.0,73.0,2582109190,385142,143,69.0,73.0
2003-05-26,76.0,76.0,76.0,76.0,321796861,45491,9,73.0,76.0
2003-05-27,76.0,76.0,76.0,76.0,157837167,22321,17,76.0,76.0
2003-05-28,76.0,76.0,76.0,76.0,36659126,5182,6,76.0,76.0
2003-05-31,80.0,80.0,80.0,80.0,34978572,4716,1,76.0,80.0
2003-06-02,76.0,76.0,76.0,76.0,70470000,10000,6,80.0,76.0
2003-06-03,72.0,72.0,72.0,72.0,13102115,1957,8,76.0,72.0
2003-06-07,72.0,72.0,69.0,69.0,9486274,1470,4,72.0,69.0
2003-06-08,65.0,65.0,65.0,65.0,6434730,1065,2,69.0,65.0
2003-06-09,65.0,65.0,65.0,65.0,5147784,852,2,65.0,65.0
2003-06-10,65.0,65.0,65.0,65.0,4906104,812,1,65.0,65.0
2003-06-11,62.0,62.0,62.0,62.0,47888820,8343,13,65.0,62.0
2003-06-14,65.0,65.0,59.0,59.0,48578368,8242,7,62.0,59.0
2003-06-15,59.0,59.0,59.0,59.0,71225400,13012,7,59.0,59.0
2003-06-18,60.0,62.0,60.0,60.0,23414026,4185,5,59.0,60.0
2003-06-21,62.0,62.0,59.0,59.0,19183000,3436,4,60.0,59.0
2003-06-22,59.0,59.0,59.0,59.0,33000000,6000,1,59.0,59.0
2003-06-23,59.0,59.0,59.0,59.0,4466000,812,1,59.0,59.0
2003-06-25,59.0,59.0,59.0,59.0,4466000,812,1,59.0,59.0
2003-06-28,59.0,59.0,59.0,59.0,4466000,812,1,59.0,59.0
2003-06-29,59.0,59.0,59.0,59.0,23166000,4212,3,59.0,59.0
2003-07-02,59.0,59.0,59.0,59.0,57227500,10405,3,59.0,59.0
2003-07-07,59.0,59.0,59.0,59.0,15950000,2900,3,59.0,59.0
2003-07-09,62.0,62.0,62.0,62.0,5750000,1000,1,59.0,62.0
2003-07-12,62.0,65.0,62.0,65.0,120460000,20000,4,62.0,65.0
2003-07-13,68.0,68.0,68.0,68.0,31690000,5000,1,65.0,68.0
2003-07-14,72.0,72.0,72.0,72.0,206307270,31005,4,68.0,72.0
2003-07-15,72.0,73.0,68.0,68.0,143176593,21551,10,72.0,68.0
2003-07-16,68.0,68.0,68.0,68.0,132759000,21000,4,68.0,68.0
2003-07-21,65.0,65.0,65.0,65.0,9009000,1500,2,68.0,65.0
2003-07-22,62.0,62.0,62.0,62.0,5706000,1000,1,65.0,62.0
2003-07-23,59.0,59.0,59.0,59.0,5808800,1060,2,62.0,59.0
2003-07-26,62.0,62.0,60.0,60.0,9611000,1700,3,59.0,60.0
2003-07-28,62.0,62.0,62.0,62.0,8677500,1500,1,60.0,62.0
2003-07-29,66.0,66.0,66.0,66.0,9111000,1500,4,62.0,66.0
2003-07-30,66.0,66.0,66.0,66.0,607500,100,1,66.0,66.0
2003-09-07,43.0,43.0,27.0,30.0,39115097,13936,6,66.0,30.0
2003-09-09,32.0,32.0,32.0,32.0,65128700,22100,9,30.0,32.0
2003-09-13,32.0,32.0,32.0,32.0,120713095,40947,22,32.0,32.0
2003-09-14,31.0,32.0,31.0,32.0,2950730,1035,2,32.0,32.0
2003-09-17,33.0,33.0,33.0,33.0,7765490,2510,2,32.0,33.0
2003-09-20,31.0,31.0,31.0,31.0,10530595,3635,2,33.0,31.0
2003-09-21,30.0,30.0,30.0,30.0,9993390,3630,1,31.0,30.0
2003-09-29,30.0,30.0,30.0,30.0,5015144,1822,5,30.0,30.0
2003-10-04,30.0,30.0,30.0,30.0,1100800,400,1,30.0,30.0
2003-10-06,31.0,31.0,30.0,30.0,316450,110,2,30.0,30.0
2003-10-07,31.0,31.0,30.0,30.0,2374530,822,2,30.0,30.0
2003-10-08,31.0,31.0,31.0,31.0,10400400,3600,1,30.0,31.0
2003-10-14,33.0,33.0,32.0,32.0,8156190,2710,3,31.0,32.0
2003-10-18,31.0,31.0,31.0,31.0,11737460,4060,5,32.0,31.0
2003-10-19,33.0,33.0,33.0,33.0,103020000,34000,4,31.0,33.0
2003-10-20,31.0,31.0,31.0,31.0,12916988,4468,3,33.0,31.0
2003-11-11,32.0,33.0,32.0,33.0,21094690,7010,4,31.0,33.0
2003-11-15,33.0,33.0,33.0,33.0,4918330,1634,3,33.0,33.0
2003-11-17,33.0,33.0,33.0,33.0,9027000,3000,1,33.0,33.0
2003-11-18,33.0,33.0,33.0,33.0,1504500,500,1,33.0,33.0
2003-11-19,31.0,31.0,31.0,31.0,14445000,5000,1,33.0,31.0
2003-11-22,27.0,27.0,27.0,27.0,8242500,3297,2,31.0,27.0
2003-12-06,27.0,27.0,27.0,27.0,700810,280,2,27.0,27.0
2003-12-07,27.0,27.0,27.0,27.0,22048147,8812,3,27.0,27.0
2003-12-08,27.0,27.0,27.0,27.0,40048000,16000,3,27.0,27.0
2003-12-13,27.0,27.0,27.0,27.0,1086302,434,2,27.0,27.0
2003-12-14,27.0,27.0,27.0,27.0,916098,366,1,27.0,27.0
2003-12-22,27.0,27.0,27.0,27.0,529030,210,2,27.0,27.0
2003-12-23,27.0,27.0,27.0,27.0,86940000,34500,6,27.0,27.0
2003-12-24,27.0,27.0,27.0,27.0,2046240,812,1,27.0,27.0
2004-01-12,27.0,27.0,27.0,27.0,7567150,3010,4,27.0,27.0
2004-01-13,27.0,27.0,27.0,27.0,5030000,2000,3,27.0,27.0
2004-01-14,27.0,27.0,27.0,27.0,1994395,793,1,27.0,27.0
2004-01-27,22.0,22.0,22.0,22.0,4030000,2000,1,27.0,22.0
