date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-06-01,3761.0,3761.0,2616.0,3070.0,504044718020,34300000,127,209.0,2616.0
2022-06-06,3222.0,3222.0,3222.0,3161.0,9467864580,613999,42,3070.0,3222.0
2022-06-07,3318.0,3318.0,3318.0,3318.0,198376104240,12492198,761,3161.0,3318.0
2022-06-08,3483.0,3483.0,3324.0,3477.0,429852915550,25828668,2855,3318.0,3483.0
2022-06-11,3529.0,3644.0,3387.0,3537.0,326517458020,19283695,3784,3477.0,3427.0
2022-06-12,3466.0,3466.0,3362.0,3368.0,99269750490,6156780,1211,3537.0,3362.0
2022-06-13,3341.0,3385.0,3201.0,3259.0,130688691440,8377081,2021,3368.0,3234.0
2022-06-14,3218.0,3422.0,3205.0,3358.0,101441476180,6311372,1524,3259.0,3364.0
2022-06-15,3393.0,3525.0,3261.0,3500.0,77239856670,4610611,806,3358.0,3525.0
2022-06-18,3612.0,3612.0,3326.0,3418.0,76499215870,4675604,999,3500.0,3330.0
2022-06-19,3404.0,3443.0,3289.0,3364.0,21934464510,1362354,460,3418.0,3364.0
2022-06-20,3295.0,3385.0,3197.0,3245.0,60346688500,3886650,603,3364.0,3197.0
2022-06-21,3249.0,3362.0,3245.0,3278.0,27270115650,1738312,349,3245.0,3245.0
2022-06-22,3199.0,3335.0,3134.0,3205.0,21811779530,1421610,317,3278.0,3144.0
2022-06-25,3238.0,3280.0,3046.0,3113.0,28956002150,1943685,372,3205.0,3119.0
2022-06-26,3134.0,3188.0,3082.0,3136.0,18813727630,1253694,233,3113.0,3136.0
2022-06-27,3147.0,3180.0,3080.0,3142.0,15562823100,1034466,221,3136.0,3092.0
2022-06-28,3174.0,3249.0,3144.0,3184.0,8100009370,531439,211,3142.0,3190.0
2022-06-29,3186.0,3343.0,3136.0,3274.0,28315526600,1806883,390,3184.0,3343.0
2022-07-02,3427.0,3427.0,3295.0,3374.0,25488684730,1578373,384,3274.0,3381.0
2022-07-03,3355.0,3416.0,3280.0,3376.0,29691358790,1836952,344,3374.0,3381.0
2022-07-04,3414.0,3431.0,3301.0,3364.0,15224155670,945686,188,3376.0,3343.0
2022-07-05,3408.0,3408.0,3205.0,3266.0,11307888170,723579,149,3364.0,3218.0
2022-07-06,3170.0,3337.0,3165.0,3251.0,5399027490,347005,143,3266.0,3203.0
2022-07-09,3343.0,3343.0,3090.0,3174.0,35515503790,2338632,315,3251.0,3213.0
2022-07-11,3249.0,3270.0,3147.0,3182.0,6868789370,451079,151,3174.0,3174.0
2022-07-12,3082.0,3299.0,3082.0,3144.0,13235252020,879161,178,3182.0,3136.0
2022-07-19,3248.0,3248.0,2990.0,3102.0,80438324610,5469850,270,3144.0,2993.0
2022-07-20,3100.0,3185.0,3037.0,3111.0,27673472690,1875950,239,3102.0,3079.0
2022-07-23,3113.0,3138.0,3024.0,3077.0,10655223520,730266,168,3111.0,3037.0
2022-07-24,3079.0,3098.0,2925.0,2953.0,21149780090,1510433,180,3077.0,2925.0
2022-07-25,2953.0,3016.0,2805.0,2915.0,26642740000,1928397,227,2953.0,2805.0
2022-07-26,2910.0,2993.0,2771.0,2910.0,22960946710,1663398,324,2915.0,2921.0
2022-07-27,2974.0,3005.0,2845.0,2938.0,12850694950,922482,139,2910.0,2851.0
2022-07-30,2858.0,3056.0,2792.0,2830.0,30902918660,2302176,254,2938.0,2792.0
2022-07-31,2784.0,2784.0,2689.0,2710.0,4936667520,384220,80,2830.0,2689.0
2022-08-01,2626.0,2845.0,2575.0,2765.0,59050750570,4504428,426,2710.0,2845.0
2022-08-02,2896.0,2902.0,2809.0,2900.0,57860620250,4207184,332,2765.0,2902.0
2022-08-03,3043.0,3043.0,2984.0,3043.0,76059191090,5271136,208,2900.0,3043.0
2022-08-06,3195.0,3195.0,3195.0,3195.0,50253186300,3317042,116,3043.0,3195.0
2022-08-09,3353.0,3353.0,3305.0,3353.0,159490337110,10032232,944,3195.0,3353.0
2022-08-10,3518.0,3520.0,3406.0,3516.0,236150314600,14167695,2699,3353.0,3520.0
2022-08-13,3585.0,3691.0,3353.0,3592.0,181893023100,10683420,3237,3516.0,3469.0
2022-08-14,3412.0,3412.0,3412.0,3412.0,37009824580,2287381,269,3592.0,3412.0
2022-08-15,3290.0,3478.0,3258.0,3351.0,137704432650,8665176,2208,3412.0,3374.0
2022-08-16,3383.0,3412.0,3185.0,3218.0,127524925510,8357569,1965,3351.0,3286.0
2022-08-17,3353.0,3379.0,3290.0,3376.0,114689545990,7161856,1352,3218.0,3379.0
2022-08-20,3374.0,3427.0,3208.0,3290.0,67581815230,4332325,1099,3376.0,3208.0
2022-08-21,3237.0,3282.0,3125.0,3187.0,64336239380,4258009,1766,3290.0,3193.0
2022-08-22,3166.0,3239.0,3037.0,3111.0,45666489350,3095331,974,3187.0,3045.0
2022-08-23,3138.0,3222.0,2986.0,3136.0,50889606110,3422824,1202,3111.0,3187.0
2022-08-24,3163.0,3241.0,3149.0,3191.0,23577267230,1558245,550,3136.0,3176.0
2022-08-27,3208.0,3222.0,3033.0,3060.0,84571373250,5829455,1562,3191.0,3033.0
2022-08-28,3100.0,3212.0,3058.0,3203.0,88236954920,5810440,1111,3060.0,3212.0
2022-08-29,3231.0,3254.0,3045.0,3096.0,55557926180,3785319,1117,3203.0,3064.0
2022-08-30,3083.0,3132.0,2997.0,3052.0,21329852480,1473855,406,3096.0,3039.0
2022-08-31,3020.0,3119.0,3007.0,3043.0,25552240900,1770758,484,3052.0,3079.0
2022-09-03,3079.0,3185.0,3047.0,3104.0,32846746270,2230887,701,3043.0,3077.0
2022-09-04,3132.0,3132.0,2950.0,2967.0,56465589100,4012444,1075,3104.0,2999.0
2022-09-05,3014.0,3016.0,2889.0,2934.0,20114616400,1445934,480,2967.0,2934.0
2022-09-06,2953.0,2953.0,2893.0,2910.0,18413754320,1333991,360,2934.0,2912.0
2022-09-07,2957.0,2957.0,2815.0,2875.0,28215525040,2069381,414,2910.0,2893.0
2022-09-10,2921.0,3018.0,2763.0,2999.0,101661717520,7148081,1066,2875.0,3018.0
2022-09-11,3069.0,3069.0,2896.0,2957.0,27750106540,1979269,480,2999.0,2931.0
2022-09-12,2957.0,3001.0,2866.0,2887.0,13777671390,1006178,291,2957.0,2908.0
2022-09-13,2950.0,3031.0,2891.0,2955.0,16134689050,1151353,417,2887.0,3026.0
2022-09-14,2826.0,3058.0,2826.0,2980.0,5103775880,361219,173,2955.0,2957.0
2022-09-18,2988.0,2988.0,2832.0,2847.0,30033769720,2224632,416,2980.0,2872.0
2022-09-19,2875.0,2875.0,2706.0,2773.0,22210858420,1688791,349,2847.0,2784.0
2022-09-20,2784.0,2910.0,2699.0,2849.0,21418925470,1584866,518,2773.0,2898.0
2022-09-21,2940.0,2940.0,2708.0,2735.0,22339547860,1721773,342,2849.0,2746.0
2022-09-24,2742.0,2742.0,2600.0,2602.0,44590087070,3614118,405,2735.0,2600.0
2022-09-26,2531.0,2657.0,2491.0,2556.0,15699193940,1295576,209,2602.0,2602.0
2022-09-28,2607.0,2683.0,2579.0,2651.0,11844978800,941975,322,2556.0,2590.0
2022-10-01,2678.0,2678.0,2520.0,2535.0,19301661580,1606195,410,2651.0,2520.0
2022-10-02,2564.0,2564.0,2408.0,2425.0,25121954350,2184823,439,2535.0,2446.0
2022-10-03,2486.0,2486.0,2320.0,2335.0,17082174490,1542443,327,2425.0,2328.0
