date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-02-08,180.0,180.0,180.0,180.0,645400,461,1,128.0,180.0
2014-02-17,180.0,180.0,180.0,180.0,35499939,25339,5,180.0,180.0
2014-02-24,261.0,261.0,261.0,261.0,39270432,19326,8,180.0,261.0
2014-07-09,641.0,641.0,641.0,641.0,216820000,43364,16,261.0,641.0
2014-07-13,641.0,641.0,641.0,641.0,290000,58,1,641.0,641.0
2014-08-31,641.0,641.0,641.0,641.0,18455000,3691,2,641.0,641.0
2014-12-07,641.0,641.0,641.0,641.0,181140000,36228,5,641.0,641.0
2015-01-19,641.0,641.0,641.0,641.0,148420000,29684,6,641.0,641.0
2015-06-23,641.0,641.0,641.0,641.0,1500000,300,1,641.0,641.0
2015-07-01,641.0,641.0,641.0,641.0,198860000,39772,8,641.0,641.0
2015-08-18,641.0,641.0,641.0,641.0,990000,300,1,641.0,641.0
2015-09-14,719.0,719.0,701.0,717.0,42534130,11533,2,641.0,701.0
2015-10-21,738.0,777.0,738.0,745.0,21101000,5500,2,717.0,777.0
2015-10-26,802.0,802.0,802.0,802.0,12390000,3000,1,745.0,802.0
2015-10-27,816.0,816.0,816.0,816.0,6300000,1500,1,802.0,816.0
2015-11-02,818.0,818.0,818.0,818.0,307330,73,1,816.0,818.0
2015-12-15,832.0,832.0,832.0,832.0,2140000,500,1,818.0,832.0
2015-12-16,855.0,855.0,855.0,855.0,17600000,4000,1,832.0,855.0
2016-01-18,855.0,855.0,855.0,855.0,6160000,1400,2,855.0,855.0
2016-04-17,874.0,971.0,874.0,970.0,25270000,5060,4,855.0,971.0
2016-04-20,971.0,971.0,971.0,971.0,2365000,473,1,970.0,971.0
2016-07-05,991.0,991.0,991.0,991.0,22950000,4500,4,971.0,991.0
2016-07-19,971.0,971.0,971.0,971.0,184225000,36845,17,991.0,971.0
2016-12-27,985.0,985.0,985.0,985.0,100156150,28213,11,971.0,985.0
2017-01-03,999.0,999.0,999.0,999.0,8301600,2306,1,985.0,999.0
2017-03-04,999.0,999.0,999.0,999.0,10800000,3000,1,999.0,999.0
2018-05-12,1922.0,1922.0,1922.0,1002.0,2500000,500,1,999.0,1922.0
2018-06-18,2114.0,2114.0,2114.0,1011.0,6050000,1100,1,1002.0,2114.0
2018-07-14,2114.0,2114.0,2114.0,1015.0,2750500,500,1,1011.0,2114.0
2019-01-21,2367.0,2367.0,2367.0,1079.0,36330000,6920,2,1015.0,2367.0
2019-02-25,3156.0,3156.0,3156.0,1080.0,945000,135,1,1079.0,3156.0
2019-09-21,1112.0,1112.0,1112.0,1112.0,2957640,1960,1,1080.0,1112.0
2019-09-23,1112.0,1112.0,1112.0,1112.0,694140,460,2,1112.0,1112.0
2020-03-04,1167.0,1167.0,1167.0,1112.0,912384,576,1,1112.0,1167.0
2020-03-09,1145.0,1145.0,1145.0,1112.0,716394,461,1,1112.0,1145.0
2020-03-14,1145.0,1145.0,1145.0,1112.0,3760680,2420,1,1112.0,1145.0
2020-04-04,1145.0,1145.0,1145.0,1112.0,54390,35,1,1112.0,1145.0
2020-04-14,1145.0,1145.0,1145.0,1112.0,15300684,9846,6,1112.0,1145.0
2020-04-15,1167.0,1167.0,1167.0,1112.0,365904,231,1,1112.0,1167.0
2020-04-19,1145.0,1145.0,1145.0,1112.0,777000,500,1,1112.0,1145.0
2020-04-27,1167.0,1167.0,1167.0,1112.0,1460448,922,1,1112.0,1167.0
2020-04-29,1145.0,1145.0,1145.0,1112.0,15000762,9653,2,1112.0,1145.0
2020-05-03,1167.0,1167.0,1167.0,1112.0,3652704,2306,1,1112.0,1167.0
2020-05-09,1167.0,1167.0,1167.0,1112.0,912384,576,1,1112.0,1167.0
2020-05-19,1167.0,1167.0,1167.0,1112.0,728640,460,2,1112.0,1167.0
2020-06-07,1145.0,1145.0,1145.0,1112.0,1432788,922,1,1112.0,1145.0
2020-06-09,1145.0,1145.0,1145.0,1112.0,32655756,21014,3,1112.0,1145.0
2020-06-13,1145.0,1145.0,1145.0,1112.0,357420,230,1,1112.0,1145.0
2020-06-16,1145.0,1145.0,1145.0,1112.0,178710,115,1,1112.0,1145.0
2020-07-01,1167.0,1167.0,1167.0,1112.0,484704,306,1,1112.0,1167.0
2020-07-14,1145.0,1145.0,1145.0,1112.0,7168602,4613,1,1112.0,1145.0
