date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-02-28,24589.0,24589.0,24214.0,24219.0,6059150000,1249000,25,23419.0,24214.0
2017-02-28,25427.0,25427.0,25040.0,25045.0,6059150000,1249000,25,24219.0,25040.0
2017-03-06,26296.0,26296.0,26296.0,26296.0,7989992010,1666665,17,25045.0,26296.0
2017-03-06,27609.0,27609.0,27609.0,27609.0,7989992010,1666665,17,26296.0,27609.0
2017-03-13,28808.0,28808.0,28808.0,28808.0,9216000000,2000000,20,27609.0,28808.0
2017-03-13,30061.0,30061.0,30061.0,30061.0,9216000000,2000000,20,28808.0,30061.0
2017-03-15,31296.0,31296.0,31296.0,31296.0,14070000000,3000000,30,30061.0,31296.0
2017-03-15,32581.0,32581.0,32581.0,32581.0,14070000000,3000000,30,31296.0,32581.0
2017-03-25,32581.0,32581.0,32581.0,32581.0,9414000000,2000000,20,32581.0,32581.0
2017-03-25,32581.0,32581.0,32581.0,32581.0,9414000000,2000000,20,32581.0,32581.0
2017-03-26,32988.0,32988.0,32988.0,32988.0,14310000000,3000000,30,32581.0,32988.0
2017-03-26,33401.0,33401.0,33401.0,33401.0,14310000000,3000000,30,32988.0,33401.0
2017-05-21,34131.0,34131.0,34131.0,33519.0,348000000,80000,1,33401.0,34131.0
2017-05-21,34252.0,34252.0,34252.0,33637.0,348000000,80000,1,33519.0,34252.0
2017-09-10,35314.0,35314.0,35314.0,35314.0,12646443645,3316665,34,33637.0,35314.0
2017-09-10,37075.0,37075.0,37075.0,37075.0,12646443645,3316665,34,35314.0,37075.0
2017-09-11,37075.0,37075.0,37075.0,37075.0,3623000,1000,1,37075.0,37075.0
2017-09-11,37075.0,37075.0,37075.0,37075.0,3623000,1000,1,37075.0,37075.0
2017-09-13,35229.0,35229.0,35229.0,37075.0,3397000,1000,1,37075.0,35229.0
2017-09-13,35229.0,35229.0,35229.0,37075.0,3397000,1000,1,37075.0,35229.0
2017-09-16,37806.0,37806.0,37806.0,37681.0,1509160630,416665,5,37075.0,37806.0
2017-09-16,38422.0,38422.0,38422.0,38296.0,1509160630,416665,5,37681.0,38422.0
2017-09-19,39460.0,39460.0,37032.0,37032.0,2833365030,833342,26,38296.0,39460.0
2017-09-19,38159.0,38159.0,35810.0,35810.0,2833365030,833342,26,37032.0,38159.0
2017-09-20,35643.0,35643.0,35643.0,35643.0,6022590000,1666000,29,35810.0,35643.0
2017-09-20,35476.0,35476.0,35476.0,35476.0,6022590000,1666000,29,35643.0,35476.0
2017-10-22,37240.0,37240.0,37240.0,37240.0,10953300000,2900000,29,35476.0,37240.0
2017-10-22,39093.0,39093.0,39093.0,39093.0,10953300000,2900000,29,37240.0,39093.0
2017-10-23,40228.0,40228.0,40228.0,40228.0,16888500000,4500000,45,39093.0,40228.0
2017-10-23,41398.0,41398.0,41398.0,41398.0,16888500000,4500000,45,40228.0,41398.0
2017-10-31,42265.0,42265.0,42265.0,42265.0,1876500000,500000,5,41398.0,42265.0
2017-10-31,43152.0,43152.0,43152.0,43152.0,1876500000,500000,5,42265.0,43152.0
2017-11-07,41000.0,41000.0,41000.0,41000.0,17658177726,4928322,122,43152.0,41000.0
2017-11-07,38956.0,38956.0,38956.0,38956.0,17658177726,4928322,122,41000.0,38956.0
2017-11-13,37371.0,37371.0,37371.0,37371.0,2794740000,780000,8,38956.0,37371.0
2017-11-13,35850.0,35850.0,35850.0,35850.0,2794740000,780000,8,37371.0,35850.0
2017-12-03,36719.0,36719.0,36719.0,35850.0,1877500,500,1,35850.0,36719.0
2017-12-03,36720.0,36720.0,36720.0,35850.0,1877500,500,1,35850.0,36720.0
2017-12-04,36690.0,36690.0,36690.0,35850.0,1877000,500,1,35850.0,36690.0
2017-12-04,36691.0,36691.0,36691.0,35850.0,1877000,500,1,35850.0,36691.0
2017-12-27,34070.0,34070.0,34070.0,34070.0,6095100000,1650000,17,35850.0,34070.0
2017-12-27,32378.0,32378.0,32378.0,32378.0,6095100000,1650000,17,34070.0,32378.0
2018-01-14,31740.0,31740.0,31740.0,32231.0,453476855,116665,7,32378.0,31740.0
2018-01-14,31597.0,31597.0,31597.0,32085.0,453476855,116665,7,32231.0,31597.0
2018-01-17,32000.0,32000.0,32000.0,32078.0,227200000,50000,1,32085.0,32000.0
2018-01-17,31994.0,31994.0,31994.0,32071.0,227200000,50000,1,32078.0,31994.0
2018-02-14,30468.0,30468.0,30468.0,30796.0,1639092000,399000,4,32071.0,30468.0
2018-02-14,29257.0,29257.0,29257.0,29571.0,1639092000,399000,4,30796.0,29257.0
2018-02-17,28095.0,28095.0,28095.0,29323.0,331578028,83332,1,29571.0,28095.0
2018-02-17,27859.0,27859.0,27859.0,29078.0,331578028,83332,1,29323.0,27859.0
2018-02-18,28397.0,28397.0,27630.0,28177.0,6385553364,1608867,27,29078.0,27630.0
2018-02-18,27515.0,27515.0,26773.0,27302.0,6385553364,1608867,27,28177.0,26773.0
2018-02-19,26828.0,26828.0,26828.0,27302.0,3939600,980,1,27302.0,26828.0
2018-02-19,26828.0,26828.0,26828.0,27302.0,3939600,980,1,27302.0,26828.0
2018-02-24,27309.0,27309.0,27309.0,27309.0,1632000000,400000,4,27302.0,27309.0
2018-02-24,27316.0,27316.0,27316.0,27316.0,1632000000,400000,4,27309.0,27316.0
2018-02-25,27316.0,27316.0,27316.0,27316.0,802000000,200000,2,27316.0,27316.0
2018-02-25,27316.0,27316.0,27316.0,27316.0,802000000,200000,2,27316.0,27316.0
2018-02-26,28161.0,28161.0,28161.0,27654.0,803988000,200997,4,27316.0,28161.0
2018-02-26,28509.0,28509.0,28509.0,27997.0,803988000,200997,4,27654.0,28509.0
2018-03-14,27997.0,27997.0,27997.0,27997.0,1265828270,416665,7,27997.0,27997.0
2018-03-14,27997.0,27997.0,27997.0,27997.0,1265828270,416665,7,27997.0,27997.0
2018-03-17,29216.0,29216.0,29216.0,28134.0,210934020,66165,1,27997.0,29216.0
2018-03-17,29357.0,29357.0,29357.0,28272.0,210934020,66165,1,28134.0,29357.0
2018-03-26,27724.0,27724.0,27724.0,27888.0,1265828270,416665,5,28272.0,27724.0
2018-03-26,27348.0,27348.0,27348.0,27510.0,1265828270,416665,5,27888.0,27348.0
2018-06-12,26193.0,26201.0,26193.0,26712.0,1166199743,366321,7,27510.0,26201.0
2018-06-12,25434.0,25442.0,25434.0,25937.0,1166199743,366321,7,26712.0,25442.0
2018-06-17,27169.0,27169.0,27169.0,27169.0,19124996250,5099999,251,25937.0,27169.0
2018-06-17,28458.0,28458.0,28458.0,28458.0,19124996250,5099999,251,27169.0,28458.0
2018-06-20,29403.0,29403.0,29403.0,28571.0,287073360,73233,3,28458.0,29403.0
2018-06-20,29520.0,29520.0,29520.0,28684.0,287073360,73233,3,28571.0,29520.0
2018-06-23,28230.0,28230.0,28230.0,28677.0,46130560,11768,1,28684.0,28230.0
2018-06-23,28223.0,28223.0,28223.0,28669.0,46130560,11768,1,28677.0,28223.0
